milliseconds,APC,Va,Va_APC,Va3,Va3_APC,Va5,Va5_APC,Va53,Va53_APC,Va56,Va56_APC,Va36,Va36_APC,Va536,Va536_APC,HC,LC,HC5,HC3,HC56,HC36,HC536,LC_APC,HC53,VaA3,VaA53,VaA36,VaA536,VaLCA1,VaLCA1_APC
1100,3.646000613704743e-10,1.8832835891876218e-07,4.667703109630597e-09,1.0636383606659117e-10,1.8457563670278892e-10,2.1888260427990492e-09,4.5762331635851725e-09,4.4940102271388404e-11,2.620816276023495e-10,4.135489144230372e-13,1.1575187302092454e-12,1.777296180626508e-14,4.094436514938288e-14,4.9923449755018773e-14,1.0541460104563708e-13,4.049406151156863e-12,3.916329023811409e-12,1.0189413454472818e-14,1.0841324581098422e-15,5.371180745346996e-18,2.096472118007329e-19,3.1233551395112713e-19,5.872816043224277e-14,8.907758768889245e-16,5.950217087008278e-12,5.835944917456191e-12,4.59571685728669e-16,-6.108162071286783e-16,-1.3585512615794082e-12,5.61830713426645e-12
1200,3.167640764324361e-10,1.8739788439087868e-07,4.699437775220382e-09,1.2522800862201612e-10,1.8185416535925482e-10,1.986128525382982e-09,4.6433305416298166e-09,1.3180288270130233e-10,2.7584838171999424e-10,4.497029018366409e-13,1.4351871206369632e-12,1.939040968776831e-14,4.272122620635094e-14,6.204338695977882e-14,1.2382054135563492e-13,4.235964722105295e-12,3.852245019745678e-12,2.5642327943586293e-14,1.5293663463055395e-15,3.464209089899613e-18,2.1367422740895574e-19,-4.0189291136372307e-19,8.358035156521013e-14,3.069152541342098e-16,5.585931450812488e-12,3.2166072825873134e-12,1.2351984415379543e-15,-1.3801581739684203e-16,5.527758768027936e-12,5.860063502967854e-12
1300,3.2541064358038487e-10,1.877556009470023e-07,4.468677013656708e-09,1.1102176067049706e-10,1.7779936731211895e-10,2.7188462841256675e-09,4.817504955308282e-09,1.5505619054843012e-10,3.0781972790515116e-10,4.1857883052794327e-13,1.3866264212058593e-12,1.624788067735732e-14,4.466337670057982e-14,2.2235192134148374e-14,1.3745548960979188e-13,4.491779322509161e-12,4.0760181996463835e-12,1.5666511088211554e-14,8.423386495903536e-16,5.1281373839553036e-18,2.628945288085403e-19,2.4511522135690544e-19,7.87076625073494e-14,1.072718445574141e-15,7.426828822424303e-12,1.0208912591242828e-11,9.89521495687708e-16,2.6293166043444677e-15,6.20616108907772e-12,8.032087404429029e-12
1400,2.396655374335472e-10,1.866838223526442e-07,4.216020073137639e-09,1.2203802362591338e-10,1.7394803026941329e-10,3.1876218186677673e-09,4.709174922861415e-09,9.751249955622991e-11,3.410215801484222e-10,5.849748452529392e-13,1.6274882961392706e-12,2.7016053456616088e-14,4.714365117304017e-14,6.299074255828667e-14,1.6603479047131067e-13,4.9473860062538826e-12,4.440905808018508e-12,2.0621705715097602e-14,1.893656386557402e-15,4.7658096858565026e-18,4.5416385311231985e-20,3.4500427801723855e-19,7.235952118027083e-14,1.5551919007922834e-15,7.016676720291093e-12,1.0633760363283512e-11,8.685450840901105e-16,3.4427765514721645e-15,3.370072983564742e-12,8.159834104073955e-12
1500,4.155030577714558e-10,1.8711762157186137e-07,4.345786564653653e-09,1.390098415766036e-10,1.719730286471151e-10,3.672674010582487e-09,4.921721723384457e-09,1.5179310205484253e-10,3.7349302327099803e-10,7.629651026181161e-13,1.620136181622403e-12,2.7153422347995792e-14,4.7414323627193217e-14,9.014069830874951e-14,1.6164158228060947e-13,4.785338544075706e-12,5.1380030919295674e-12,4.609654093763363e-14,1.4244915022247709e-15,4.33527666627834e-18,9.29720947676683e-20,1.067925482284517e-18,9.422976808747078e-14,3.177362035068291e-16,8.563005682364667e-12,5.975213651252309e-12,1.2993631756527105e-15,5.540408461254707e-15,6.092306975326897e-12,9.463381594333294e-12
1600,2.2432209017261286e-10,1.868326526198218e-07,4.268510961061022e-09,1.67597359861802e-10,1.6997608384566832e-10,3.985654945397087e-09,4.9037382699071715e-09,2.0345876673287438e-10,3.9437700485678617e-10,9.233884918422872e-13,1.780404642419754e-12,2.910760714667743e-14,4.73898557876703e-14,1.0169308683985197e-13,1.9773584668919072e-13,5.3715204747398e-12,4.838514438406961e-12,5.753875958632363e-14,1.900467881577906e-15,5.299062930710265e-18,2.400681385977813e-19,1.075348704423498e-18,9.889248941627961e-14,2.5735772658177226e-15,9.491499809738379e-12,7.349047367347286e-12,1.6587542125010042e-15,5.311117906206092e-15,7.907834404720373e-12,1.0247795835429418e-11
1700,2.9113339035965907e-10,1.8618932197818242e-07,4.182773329202645e-09,1.6135485594687234e-10,1.7000681423073373e-10,4.5033669120002e-09,4.928234232548911e-09,2.1596907064899433e-10,3.8783746177155264e-10,9.918552887548476e-13,2.043077220083308e-12,2.996043428998357e-14,4.767775110839542e-14,1.0130705062539749e-13,2.3605516580957724e-13,5.854510902342176e-12,5.3994621557616306e-12,3.2752083495795964e-14,2.7689099975265813e-15,7.884471905152457e-18,2.6781206501283053e-19,1.2203187977963817e-20,1.267053541862062e-13,6.529946099763503e-16,1.1741441419489865e-11,1.3932156691055197e-11,1.77342847876005e-15,1.5312563807889301e-15,1.140280570640949e-11,1.0565674511351704e-11
1800,4.5115605499571513e-10,1.8559414660635334e-07,4.0055941339573615e-09,1.8135799762012684e-10,1.6676206483568096e-10,4.560677230933204e-09,5.007272671729476e-09,2.3027522983602052e-10,4.0604509166231307e-10,1.0311335155011388e-12,2.0930049211689963e-12,3.997515311951083e-14,5.0255600719064785e-14,7.929767217235252e-14,2.499599716060796e-13,5.838704107662329e-12,5.331386842930883e-12,4.326115435304683e-14,1.9617878939091078e-15,8.093318458397104e-18,3.852167021084819e-19,-1.5310143648018172e-19,1.1353980679464204e-13,2.71809679130014e-15,9.947082696812538e-12,1.7302039534759317e-11,2.2899921626392655e-15,3.7378831744332e-15,1.8021703728889164e-11,1.2748213529315144e-11
1900,3.624344281756714e-10,1.8538240324627082e-07,3.878418654611159e-09,1.9943256751933862e-10,1.6582562459523404e-10,5.029168455424926e-09,5.030228908433609e-09,3.142461549632492e-10,4.5420169060935436e-10,1.4891075417177965e-12,2.2727534221712664e-12,3.5635825681008367e-14,5.012098705433205e-14,1.2545952852592295e-13,2.6879221896908056e-13,5.8321517694878265e-12,5.855963145500608e-12,7.207090388304096e-14,2.9893438809064444e-15,1.991768526934004e-17,4.0529437696753843e-19,8.050733356803464e-19,1.370453536559166e-13,2.235139935913013e-15,1.34958081874442e-11,1.2574528146464646e-11,2.5253410613364064e-15,8.379987281394025e-15,1.628891260635302e-11,1.1956536598842407e-11
2000,3.351120734487907e-10,1.8447781561196255e-07,3.989100411972245e-09,1.937482005119796e-10,1.6394186995746835e-10,5.379922967965779e-09,5.189449844848794e-09,3.131597844780049e-10,4.5096792810478356e-10,1.6438136184607436e-12,2.2671227935545474e-12,3.958343132122946e-14,4.9088383041362656e-14,1.6673459204731133e-13,2.728303662040067e-13,6.11220262778457e-12,6.545825418749912e-12,7.237958713904273e-14,3.0756068468532276e-15,1.6829830762914725e-17,6.621969575159059e-19,1.3242505795528681e-18,1.389290855619516e-13,3.0813718061340375e-15,1.514555080757039e-11,1.6134574401544535e-11,2.544603628342427e-15,7.391234073857845e-15,1.9889884257726624e-11,1.2854643362218926e-11
