milliseconds,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s20,s21,s19
1000,1.0,1.0,15.465311774122624,110.06702279984967,116.00764950255135,1.753646342990357,23.97018640712271,67.25045175868658,1.0324639542743406,18.06578478788412,0.9730663631230487,1.0,0.7582580931790945,1.6021514040106304,1.3841993833532096,-8.61882262917844,0.041679781724916445,-0.029017071777015225,0.01212695759536788,-1.1603999868201036,-0.39977014686821283
1100,1.0,1.0,15.59836580412871,110.29389021952528,115.63846516027452,1.7548509933032737,23.757903002403037,67.21450851565749,1.0350273228594407,18.166397339944368,0.9173748018211069,1.0,0.7576405985772968,1.7843549313282359,1.4949306523161217,-8.343677054822408,0.04729833865711554,-0.028859658577719258,0.011377801728990592,-1.5734093486989185,-0.347513118517631
1200,1.0,1.0,15.664091108732107,111.16951593231808,116.95181802898023,1.7534032110694255,23.422047650013944,66.94418609283035,1.034337996013748,18.156654112796538,1.1817086391000151,1.0,0.7556876298266937,1.6149724783411905,1.7514905368314246,-9.256319835087975,0.04203567200324714,-0.034205329715522904,0.013513893941958868,-1.6509524953297798,-0.4356565962443354
1300,1.0,1.0,15.701410540878776,111.9062786540088,117.94055343176345,1.749599978576702,23.60315521097338,66.76085769755751,1.0417568847129302,18.22305222776346,1.0507120304578907,1.0,0.7534611362909844,2.1447962965254126,1.9323348014307633,-10.33613049967751,0.04755608638873289,-0.03331161380028909,0.015853522098245146,-1.6555712436289527,-0.45575383482392284
1400,1.0,1.0,16.14478811879148,112.42402923606738,119.06692600293547,1.7385760097272835,23.312464884276668,66.65210309317811,1.0372670710757321,18.26457050249379,1.2362865344684224,1.0,0.7532486090640489,2.1853566635294794,1.9071694455668349,-11.53140967934118,0.057297106423702594,-0.036553867216862386,0.015856424947577937,-2.041455575007305,-0.49388619590617844
1500,1.0,1.0,16.312068924214685,112.55456886237887,118.3624745376337,1.7367840972057775,23.16471763078084,66.6996992425476,1.0402906631437003,18.274237929844485,1.3090145920824816,1.0,0.7522498615538441,2.299535740714411,2.0457257937334132,-10.360985878257775,0.05326627410613407,-0.04441559880898724,0.01711204593881339,-2.130440189709476,-0.5067243130859636
1600,1.0,1.0,16.164241784919778,112.68023957602924,120.62237365502052,1.7376533835552526,22.947757672951816,66.42737141635344,1.0442915310716117,18.335748206110065,1.3154038402508421,1.0,0.7511258084541069,2.4232110826083555,2.1011023613883792,-12.16856529446889,0.06261958505348565,-0.047348624390940945,0.019545948142969578,-2.140899956016855,-0.5480369152021102
1700,1.0,1.0,16.52237333325696,113.1671608571909,119.87691187210287,1.7335975051210257,23.00678176952747,66.20906487016578,1.0503386299018909,18.327179006103574,1.483556409203702,1.0,0.7480608559109495,2.5117967399985974,2.2907928756899074,-13.716760190261976,0.06794704070631505,-0.045911885957401366,0.018493148352310626,-2.3943562814216928,-0.6476738655254651
1800,1.0,1.0,16.482543006516657,114.44364762735785,121.7004694725024,1.7305052225638509,22.546871649820154,66.12543189990625,1.0552558056217387,18.392364372488615,1.4918772944954388,1.0,0.7493353815926381,2.6872309769048934,2.530592600049971,-13.698634442325908,0.06441914080438832,-0.05602115127022906,0.020922536391412425,-2.5888408658673225,-0.58291387193434
1900,1.0,1.0,16.74953417107899,114.61990160353781,123.12914779769116,1.7195610096927123,22.514730517590305,65.79913280126473,1.0548483536581907,18.45509459312184,1.718946464077569,1.0,0.7485520502584282,2.9412042574041193,2.452831252933133,-14.598621897562976,0.06799325162916267,-0.0539575264463442,0.02201786020305512,-2.579383108230267,-0.6482729934941831
2000,1.0,1.0,16.675115830778257,114.25154015301914,122.81579624909122,1.714170900833795,22.62697060200089,65.65674636501163,1.055992195220893,18.497194568135143,1.6943032638067899,1.0,0.7454076680509356,2.9391658879494673,2.712308030837133,-15.158989724877724,0.075494764140587,-0.05646296033926908,0.023677285063837313,-2.8545326760186382,-0.6597305382463571
2100,1.0,1.0,17.098423480214638,115.65952996320495,124.99761987787336,1.7114065152354216,22.475393869830828,65.75845512920603,1.063289363245183,18.480514139758277,1.9282759722000762,1.0,0.7440979438523228,3.0045279440152983,3.022552695558286,-14.927568393160087,0.0800768885597257,-0.058573594434556626,0.02488981315812929,-2.923810106492443,-0.7640029955281695
2200,1.0,1.0,17.24245380006837,115.22210808262383,123.83090089671732,1.710733465192248,22.221458104644984,65.5498552024744,1.0625500095067726,18.52677045098517,2.100561508515641,1.0,0.7441190633824766,3.525306469610692,2.8559391965286176,-15.861306798234109,0.08234932249787935,-0.06500536570188456,0.0247072409660584,-3.1214874858025325,-0.7247844714554882
2300,1.0,1.0,17.063237548366583,115.98651070936486,126.10641737699515,1.7027710651563663,21.86668040795806,65.4236128671067,1.0637878109374512,18.560883106351596,1.9633259234161804,1.0,0.7426257820907023,3.4614417631204666,3.1857956231439615,-18.323241935746758,0.08337881685726682,-0.06668800841080419,0.0263796182804722,-3.0494102110054424,-0.7637550752841549
2400,1.0,1.0,17.406006839322043,117.04925588324879,125.77871636666795,1.7086817120785813,21.926894872640922,65.03833089191946,1.0673986975503664,18.60048465265707,2.0422951309504107,1.0,0.7416810925104518,3.6917910279140926,3.4360782883749565,-19.138518500338375,0.09417150354289475,-0.06743553490983174,0.025918617289567975,-3.1276637846793,-0.8022576989122653
2500,1.0,1.0,17.583714588674333,117.3605894568358,126.45478682652139,1.6988384079858678,21.841863394161564,64.90131431678083,1.071210561457553,18.665494637358037,2.1436285016949004,1.0,0.74073106749799,3.588909387105377,3.4296739060589494,-18.464715156376243,0.09894745899858115,-0.06990635427465249,0.0274532324039115,-3.4939531274141116,-0.8550996479308662
2600,1.0,1.0,17.62327155855517,117.94852285632783,128.53069887169377,1.69223851676605,21.82070861691549,64.94782160195354,1.0764948111859167,18.662352673913702,2.478514367568559,1.0,0.7406360202133464,3.815607846092875,3.51769542329751,-19.946832079681034,0.10156848806015611,-0.07611148781279595,0.02899216642576599,-3.3737215648892454,-0.8812470340720693
2700,1.0,1.0,17.693901057821382,117.60600252112678,128.03505580144747,1.6908248415134075,21.660539017623403,64.76130195798835,1.0755215886970249,18.679440748711155,2.3711036647262755,1.0,0.7374695605969177,4.1902105275873565,3.7152731847475513,-20.873832691506315,0.1047125975393573,-0.08078034745784511,0.03194723382333384,-3.662005443075267,-0.9750889761988849
2800,1.0,1.0,17.97863819761014,118.33515748889933,128.31803666879358,1.6859986089957615,21.382937589177594,64.59854243943228,1.0846644819167777,18.77236412976511,2.4902134635244124,1.0,0.7378442796496251,4.337288199669727,3.648997769213583,-20.239299074274108,0.11244437594319685,-0.08041803602717847,0.033275891515345817,-3.992710838093116,-0.9781198433685722
2900,1.0,1.0,18.05640772223865,118.9980244316897,130.27232278717187,1.6894082096016394,21.41264230141538,64.62302813616188,1.0803036867735087,18.74573117100348,2.6881889902219775,1.0,0.7365015186752711,4.362267666797268,3.9589970127413032,-22.300464169676808,0.1051650425428454,-0.08366618927393321,0.03383362135115361,-3.8447645400869277,-0.9764322871771448
3000,1.0,1.0,18.059107556534947,119.70112639012567,131.61719805588436,1.6757792849485207,21.150567786816957,64.30830953332696,1.086456765092519,18.782742906315665,2.6333976367979823,1.0,0.735844047450545,4.371179331128449,4.111040940549039,-22.543509469971074,0.11258200788917037,-0.08404270805485856,0.03291215788026781,-4.029361922453017,-1.083976435194591
3100,1.0,1.0,18.275146457426665,119.9317337122541,131.30961690910536,1.6724717131879587,21.022821823573995,64.36524263234301,1.0898943802238392,18.86752924683295,2.7538514376691032,1.0,0.7323374937730499,4.55590857437818,4.125389007287904,-22.281807905799887,0.11387687016074166,-0.08962951145400479,0.03615402174119564,-4.081792481885161,-1.1258916265605479
3200,1.0,1.0,18.519350127790947,120.44359527435824,131.88708530009055,1.6723666570247078,20.798516991570747,63.944812397451884,1.0947679718403052,18.838613917080277,2.8832090639285006,1.0,0.7330557289094267,4.981264614914624,4.279197369212903,-23.05710421061174,0.11791572358808995,-0.09417484043679039,0.03763174115992597,-4.259995089085063,-1.1620774938307035
3300,1.0,1.0,18.4111915110606,119.95126309376867,132.2917536629551,1.666139966414388,20.618020148043456,63.67825681664951,1.096162387094787,18.864397207068645,3.1254932593032367,1.0,0.7316420455763712,4.966946921001463,4.366302681664632,-24.56741644096466,0.12412264477766353,-0.09533925669864692,0.03612902214344933,-4.292547165948951,-1.154276123603011
3400,1.0,1.0,18.89339136308934,120.51461926334616,134.83911155037745,1.661180799960672,20.58136991140524,63.93339814515744,1.0946122266545555,18.911780145675653,3.2851628706014058,1.0,0.730426776062155,4.989271623452882,4.698315169833381,-25.339572709338245,0.13450183296738222,-0.09845102840581858,0.039837009023238446,-4.816820187117777,-1.240644020710699
3500,1.0,1.0,18.632669572676306,121.24838413377235,135.3000017844036,1.6648912357042913,20.355028083061125,63.7566268686616,1.0976998947395094,18.962363407983652,3.1867816918374587,1.0,0.7274924885256715,5.375010411618049,4.802203850439974,-27.14432257045604,0.1336310454888198,-0.10550050030684231,0.03982060872221815,-4.7389900610597415,-1.2122790326775295
3600,1.0,1.0,19.158785361461774,121.96240214430952,135.78510484072052,1.6591331852757298,20.262106447342138,63.34034884613305,1.1025615118128798,18.980489431955146,3.321344088721329,1.0,0.7273971765462057,5.504611988882611,4.868633422923846,-26.680758435314456,0.13572551369781757,-0.10138418705409373,0.04259498339124006,-4.923635691077632,-1.2649048326270889
3700,1.0,1.0,19.015977675712993,121.20484584123221,136.99446716116992,1.6523264684784613,20.31137224591875,63.0906700219731,1.102727707074622,19.095835028409684,3.442173378132756,1.0,0.7280927883992669,5.604232938585176,4.925800041040882,-27.439911032758896,0.13972909516307336,-0.10510346504611455,0.04178652466468776,-5.080599305267675,-1.2749565608900597
3800,1.0,1.0,19.078802074989614,121.46570176086182,135.78474424013078,1.6497672618082548,20.09609929967,63.23991884438198,1.110578568123301,19.095409031875008,3.5020020459884256,1.0,0.7256513319834492,5.516682405706646,5.070559111409965,-29.022483186596993,0.1461427242838569,-0.11270101343490381,0.04488608656776136,-5.097688247532645,-1.336678758766024
