milliseconds,species_0000001,species_0000002,species_0000006,species_0000007,species_0000008,species_0000009,species_0000011,species_0000016,species_0000017
3200,4.1122932775982264e-11,5e-06,9.648608491884847e-10,1.3158510280079646e-09,4.518677877710899e-23,9.655293083716639e-09,3.275408657833122e-13,1e-05,1e-05
3300,4.1054794970503216e-11,4.9999999999999996e-06,9.746696950314935e-10,1.3495116675667577e-09,4.4811484472774697e-23,1.119267482363883e-08,3.339900035068641e-13,1e-05,1e-05
3400,4.074772394307266e-11,5e-06,9.596587008650386e-10,1.4327882009026813e-09,4.469495162220646e-23,1.1027242182004854e-08,3.4065471451858753e-13,1e-05,1e-05
3500,4.085143702272446e-11,5.000000000000001e-06,9.663421643770718e-10,1.4159607123467912e-09,4.545519107711198e-23,1.2419239109455346e-08,3.501048786110417e-13,1e-05,1e-05
3600,4.1739060149967984e-11,5e-06,9.819975039462888e-10,1.4271665114303782e-09,4.50953465986841e-23,1.2097507378565587e-08,3.528902832661486e-13,1.0000000000000003e-05,1e-05
3700,4.1389159641188455e-11,5e-06,9.754165822147856e-10,1.5202605869879893e-09,4.449173030510772e-23,1.306435243015002e-08,3.7983276079890397e-13,1e-05,1.0000000000000003e-05
3800,4.079150524192707e-11,5e-06,9.686663475338406e-10,1.56249749408387e-09,4.528993893944538e-23,1.3969781054602566e-08,3.66889482726645e-13,9.999999999999999e-06,1e-05
3900,4.12839054243847e-11,4.9999999999999996e-06,9.842092322506242e-10,1.6549621289864804e-09,4.5272631701956463e-23,1.4036203027907417e-08,3.895983693946732e-13,1e-05,1e-05
4000,4.137189801230793e-11,5e-06,9.597464652196876e-10,1.6905403028135828e-09,4.50658022050463e-23,1.4469460263264338e-08,3.9783474299378546e-13,9.999999999999999e-06,1e-05
4100,4.077085269625666e-11,5e-06,9.792445066565238e-10,1.633609970198095e-09,4.548686266136357e-23,1.592085879766903e-08,4.0638702238384835e-13,1e-05,1.0000000000000003e-05
4200,4.0793705016886564e-11,4.9999999999999996e-06,9.641773814910598e-10,1.6842345553195998e-09,4.565263042299998e-23,1.657938823230628e-08,4.310837849579907e-13,1e-05,1e-05
4300,4.111365553064513e-11,5e-06,9.620862890950751e-10,1.7832078717757997e-09,4.543390524324947e-23,1.6901184716035136e-08,4.4136330017328317e-13,1e-05,1e-05
4400,4.157255436748286e-11,5.000000000000001e-06,9.640488907205566e-10,1.7964284905848064e-09,4.494595160030619e-23,1.6977415812126303e-08,4.506776455119363e-13,1.0000000000000003e-05,1e-05
4500,4.121789913290917e-11,5e-06,9.628177608368013e-10,1.8257703825270482e-09,4.558693099230709e-23,1.7507963076168454e-08,4.343272956148853e-13,1.0000000000000003e-05,1e-05
4600,4.146808937976144e-11,4.9999999999999996e-06,9.68818311539387e-10,1.8414729822815208e-09,4.545821558317007e-23,1.8196307611841337e-08,4.486417429261646e-13,1e-05,1e-05
4700,4.097501349095417e-11,5e-06,9.784348161414277e-10,1.9547798232260707e-09,4.4875172053714344e-23,1.913060616151438e-08,4.555969277343546e-13,1e-05,1e-05
4800,4.1072374451762547e-11,5e-06,9.67523234505811e-10,1.935478452741411e-09,4.488613375901008e-23,1.9598540727575498e-08,4.768313554463861e-13,1e-05,1e-05
4900,4.1222597806905563e-11,5e-06,9.722721676323973e-10,2.0489551301203402e-09,4.517956649344053e-23,2.0291831956932487e-08,4.912589972898793e-13,1e-05,1e-05
5000,4.1189490400173164e-11,5e-06,9.780178339201793e-10,2.1160605138881524e-09,4.4926938765226306e-23,2.0877757944426988e-08,4.970005184462943e-13,9.999999999999999e-06,1e-05
