milliseconds,M_3hanthrn_c,M_5hoxnfkyn_c,M_5htrp_c,M_Lfmkynr_c,M_Lkynr_c,M_cmusa_c,M_hLkynr_c,M_nmtrpta_c,M_quln_c,M_srtn_c,M_trp_DASH_L_c,M_trypta_c,M_nicrnt_c,M_nformanth_c
1600,3.2976768264212466e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305595e-05,0.002632436828810556,1.1218172219090412e-05,1.1966020248522032e-05,2.599474541782099e-09,1.78449610733141e-15,7.763065949792625e-08,0.00012006438647440285,3.5909020414385275e-09,9.500214814640222e-16,7.141526602111184e-09
1700,3.2976768264212466e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305595e-05,0.0026324368288105564,1.1218172219090412e-05,1.1966020248522032e-05,2.599474541782099e-09,1.78449610733141e-15,7.763065949792624e-08,0.00012006438647440285,3.5909020414385275e-09,9.500214814640222e-16,7.141526602111183e-09
1800,3.2976768264212466e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305595e-05,0.002632436828810556,1.1218172219090412e-05,1.1966020248522032e-05,2.599474541782099e-09,1.78449610733141e-15,7.763065949792625e-08,0.00012006438647440285,3.5909020414385275e-09,9.500214814640222e-16,7.141526602111183e-09
1900,3.2976768264212466e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305595e-05,0.002632436828810556,1.1218172219090412e-05,1.1966020248522032e-05,2.599474541782099e-09,1.78449610733141e-15,7.763065949792624e-08,0.00012006438647440284,3.5909020414385275e-09,9.500214814640222e-16,7.141526602111185e-09
2000,3.2976768264212466e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305595e-05,0.002632436828810556,1.1218172219090412e-05,1.1966020248522032e-05,2.599474541782099e-09,1.78449610733141e-15,7.763065949792624e-08,0.00012006438647440285,3.5909020414385275e-09,9.500214814640222e-16,7.141526602111184e-09
2100,3.2976768264212466e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305595e-05,0.002632436828810556,1.1218172219090412e-05,1.1966020248522032e-05,2.599474541782099e-09,1.78449610733141e-15,7.763065949792625e-08,0.00012006438647440285,3.5909020414385275e-09,9.500214814640222e-16,7.141526602111184e-09
2200,3.2976768264212466e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305595e-05,0.002632436828810556,1.1218172219090412e-05,1.1966020248522032e-05,2.599474541782099e-09,1.78449610733141e-15,7.763065949792624e-08,0.00012006438647440284,3.590902041438527e-09,9.500214814640222e-16,7.141526602111184e-09
2300,3.2976768264212466e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305592e-05,0.002632436828810556,1.1218172219090412e-05,1.1966020248522032e-05,2.599474541782099e-09,1.78449610733141e-15,7.763065949792625e-08,0.00012006438647440285,3.5909020414385275e-09,9.500214814640222e-16,7.141526602111184e-09
2400,3.2976768264212466e-06,2.3285262897483987e-10,9.86485434437397e-07,2.184001526630559e-05,0.002632436828810556,1.1218172219090412e-05,1.196602024852203e-05,2.599474541782099e-09,1.78449610733141e-15,7.763065949792625e-08,0.00012006438647440282,3.590902041438527e-09,9.500214814640222e-16,7.141526602111183e-09
2500,3.2976768264212466e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305592e-05,0.002632436828810556,1.1218172219090412e-05,1.1966020248522032e-05,2.599474541782099e-09,1.78449610733141e-15,7.763065949792624e-08,0.00012006438647440282,3.5909020414385275e-09,9.500214814640222e-16,7.141526602111184e-09
2600,3.2976768264212466e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305592e-05,0.0026324368288105555,1.1218172219090412e-05,1.1966020248522033e-05,2.599474541782099e-09,1.78449610733141e-15,7.763065949792626e-08,0.00012006438647440282,3.5909020414385275e-09,9.500214814640222e-16,7.141526602111184e-09
2700,3.2976768264212466e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305592e-05,0.002632436828810556,1.1218172219090412e-05,1.1966020248522032e-05,2.599474541782099e-09,1.78449610733141e-15,7.763065949792625e-08,0.00012006438647440282,3.5909020414385275e-09,9.500214814640222e-16,7.141526602111184e-09
2800,3.2976768264212466e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305592e-05,0.002632436828810556,1.1218172219090412e-05,1.1966020248522032e-05,2.599474541782099e-09,1.78449610733141e-15,7.763065949792624e-08,0.00012006438647440285,3.5909020414385275e-09,9.500214814640222e-16,7.141526602111183e-09
2900,3.2976768264212466e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305595e-05,0.002632436828810556,1.1218172219090412e-05,1.1966020248522032e-05,2.599474541782099e-09,1.78449610733141e-15,7.763065949792626e-08,0.00012006438647440284,3.5909020414385275e-09,9.500214814640222e-16,7.141526602111184e-09
3000,3.2976768264212466e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305592e-05,0.002632436828810556,1.1218172219090412e-05,1.1966020248522032e-05,2.599474541782099e-09,1.78449610733141e-15,7.763065949792624e-08,0.00012006438647440284,3.590902041438527e-09,9.500214814640222e-16,7.141526602111184e-09
3100,3.2976768264212466e-06,2.3285262897483987e-10,9.86485434437397e-07,2.184001526630559e-05,0.002632436828810556,1.1218172219090412e-05,1.1966020248522032e-05,2.5994745417820985e-09,1.78449610733141e-15,7.763065949792625e-08,0.00012006438647440282,3.5909020414385275e-09,9.500214814640222e-16,7.141526602111185e-09
3200,3.2976768264212466e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305592e-05,0.002632436828810556,1.121817221909041e-05,1.1966020248522032e-05,2.5994745417820985e-09,1.78449610733141e-15,7.763065949792624e-08,0.00012006438647440284,3.5909020414385275e-09,9.500214814640222e-16,7.141526602111184e-09
3300,3.2976768264212466e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305592e-05,0.002632436828810556,1.121817221909041e-05,1.1966020248522032e-05,2.5994745417820985e-09,1.78449610733141e-15,7.763065949792625e-08,0.00012006438647440285,3.5909020414385275e-09,9.500214814640222e-16,7.141526602111184e-09
3400,3.2976768264212466e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305592e-05,0.002632436828810556,1.121817221909041e-05,1.1966020248522032e-05,2.5994745417820985e-09,1.78449610733141e-15,7.763065949792626e-08,0.00012006438647440285,3.5909020414385275e-09,9.500214814640222e-16,7.141526602111183e-09
3500,3.2976768264212466e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305592e-05,0.002632436828810556,1.121817221909041e-05,1.1966020248522032e-05,2.5994745417820985e-09,1.78449610733141e-15,7.763065949792626e-08,0.00012006438647440285,3.5909020414385275e-09,9.500214814640222e-16,7.141526602111184e-09
3600,3.2976768264212466e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305592e-05,0.002632436828810556,1.121817221909041e-05,1.1966020248522032e-05,2.5994745417820985e-09,1.78449610733141e-15,7.763065949792626e-08,0.00012006438647440284,3.5909020414385275e-09,9.500214814640222e-16,7.141526602111184e-09
3700,3.2976768264212466e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305592e-05,0.002632436828810556,1.121817221909041e-05,1.1966020248522032e-05,2.5994745417820985e-09,1.78449610733141e-15,7.763065949792625e-08,0.00012006438647440284,3.5909020414385275e-09,9.500214814640222e-16,7.141526602111183e-09
3800,3.2976768264212466e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305592e-05,0.002632436828810556,1.121817221909041e-05,1.1966020248522032e-05,2.5994745417820985e-09,1.78449610733141e-15,7.763065949792625e-08,0.00012006438647440284,3.5909020414385275e-09,9.500214814640222e-16,7.141526602111184e-09
3900,3.2976768264212466e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305592e-05,0.002632436828810556,1.121817221909041e-05,1.1966020248522032e-05,2.5994745417820985e-09,1.78449610733141e-15,7.763065949792625e-08,0.00012006438647440282,3.5909020414385275e-09,9.50021481464022e-16,7.141526602111184e-09
4000,3.2976768264212466e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305592e-05,0.002632436828810556,1.121817221909041e-05,1.1966020248522032e-05,2.5994745417820985e-09,1.78449610733141e-15,7.763065949792625e-08,0.00012006438647440282,3.590902041438527e-09,9.500214814640222e-16,7.141526602111183e-09
4100,3.2976768264212466e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305592e-05,0.002632436828810556,1.121817221909041e-05,1.1966020248522032e-05,2.5994745417820985e-09,1.78449610733141e-15,7.763065949792626e-08,0.00012006438647440281,3.590902041438527e-09,9.500214814640222e-16,7.141526602111184e-09
4200,3.2976768264212466e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305592e-05,0.0026324368288105555,1.121817221909041e-05,1.1966020248522032e-05,2.5994745417820985e-09,1.78449610733141e-15,7.763065949792625e-08,0.00012006438647440281,3.590902041438527e-09,9.500214814640222e-16,7.141526602111184e-09
4300,3.2976768264212466e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305592e-05,0.002632436828810556,1.121817221909041e-05,1.1966020248522032e-05,2.5994745417820985e-09,1.78449610733141e-15,7.763065949792624e-08,0.00012006438647440281,3.5909020414385267e-09,9.500214814640222e-16,7.141526602111184e-09
4400,3.2976768264212466e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305592e-05,0.002632436828810556,1.121817221909041e-05,1.1966020248522032e-05,2.5994745417820985e-09,1.78449610733141e-15,7.763065949792624e-08,0.00012006438647440282,3.590902041438527e-09,9.500214814640222e-16,7.141526602111184e-09
4500,3.2976768264212466e-06,2.328526289748398e-10,9.86485434437397e-07,2.1840015266305592e-05,0.002632436828810556,1.121817221909041e-05,1.1966020248522032e-05,2.5994745417820985e-09,1.78449610733141e-15,7.763065949792625e-08,0.00012006438647440282,3.590902041438527e-09,9.500214814640222e-16,7.141526602111184e-09
4600,3.2976768264212466e-06,2.328526289748398e-10,9.86485434437397e-07,2.1840015266305592e-05,0.002632436828810556,1.121817221909041e-05,1.1966020248522032e-05,2.5994745417820985e-09,1.78449610733141e-15,7.763065949792624e-08,0.00012006438647440281,3.590902041438527e-09,9.500214814640222e-16,7.141526602111185e-09
4700,3.2976768264212466e-06,2.328526289748398e-10,9.86485434437397e-07,2.1840015266305592e-05,0.002632436828810556,1.121817221909041e-05,1.1966020248522032e-05,2.5994745417820985e-09,1.78449610733141e-15,7.763065949792626e-08,0.00012006438647440282,3.590902041438527e-09,9.50021481464022e-16,7.141526602111185e-09
4800,3.2976768264212466e-06,2.328526289748398e-10,9.86485434437397e-07,2.1840015266305592e-05,0.002632436828810556,1.121817221909041e-05,1.1966020248522032e-05,2.5994745417820985e-09,1.78449610733141e-15,7.763065949792625e-08,0.00012006438647440282,3.590902041438527e-09,9.500214814640222e-16,7.141526602111186e-09
4900,3.2976768264212466e-06,2.328526289748398e-10,9.86485434437397e-07,2.1840015266305592e-05,0.002632436828810556,1.121817221909041e-05,1.196602024852203e-05,2.5994745417820985e-09,1.78449610733141e-15,7.763065949792626e-08,0.00012006438647440282,3.590902041438527e-09,9.500214814640222e-16,7.141526602111184e-09
5000,3.2976768264212466e-06,2.328526289748398e-10,9.86485434437397e-07,2.1840015266305592e-05,0.002632436828810556,1.121817221909041e-05,1.1966020248522032e-05,2.5994745417820985e-09,1.78449610733141e-15,7.763065949792625e-08,0.00012006438647440282,3.590902041438527e-09,9.500214814640222e-16,7.141526602111185e-09
