milliseconds,C16AcylCarCYT,C16AcylCarMAT,C16AcylCoAMAT,C16EnoylCoAMAT,C16HydroxyacylCoAMAT,C16KetoacylCoAMAT,C14AcylCarCYT,C14AcylCarMAT,C14AcylCoAMAT,C14EnoylCoAMAT,C14HydroxyacylCoAMAT,C14KetoacylCoAMAT,C12AcylCarCYT,C12AcylCarMAT,C12AcylCoAMAT,C12EnoylCoAMAT,C12HydroxyacylCoAMAT,C12KetoacylCoAMAT,C10AcylCarCYT,C10AcylCarMAT,C10AcylCoAMAT,C10EnoylCoAMAT,C10HydroxyacylCoAMAT,C10KetoacylCoAMAT,C8AcylCarCYT,C8AcylCarMAT,C8AcylCoAMAT,C8EnoylCoAMAT,C8HydroxyacylCoAMAT,C8KetoacylCoAMAT,C6AcylCarCYT,C6AcylCarMAT,C6AcylCoAMAT,C6EnoylCoAMAT,C6HydroxyacylCoAMAT,C6KetoacylCoAMAT,C4AcylCarCYT,C4AcylCarMAT,C4AcylCoAMAT,C4EnoylCoAMAT,C4HydroxyacylCoAMAT,C4AcetoacylCoAMAT,AcetylCoAMAT,FADHMAT,NADHMAT
1000,0.17082327549631368,0.3697572809955781,0.9047688529929496,0.05347258382803757,0.16662569161807694,0.0005250172498114884,0.039363411123994094,0.18243446058760537,2.032856599986621,0.058148567473962354,0.17192654269244514,0.0005505188090412689,0.05319930531958401,0.26004697281911404,2.825434664440559,0.06783823007098069,0.21584511094369196,0.0006718213822336874,0.1021243446812447,0.47963267283169836,5.335894125079269,0.07469139289557238,0.23758983360984878,0.0007251991033989779,0.10830432003803393,0.5079452505960497,5.566860982191251,0.16811006711465482,0.5077270415503706,0.0016681694227565162,0.29173447396324703,1.41403736211865,15.116173106949418,15.163004632551544,46.37696961723379,0.14882633992321678,0.44383890259022307,2.0874287368460203,23.292839346256073,45.10130741697662,145.53761122039822,0.4519592449141303,70.0000000014654,0.4600000013277847,16.000000001314238
1100,0.17181234965497985,0.3713576951192796,0.9221475226676201,0.05472347504382507,0.1744278665057091,0.0005349902637162703,0.04045474833392549,0.1909215792386825,2.0117548030603656,0.06113869113915652,0.17484343055471527,0.0005733567061737138,0.054220320711085616,0.25742105445083313,2.788208465879916,0.07115990688750433,0.21808874007712148,0.000674287158959039,0.10417287913423476,0.4932315467960578,5.4342674493268825,0.07641881666180667,0.23851504808496113,0.0007481786118288331,0.11534316665079337,0.5425768337794602,5.84391154720242,0.1666778626297503,0.5306257848623438,0.0016422413599198602,0.31575280371622727,1.4504700799516215,15.956720396425075,15.701679952496065,47.69484457193276,0.15358798894995826,0.4711366254177173,2.244593416009707,24.498248971647424,49.71668054841321,155.5714444015171,0.4697081890898156,70.00000000145953,0.46000000134354496,16.00000000132777
1200,0.17095355793220796,0.3816308043796968,0.9163804794355218,0.0559400050908648,0.17537445808151422,0.0005632733875568655,0.04042118162485971,0.1931519720020108,2.052980083444368,0.0632366957254548,0.1803822494778738,0.0005637973858860626,0.05628554458748435,0.26496548688363397,2.851634448115015,0.07104760310060612,0.2188901314380141,0.0006842899491755282,0.10585374150957041,0.5030003984845242,5.386900061719615,0.07864792529534102,0.23943047306370058,0.0007616518620743917,0.11926009936337044,0.5727434774442212,5.8650565097432334,0.1752886391750625,0.5406954229353325,0.0017186636953272015,0.3205008072107909,1.4656271662661906,16.622329440632306,15.699719562242565,49.995943752202855,0.1578153684103709,0.5039459420209242,2.404214573568416,26.456820129891298,52.101487163710026,158.26054272544718,0.48565039976242386,70.00000000148876,0.46000000133053776,16.000000001307626
1300,0.1714400084842693,0.37969256618255753,0.9227175499691015,0.056959794225909924,0.17513725289939236,0.0005537846382878223,0.04093740305719806,0.18997237104454356,2.0491174146641415,0.06301618616276165,0.18573812414570104,0.0006011024966100602,0.0559699690796495,0.2661272674544347,2.913164431113287,0.07362207480082264,0.22993506237903633,0.0007223452539044163,0.10963820108649962,0.5457041738324521,5.712470210091268,0.08165141292563072,0.2558673424013342,0.0007785911101720851,0.12219083226058793,0.558901779658635,6.357198695657677,0.1785974242795136,0.5507577316622031,0.0017686341141684534,0.33450313670960236,1.57294558045852,17.13736990413924,16.14678614686271,50.45071296856142,0.1560404421561538,0.4948639007689237,2.417780766295281,27.009325960079664,52.72910695647007,168.36098080355572,0.506633266533703,70.00000000149772,0.4600000013456302,16.000000001327955
1400,0.1723459942790445,0.38290599592096536,0.9427376646616784,0.0590898842459829,0.18407232729161913,0.0005749620171495469,0.0413516836615142,0.19395211045859928,2.1045699287626896,0.0660661877960535,0.1914315678695682,0.0006026227079939176,0.05877256843633912,0.2730710180592436,2.935415558930915,0.07645581429703177,0.2349640889706494,0.0007292815392985914,0.11501829870606205,0.5486037798159091,5.682589975995522,0.08197935997640977,0.25249597072017516,0.0008053055769715684,0.12718078975947336,0.5949874818116112,6.506610707792109,0.18566660738374022,0.5729203953202463,0.0017895706546592878,0.332080254491431,1.631228004322875,17.50011071011044,16.151580339690543,51.3569209608411,0.15961502934838964,0.5222158167978478,2.4748267315646255,27.263749124063438,55.320417812112666,165.7745904109547,0.5310323617196939,70.0000000014809,0.46000000135820446,16.00000000131587
1500,0.17645744579266637,0.3839798646624658,0.955270868388975,0.05855254005959559,0.18260801799145882,0.0005791892322288285,0.0412723658923711,0.19677911478843238,2.0780893381296512,0.06484706972728052,0.18974772651972227,0.0006099040821004366,0.058298707366363466,0.27908104092083913,2.9848839815556705,0.0784404330895523,0.23151107858832365,0.0007287204957517063,0.11494841026220685,0.5499312456959125,6.0654624409667734,0.08714747354151478,0.2613179392751881,0.000818669744318676,0.13296519432105128,0.6062390041298247,6.4759144535971105,0.1843324602711547,0.5714175856257496,0.0018145751474057162,0.341315225840294,1.64623935023445,18.311057722345048,17.168117082040663,52.14456664108162,0.16510385734917796,0.5301492897695469,2.6495959711462005,28.85070294744199,54.160351226165915,174.79531264442323,0.5543410925454851,70.00000000147584,0.4600000013335948,16.000000001318107
1600,0.17733772516441995,0.3918807921719067,0.9573510729577807,0.06091853374091411,0.1866176488695419,0.0006019095464602452,0.04220860641354462,0.19942000242639407,2.0950024273851073,0.06886915468498343,0.19149766430857112,0.0006218841742760495,0.059553856946928725,0.28688447267881667,3.0305954826421178,0.07876627571090505,0.23552888286766044,0.0007566422286565452,0.11766564133207673,0.5559350436646139,5.98421099075316,0.08611699921786063,0.2703390235379661,0.0008596509612521627,0.13009282657232468,0.6430844334589352,6.777469188250826,0.1921142916386261,0.5856592977720435,0.0019066720071577782,0.36770216777231496,1.706737731537501,17.94555163045911,16.871133216873343,54.58258241810478,0.1644004415799223,0.5559099750716858,2.6981173189599987,29.33130506326803,59.04276952105284,180.16280183791173,0.5506668547258996,70.00000000150807,0.46000000135532754,16.000000001316536
1700,0.17616517831727097,0.3875680750456158,0.9735054289608144,0.06164499678034998,0.194149292214167,0.0005966301576536632,0.04281996580481631,0.19818502916156727,2.108352385580093,0.06910307617773277,0.19543084283071271,0.0006308308925324638,0.05938110761333349,0.28011041055306085,3.0211546699592806,0.08107117508404088,0.24213191328662254,0.0007807918425613577,0.12214876601593608,0.5825455383983972,6.109607480749931,0.0896730790346133,0.26680230280305545,0.0008558985833030597,0.1370443164193305,0.6499838640842668,6.856995613800397,0.1890254991329108,0.5964992645461134,0.0018605906636354863,0.3648850303026902,1.8009286874083272,18.399029177855343,17.089869055490805,55.387238082408935,0.16985593767086618,0.5742363612010202,2.859415530567732,30.10542773196733,58.3084124887311,180.62124996059535,0.5726241902401761,70.00000000148434,0.46000000136646946,16.000000001323837
1800,0.1750316723983493,0.3966494965299114,0.9749251921535966,0.0612850802560339,0.1924705515803961,0.0006117747756655741,0.0419378810336657,0.19996695837632103,2.172590525564178,0.06766680351770948,0.19829308851833316,0.0006400079055162393,0.06169784830534464,0.28624580987227827,3.003733116835179,0.08046896487569119,0.250946838625915,0.0007673103429228162,0.1208848497769794,0.5865447469961798,6.216036703536702,0.08949952761988414,0.27443601363062736,0.0008550183717195827,0.14170150073817084,0.6714256719003941,7.000740481856381,0.1957127092612599,0.6086460680564731,0.0018949561828451656,0.37680558318119345,1.783815745421765,18.76441590683518,17.466192013428696,54.06786172377076,0.17183009063127258,0.5805056269500684,2.88510242349677,31.34593135775437,61.39864873440622,186.1535056479297,0.5929477385713385,70.00000000148275,0.4600000013666635,16.000000001349072
1900,0.17533761908899967,0.39872470785573244,0.985247119996417,0.06216030225820224,0.1962222286125893,0.0006063907942404968,0.04348610573479793,0.20410927825093506,2.1769829768334246,0.06933077732964224,0.19896384796003375,0.0006327554686200531,0.061651872669096115,0.2858960038249058,3.0445048251282985,0.08014458946649825,0.25126255997354696,0.0008013888657744073,0.12370063210616129,0.5979193112322048,6.325821891830892,0.0925554445209238,0.2757511361591481,0.000871742191534395,0.14210889701924181,0.6734002952682865,7.118812681422101,0.19685455127327067,0.6303807283713558,0.0019164438845976587,0.37324001221159947,1.8087912738663805,19.34321389512778,18.09830494349304,56.91472841553448,0.1754488241877177,0.6301039138467522,2.9891727643489014,31.333358303263797,62.58741583255495,185.6335521436832,0.588495134356175,70.00000000150499,0.46000000135055547,16.000000001330925
