miliseconds,B0,S0,B1,S1,B2,S2,B3,S3,B4,S4,M0,M1,M2,M3,M4,L0,L1,L2,L3,L4,glu
1400,-0.0014027648698234415,-5.62117950801898e-06,0.0019494857715623498,0.00013102926949125517,7.105467119890396e-06,5.5307693634893735e-05,-1.227027781085499e-06,-1.0712107825719873e-05,1.328662192828632e-07,-1.8001997880796627e-07,-4.3161340832230485e-09,1.7625252025676283e-06,8.704609411167329e-06,1.0595584692427482e-09,5.0725328686301754e-05,-4.388604008853106e-12,3.3950569808896515e-08,1.5472905589222171e-06,8.783148852939637e-06,0.0033870992474962793,-0.08104095905238713
1500,-0.0015237243515881722,-6.473849065089281e-06,0.001990031100230993,0.0001358086212697339,7.909109888702653e-06,5.695852739103911e-05,-1.3208256850996268e-06,-1.1685089603635617e-05,1.4068593126777402e-07,-2.0038741868485972e-07,-4.657195265621481e-09,1.9934941257443415e-06,9.809734301896329e-06,1.1758224718882397e-09,5.3016196438799636e-05,-4.932402500288434e-12,3.352882276164202e-08,1.8356146078749412e-06,8.633147758398133e-06,0.003924245118636201,-0.09531769364396986
1600,-0.001704669825679943,-6.7143974832271775e-06,0.002267527831184136,0.00014077403431797346,8.35376222638048e-06,5.88938630557131e-05,-1.4679892826648243e-06,-1.2267658026083725e-05,1.557410874055753e-07,-2.1014894718055164e-07,-5.501098403927992e-09,2.059893432208584e-06,9.96261876819897e-06,1.3803180998290578e-09,5.6642682814987566e-05,-5.282406027989599e-12,3.9665443613271683e-08,2.0127110571969513e-06,9.4559973890567e-06,0.004225566147801406,-0.09943132655052098
1700,-0.0018097779191602393,-7.573414989396303e-06,0.0023179232403898603,0.00016660671359760806,9.186412789262285e-06,6.30948380266694e-05,-1.5700595082488243e-06,-1.4232600074353158e-05,1.6790402590690121e-07,-2.2571545804938845e-07,-5.928449811117463e-09,2.366232416324591e-06,1.0781750030221072e-05,1.5522383470341705e-09,6.290800496499693e-05,-5.88881193794295e-12,4.1881136767815647e-08,2.0589502312638293e-06,1.092383823336661e-05,0.0046517397198248,-0.11015544494609258
1800,-0.0020460853806386643,-8.101195567710075e-06,0.0025646218613923494,0.00016530411488099872,9.669989898420533e-06,7.276960890847295e-05,-1.8021917414621946e-06,-1.4266970922000192e-05,1.8236036034988065e-07,-2.2001182571487953e-07,-5.979931333556819e-09,2.591730059593352e-06,1.16758084421957e-05,1.5210398646746737e-09,7.198090236944555e-05,-6.609665613021469e-12,4.2301895309688765e-08,2.3050244782495347e-06,1.1464143902903193e-05,0.005284381544291772,-0.12145149758838612
1900,-0.0020366153084537125,-8.204704427941637e-06,0.002576075423899436,0.00017971576699093249,1.0384943159802171e-05,7.915696933367858e-05,-1.8558222350294496e-06,-1.5521772933768763e-05,1.914577976450148e-07,-2.404579498710359e-07,-6.562417374409923e-09,2.6622359758225167e-06,1.261577369948377e-05,1.7121864476848445e-09,7.336379102545097e-05,-6.751632029999215e-12,4.781701846585136e-08,2.442735532950508e-06,1.2397113280924504e-05,0.005521009310051823,-0.13430937321366182
2000,-0.0021581356791734556,-9.25694003053113e-06,0.002831283386017356,0.00019347366344995987,1.0723467031165522e-05,7.76812773972477e-05,-1.9216214768090604e-06,-1.7092636154273734e-05,1.9496955248994595e-07,-2.587184471434668e-07,-7.041953362229656e-09,2.8979557189381344e-06,1.2923224720117412e-05,1.7703890110072327e-09,8.49806136595563e-05,-7.0132717731417915e-12,4.856173376156937e-08,2.4913950961699296e-06,1.3810291760666452e-05,0.006022850745931605,-0.14269485736768003
2100,-0.0023079647072794377,-9.941259852349384e-06,0.002911044812657961,0.00019965336453455493,1.127908746900722e-05,8.480549500615657e-05,-2.072855233382654e-06,-1.7233693163762384e-05,2.1158166765250294e-07,-2.726846394910066e-07,-7.539187810779163e-09,2.973974247254457e-06,1.4058918948877891e-05,1.947512211042303e-09,8.576684626193735e-05,-7.567177241826456e-12,5.326820373495972e-08,2.576417664310015e-06,1.4581770414183686e-05,0.0062147724570854514,-0.14123598503111212
2200,-0.002591355615746508,-1.0283851238764365e-05,0.003195262296384492,0.00021402218763610708,1.1534613408935342e-05,9.274839163046155e-05,-2.2435578962935847e-06,-1.868018249202928e-05,2.1787562195109824e-07,-2.6836002691946733e-07,-7.91157279058194e-09,3.0600524487744905e-06,1.4972070924810624e-05,2.1338442840926913e-09,8.957881598009709e-05,-8.17867561916241e-12,5.411640499691667e-08,2.845965778221643e-06,1.446119117642975e-05,0.006635104907620136,-0.1521427667980275
2300,-0.0027137776421106486,-1.097932905707795e-05,0.003418287970634521,0.00022611761702904726,1.2598173523817243e-05,9.816128914297041e-05,-2.4135289076731072e-06,-1.9369481989544817e-05,2.396316012528921e-07,-2.8541438213550243e-07,-8.353183735737387e-09,3.2597594238703234e-06,1.627976677809864e-05,2.2421076963813742e-09,0.0001008715134207924,-8.341036447329143e-12,5.971054360678271e-08,3.0378328968319395e-06,1.6142784361903694e-05,0.007111236376161961,-0.1593478382689504
2400,-0.002706296065443781,-1.1217008397847872e-05,0.0034953206766701345,0.00023951286890739302,1.2634734588462004e-05,9.882683872555924e-05,-2.374644891831306e-06,-2.014735992363424e-05,2.508595916963657e-07,-2.848862185795554e-07,-8.672423145295642e-09,3.407867630193771e-06,1.6803314495295662e-05,2.3382200043362754e-09,0.00010645485333591359,-8.806815223726002e-12,6.291256364184035e-08,3.042253281599734e-06,1.6594160062679566e-05,0.007384297196304914,-0.17367934281520367
2500,-0.002880032797519911,-1.162116818313818e-05,0.0035804515658059556,0.00024856575732196454,1.3454365014274257e-05,0.00010221017428491527,-2.5495178508546373e-06,-2.168616008405738e-05,2.650787836202856e-07,-3.240260719442611e-07,-8.71617417475633e-09,3.5673139737225766e-06,1.693572221975453e-05,2.4315133783711504e-09,0.0001114735040555246,-8.987580237161798e-12,6.533911034528102e-08,3.25449006214814e-06,1.805240803911733e-05,0.008071720735366583,-0.1820724136781532
2600,-0.0030013295357625177,-1.2605386943736508e-05,0.00374497919738165,0.0002675403963922227,1.439362834837609e-05,0.00011174659670259845,-2.641320807842901e-06,-2.2601357397310883e-05,2.7082182386782753e-07,-3.0964470852898297e-07,-9.631256683180145e-09,3.904758428698669e-06,1.855408548598204e-05,2.576442377973969e-09,0.00011153074077367389,-9.85294372793469e-12,6.796816561659288e-08,3.434805913844161e-06,1.852073419797684e-05,0.008479631173774278,-0.18568369701080475
2700,-0.003239991744155825,-1.307121881822114e-05,0.004106053566797642,0.0002682876903065768,1.5346184368754555e-05,0.00011829934323380648,-2.7770196265890637e-06,-2.325500827210578e-05,2.848236429655735e-07,-3.428372365783867e-07,-9.549584569138366e-09,3.9198488807849814e-06,1.8632074986233728e-05,2.706180411730311e-09,0.00012083134298691846,-1.0051857991360922e-11,7.140646771001214e-08,3.4757450755168927e-06,1.947858278689843e-05,0.008882188639880982,-0.19827219304014157
2800,-0.003326103327044266,-1.3395460439591117e-05,0.004110272038802114,0.0002887094259294562,1.5668280531356347e-05,0.00011825079644245193,-2.863289133619331e-06,-2.4780684507383728e-05,2.9877956504568307e-07,-3.5565591053273193e-07,-1.0407952571776466e-08,4.209405909989199e-06,1.9486460400860854e-05,2.7840869120618512e-09,0.00012748046004140045,-1.058934178763159e-11,7.210982967049464e-08,3.6307147821332805e-06,2.016382416418765e-05,0.008830691615637438,-0.21074878097885108
2900,-0.003348400569626044,-1.39428857087719e-05,0.004434157496932895,0.00030455290653590963,1.572544226649637e-05,0.00012154595387797662,-3.126462945832538e-06,-2.4770650469906313e-05,3.121208033509687e-07,-3.426544892954762e-07,-1.0813674159437063e-08,4.2024631109828126e-06,2.07480798997114e-05,2.9624573295297842e-09,0.00013162303070572576,-1.1033463978794237e-11,7.361044587380523e-08,3.831217044467042e-06,2.1295981342401202e-05,0.009413006786217263,-0.21970458474638818
3000,-0.003608834824619401,-1.425243589983319e-05,0.004429554404068278,0.0003154876229123064,1.6360845957390797e-05,0.00013009366118168754,-3.1633210984269545e-06,-2.6324964075498884e-05,3.150220033959296e-07,-3.5797648282577436e-07,-1.0996764938154616e-08,4.507016896837789e-06,2.152997422493969e-05,3.0564287703572503e-09,0.00013438158108571949,-1.1671857608128788e-11,7.804871261278761e-08,4.030182109993509e-06,2.2273979046039957e-05,0.009891248013347011,-0.22464858760837503
3100,-0.0037889996230585565,-1.5004298511660661e-05,0.00476329457491949,0.00031749007977257784,1.7731944313716686e-05,0.00013186002713386943,-3.3154899733345325e-06,-2.793224108178613e-05,3.294655874843175e-07,-3.8660568248134913e-07,-1.1505587896604021e-08,4.535281116608064e-06,2.169295110716117e-05,3.2048288007110672e-09,0.00013954082416312147,-1.204815891950507e-11,8.165320256087949e-08,4.133390176736943e-06,2.2117435133370703e-05,0.010129081701355975,-0.2338924528573738
3200,-0.0038454472769402755,-1.5690690861739047e-05,0.004858331765102776,0.0003262711496472235,1.820795844640657e-05,0.00014125331337495626,-3.3928276561533607e-06,-2.7655634659589035e-05,3.5542686205188167e-07,-3.9883544683766147e-07,-1.1617048511443104e-08,4.900250295720476e-06,2.3103242589149176e-05,3.328996259427772e-09,0.00015033425406982818,-1.2234869616095776e-11,8.457566147154418e-08,4.300181331368948e-06,2.3009859157388075e-05,0.010757474587075624,-0.2425380309569186
3300,-0.004055911895464438,-1.658822378131139e-05,0.00505287993293133,0.0003392770507596276,1.882160171413339e-05,0.00014230476365293152,-3.4754038233502386e-06,-2.9837300213483663e-05,3.526745634772504e-07,-3.9894549684776243e-07,-1.2345735976157861e-08,4.942493880829121e-06,2.3759677456922622e-05,3.3911776170129433e-09,0.00015243192995592357,-1.2497138034603556e-11,8.560532466554525e-08,4.499481844494445e-06,2.369055208857118e-05,0.010861435997055118,-0.2453061180301039
3400,-0.004084793505180309,-1.6568033520549805e-05,0.005154777818922468,0.0003492939441473092,1.8906197464071775e-05,0.00014956724616495675,-3.5582208175575464e-06,-3.018085497311151e-05,3.640135542178463e-07,-4.0038687188639084e-07,-1.2408434869824684e-08,5.099558896803357e-06,2.4806845746683654e-05,3.6098205810926497e-09,0.00016089688382795556,-1.2813648272041512e-11,9.100393313879917e-08,4.619389204676882e-06,2.4974766335110568e-05,0.011337300076781982,-0.257860936541431
3500,-0.004275691357397917,-1.7412426065945863e-05,0.005476341756980293,0.00037328124141569776,2.0287282122461942e-05,0.0001565858069935345,-3.811255431276465e-06,-3.165004033861786e-05,3.882147521740828e-07,-4.18994006611084e-07,-1.3322940913375963e-08,5.233567055144697e-06,2.5112736763491988e-05,3.7078562114419408e-09,0.00016265938418721462,-1.3764446914458638e-11,9.24473583892596e-08,4.711151176944416e-06,2.5849559338820008e-05,0.011860381206623655,-0.26088317518511467
3600,-0.004390188585035427,-1.819142737490364e-05,0.005562933835121399,0.0003740011677536598,2.0704186333800952e-05,0.00015514436316479643,-3.8874538147679895e-06,-3.1510030932244716e-05,3.8975739703999584e-07,-4.2839525423617554e-07,-1.3719003060633571e-08,5.384044675961405e-06,2.5728390717415268e-05,3.756662283818933e-09,0.00016711472514282716,-1.3788567516345031e-11,9.39703461794653e-08,4.8457713056816005e-06,2.7279742346420518e-05,0.012196566604363624,-0.27527983044126214
3700,-0.004519404112741096,-1.831949315592597e-05,0.005729294849589225,0.00038497838007954234,2.0753016408358094e-05,0.0001606825534510807,-4.048583619752561e-06,-3.302178840243093e-05,4.037602195846273e-07,-4.370576149676876e-07,-1.4123193126371698e-08,5.679883283345927e-06,2.647589265838816e-05,3.8811020959700575e-09,0.00017462991735695183,-1.4125942170538616e-11,9.870043707753831e-08,5.0715652331729085e-06,2.7415234801701974e-05,0.012695853246175634,-0.2852728586788162
3800,-0.00469947398531401,-1.8614523801531024e-05,0.005915888843060737,0.00040553816873990144,2.180511456407352e-05,0.00016648366399010038,-4.1902704585017956e-06,-3.385351129559209e-05,4.232300338239252e-07,-4.595118984388968e-07,-1.3985416531660442e-08,5.868486847433669e-06,2.7361270571295093e-05,3.9422208084107145e-09,0.00018106993750746924,-1.4890901191515473e-11,9.894528293309939e-08,5.179370197214602e-06,2.8480004001936086e-05,0.012886047474978507,-0.2969540665308166
3900,-0.004713158371016256,-1.9294817021838332e-05,0.006108613815090103,0.00040958938260586455,2.187314149822751e-05,0.0001745544597607848,-4.284169207222654e-06,-3.511898935444975e-05,4.3443488436212833e-07,-5.242401797709889e-07,-1.4340059036320644e-08,5.860443138524141e-06,2.8050087820834867e-05,4.139397500601205e-09,0.00017718730874114426,-1.5105995397951117e-11,1.0524484126233315e-07,5.319975220304494e-06,2.967354241115029e-05,0.01275879970942236,-0.2891156565477461
4000,-0.004872628092721803,-2.035383460201963e-05,0.006121512121296302,0.0004229857613565443,2.3200194472501008e-05,0.00017656194937094855,-4.404153899808417e-06,-3.581004660628131e-05,4.452440730068989e-07,-5.818471089903611e-07,-1.493992136484701e-08,6.007639897615962e-06,2.9291792334293978e-05,4.151848784673377e-09,0.00017737348097360628,-1.534136840724112e-11,1.0565136502872001e-07,5.535518478899777e-06,3.0477925313566095e-05,0.01271310024986074,-0.29622740641144235
4100,-0.005055438205117044,-2.0597808053929195e-05,0.0063682932295612395,0.0004373531936785205,2.379454401278383e-05,0.0001794398870431324,-4.508936730754729e-06,-3.6849710724204945e-05,4.48841728307851e-07,-6.387386862025179e-07,-1.523277835747601e-08,6.314172863818524e-06,2.9411691228113088e-05,4.378420546445889e-09,0.00017835064406867169,-1.596181541883826e-11,1.0990111658747796e-07,5.6125954642956525e-06,3.0505329759748127e-05,0.012752377445912401,-0.2943490527695815
4200,-0.005118754130728838,-2.072845660430354e-05,0.0065584019945798665,0.0004508359621422233,2.4314766740410795e-05,0.00018660360040496538,-4.481888298998921e-06,-3.758263869814993e-05,4.656105570102842e-07,-6.795179834874875e-07,-1.560857972793288e-08,6.51555117590471e-06,3.041897711319731e-05,4.36285706971387e-09,0.00017832811098360184,-1.6612702502305977e-11,1.1291326820132204e-07,5.638000387711534e-06,3.1021245395089496e-05,0.01300137379648723,-0.29139839309129995
4300,-0.005242434334701385,-2.1782836992966603e-05,0.006652738382437695,0.00045492176800035944,2.4613163988938077e-05,0.00018817630645812162,-4.682835906807176e-06,-3.903392026689517e-05,4.672527171450438e-07,-7.403268504209894e-07,-1.6130717626315375e-08,6.453723536096532e-06,3.1602909798313516e-05,4.48451467508471e-09,0.00017931558041216892,-1.6918492958936564e-11,1.1363641802398494e-07,5.8827671997596e-06,3.1612677933547564e-05,0.012668826418087106,-0.2879839385707953
4400,-0.005326460749788192,-2.2143730024535937e-05,0.006697365662787016,0.00046925659722714353,2.4706929464514835e-05,0.00019335410216271605,-4.838716780621598e-06,-3.87755573159129e-05,4.752096601554045e-07,-8.092121723746458e-07,-1.6743194943384787e-08,6.659129281516788e-06,3.1632271409126935e-05,4.523660172572821e-09,0.00017671949023273842,-1.7232357950372232e-11,1.1494195616704461e-07,5.9630190078005575e-06,3.350795333405104e-05,0.012818513013762124,-0.29667207451173955
4500,-0.005557120995739886,-2.2070043481154082e-05,0.006908477238337571,0.0004729246306539221,2.5583345273344545e-05,0.0001990437702688341,-4.928229382786756e-06,-4.0198562602469844e-05,4.873733572859289e-07,-8.644607434690181e-07,-1.684782732496923e-08,6.7784667264875405e-06,3.321502965658188e-05,4.722561451112611e-09,0.00017375366288640063,-1.7506415905091376e-11,1.195621217862208e-07,6.062661314062769e-06,3.411241581070913e-05,0.012533558857078717,-0.2957744646719182
4600,-0.005609480521756284,-2.298458305008011e-05,0.007171151471205161,0.0004787291809009021,2.609554207280766e-05,0.00020091003259540264,-5.015500576837132e-06,-4.1615527914036454e-05,5.007531583917416e-07,-9.081121892367976e-07,-1.7010430993189924e-08,7.014656276600968e-06,3.3944731266970675e-05,4.728935432483213e-09,0.00017600728536895508,-1.804245408395253e-11,1.210620877881855e-07,6.331345280186618e-06,3.477918905963305e-05,0.012619145711280349,-0.2878843423023969
4700,-0.005753448315010403,-2.3322489213039573e-05,0.007188004768146904,0.0004870885178771519,2.656631317886646e-05,0.00020496772259562905,-5.010874912106129e-06,-4.2345261759128745e-05,5.089878780696111e-07,-9.78899417936254e-07,-1.774719859883722e-08,7.142596755023078e-06,3.403670459731145e-05,4.8537957383895145e-09,0.00017421748160847812,-1.796010218947861e-11,1.2498728207816417e-07,6.295501243199282e-06,3.522181074290481e-05,0.012418621260048675,-0.2973889300311285
4800,-0.005789913118107771,-2.4187665196353052e-05,0.007401017666865918,0.0005107197587343813,2.6908686113865528e-05,0.0002150424661500257,-5.209719780073895e-06,-4.256941089355632e-05,5.173252449722371e-07,-1.0442402222821423e-06,-1.7836209784949574e-08,7.304717896964483e-06,3.551096131203003e-05,5.004310642947066e-09,0.0001777691657311801,-1.8404539810922703e-11,1.2830930010287484e-07,6.435545710517745e-06,3.537877241137117e-05,0.012445823677005696,-0.2887998440014145
4900,-0.005950253877685141,-2.442862279309589e-05,0.007487883867194772,0.0005231277861102292,2.7624139697514002e-05,0.0002149264557660861,-5.375640990964949e-06,-4.407372229981282e-05,5.428286080431173e-07,-1.0863741254940162e-06,-1.827945621374076e-08,7.3325249176502775e-06,3.624012209371312e-05,4.9688240741783676e-09,0.0001727721075622676,-1.8675095117601414e-11,1.2802747817678499e-07,6.7221294367628404e-06,3.7276021729384595e-05,0.012304728587187862,-0.29317250694660246
5000,-0.006098140168860904,-2.495571197251894e-05,0.007700918356723328,0.0005275443935051532,2.821037039879327e-05,0.0002182476552304456,-5.387267611737788e-06,-4.513885688990176e-05,5.453732104724108e-07,-1.1445351803596681e-06,-1.8402822364534048e-08,7.522837873789656e-06,3.655748109262784e-05,5.136722370797554e-09,0.0001740223781312602,-1.9428643938332348e-11,1.3101968585318435e-07,6.750829751999948e-06,3.775131232739226e-05,0.01246910125293957,-0.288787257797022
