miliseconds,Susceptible,Infected,Diagnosed,Ailing,Recognized,Threatened,Healed,Extinct
1500,0.9999935997421189,4.044517123133068e-06,1.0407812809376652e-06,5.327915491935945e-07,3.1388208704480344e-07,1.3151463997623827e-08,2.576490536930184e-07,8.011353485165945e-11
1600,0.9999937654315002,4.12843642972655e-06,1.1328919107744806e-06,5.508422888775141e-07,3.9274079858814447e-07,1.6045345983450108e-08,2.4053038909114353e-07,1.0649102989735353e-10
1700,0.9999933906900005,4.1539642896611015e-06,1.1846106381775048e-06,6.046847737338629e-07,3.8115206081801577e-07,1.791685584623196e-08,2.8160557789631104e-07,5.377184895863891e-11
1800,0.9999933780363964,4.225837376166782e-06,1.1984811357685015e-06,6.230875904221442e-07,4.555727465219482e-07,2.0999042890289403e-08,2.818269758442115e-07,7.777787905240842e-11
1900,0.9999929938212339,4.3032687173937135e-06,1.3388812877364123e-06,6.317058523423323e-07,4.6560904070783876e-07,1.9730832969628803e-08,3.3007007057982156e-07,1.3175015888535518e-10
2000,0.9999929950724901,4.195946509698353e-06,1.2970571375619597e-06,6.284445949904629e-07,5.386689039178764e-07,2.311110092888391e-08,3.490338663784015e-07,1.5334651556086126e-10
2100,0.9999928562663539,4.218976450219068e-06,1.3453226019668936e-06,6.91888556477815e-07,5.175131194979387e-07,2.697879686523428e-08,3.7649588215995953e-07,1.3216355648405102e-10
2200,0.9999923946325213,4.3755878556770035e-06,1.51537851656837e-06,7.078177038078812e-07,5.838178632491269e-07,2.9232211935537654e-08,3.795333415936421e-07,2.425096260291277e-10
2300,0.999992379403308,4.373411878843041e-06,1.522217414130362e-06,7.249666070807268e-07,6.277015531348808e-07,3.1885782282949e-08,4.0017759895035593e-07,2.495367210199737e-10
2400,0.9999920811663056,4.42860165183988e-06,1.5066519261518262e-06,7.799662379006474e-07,6.85845895513217e-07,3.23367153915482e-08,4.3053029111123425e-07,2.9882905935624487e-10
2500,0.9999920256362891,4.582147998787446e-06,1.5871250481828423e-06,7.600335984613572e-07,7.186388926172471e-07,3.8404215539933466e-08,4.548558089158791e-07,3.1261184859644153e-10
2600,0.999991665412823,4.65414842845393e-06,1.5961412902643636e-06,8.162656060265378e-07,7.769491325645639e-07,4.136706048111207e-08,4.742810591381897e-07,3.4220228679768093e-10
2700,0.9999913732177049,4.679020287864183e-06,1.6605754350488213e-06,8.694466281038138e-07,8.435605735801357e-07,4.176125359555169e-08,5.086953654571001e-07,3.8009362403736556e-10
2800,0.9999912339429082,4.808061096876281e-06,1.795473385198624e-06,8.419473347184075e-07,8.125473973696456e-07,4.564038022405282e-08,5.222513015785622e-07,4.5201512031198154e-10
2900,0.9999911084172511,4.897018300017117e-06,1.7836617387561193e-06,9.114715035140518e-07,9.323273878481618e-07,4.8206459195396716e-08,5.407841457515135e-07,4.792361136295683e-10
3000,0.9999908769845762,4.890465987155677e-06,1.8398586870099451e-06,8.832650939859217e-07,9.984775016743315e-07,5.793560797744056e-08,5.786886525955333e-07,5.289380363420299e-10
3100,0.9999903026604228,4.821140569209793e-06,1.8998716324555337e-06,9.482732190124125e-07,1.0423383609180776e-06,5.748064843707212e-08,5.956478428669692e-07,5.529635921796114e-10
3200,0.9999903651697003,5.150062205236705e-06,1.9418834371759456e-06,9.56407090723456e-07,1.0843168996469112e-06,6.147910554414786e-08,6.104872033440061e-07,6.79005406894246e-10
3300,0.999990021166397,5.125265056713232e-06,2.0005227652074215e-06,9.485508397327355e-07,1.0855864575291857e-06,6.701936636937015e-08,6.298798828925741e-07,6.850798933330278e-10
3400,0.9999895479759656,5.091037918551831e-06,2.041946003232735e-06,9.89689369902237e-07,1.1493494156945822e-06,7.228786963204207e-08,6.651202145774761e-07,7.994738159500558e-10
3500,0.9999898470795358,5.21155464638383e-06,2.1336478405430613e-06,9.996797652046022e-07,1.259294987593424e-06,7.897493222183368e-08,7.028236011115404e-07,8.536939422727741e-10
3600,0.9999893173026948,5.391612169934605e-06,2.2194840302841143e-06,1.0604852516564641e-06,1.2509414545998361e-06,8.105439546037081e-08,7.272559460637514e-07,9.384422336427232e-10
3700,0.9999888337710834,5.364389722516518e-06,2.210850224051657e-06,1.0561275419545746e-06,1.353473955715947e-06,8.352465480886062e-08,7.58458061305932e-07,1.0454297157071125e-09
3800,0.9999890058800117,5.551977651874731e-06,2.3048668981827725e-06,1.1287907696249896e-06,1.4271004372581217e-06,9.183838485423869e-08,7.926264431831677e-07,1.1251333542729752e-09
3900,0.9999884474333729,5.515607924866841e-06,2.436966158804071e-06,1.117892321756026e-06,1.5030271979966104e-06,9.827042679547468e-08,8.060281665933849e-07,1.204967360324446e-09
4000,0.9999879289755429,5.604953601133572e-06,2.4911306421511926e-06,1.183456637219059e-06,1.578113191724275e-06,1.0069763038160603e-07,8.483663548362813e-07,1.2737200057093063e-09
4100,0.9999879088947377,5.684727637591184e-06,2.552855370228026e-06,1.1737312956771103e-06,1.6638988610884214e-06,1.114682369526786e-07,8.910337521872994e-07,1.4345639646972726e-09
4200,0.9999878485678403,5.878120647611371e-06,2.5830921103156712e-06,1.2318988279090382e-06,1.6563226726305883e-06,1.1545517225242115e-07,9.13223117700003e-07,1.5003789455625414e-09
4300,0.9999876887451501,6.112153843719589e-06,2.571450882102626e-06,1.2374069212048513e-06,1.765688686153265e-06,1.249683128387571e-07,9.857035848861523e-07,1.667516917225982e-09
4400,0.9999869761485255,6.139836681641824e-06,2.7083159946721234e-06,1.2373703543482496e-06,1.864014182050189e-06,1.2772829124080365e-07,9.777983323952064e-07,1.7515254966216733e-09
4500,0.9999865276182119,6.150667937877573e-06,2.6754752367561234e-06,1.2908660692680885e-06,1.8802132755567793e-06,1.3366436918018237e-07,1.0509688841637084e-06,1.943120046122138e-09
4600,0.9999865963454784,6.100840429474577e-06,2.7838213261605466e-06,1.2843075069025744e-06,2.014537668745736e-06,1.4428655862013157e-07,1.0510307597586837e-06,2.041003683065883e-09
4700,0.9999864913111032,6.29773275916172e-06,2.8752230989915814e-06,1.3224165009919001e-06,2.0166552790482984e-06,1.5275885903361126e-07,1.1087509116829502e-06,2.20593493662358e-09
4800,0.9999858687685768,6.4212780273371215e-06,2.961035729784955e-06,1.3617981856704612e-06,2.0842375831126172e-06,1.5738917515413216e-07,1.1353476102468183e-06,2.3074397497252403e-09
4900,0.9999856096758161,6.422777205309511e-06,2.9638427855048117e-06,1.3472862745824156e-06,2.198042237931092e-06,1.663253541170289e-07,1.16028220070728e-06,2.454504676675827e-09
5000,0.999985030969683,6.76889846181472e-06,2.9926381344480254e-06,1.3887185705861387e-06,2.2872683207123496e-06,1.7161515698084446e-07,1.2008833700475463e-06,2.6612865988547368e-09
