miliseconds,Susceptible,Infected,Diagnosed,Ailing,Recognized,Threatened,Healed,Extinct
2900,0.9999909445871906,4.837626110713744e-06,1.8313276949224392e-06,8.939885277692715e-07,8.798525474192506e-07,4.99881856602404e-08,5.247945455790095e-07,5.016252136143438e-10
3000,0.9999906627537495,4.924174334551626e-06,1.8779902781012011e-06,9.203626275432715e-07,9.806691041578591e-07,5.210329011464946e-08,5.554299706785932e-07,4.964500926867799e-10
3100,0.9999903992526659,5.010624446169193e-06,1.9474129509525423e-06,9.22146107480208e-07,9.93116106861322e-07,5.6212449333840124e-08,5.876690370979913e-07,5.796640053270957e-10
3200,0.9999904405019798,5.055498856917773e-06,1.9815215515825523e-06,9.745226825570909e-07,1.0623310796133037e-06,6.14669583395118e-08,6.328986607777774e-07,6.248807532511543e-10
3300,0.9999899305739472,5.160386581092454e-06,1.9951554389983773e-06,9.724688589366388e-07,1.1301141543098587e-06,6.995986037579901e-08,6.349932825430738e-07,6.951335657401665e-10
3400,0.9999897669588148,5.173191557210747e-06,2.107958715730594e-06,1.0244653709717014e-06,1.1990797427902806e-06,7.084194126537308e-08,6.59143943292234e-07,8.072596596897118e-10
3500,0.9999896862016625,5.266577402174831e-06,2.169422418491263e-06,1.0414762230779515e-06,1.2658972365358588e-06,7.553484504203458e-08,6.931777050311615e-07,8.748004645255854e-10
3600,0.9999891537409644,5.386764204502982e-06,2.1792801257539553e-06,1.0368331433397399e-06,1.3253274806854843e-06,8.026239656722262e-08,7.247615194386299e-07,9.131894710180948e-10
3700,0.9999891260564016,5.442650675610736e-06,2.2861289137202255e-06,1.0841299377297358e-06,1.3284976307304587e-06,8.708276782813992e-08,7.822411657610259e-07,1.035273340412767e-09
3800,0.9999888496510917,5.485867070914338e-06,2.325962569762097e-06,1.0858892749296152e-06,1.3976033588484831e-06,9.234202357985213e-08,7.919797851170839e-07,1.0917766016307283e-09
3900,0.9999885621895139,5.591200717079629e-06,2.3911438842886123e-06,1.125525019087673e-06,1.4845120594924717e-06,9.824655519389951e-08,8.388337343692479e-07,1.2358855498706269e-09
4000,0.9999883098356034,5.678919448672204e-06,2.4560746370071124e-06,1.1347607157499594e-06,1.5650441096886743e-06,1.0215340867268964e-07,8.568996043796486e-07,1.2942849040797014e-09
4100,0.9999879230711414,5.752469144095673e-06,2.5289998493710996e-06,1.171403158651944e-06,1.636036917731457e-06,1.0831063993062e-07,8.977454545957577e-07,1.3759598810038982e-09
4200,0.9999876311157593,5.8509446205436095e-06,2.5777053782678303e-06,1.210867308284298e-06,1.6604054145508331e-06,1.1732159414267977e-07,9.283842233175471e-07,1.5054496181655135e-09
4300,0.9999873856050832,5.952919708981916e-06,2.605694807225491e-06,1.235476342918252e-06,1.784537472273628e-06,1.1997441023616723e-07,9.66668289707273e-07,1.6262664491260919e-09
4400,0.9999872183970491,6.009066995332195e-06,2.6471897398166393e-06,1.2600776719996315e-06,1.8123373891884979e-06,1.2749115477850662e-07,9.889149253892671e-07,1.7829643390541418e-09
4500,0.9999868428415827,6.157965576130645e-06,2.7053158783412666e-06,1.2859512757516448e-06,1.895054043457395e-06,1.38105382892069e-07,1.0391558973432698e-06,1.932285457449703e-09
4600,0.999986489451464,6.245885550070269e-06,2.823328148820703e-06,1.3220869793953642e-06,1.9961447080678175e-06,1.4324418200291888e-07,1.0496700461090858e-06,2.0054999235242595e-09
4700,0.9999860435124615,6.309865018819971e-06,2.853524109952663e-06,1.3471028880574378e-06,2.062323944026522e-06,1.521912210493181e-07,1.1107915253142203e-06,2.1683520496500874e-09
4800,0.9999858139561395,6.446231844872857e-06,2.9516494513502064e-06,1.3600147322419132e-06,2.102802547602381e-06,1.5766519240572443e-07,1.1311729315379854e-06,2.35765747729243e-09
4900,0.9999855852589032,6.5587274334052725e-06,2.9950357019221363e-06,1.383574331643374e-06,2.236193330822793e-06,1.6343006394682883e-07,1.1893455064365397e-06,2.5038806799124346e-09
5000,0.9999851388563049,6.6806350170848375e-06,3.0470809859393883e-06,1.4251795781524337e-06,2.2753277003619403e-06,1.7225010414608473e-07,1.2095288568905288e-06,2.6490877341276875e-09
