miliseconds,EpoRJAK2,EpoRpJAK2,p1EpoRpJAK2,p2EpoRpJAK2,p12EpoRpJAK2,EpoRJAK2_CIS,SHP1,SHP1Act,STAT5,pSTAT5,npSTAT5,CISnRNA1,CISnRNA2,CISnRNA3,CISnRNA4,CISnRNA5,CISRNA,CIS,SOCS3nRNA1,SOCS3nRNA2,SOCS3nRNA3,SOCS3nRNA4,SOCS3nRNA5,SOCS3RNA,SOCS3,Epo
1000,3.6792466951858556,0.18377698031388837,0.02311591936984263,0.08288968879681712,0.007683891274023289,0.0,26.723832991686006,0.0007473162650737135,79.59165643249072,0.06480196495094853,-0.0009828675156187358,0.25964052967547063,-0.0310684601989912,0.0018355463326437246,0.00020256127446847426,6.045950491936997e-06,5.973819831979267e-10,-2.7392716862543526e-09,1.48441664249226e-06,8.98696502917246e-08,-2.7970245928489463e-07,-1.0717492977013387e-07,-1.2144713491341173e-08,1.2613837000560856e-08,1.438691298049932e-06,1.24997e-07
1100,3.6529388734375647,0.19549800152865096,0.024764058678654995,0.09070093415203025,0.023601682184683687,0.0,26.723665050283206,0.0012815036783552873,78.7809403418064,-0.2528060259365348,0.00937071764732942,0.3048417450649503,-0.005864890404428208,0.0008600043774259924,-0.00022465401232613604,1.362123083208901e-05,-1.3745681650476263e-09,9.216615144676877e-10,-5.588462995071283e-07,3.817879483695095e-07,-4.4461778754418524e-08,-1.1945497862455348e-07,-2.9946279581997644e-08,-2.3592821337282723e-08,3.835367002087745e-06,1.24997e-07
1200,3.616503146126213,0.2006208852698748,0.028897724201731898,0.10576592384202578,0.03134840022430326,0.0,26.723881872434955,0.0012910171527708435,79.50426871080239,0.8931729555258727,-0.011125322089707523,0.08928360022642877,-0.027763109110425253,0.002124032684256855,-0.00014792652000372307,5.486020178275713e-06,1.2051143547931533e-10,-1.9772630199967526e-09,-9.833041579094397e-07,1.498101110470172e-07,1.4739980604471838e-07,-1.5305465650398718e-07,-3.719228709225758e-08,2.4193406292533328e-08,1.0661600727944704e-06,1.24997e-07
1300,3.603502797097379,0.2069420550858094,0.031166167670859952,0.1205824930719223,0.03664547635587256,0.0,26.723530812777607,0.0016596436479131386,78.95210117841806,0.11895761414870998,-0.0038751453927072625,0.32314584198259416,0.006691442594081732,-0.0017416921029339604,0.00019615864705954086,1.5776634128808263e-05,5.311176562141171e-11,-2.7068789800279774e-09,7.592989041863165e-07,4.607589106852258e-07,-8.559262207968961e-08,-1.5445379703779505e-08,2.3579718863769355e-08,-4.539000123263956e-09,-4.7351214033583527e-07,1.24997e-07
1400,3.5689769124420825,0.21521451786818305,0.03538040480663316,0.1277060559359504,0.029900449200320867,0.0,26.72340726763059,0.0022540722475541232,78.64703166112285,0.15595987901148733,0.005905762436564831,-0.11208152985495914,0.0008432622870391193,0.00015390989389173958,-5.759225815497452e-05,4.784885362480054e-06,-1.0974705422177536e-09,-7.755940259440837e-10,-8.86860303942122e-07,-7.803652383377777e-08,1.8222412745192478e-07,1.6154761237631544e-08,-1.2420646991340725e-08,-3.337010034048846e-09,-3.746757425471859e-06,1.24997e-07
1500,3.5283283347376266,0.2164299529728133,0.03759207796182298,0.15002216608180524,0.04756868490604164,0.0,26.722793127488615,0.002115471885964804,79.08215284206454,1.0675478289352271,0.01332248285076588,-0.1772447686214626,0.028741876967346217,-0.00041518774309694294,-5.6520484820005605e-06,-1.608421874036651e-05,-5.986405127684003e-10,4.0497672717651565e-10,5.651506979444253e-07,5.576057585316531e-07,6.174513242867955e-08,-9.476546698086906e-08,-1.987661605648558e-08,-2.1748739019979924e-08,6.451575985739212e-07,1.24997e-07
1600,3.5080758124944076,0.22430099524509997,0.04020182166584602,0.15973263707215135,0.04783760555897766,0.0,26.722732655042133,0.002286817961014919,78.45297206504661,1.0498473242155493,0.025025511424455308,-0.0545684143497038,-0.0030644366739940566,0.0029207881300056943,-5.116391122277376e-05,-1.613594607629467e-05,-5.483138110510261e-10,2.400366227351423e-09,1.2344786550229614e-07,1.8434676214420274e-07,-2.8925758298725634e-07,9.768227908003796e-09,-6.119861155724526e-08,-1.616526787815232e-09,-3.7528539894261753e-06,1.24997e-07
1700,3.493512318992323,0.22546617915499137,0.0420388172231888,0.17707374396772974,0.05734341312318361,0.0,26.722533437819713,0.003095006794536645,78.2978343881999,1.7720451669929027,0.02774854798138666,0.3320395404754708,-0.020242047803798083,0.002378404672465376,-0.00010088913941189921,2.886501878843038e-06,1.5182735598850553e-10,-2.7689203112563744e-09,5.303841049004646e-07,1.7793556796760415e-09,2.8173014207523803e-07,2.504898975211442e-08,-1.8818282419319122e-08,5.63966722767908e-09,-2.9327544534101253e-06,1.24997e-07
1800,3.4641162593161,0.22794864331112574,0.045507436465800744,0.1836062376650452,0.0644472342982272,0.0,26.721970430659887,0.0029744704261532385,78.30006282954474,1.3145047481147625,0.025426570377792876,0.04544546301387059,0.02850152880464647,-0.0019451575691649932,0.0002074391101552455,-9.499546764449127e-06,1.2289197949502829e-09,-2.842970184517656e-09,6.717414455090596e-07,3.009438754820256e-07,4.1449295528882296e-07,1.19015368750445e-07,-2.135394722572781e-08,1.9192184271520845e-08,2.7890605787129993e-06,1.24997e-07
1900,3.419061254559146,0.2282344625696267,0.04660493565950204,0.1958132356100713,0.07688443966246163,0.0,26.72120555179383,0.0038664726446512453,78.30001237899225,2.3023431956932106,0.031225661530615238,0.42975450078481103,0.026441195463665218,0.0016791411842938153,2.348143352296776e-05,-2.6401212372671277e-06,-1.0257341825898272e-09,9.930395621831592e-10,1.2184497350262713e-06,9.93055524447803e-07,2.3608638143729436e-07,8.613972509943368e-08,-2.4083777486721087e-08,2.1007944238676372e-08,-1.9157035985066734e-06,1.24997e-07
