milliseconds,cG,cG_m,cL,cL_m,cLm,cNI,cNI_m,cP,cP7,cP7_m,cP9,cP9_m,cT,cT_m,cTm,cY,cY_m,cZG,cZTL
1000,0.008849642917742484,0.3581855399284147,0.5954771983473944,0.7850477892664018,0.10387729777918463,0.031996152515374486,0.014341464408996675,0.3901696417435203,0.07320462468382123,0.21600924326550805,0.48584175802489427,0.9889024667949425,0.36614017051017944,0.19599365823129783,0.21760446084297308,0.13905085881702794,0.20358650933530906,0.1297152311955993,0.3163531633406095
1100,0.008867430578330716,0.3763126194872801,0.5984760162789341,0.7174910880095754,0.11012987963950324,0.033360761243535236,-0.001075193076955536,0.3315420422497499,0.08134544827794811,0.23980469839943347,0.5071436565676288,0.9846222852718497,0.3640058563797609,0.19761921109230773,0.21411857274494556,0.1410068020787535,0.20594280451703226,0.13036288645144722,0.315449399120323
1200,0.00889284073746885,0.37924066602029877,0.6131129482338727,0.6939047361418222,0.12183694419685423,0.03091275395739301,-0.002127604679515574,0.3034092558516703,0.07264590576374881,0.22650490928818193,0.5662033751679573,0.9605092804031807,0.36334621361757546,0.18816238804585575,0.20782223431565958,0.14606502883903183,0.20475500608477437,0.13827319232213384,0.3144281154708732
1300,0.009046481303038987,0.3733635594521491,0.6214679065303281,0.6535404597628096,0.1177501424452082,0.030128040745048438,0.023257014754371662,0.2804743880961036,0.09026025229376827,0.29289636021300025,0.6309195637571725,0.9865278786927105,0.3640227966442458,0.18844495555282262,0.20602797232224906,0.15091593842319534,0.1993180208213626,0.1499571563580075,0.3132481930221734
1400,0.009252041518566366,0.3809069317194934,0.6200083817853218,0.5967274370646841,0.12448243260202338,0.033767390912584655,0.0036483978579505017,0.25996064930532287,0.07342556066945727,0.3326001784314096,0.663618625439569,0.9724452348656824,0.3574142496672217,0.18583233357154016,0.20575605660693264,0.15591518203076968,0.19866268669751022,0.15501604348289072,0.3127046334116892
1500,0.009127207480936787,0.3797777099182098,0.6233516540583299,0.5975997415033552,0.13416628696118715,0.029029978183782574,0.0034927573651104375,0.22881987793605918,0.08397638305730468,0.3022643228818674,0.7202019129901706,0.9138778937833613,0.3545350462225034,0.175890727344676,0.2047553150881238,0.15875902827568827,0.19298933561497367,0.1627003941854703,0.31151214184818515
1600,0.009104645450137139,0.3704788726243129,0.6213299714354702,0.5565906730791814,0.13701005693791293,0.028222321490388898,0.03441227360595564,0.20878825969490306,0.10307231428030722,0.3404066044086368,0.7417274326688664,0.8999724955345525,0.3469176759182099,0.17357951103246114,0.1976733052787109,0.16505650688955134,0.1920014535353621,0.16801856729477568,0.311043897416674
1700,0.009081892835184388,0.36394281068850376,0.6261494506892638,0.5087752860307677,0.14536441431092084,0.03040093997749458,0.01100856943152474,0.16135530993274233,0.1362082173158146,0.3789928308398582,0.7626568869610241,0.8705962342102481,0.35055513933367705,0.16545184278745098,0.19904988030932283,0.1635358304648998,0.1807746340969255,0.16699640721101075,0.3100551197398415
1800,0.0091742708141554,0.36986034753108377,0.6285688320436904,0.48268245322986675,0.1467090171252187,0.03401378884364857,0.01990114197770262,0.15120878517805492,0.13925976488838385,0.4477419528105621,0.8370639245762808,0.823012058161814,0.3423392764634593,0.16607447144377457,0.19418330301801198,0.16759146708062655,0.1761227336644131,0.1766390310000597,0.3098066852504574
1900,0.00879993832337316,0.36172861942796924,0.6226231290377277,0.499985359660508,0.15430963319378324,0.032841076475229325,0.043123764608551884,0.14049365335176522,0.159822439122475,0.4527557103026132,0.8436557478583158,0.8107884619968622,0.3393408601426906,0.1642144486572648,0.18973982146288149,0.17387905834327821,0.1720096288898646,0.17277225668124666,0.30921093834798513
2000,0.00902054638407572,0.36187975514065474,0.6248822141245199,0.47863320343148796,0.16090648050108375,0.034810406103430176,0.021047710810011683,0.15577374526896098,0.16644235912441913,0.4920155768721088,0.8533305675745582,0.7585946902354542,0.34029746849347225,0.15527929163031398,0.18788885042156997,0.17318943354097627,0.17017343633145585,0.1792624315985619,0.30927683157333125
2100,0.008591057069994875,0.3500197943984505,0.6258463985481123,0.40164413728878134,0.16187648947229788,0.03157318654602011,0.027198917434580493,0.1451528775333714,0.19099411753315482,0.48428600354631046,0.8863997218273942,0.737295314578697,0.3326996897095344,0.1562975605469733,0.1848492249160082,0.17353256181469484,0.1641588225434301,0.1834232183779986,0.30909334008179007
2200,0.008311513626575734,0.34892603579757164,0.6146641201334504,0.4187362389722604,0.1684854396998788,0.03041242501361254,0.03418028871200065,0.12806877593717975,0.1991658137775746,0.5252480359447216,0.9372842701491243,0.7215114922074206,0.33516423598740835,0.1528813611773557,0.18230030253397586,0.17851161542592514,0.15372876838853325,0.1946588426048842,0.3085596205617499
2300,0.008286065036906149,0.3410635922726456,0.6211143734967759,0.4057318342354073,0.16695036955582773,0.028918379594019265,0.056062743679188856,0.08777349707429921,0.22058087317441902,0.5805313662996084,0.9340597446430075,0.6853791848769571,0.32557246401692774,0.14676867524363357,0.18020431418507088,0.1801013634295482,0.1507466515237513,0.1909899153935072,0.30904211481788496
2400,0.008455725923818214,0.3368607402856288,0.6068577161353841,0.34470916777831895,0.1791597414642833,0.03853870408515643,0.05444179089038156,0.08378345759890221,0.2057216462586187,0.5629378579670437,0.9689263165277674,0.6473971058583222,0.32981764933057,0.1455446752623426,0.1802747328616838,0.18142297492230716,0.14764239798912765,0.20020234095154923,0.30897998313610453
2500,0.008272156448052147,0.33727980544161895,0.5982550957846794,0.32007418187143455,0.1768987866326902,0.0336816412581943,0.07437382782539281,0.0959779789377733,0.25099616847438694,0.615406952510414,0.9625956221487264,0.6067961175675572,0.31948023504274414,0.14329156763739098,0.1750209264256988,0.18123184600452996,0.1416178415660755,0.20638986090633418,0.30939590232152125
2600,0.00829905867454945,0.3327331381363316,0.5920119506352203,0.3193141748450165,0.18119166487138816,0.036471880739538526,0.06772599175334539,0.07754186909637836,0.27612911690846853,0.6649763039023324,0.9910219205982621,0.570008694157934,0.3186143252821346,0.14460892705239176,0.1756824199383095,0.18237678340989033,0.1357411914099848,0.20039013174609538,0.3096306834298674
2700,0.008064651229508094,0.3227872064336971,0.5995745342299087,0.31715454355111566,0.19105322662548047,0.03500711676531158,0.086797416449264,0.052712168068384455,0.2927148769881193,0.6890078746361817,1.0061839424396406,0.5584025680477024,0.31756224525366167,0.13577897743004583,0.17194506231230672,0.1802913030403293,0.1307813088289711,0.2084543115341996,0.30952970293002025
2800,0.008166755043621809,0.32620205767444893,0.5817439984953748,0.29116208472439303,0.1877276710761184,0.03710282016329694,0.09560164902679272,0.04142338654817553,0.3061774925275148,0.6679071548429583,0.988511178044966,0.4826230145966053,0.30962187284916737,0.13233684444030475,0.16960926791158457,0.18023961834335311,0.12549145001071266,0.21118299970752744,0.3100746057911744
