milliseconds,s_glu,s_pyr,s_acetate,s_acetald,s_EtOH,x,X_a,X_AcDH
2100,14.998378111652894,0.001002839366499878,-8.651299924716491e-10,-9.583634491196923e-09,-1.183143686361591e-10,0.0021337430614202994,0.212315569289061,0.006481257843579352
2200,14.99802315327915,0.001145947973653032,-2.224184519416437e-10,6.656489067330117e-10,-8.590468012995519e-10,0.0021286451852931916,0.22454600928111476,0.006493101664709505
2300,14.997704872385619,0.0012363912621821164,3.2463682023928306e-10,1.8343325906635105e-09,1.0368369979097179e-09,0.0021854631425963873,0.2231212332290671,0.006503418792946946
2400,14.997846003104817,0.0011464728337201933,1.1487698452912095e-09,2.4716554318178727e-08,-7.668984200605627e-10,0.0022325620138121042,0.2204663888553009,0.006381303955233752
2500,14.997627665043563,0.001368451964211286,-2.0741378437526891e-10,4.922872076236852e-09,-3.3111806424307344e-10,0.0022109327623900926,0.23639026055560677,0.006381446810192382
2600,14.997408872109403,0.0012595893802098506,2.7731691179891933e-10,-1.074613799624121e-08,3.8076287530325436e-10,0.0022713603752973583,0.2480682796086397,0.006271707996150481
2700,14.997481589703968,0.0015600523742940677,-1.2319315752677246e-09,2.5576545528485867e-08,7.576345002883893e-10,0.002285906798138422,0.2400723079473606,0.006182886118092353
2800,14.996956511908735,0.0015573056503498223,1.5229113542647762e-09,1.432782209608008e-08,4.8689649838341204e-12,0.002283735605934785,0.2622733304363073,0.006231260718686025
2900,14.996815303320219,0.0015964423307155502,2.1495329932765181e-10,2.0554387382561168e-08,-4.4442129676082835e-10,0.0023288502755802786,0.2671335675486642,0.006074418405132882
3000,14.996638260105124,0.0018092185472851781,1.5554520592850168e-09,-2.0641129552579933e-09,-3.1679118685677124e-10,0.0024066205110182875,0.2681866234219899,0.006138397894321077
3100,14.996545493635551,0.0017524801051909367,1.3639433388149014e-09,1.2878765120093662e-08,2.6247162589312027e-10,0.0023882809040685063,0.2692079116318505,0.006023110437439789
3200,14.996515084630094,0.0017858665081885118,-1.4737281825621345e-10,4.246209901303423e-08,-6.885875245454046e-10,0.002454114372327073,0.2775073459392703,0.005977207350351727
3300,14.9961696683182,0.0019802994582825218,-6.082294766168671e-10,2.1727972883518526e-08,1.319641233431462e-09,0.002480511347590054,0.2789939628290474,0.0059870840065742
3400,14.996245450914307,0.001994134461292046,9.412404957857963e-10,3.398633346361275e-08,1.000670964689008e-09,0.0025334639877470848,0.2866467238737901,0.005865047312285945
3500,14.99582402864549,0.0021580338469618615,-5.3834634445666854e-11,3.390738663336463e-08,-8.220831078412233e-11,0.0025503485477654875,0.3055760788965097,0.005893717465714879
3600,14.995804904635479,0.002225917753981444,1.3195094029264603e-09,7.249805309929465e-08,4.819324184733418e-10,0.0026202774264212727,0.310786476118268,0.005840801244416599
3700,14.995413478486109,0.0025050785630143482,2.50905981098304e-09,7.133577394465291e-08,1.9777031409145956e-09,0.002599504636072415,0.3187684603752208,0.005751989305478987
3800,14.995104894571861,0.0025353503418375483,3.925569887004802e-09,9.097162081443622e-08,1.5089268972281191e-09,0.0026415299393154337,0.31614773695751247,0.005658923095507583
3900,14.995170797242242,0.0026004886394104874,5.0317015214621795e-09,1.1140912076644046e-07,3.1728076060721683e-09,0.0027488250658160625,0.32400197342287235,0.005658823052305261
4000,14.994937396116883,0.0028114459949256723,7.036198459324016e-09,1.424951478981565e-07,4.4205447911695665e-09,0.0028060684863712346,0.3348220995445903,0.005693532758109603
4100,14.994763755179328,0.0029741696146418123,8.347182505956834e-09,1.7941419229983818e-07,4.08451922843321e-09,0.0027990164880954517,0.33899350153312846,0.005625896722778522
4200,14.99450178359463,0.0031423860812183767,9.408572778417837e-09,2.1813245691583073e-07,5.724414872989325e-09,0.0028590938923131705,0.35045271480190643,0.005580978281860643
4300,14.994139625900107,0.0032239167705945104,1.2885634473574411e-08,2.4160030019794183e-07,7.094665628065142e-09,0.002963714003323612,0.3573617443854487,0.005481380641521654
4400,14.993705546049421,0.0032644743359168805,1.677301820353988e-08,2.9571655195360207e-07,9.95329906546872e-09,0.0030156499570139638,0.3548967219900355,0.005416975634057168
4500,14.993536164242661,0.0033839662479706782,2.154541204604353e-08,4.015900256167258e-07,1.4362125853987197e-08,0.0030790885833101972,0.3724745669656978,0.005421432126463408
4600,14.993394228369086,0.0035716102531462143,2.6792281081157115e-08,4.724576862367622e-07,1.8486250389959948e-08,0.003202040052791823,0.36910495254593023,0.005450222786702372
4700,14.993135624301553,0.003856528538615038,3.4970902543351e-08,6.191755351438908e-07,2.2909362337325875e-08,0.0032721282533412096,0.38079861540794674,0.005319958445344015
4800,14.992454459933274,0.0038732500464229063,4.7238260996720384e-08,7.668595407381535e-07,2.9705175286073086e-08,0.0032851371138392558,0.38936977442804,0.005376853916361171
4900,14.992223098140526,0.004184731288597211,5.926872785594728e-08,9.191522217368565e-07,3.824874526978268e-08,0.00336398922999945,0.3899164181980329,0.005286036378445503
5000,14.991779339269945,0.004315086895448208,7.725704060327721e-08,1.1611116959344965e-06,4.9456801335722366e-08,0.0034942727080292607,0.38926430516295474,0.0052397543850746485
