milliseconds,sucr,EtrioseP,Ephe,N,starch,Next,Enitrate,trioseP,Estarch
2100,1.028650814625531,8.402936535868763,0.055564014783621676,4.9905548181120505,9.058808597532773,484.7111371862196,0.07727469188902045,0.5454789069326591,2.994280434581189
2200,1.0296269762793435,8.397642749766163,0.13825267195964477,4.99031026089874,9.227774150738144,483.7435105630177,0.07741493033431374,0.5464222229092461,2.9620326261488277
2300,1.0389599848003384,8.398678628774526,0.17291931348167983,4.989725036599625,9.371832768128735,482.75870427434074,0.07738964191990703,0.5524244067989877,2.940886894053
2400,1.0417434784181963,8.389160739590784,0.22128607702609002,4.989241701004162,9.719007517360382,482.0382744978016,0.0776567202083967,0.5480333414686127,2.8188466990080183
2500,1.0427575892455148,8.386940122909296,0.29365787427334356,4.988743698484564,10.121909721247421,481.3155222545515,0.07766337750672901,0.5504345860899699,2.7941283331079414
2600,1.048323064134024,8.37998447283087,0.3385450299370798,4.988133038552353,10.442752209334543,480.9606599183257,0.07787757116517703,0.549871554453585,2.6974667456087804
2700,1.0528306146669868,8.374718934802884,0.41613568262115136,4.987666614160813,10.421068007431558,479.29539214689083,0.0778712636182349,0.5466023051415417,2.680697927272045
2800,1.0481488603859384,8.374726121290413,0.47966169638577777,4.9874014719566535,10.863476100861577,478.6551690389825,0.0779653082353708,0.5491337451681242,2.547875760724542
2900,1.041526086689054,8.373124991601017,0.510108534668757,4.9869407307247355,11.406878864658188,478.62443502270236,0.07821763727844962,0.5474891606137904,2.5018463440214624
3000,1.0415754047015875,8.365405714716054,0.5633042288922296,4.986732160979887,11.465450711329053,477.37528842049124,0.07835498473318626,0.549053190483841,2.4368216709185737
3100,1.0450704815689578,8.359421331440087,0.6644775741631548,4.9867636362284165,11.754885494202908,476.3329223002256,0.07836882650544628,0.5504298272961405,2.3811224078144027
3200,1.040219035918126,8.358876110586792,0.6913099137390899,4.986772535459163,11.786780542875318,476.2835461473184,0.07859788169285693,0.5514723685527894,2.3236662536993093
3300,1.039331952122874,8.350311328690244,0.7671712689899772,4.986783539626117,12.206713215357537,475.6844403080448,0.0787578956888251,0.5512014424618856,2.2555863993656713
3400,1.034370013494294,8.344530764811411,0.8044327928023484,4.987015634023773,12.323613668426779,474.0163357674533,0.07878667095529938,0.5504179349765822,2.1745436245915912
3500,1.0365227286892356,8.347601934199107,0.8828209128322105,4.98735256923424,12.984963922715274,473.81062974730764,0.07901359349496655,0.5504627307164351,2.106326842945347
3600,1.0338835693635837,8.338690252059363,0.912039616474302,4.9874515633962755,13.268189562327622,473.59437403883027,0.07913093736689226,0.5541866274333718,2.1043131827505004
3700,1.037022004681318,8.335796776913469,0.9470380337229509,4.9875384864900765,13.473180890192431,472.51925832572465,0.07924647471999031,0.5531492079638586,2.018964251009024
3800,1.031815482151881,8.337352733662367,1.015528039204498,4.987812742719569,13.647558574520744,471.075193077171,0.07930672693364904,0.5495336794480293,1.9437687988298489
3900,1.0256574604561666,8.33243999805589,1.0510219807001688,4.987865908735374,13.896617951962781,470.55431843034614,0.07947250626601592,0.5494327726813443,1.9532175470075517
4000,1.0278381166225814,8.331610290871645,1.0890164244423295,4.988034501408687,14.303547443663268,469.66076224577006,0.07960972368015871,0.5504535806206755,1.8812822506689144
4100,1.018446383225582,8.327585524962354,1.158927353967568,4.987905746790204,14.47830191336342,469.0018017956907,0.079723064167316,0.5512204587042989,1.8086056085798539
4200,1.016864591127779,8.321460320513665,1.1920157201573813,4.98774123592908,14.985064053677267,468.0376490006315,0.07981255755562974,0.5496022959890238,1.8117551388734519
4300,1.0177475322115979,8.323633453455116,1.2014392729406758,4.987670100032419,14.834557163346235,467.733145982932,0.07986801496790816,0.5509337081005807,1.7943920868826984
4400,1.0227626455240968,8.319333812897472,1.2649041122043014,4.987797800857555,15.543566207353889,467.1615853646758,0.08015557743259216,0.5493523106812712,1.7365243353163178
4500,1.0193379464541341,8.313717756697125,1.2988923389748783,4.987426596458345,15.791132182907184,466.1284201841882,0.0802095615163478,0.5515947685332064,1.710852482829877
4600,1.0114648012611944,8.313146100649881,1.3216364755809389,4.987537312364118,16.150026204517644,465.358972994126,0.0803134286879512,0.5540769613717359,1.6097583891133482
4700,1.0178608664999718,8.312211804993451,1.3151313508634168,4.987411130291825,16.36833689934275,464.7594537368919,0.0803983317963611,0.5484076912102815,1.5764255907154658
4800,1.0134733892191357,8.310732004696504,1.35621937434649,4.987014455933791,16.457818960481585,463.54841470232844,0.08065276561190717,0.5509639007600634,1.6029126910726703
4900,1.0128422055128654,8.309533757458246,1.410051479563704,4.987110455291928,16.83681802896956,463.3327603525206,0.08063868290872125,0.5526322496644261,1.523129129447611
5000,1.0053725835623386,8.314691225008687,1.393914052335328,4.986957305273043,17.137202724526126,462.5197184786817,0.08082745003919857,0.5508691949350741,1.5276610714267598
