milliseconds,S_d,E_d,I_d,R_d,S_h,E_h,I_h,R_h
4000,27513876.051148947,1312087.2764130284,1988409.9081819756,2507766.3330121785,1336034384.759545,860.0700427540975,1071.748449794436,3910.575084662224
4100,27199939.737429045,1366880.6629367226,2089691.4361316331,2495837.3125909953,1337173471.793225,906.3258524353055,1135.5021561092958,3582.767201428355
4200,26876410.253005594,1421390.0644878098,2193042.199985584,2482875.7542940383,1338312171.0814285,953.7963165641053,1201.7734770850886,3288.652099159714
4300,26543744.520685907,1475325.6751879985,2298152.454152542,2468903.7756312652,1339450485.7246616,1002.3649187962346,1270.5057531304788,3025.0737861839384
4400,26202480.798305307,1528386.112583946,2404676.8280618936,2453942.9573957953,1340588418.5759585,1051.8979371821595,1341.6213025288102,2789.171023847541
4500,25853236.184950326,1580262.0467016958,2512235.7508217357,2438014.99926817,1341725972.273859,1102.2445880210091,1415.0202100717345,2578.3483144445063
4600,25496702.808905944,1630640.2680811423,2620417.611467065,2421142.313913168,1342863149.2722008,1153.2374815488597,1490.5793367789954,2390.2496871754784
4700,25133642.724228516,1679208.1040210095,2728781.6523812693,2403348.5594760566,1343999951.8669562,1204.6934023169088,1568.1515894573197,2222.734969465515
4800,24764881.495836206,1725658.1008788866,2836861.6216357057,2384659.1057622214,1345136382.2201042,1256.4144408773027,1647.5655025182948,2073.8584390601427
4900,24391300.60749968,1769692.8344595027,2944170.124671671,2365101.434148528,1346272442.3807802,1308.1894681268388,1728.6251634410867,1941.849542411607
5000,24013828.801208515,1811029.7235306313,3050203.628622004,2344705.4681200036,1347408134.3037605,1359.795948417989,1811.1105179271444,1825.095542257283
