miliseconds,Ras2_GDP,Cdc25,Ras2_GDP_Cdc25,Ras2_Cdc25,Ras2_GTP_Cdc25,Ras2_GTP,Ira2,Ras2_GTP_Ira2,CYR1,Ras2_GTP_CYR1,cAMP,PKA,cAMP_PKA,IIcAMP_PKA,IIIcAMP_PKA,IVcAMP_PKA,C,R_2cAMP,R,R_C,Pde1,Pde1f,cAMP_Pde1f,AMP,PPA2,Pde2,cAMP_Pde2,Cdc25f,Ira2P,Ras2_GTP_Ira2P
1000,19619.71908275918,-0.6033960301530283,168.6919647313303,5.887455100635732e-05,132.23916817546618,43.28314806269262,166.67470567083237,38.39927994200134,195.2647310428288,4.707168229718574,-6.80051125755093,2499.9618943428522,0.1897792774387777,-0.04170912229015781,-0.00018340358741358672,1.0541399116331143e-05,1.8627441590932382e-07,-2.93147111139143e-06,1.180373852861002e-06,-1.3860233262921323e-10,1399.9999999975105,-3.988580794465297e-11,-9.651074966514193e-10,-24.371980608780458,4000.0,6499.519349166904,17.83783582929957,1.4605746053285785e-09,-6.962303923098016e-11,3.0211581296468164e-08
1100,19602.203729585202,0.3230898818276172,166.3141184206393,5.866116258264909e-05,135.78322501440195,48.45571689896303,158.02742285016234,40.99206953945822,194.58095635415694,4.5596364701421255,63.1956056216344,2498.94898515651,2.361699510979318,0.004124840990826106,-0.0001610200217235188,-7.906716512566268e-06,2.6821459550450334e-06,-3.6385022422674293e-06,-8.597038442835272e-07,-1.1030414636683544e-11,1399.999999997546,4.558573586217611e-13,1.6262432257488344e-09,27.53765173734311,4000.0,6479.949045007597,6.096682929859143,-1.0812315468694548e-09,2.1060945209151924e-10,1.157622361444946e-08
1200,19590.485824690568,-0.015846917565383284,164.44309107713343,5.867946060798322e-05,136.92405106945628,56.47940183379003,152.5398459266834,49.35676622839384,194.24486005643078,5.973783074248665,94.97843827461956,2500.396743994251,-0.8970476947376154,0.03936202470554756,0.0007211110584413907,-6.761757615682076e-06,5.216128468090057e-06,4.7090329596423576e-06,-9.205341663986863e-07,1.1446217057073622e-10,1399.9999999982851,-5.4650485188934025e-11,1.634684280254e-09,-8.289556185642674,4000.0,6476.866139872727,16.70096838255868,-1.1786843221279622e-09,6.778858508571125e-10,-4.476298188516835e-08
1300,19580.733239724457,-1.7040768342769828,159.93989171404084,5.880968734279567e-05,137.49990509753314,56.885781888156124,145.43550171647263,59.89642483235524,194.40016408304973,7.591821094648849,129.87367207100024,2498.6023712211795,-0.5214100173551554,-0.02917705009099248,-0.0008074772156144018,1.8923560389530447e-06,1.112228478086436e-06,-3.6129835394205854e-06,1.0007357192633733e-06,3.4362170591020855e-11,1399.9999999970914,5.384058280788592e-11,3.2219974534603207e-10,-4.343886834562856,4000.0,6478.857393447114,15.410061429993231,2.1013507510956018e-09,-1.491387972813853e-10,1.7401197910662911e-09
1400,19572.286254608673,0.16019080865493335,160.17178252398296,5.825744964950961e-05,140.8542194104119,64.85366517310928,139.0555053873842,65.14419430746919,192.89417541316203,7.698408227098951,183.73882093479864,2498.880514973729,1.735333053944447,-0.014904564517805648,-0.0006080181842163227,-2.529790914973224e-07,-2.0139529164667126e-06,1.608051988755574e-06,-1.4722389603549046e-06,-1.225726037713611e-10,1400.000000000007,-7.241249906076776e-11,2.1559026078926534e-09,2.253583900505479,4000.0,6493.841337841753,16.65719371185667,-1.5913218638142552e-09,4.215551180705689e-10,1.0748818243335234e-08
1500,19554.394535469233,-1.443512609290238,159.52990991701472,5.8549079197694916e-05,141.15765442055272,66.56857092468222,131.07870448708778,71.68489227771114,191.64094403558025,10.250694700459725,239.49396460689857,2497.330615026345,1.470391835021823,-0.00507419605907509,-0.00018426824964512816,-7.955135436649249e-06,-1.943003554106392e-06,-4.617132170413582e-08,6.257583358350528e-07,1.1553790812493762e-10,1400.000000001773,5.600722490041744e-12,4.4220873991141194e-10,31.496009769022873,4000.0,6472.541660463182,23.079038040184834,-1.4577876443830483e-10,-3.850704673224434e-10,-2.085542080671093e-08
1600,19539.819358894856,-0.8654886744830628,157.4821086483823,5.8666123338123715e-05,141.5184055174275,70.15308950447795,124.52612052204492,78.99976372334991,189.68663522391407,11.218846717954113,163.127874421219,2498.661930624304,0.9602273546221791,-0.02983875117085587,0.0007937373949850276,-2.3070109636713013e-06,-3.162156356651684e-06,1.5152268275911065e-06,-4.1875389436711975e-07,-4.122556605094667e-11,1400.0000000005296,-5.508723723735356e-11,1.1250369815029872e-09,-5.287999339123232,4000.0,6481.917998182821,24.34613462657775,-2.0036067055164775e-09,-5.949640719281875e-10,-4.229499833977398e-08
1700,19534.630130572506,-0.4488285711244424,156.29562746458643,5.849699916100051e-05,142.63242963824945,74.29226066153511,113.46232912201823,83.77673876521249,188.0225485125284,10.443686061853425,253.7773851030731,2495.3671794259008,2.6777478339679264,-0.03634895206860565,-0.0002947008858816821,-5.82549685215065e-06,-4.841393777758668e-06,-3.8008997494625806e-07,6.964172144781537e-07,-1.2741968012339135e-12,1400.0000000018738,4.473950602877527e-11,-1.3451112595947425e-09,23.77421237237691,4000.0,6462.129478293647,29.00304625216939,-9.226035041414247e-10,2.363823385892295e-10,-2.4194902178528613e-08
1800,19524.41961510165,0.018351460567386995,155.17731967479966,5.776964056083258e-05,142.2462295396051,80.30079116524136,110.77529987462721,93.54249441904393,185.94870740480712,13.345692983520959,281.25525625832915,2496.610092950253,4.163012440611573,-0.023140154488990452,0.0008696283032197597,1.0555828764965619e-05,-5.985753905070253e-06,3.2599336269975157e-06,-5.16698520763463e-07,7.605277441010713e-12,1399.9999999993845,6.578341466110015e-11,2.457457819866395e-09,47.732766683464604,4000.0,6465.730356581006,49.49583498239509,6.016284711643975e-10,8.136669944354668e-10,-1.6601628758939187e-08
1900,19497.94431466741,0.9067527070576032,154.569242319875,5.7940549473328095e-05,142.7848880634996,81.94463744068084,101.3853026337018,95.36270084911868,186.58936095135442,15.224321219943459,382.18160810454924,2494.799692193927,2.4151788311551075,-0.03868869921799103,-0.00042575547867402576,-3.0231716299680994e-06,-7.700611016754505e-07,3.9749925468391875e-07,1.0481077263652282e-06,5.875170104594969e-11,1400.0000000027903,-7.165948009225368e-12,-2.0459424242472702e-09,26.67088150184364,4000.0,6454.095573682806,42.43818841509957,-1.1551823092142139e-09,4.749585588006985e-10,-1.6941476642992615e-08
