milliseconds,mLiver,mKidneyPlasma,mRemainder,mPlasmaVenous,mHeart,mMuscle,mAdipose,mBrain,mFeces,mUrine,mIntestineLumen,mPlasmaArterial,mLung,mPortalVein,mStomach,mIntestineEnterocytes,mKidneyTissue,mIntestineVascular,mStomachLumen,mKidneyTubular
3700,90.65512081649653,9.662246816097621,11.046081472678823,13.672745179089397,34.285634573952116,64.07143992165872,11.45488780012073,11.002021639787268,3567.391000392991,4803.843553857929,1166.4062771897486,13.679040440452338,41.030258230208446,16.420184372727306,44.34029757246101,6288.976898071806,58.935041458534194,82.83852498316958,5.323806954425709e-09,575.7708701075362
3800,86.85890283090792,9.271771295278347,10.603068285932295,13.122920933539591,32.90800356057124,61.63813608065873,11.021154183950573,10.560287765662842,3587.3824626377595,4894.1278696143445,1084.8028992590944,13.129030258994474,39.38043036920552,15.728046248137279,42.56375753471753,6048.537275475045,55.988290247859815,79.27238066011829,2.4161746565673655e-09,552.8914005801773
3900,83.19493198189195,8.893233259408701,10.173289997227826,12.589694792202812,31.571831466501354,59.26155603097063,10.59737358287683,10.131807922617469,3605.97517697358,4980.803868976873,1008.8991155425296,12.595615932015312,37.78039252798383,15.060528591721132,40.84008301989346,5813.502592517168,53.18716568863383,75.84139425476585,1.0966544877474365e-09,530.6692392733614
4000,79.66155752681338,8.52671977361037,9.756881601682757,12.073207598805029,30.27749123790949,56.94479196281392,10.184119657080183,9.716707845516389,3623.267019883409,5063.97769126144,938.3164202536722,12.078939573691077,36.23056966362476,14.417249707226173,39.16984747442817,5583.745805175835,50.52567986268008,72.54235172905825,4.998376096105083e-10,509.1156063604374
4100,76.25668578077901,8.172243626014373,9.353891270120076,11.573495374314781,29.025090967213753,54.69020948264637,9.78183421014145,9.315027668067401,3639.349338151272,5143.756860889782,872.6980967754479,11.579038304969213,34.73107193940387,13.797756202585308,37.55327266178555,5359.180836590922,47.99775415450036,69.37180423267588,2.3039961214230868e-10,488.2367259022774
4200,72.97785488568525,7.829753710415747,8.964292140964675,11.090503712925196,27.8145101434215,52.49953450593132,9.390842887405752,8.926733601474764,3654.307325181081,5220.249541559706,811.7080193828801,11.095858665405727,33.281737943015095,13.201535900725855,35.99027623518561,5139.758380045981,45.597304969133226,66.32612300923307,1.054921408294982e-10,468.0344893891565
4300,69.82230204435822,7.499144352735331,8.58799293742018,10.624100738267844,26.645432281633788,50.37393145603109,9.011369305458516,8.551728447883546,3668.2203761952906,5293.5638979451705,755.0296253948112,10.62926958394507,31.882173583028926,12.628029419593576,34.480514577208716,4925.460993848671,43.318311484485356,63.40154850917188,4.9269196218442324e-11,448.5070493386554
4400,66.78702407899178,7.180263719020821,8.224847572188681,10.1740888173021,25.517374428971422,48.314074134780135,8.643547858705775,8.18986110901804,3681.162426544618,5363.807547447128,702.3650093690956,10.179074106276191,30.531787256276342,12.076640581240659,33.02342156191006,4716.297792175246,41.15486677956944,60.594234345459036,3.0302310845575446e-11,429.64935783299086
4500,63.86883477098989,6.8729217852902655,7.874664278747799,9.740215691001529,24.42971520671638,46.32021321423498,8.287435916107585,7.840935624424293,3693.2022822900067,5431.08705340664,653.4340663461521,9.745020538671554,29.22982326502688,11.546746226352848,31.618245411803436,4512.299025096158,39.101218303145394,57.900288482131565,2.2288396578551375e-11,411.4536807558683
4600,61.064411960977445,6.576896958211825,7.53721323051516,9.322183747466998,23.381718183329365,44.392233007261694,7.943024082801467,7.5047187081905955,3704.4039265918773,5495.507548320691,607.9737823300238,9.326811732699106,27.975389658477905,11.037704220598801,30.264079468457115,4313.510380260642,37.15179588835048,55.31580628694613,1.2052364274439905e-11,393.91001987353087
4700,58.37033861792783,6.291941948588502,7.2122332962979465,8.919658234237108,22.37255258076469,42.52970230303644,7.610245390763612,7.180946428033072,3714.8268129310027,5557.172426157464,565.7375658951206,8.924113308218319,26.767482890090506,10.54886040587302,28.95988948698101,4119.987526602018,35.30123397142081,52.836898775618934,3.0195721380606425e-12,377.0064877036555
4800,55.78314094392494,6.017789231378419,6.899438382770565,8.532274965013803,21.401312708897663,40.731922517446286,7.288984005484112,6.869330474900998,3724.526152170375,5616.183062847996,526.4945691439752,8.536561370336234,25.605010957304355,10.079555029011722,27.704539266655868,3931.7910830971155,33.54438015536316,50.45971840898796,3.736377347631722e-13,360.7296720083616
4900,53.299322002843546,5.754155963440004,6.598523154845196,8.15964725936213,20.46703547562542,38.99797163314278,6.979083173599466,6.569563814411278,3733.5531893199345,5672.638582438052,490.029024074482,8.163769458948662,24.48681423943193,9.62912833680155,26.49681377778803,3748.9819593294897,31.876311282974928,48.180480885558254,1.684045709026577e-12,345.0649528141183
5000,50.91538932227843,5.500748206968002,6.309167930114656,7.801371860619616,19.568715334190028,37.32674254757053,6.680352162299213,6.281325515886361,3741.9554661458196,5726.6356848552805,456.1395894686653,7.805334475963995,23.4116832691746,9.196925091534052,25.335438970842706,3571.6172783767215,30.292321498907146,45.99548183168782,1.95815602855446e-12,329.99679029068807
