milliseconds,cpep,cglcex,cg6p,cpyr,cf6p,cg1p,cpg,cfdp,csed7p,cgap,ce4p,cxyl5p,crib5p,cdhap,cpgp,cpg3,cpg2,cribu5p,accoa,malcoa,fer,fer_ext,fercoa,ferdicoa,cur,cur_ext
1000,0.755111236863218,55.439166564027296,4.313239744830769,5.673967967849452,0.7329672502600573,0.6618671364038012,0.8399651178238814,2.2352990377384696,0.25681756630636454,0.5072605229367295,0.17755392988902544,0.21497427627709506,0.5154738201292995,0.48836840561740286,0.0027194034302942976,0.653340648874946,0.11802105386121507,0.15511587094261722,1.9864482853421184,-0.01820424466861408,254.14013175877247,251.25345849168815,895.024536168433,0.00033774565777715607,0.015574717029813183,0.015525283114983354
1100,0.6362500129608553,55.43253021721301,4.222760933817361,5.649088335941014,0.7210903702321466,0.6596792449501773,0.8423797441661767,2.431573572543077,0.2486493595647874,0.5135571927820399,0.17862898460429588,0.21020563528101913,0.5231014336361318,0.5073682375028311,0.002257522482597653,0.5646258786824611,0.09530902022441726,0.15391620050664126,2.205765028740075,-0.009658148972404348,250.5845226965623,251.44397307443415,1158.0102923596507,0.0009541752729316747,0.015447523942032018,0.015424839990209176
1200,0.533099174303601,55.429407278079886,4.128953843137545,5.736601586332742,0.6971863795975954,0.6599524002700863,0.8445562389017411,2.599388537872105,0.24475513177853467,0.5172788275739318,0.17800877605072407,0.20662278951128935,0.5293654107985118,0.5318775411336154,0.0019166490804829693,0.4665752598205861,0.08172852302224903,0.15399312476639412,2.226280496251273,-0.0014571256819323171,253.54423909686915,250.12561192072894,1113.8300538449005,0.00012686771942523246,0.015846515100417118,0.015737550904098525
1300,0.4059402260485121,55.42831219246782,4.022428124454188,5.733477571337878,0.6761292542909615,0.6553547043053458,0.8440881170419211,2.739540354427236,0.23772430739230782,0.5144118705276274,0.17594278806423014,0.20046108323542208,0.5366110926414488,0.5512142812867789,0.0017075381556232963,0.39986463719583376,0.06609992365901377,0.1524079428613106,2.3279120027872855,-0.009845889357098202,247.91188159209707,250.22964828732376,1191.2198211737611,0.00041626280372709343,0.01610355221196379,0.0157265941583247
1400,0.3997680069126003,55.428740448958,3.8714258895703195,5.782255571907496,0.654347170268542,0.654716996441394,0.84507489736865,2.934673818886547,0.2332558537635949,0.4990156889482598,0.1756980113717593,0.1936489399755277,0.539810118561316,0.5758835384439829,0.001719258856306606,0.35103630762646854,0.0561499077476392,0.1507737880856449,2.391210939932903,-0.005820032834782952,248.81249666103463,245.05330198178422,1286.047385802598,0.0010772689789804056,0.01579337807248339,0.015816676013319004
1500,0.3595250849546453,55.423980066342494,3.8013882686476665,5.788449239925606,0.6445356788125585,0.6558980481557385,0.8459878729949144,2.973405234676981,0.23031465380055766,0.5017789057109677,0.1751554943573614,0.19020827847030033,0.541402296884154,0.5848906034246925,0.0014188912959402931,0.2804549087400103,0.05581021939710592,0.1489512142388595,2.581187475609664,-0.01396652049984632,248.53839784203095,244.74161507279018,1570.619823020229,-0.0002832886165648603,0.016096376127965644,0.016254167147293063
1600,0.258006179711083,55.417232420705815,3.731565482070155,5.736731915100503,0.6358413217416424,0.6518370220493769,0.8469991948960308,3.027269772072953,0.2278747602310068,0.4907239170964759,0.17314583044344933,0.1846885846206806,0.5363917062625234,0.5859573268195442,0.0014745156025555192,0.24982774475070765,0.05226346070580942,0.14735546581054984,2.619489648847404,-0.020286003758084096,246.15280142804173,242.27227298834822,1452.112861860446,0.00028799876296731365,0.01575709300791843,0.016302438489315597
1700,0.26411383445355907,55.42158782837247,3.6950518601218154,5.801741021539614,0.6280276354295437,0.6465643272648832,0.8461953803669212,3.033879176758452,0.22604712476379124,0.48607941616360106,0.17246234782322542,0.18161945200733068,0.5400162897475705,0.5837989128607551,0.0012838516824244884,0.23297813156683256,0.04353911907203879,0.14517731888098534,2.720277426534195,0.008994138337199977,241.9046067545262,243.5122661044568,1633.2246359147432,0.00031456960168534955,0.015728038761072406,0.016186221782649012
1800,0.2419185309573405,55.41851501284149,3.6505082389138517,5.850691048732955,0.6119517574479044,0.6463737323113106,0.8463840792567442,2.966844436981984,0.22660940531954332,0.47577120521665905,0.16823780902908464,0.1782090017956042,0.5326068310206984,0.580397952849783,0.0011574574744423812,0.2662787078371656,0.04765400353632415,0.1444341470771329,2.906902022576824,-0.01913019615293589,238.65721954216403,239.8941624704904,1579.5708483848396,0.0005924858751361441,0.016034800945372327,0.016075794333427873
1900,0.3001420289550538,55.41421560389204,3.566165053347047,5.821569912884672,0.6099659721366705,0.6445970482465316,0.8469603607405778,2.9488794132453258,0.22148806491216616,0.4711021838927919,0.17061627965658546,0.17843126681850163,0.5360159754158335,0.5783675305628534,0.0014095652793158571,0.2958685395339037,0.04272266408130907,0.1433941391389606,3.052989484098276,0.002047068894268676,242.459618482727,241.97677178572607,1773.5061643199647,-0.000252582917828518,0.016299895650206595,0.01595084568060725
