milliseconds,glycerol_i,cin,glucose_i,G6P,trehalose,F16DP,F26DP,trioseP,Gpd1,pyruvate,acetate_i,ethanol_i,Hog1,Hog1PP,Pfk2627a,Pfk2627i,AOG,gpd1mRNA,stl1mRNA,Stl1,AOGi,Fps1r,biomass,cellvol,glycerol_e,glucose_e,acetate_e,ethanol_e,trehalose_e
1000,0.09630885092006203,0.5613426164881411,2.646800667999102,2.447418545479772,0.0051608028562470775,0.15189038156295107,1.37848e-06,0.0983804537018735,0.04701229690975156,0.013126065046331804,0.5373310659095304,7.164780842036497,0.4420375669089589,0.012610116878369151,0.0,0.0,0.000709203510659678,0.006329121617078576,0.0009472323415905288,0.00010389421750780156,0.00603537992813005,0.8858750790000425,14.926483856916958,0.000240274010992832,0.0023630292059438653,0.12132233995799192,0.0023815829721651,0.012186341803183818,0.00016732605632465022
1100,0.09629093812294037,0.561318188515156,2.646297601757414,2.4470953138659794,0.005159636557774307,0.15168723180672072,1.37848e-06,0.09797755046689574,0.04700823351309548,0.013164401085562027,0.5372580241359723,7.164523025889543,0.4415000529512711,0.012598697419908485,0.0,0.0,0.000709204509054171,0.006326888702799801,0.0009486163402052918,0.00010415682954495922,0.006035381354394346,0.8591338728666128,14.926448140426402,0.00024028913545302933,0.0023630286588492166,0.12132245203394464,0.0023816038964624563,0.012186311699106663,0.00016732606432749583
1200,0.09628230074187329,0.5612018157678956,2.6464704801328365,2.4464325085836336,0.005158893392755696,0.15187217301237205,1.37848e-06,0.09735638128335818,0.04700819736851162,0.013015313432549783,0.5371753669768992,7.163503223952208,0.44128641926629103,0.01303005344445766,0.0,0.0,0.0007091981693166273,0.006326780442328408,0.0009490467726482525,0.0001042403221786278,0.006035383069112797,0.8649797268990015,14.926819014601614,0.00024036222747979188,0.002363029390177268,0.1213219189680263,0.0023816031374435634,0.012187553945908904,0.0001673260792998345
1300,0.09627413597877667,0.5611178040425205,2.6457544625410185,2.4467485682128745,0.005157796889685997,0.15235380568675239,1.37848e-06,0.09752137868546037,0.047006354923754455,0.012874155981326038,0.5370573559843188,7.162347848168142,0.4410307450547197,0.013145411646235393,0.0,0.0,0.0007091959902587322,0.006325536198460464,0.0009476057571714007,0.00010436864917317394,0.006035403794231713,0.8645859349949759,14.926900741290904,0.00024036747176832285,0.002363035243492552,0.12132218157197064,0.0023816209944474832,0.012188249377585472,0.0001673260773823229
1400,0.09627037970348185,0.5611224740100959,2.6452126422266953,2.445990947308604,0.0051576549304787455,0.15223458778745902,1.37848e-06,0.0969656376127143,0.04700564598336354,0.012782421882693056,0.5370679569029598,7.159786665394462,0.44080633195677954,0.013394030382393857,0.0,0.0,0.0007091867581959067,0.006324292913928762,0.0009497767719070676,0.00010451246914357977,0.006035403925039712,0.8502013612528485,14.927030602405505,0.00024039343310723686,0.0023630374259875193,0.12132169682430169,0.0023816501244773992,0.012188118313686172,0.00016732608591854802
1500,0.09626322260628425,0.5610768549385741,2.6453393688781417,2.4453284130816204,0.005156194180583711,0.15263908228896794,1.37848e-06,0.0968799238588243,0.04700405935190474,0.012691465866223762,0.5369206818850428,7.1585868380905495,0.440795749398999,0.013663925491209726,0.0,0.0,0.0007091686612453654,0.006320638310353733,0.0009506075723297603,0.00010444427160628593,0.006035401954496317,0.8555086553912651,14.927133033009216,0.00024041232298125997,0.0023630466683723047,0.12132151025923002,0.0023816507621505284,0.01218870744168653,0.00016732609241927146
1600,0.09625066174736142,0.5608772488499788,2.645256361319941,2.445704264417468,0.005156187608528935,0.15272446770936898,1.37848e-06,0.09657318260356136,0.04700067928940326,0.012645888720681517,0.5369189049060847,7.158551410500127,0.44020590082618183,0.013666569553921966,0.0,0.0,0.0007091676130013192,0.006318771807335496,0.0009526122244194831,0.00010466530036379682,0.006035405257906909,0.8467884662029957,14.927529972447982,0.0002404417429197411,0.002363051099208067,0.12132141529610267,0.00238168420480111,0.012189685949246087,0.00016732610345104493
1700,0.09623656250113297,0.560915281507995,2.644323331603736,2.445094451082248,0.005156238569081188,0.15267236631913025,1.37848e-06,0.09655755936705866,0.047000807322991875,0.01257638286957776,0.5368986390920466,7.156885059135629,0.44013437200483446,0.013948709580025372,0.0,0.0,0.0007091634324377388,0.006318031936497616,0.0009530564969848858,0.00010468830959556033,0.00603542761005201,0.8412569729329118,14.927527924256925,0.00024046702053370276,0.0023630518820960318,0.12132137882208852,0.0023817094241021172,0.012191097339843514,0.00016732610430058773
1800,0.09623189387602536,0.5608970344430674,2.6442764591770866,2.4446460146245945,0.005155394041220766,0.15303372295742204,1.37848e-06,0.09585674871144623,0.0469999961425341,0.012489402588385871,0.5368547381494616,7.155199004709897,0.4399784953435895,0.014252228206540112,0.0,0.0,0.000709162570400459,0.006317106757243213,0.0009528521070814399,0.00010492429112938323,0.006035431359202779,0.8329087333770677,14.927880541004667,0.00024052222455817174,0.0023630590205025322,0.12132122040363233,0.002381702091615163,0.012191612991545099,0.00016732610841397116
1900,0.09622101084352114,0.560805448524339,2.644344843907782,2.444347014971115,0.005155356066869934,0.15328531944746196,1.37848e-06,0.09550233334121305,0.046998560495106305,0.012459449104043863,0.5367725149207617,7.155673023421795,0.43960547017672025,0.014497084639365637,0.0,0.0,0.0007091457464546889,0.006314314805587683,0.0009535443396387919,0.00010476300263483063,0.006035433686575148,0.845688935977954,14.928025610781784,0.0002404996865417472,0.002363064280076523,0.12132125826521961,0.0023817050123661012,0.012191762807285268,0.0001673261214673117
