milliseconds,x,y_0,y_1,L,v,z_a,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,z_i
3000,23.362500246722316,0.02155658103805646,8.577053168296544e-06,2.6621816231286712,0.069684757688052,514.477143329645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.696248866951779
3100,23.03499955099655,0.029542859795800295,4.412124527981411e-05,2.597501781442166,0.04793719431808926,517.4213695011982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.30374873303339
3200,23.36312220056007,0.035929857901600526,2.6412091603214e-05,2.673557649121139,0.021390984228347343,512.7447417856358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.139458350298804
3300,25.965611342367033,0.017176884860714836,-2.2085973282788486e-05,2.643647332324719,0.05105199666991223,527.7625927702567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.030374226579928
3400,26.62834622372682,0.026006425204306058,6.233405068027499e-05,2.532523949523067,0.035170889626738894,571.5102714616182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.819626987910096
3500,25.980013240425897,0.01636325102353542,-6.198808113986451e-06,2.529762291441781,0.029920866376849403,608.8087180772782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.794618457749937
3600,27.93494621183408,0.015375210739363505,5.7258109125306664e-05,2.553681396966101,0.007262744353186263,617.1707928576865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.864021456460044
3700,28.571447692578896,0.02792080089877739,-6.704114059983266e-06,2.5260415921220063,0.030058173233145333,612.2730910363172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.616158774623392
3800,28.501097771502366,0.01944656487509329,-1.3090114213594357e-05,2.5097889326658662,0.032596520700878893,621.9835508767432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.013508074455185
3900,30.156211866251734,0.024564110458611683,2.812708405433504e-05,2.505353377677325,0.006406769632975753,632.6786723255134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.83372694105579
4000,28.871521391964198,0.02132599632418996,-2.9084421997254233e-05,2.4787837140087983,0.007931525761367964,642.0208762283785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.422298006440704
4100,29.658792835456556,0.020064406556790756,5.62188744180525e-05,2.4290187675037362,0.03290699585914017,701.3113000987789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.89369721214519
4200,31.572147599299587,0.018970543541851185,8.837563442475799e-06,2.4099697060202936,0.022454138984996527,713.8819114685566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.856154808554809
4300,32.13088587082029,0.01066265422773013,2.5601737621615932e-05,2.448330389192949,0.027209326941471636,728.7646817014701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.823467652950256
4400,33.12605640861852,0.01235157111195693,2.5612076034216607e-05,2.392382458846511,0.013711158739660471,731.1126540636392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.10119051866469
4500,33.715071862423486,0.010145924592852205,-2.180892540260797e-05,2.3216486422653415,-0.0013130969566633836,732.5565968487089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.596832367303122
4600,34.398068865235565,0.026979745503496584,-1.8507783730895338e-05,2.3093155047878575,0.007576153649028567,725.2814563041899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.722687661606555
4700,34.973619232445316,0.018107541244333274,4.298097600746999e-05,2.3088493196761837,-0.008096203817723866,779.340087650611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3139181678985
4800,34.906875968834335,0.024563240761658747,1.7507300232637397e-05,2.2946157539987038,-0.005104814363971252,769.1705203412745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.09018986238576
4900,35.55945482586757,0.00794441288976464,3.1710973925218996e-05,2.32029966208296,0.02891708240736357,795.9592435225734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.366385328307757
5000,35.66267645275296,0.009002835130262787,-3.1117393925518555e-05,2.2123009535498848,0.002077154892516599,770.8377486253353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.50585116944889
