miliseconds,X,Xa,Xa_ATIII,PL,PT,Va,IIa,V,II,IIa_alpha2M,IIa_ATIII,RVV
1800,4.752304590180489,5.025764883613619,66.82187496862977,4.743523609505266,5.248369309332382,1.5610023143407221,216.85449024040665,0.08712808751060194,82.35272607169209,38.673129167325264,161.51870369000858,0.3349999
1900,2.533367400851544,4.254964710457413,67.39225392053298,4.919042060221218,5.094840945739517,1.6265668910750417,210.36698689451524,-0.0303047215409554,65.86697750483503,43.006845395329066,185.65375697260396,0.3349999
2000,3.016557567233523,3.52473249886654,70.83814191983761,5.0419652854871515,4.833653972892531,1.8168068427154547,208.98169006723836,0.09708134947365589,54.02284255999889,46.024737709965954,205.9122332051986,0.3349999
2100,2.363713820288191,2.9674463002516793,72.5858104220692,5.283244305616936,4.777193300791187,2.0588128859631625,204.1504720033599,-0.049014749015864646,33.41979786224351,50.19021314796307,211.30141693202816,0.3349999
2200,1.5536402797801196,2.6071450881367384,73.80621355450309,5.569290721057349,4.438831512609694,2.1727708235739622,190.4907781922789,0.0906510131373018,31.15316947427748,51.34795005153091,225.45882289878455,0.3349999
2300,1.799370313390895,1.8694837197305023,73.99802393320837,5.757746695852439,4.298044210631901,2.345913081155396,181.92263731327645,-0.06677489495605064,25.40164787446758,54.77139311547288,249.958422354183,0.3349999
2400,0.17369698473012019,1.6529473089150972,75.50542029876497,5.970278777222388,4.141829727630507,2.7344108806130887,173.1832374997634,-0.08001262249789699,7.978065284731967,59.73486203358889,254.5622950390074,0.3349999
2500,0.45969542242615663,1.3656519434700474,74.24545306800864,6.1373166554822465,3.825786379671218,2.87666674084916,158.71056694808902,-0.023962738104008393,9.549999011786088,61.3463838992415,270.39885667700355,0.3349999
2600,1.1793795277538577,1.3193988016365448,75.27794016549039,6.29513717097128,3.5950585103996553,3.1155228965502806,147.40917842480644,-0.06752731388170505,5.07078289861176,63.361931503863765,290.43001196190266,0.3349999
2700,0.7158956288863847,1.0094891149155276,76.72161683140644,6.568494074679992,3.4573831653155764,3.3317269757772925,141.29454232191148,0.02953880245417809,3.0901550717356017,68.01294812039822,298.20898092484225,0.3349999
2800,-0.516593877029194,0.7425114405185127,77.65807583440748,6.882567756023308,3.2365797680093293,3.5107187986996204,126.47149125639687,-0.08385536026116802,10.447482530485402,70.63559900192446,301.72282238649524,0.3349999
2900,-0.9595292502916046,0.6849256261478538,78.34204371777327,6.9334376281217205,3.080714277842245,3.673518301292108,118.50116759779527,-0.002670389021894338,10.121836373358187,70.16747387868774,318.1428609850288,0.3349999
3000,0.23585588011825243,0.8305816335663108,77.28607347894409,7.168684373513372,2.8483945265933683,3.9578204721229824,110.49369837858235,-0.03239692522995947,2.9062498724324386,74.58852319523055,324.6528689519486,0.3349999
3100,-0.5001656160074254,0.5881773968756995,77.39185805457518,7.381828265335908,2.635591727917494,4.0098835246717455,97.92005626389975,0.016175532629697037,8.605471335705817,76.11658486820544,335.3580656494358,0.3349999
3200,0.21469156699230457,0.4202257525410697,77.75259121690164,7.467199221195324,2.445354020628295,4.14030003188942,88.22244291312896,0.04717886712168855,-5.56297813930624,78.47847876846318,349.40311094532365,0.3349999
3300,-0.7957132636890587,0.556734353988624,79.62799515203255,7.728619163097658,2.294780181630458,4.405407414059787,78.41070982486889,0.026105397104776485,-4.643438432936924,77.96404335787386,347.99295676746465,0.3349999
3400,-1.0637951542728565,0.558310479903599,78.36461597270531,7.754518104570465,2.1838251623869995,4.456832874516524,74.25434225229392,-0.02094935005757666,1.9466003398956793,80.04561254448726,354.37824374377095,0.3349999
3500,-0.6005234129626015,0.22966363449042182,79.47533618691244,7.907831901042769,2.1336608055622883,4.591268869077176,70.08246852857023,0.09114877891627478,-1.8478897247938775,81.32392549688483,364.6778529884823,0.3349999
3600,0.7291931618999228,0.32080642777149443,78.49339235203276,8.054178466117248,1.9705320118285314,4.7921607421839605,59.39561161464659,-0.009203623470951364,1.338167862371264,80.67979555037661,368.34201317451357,0.3349999
3700,-0.07673075540586094,0.15579844587488695,77.90562199234716,8.09206370177922,1.8697099454721584,4.962688878384433,56.617002845371346,0.04167183147919224,-7.866699433938416,82.16824703039063,378.292381095876,0.3349999
3800,-0.8826503123149909,0.44764486996992336,80.24212011408945,8.207972650349323,1.828558640147624,4.975613475166488,47.67321729595547,-0.08474497560961357,3.176105097685678,84.21953825789122,380.8748887022401,0.3349999
3900,0.10831207883697933,0.36426391546775005,79.83700613211403,8.426498581967145,1.6429830717331442,5.1599961471808715,47.862273796539746,-0.01502505998727048,5.644638730784922,84.80734490887687,378.7836949839593,0.3349999
4000,1.1438020858944529,0.26106592639660364,78.5478442276175,8.39882743762966,1.635699865382437,5.1546086358647205,44.58123250478959,-0.011509627795239223,7.598691986447728,86.22683413231414,381.81968288633703,0.3349999
4100,-0.6956773973727721,0.10830058877729846,79.91512141184866,8.569708287062912,1.4562736272865113,5.3136530032177465,34.34581083137039,0.04975901207332505,-4.1809815683007825,84.97531428724852,385.3233896254308,0.3349999
4200,-0.7076926925275615,0.20137491252783016,79.19904486931894,8.660308840087124,1.4195608476682036,5.232210746499479,33.178319403238234,0.014430078713992003,-2.8211864126134203,86.91343126406949,385.1083120281731,0.3349999
4300,-0.06388563854517341,0.10484403382715,80.84776566802394,8.632409067286812,1.3317656967111555,5.309615183066172,33.73729296445971,0.02904303910701862,-5.887101939191003,87.0854991224994,393.60425036295436,0.3349999
4400,-0.9296864672542653,0.19872342107198418,79.26671046941958,8.804148080705085,1.2041560840671601,5.351381932659841,29.51553543644253,0.015283495878520776,-4.594495434297411,89.4288235488581,396.10389834210446,0.3349999
4500,0.3326478269295174,0.26878125132734365,78.94254133823534,8.876665357309742,1.2365626726358567,5.420074144672792,23.23320830028499,0.0876375772392332,0.6031074083273696,88.65089003245006,393.58884780583526,0.3349999
4600,-0.29896274579008214,0.04163611672392782,79.06616267629917,8.930003054043215,1.2120116928848832,5.591848273770852,23.409110761980447,0.07412076365360494,-7.422320025050122,90.29786568425578,399.63063759041484,0.3349999
4700,-0.19981563869747365,0.20184125597073485,79.23939748855895,8.957179892097104,1.0018364706730005,5.55136966043123,17.514218850315093,0.09593833923723986,0.062345014859775345,88.51032312420543,401.5876701662278,0.3349999
4800,-0.6284725983989605,0.20736293355000193,81.31278550244205,8.939604452380115,1.100433848556767,5.778308569883647,17.856952330526582,0.07562854363884038,-7.668568642445092,89.8244397453378,407.153429320199,0.3349999
4900,0.039176125083311315,0.30124391704921666,78.93273714016603,9.02610016487242,0.9242145395773124,5.7352255269790255,19.237561910617153,0.07516317595377961,4.813555257672574,89.15575568292871,395.2431271840502,0.3349999
5000,-0.8819489540801944,0.12295973964206533,79.92861534161844,9.157328355187863,0.9274497108745797,5.7384008302144585,15.657151338719233,0.006091706992162109,7.3468798954824175,90.23183585566426,396.41941416572956,0.3349999
