miliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2
3200,4.999326505257154e-08,1.45428351153324e-07,6.726806912825616e-12,2.1530690315408125e-07,4.7275902751034165e-09
3300,4.9993302378858634e-08,1.4521034255062185e-07,6.714110898277664e-12,2.1516806880095633e-07,4.776647134603274e-09
3400,4.9993242852619084e-08,1.4511890397032342e-07,6.772077762727232e-12,2.1506659969737343e-07,4.925487463328876e-09
3500,4.999323093772068e-08,1.4487401967935687e-07,6.7539633231294986e-12,2.1491027247859926e-07,4.978534630666775e-09
3600,4.9993291144107694e-08,1.4489077524691453e-07,6.7342837276214945e-12,2.1471135653087082e-07,5.11041720113057e-09
3700,4.999327922615656e-08,1.4463065492755111e-07,6.691938160008917e-12,2.1471548926000878e-07,5.4335559361713806e-09
3800,4.999324707128404e-08,1.4452532060913276e-07,6.773476169450733e-12,2.1456321141947423e-07,5.490822109560031e-09
3900,4.9993279770344115e-08,1.4446977501634374e-07,6.745279407937631e-12,2.1437746704055082e-07,5.641016017817879e-09
4000,4.9993291499515254e-08,1.4420068425432437e-07,6.769229687864262e-12,2.1424655525554267e-07,5.708194977875542e-09
4100,4.999327414865395e-08,1.4419750865307193e-07,6.689533214942343e-12,2.1411029714986148e-07,5.952225603648403e-09
4200,4.99933060573628e-08,1.4393514973024077e-07,6.7256938643265214e-12,2.140623736028773e-07,5.933671530219752e-09
4300,4.999326046551533e-08,1.4383274624936326e-07,6.697925525385132e-12,2.1380287929941602e-07,6.219880007573465e-09
4400,4.9993269087309906e-08,1.4370374316733882e-07,6.761874079726677e-12,2.1370362670578243e-07,6.291681853068934e-09
4500,4.999325836841365e-08,1.4364126802847577e-07,6.6730270227651985e-12,2.1358574130220122e-07,6.423746393665916e-09
4600,4.9993267439093924e-08,1.433501946247648e-07,6.725676691453752e-12,2.1336382565553611e-07,6.47400709627562e-09
4700,4.999332360563605e-08,1.4331053034384987e-07,6.684358661638681e-12,2.1330457386240832e-07,6.669470364775026e-09
4800,4.999329057886445e-08,1.4308542232057085e-07,6.725438865554578e-12,2.1317885995095348e-07,6.884793959348416e-09
4900,4.999330139886476e-08,1.4297897764311267e-07,6.66027796213265e-12,2.130150541751006e-07,6.997863679288301e-09
5000,4.9993328771007884e-08,1.427800074694312e-07,6.6826447867539374e-12,2.1280100916138557e-07,7.107156114328396e-09
