miliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2
3300,4.999323187911293e-08,1.4516810136693313e-07,6.7151923916061815e-12,2.1513702809353898e-07,4.791272937537032e-09
3400,4.999322436583077e-08,1.4499207019679195e-07,6.7552344654810695e-12,2.1517768404146363e-07,4.909097223525794e-09
3500,4.99932364533241e-08,1.4484513166880813e-07,6.7761162800661794e-12,2.149372608302769e-07,5.090439043355423e-09
3600,4.9993252555032716e-08,1.4474691492903786e-07,6.752520514628494e-12,2.147283068613981e-07,5.246150584601849e-09
3700,4.9993235419280245e-08,1.4457084425772083e-07,6.688910452700148e-12,2.1472859532472575e-07,5.356070631552813e-09
3800,4.999323566822012e-08,1.446190414309511e-07,6.72694419802279e-12,2.1461434888187531e-07,5.447125351980682e-09
3900,4.9993249123199506e-08,1.4445483500086902e-07,6.7485659599617146e-12,2.14458570036242e-07,5.560133539175813e-09
4000,4.999331690052806e-08,1.441597787380337e-07,6.71450502131496e-12,2.1423923418024442e-07,5.811963926329033e-09
4100,4.999329075855233e-08,1.4415941675932625e-07,6.757429326700959e-12,2.1418575688077014e-07,5.882687951497772e-09
4200,4.999328266917112e-08,1.4398763264520924e-07,6.737054325765793e-12,2.1388088252439109e-07,6.028319383417452e-09
4300,4.9993247094985447e-08,1.439244761173771e-07,6.729671081348812e-12,2.1389380611736217e-07,6.165849567226381e-09
4400,4.9993307457524216e-08,1.4366773048602765e-07,6.6867897503861914e-12,2.1375587012318715e-07,6.242452619098697e-09
4500,4.999327793073044e-08,1.4344559408720687e-07,6.756940240365931e-12,2.1359628120619327e-07,6.430457460197168e-09
4600,4.9993241342663556e-08,1.4351078521180012e-07,6.759555292081904e-12,2.1334636338099818e-07,6.641335713127381e-09
4700,4.999330709877639e-08,1.4327692144507349e-07,6.7280484384007105e-12,2.1321658284308476e-07,6.818209972525723e-09
4800,4.9993295248743065e-08,1.4311651663435284e-07,6.7437760039602826e-12,2.1314544603529483e-07,6.876765784142574e-09
4900,4.999328629471303e-08,1.4292407530673625e-07,6.6693083878271046e-12,2.129898849089521e-07,6.937120193950393e-09
5000,4.9993280086223335e-08,1.4283241261239815e-07,6.677046845811331e-12,2.127770428664768e-07,7.0216681867785974e-09
