miliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2
2400,4.99932089168243e-08,1.4640053849846092e-07,6.763158938204559e-12,2.16391762739226e-07,3.462096829447126e-09
2500,4.9993252572194e-08,1.4635393883789487e-07,6.711806075128904e-12,2.163585628765709e-07,3.6456361797249622e-09
2600,4.999328067291437e-08,1.4620150743308997e-07,6.791178253224647e-12,2.1630936556518812e-07,3.8155751907643766e-09
2700,4.9993212346762184e-08,1.4615063233923356e-07,6.727208669229297e-12,2.160251970937252e-07,3.8547153510668304e-09
2800,4.999327157932258e-08,1.459886222836015e-07,6.714456739957503e-12,2.1586674557810969e-07,4.03949913919806e-09
2900,4.9993235206629355e-08,1.4573540431899016e-07,6.75774782657424e-12,2.1568301898779841e-07,4.234014058165826e-09
3000,4.9993215716608245e-08,1.4557887911099085e-07,6.721711621472307e-12,2.1558675585831762e-07,4.3039804298076564e-09
3100,4.999325870022543e-08,1.4549080546620164e-07,6.736764613057433e-12,2.1555560856267163e-07,4.6019774679064724e-09
3200,4.999323974270932e-08,1.453659048264098e-07,6.776551910133569e-12,2.1536575537566508e-07,4.54865048825678e-09
3300,4.9993254952924465e-08,1.452372062911284e-07,6.707168411409922e-12,2.1514295264043017e-07,4.730211508898474e-09
3400,4.999326331732457e-08,1.4508080770694877e-07,6.7071055878270275e-12,2.151538394562839e-07,4.971048816196682e-09
3500,4.9993245333283243e-08,1.4500971128628873e-07,6.708380121061677e-12,2.1492442976143732e-07,5.117771876997304e-09
3600,4.999323657580746e-08,1.4485815494144646e-07,6.690544390609468e-12,2.1488740316650314e-07,5.2503335593969276e-09
3700,4.9993263850078716e-08,1.4460605938442119e-07,6.714908436112311e-12,2.1473959394881982e-07,5.3118299901501924e-09
3800,4.999326498909044e-08,1.4460283398520574e-07,6.707404144670165e-12,2.144321455977885e-07,5.464468291143783e-09
3900,4.9993248860794416e-08,1.444443610428811e-07,6.73723537386796e-12,2.1436099439854822e-07,5.6246537698718905e-09
4000,4.99932893658636e-08,1.442345633278119e-07,6.732606675326985e-12,2.142798437143371e-07,5.727220788434556e-09
4100,4.999326723048728e-08,1.441447101191394e-07,6.7489976418577404e-12,2.1407373423017496e-07,5.795290090069298e-09
4200,4.999323958927552e-08,1.4401970744178296e-07,6.74503927492169e-12,2.1406233238736266e-07,5.9426162682367616e-09
4300,4.9993273833063e-08,1.4384119358640799e-07,6.762027307737606e-12,2.137475035932209e-07,6.070674158962234e-09
4400,4.9993319199361045e-08,1.436835755224254e-07,6.713960857738443e-12,2.1363494841695678e-07,6.3150245466994925e-09
4500,4.999332763548094e-08,1.4346321395230426e-07,6.698234529523611e-12,2.1358530360894115e-07,6.470416509038109e-09
4600,4.999331410942722e-08,1.4339897551166575e-07,6.735409279242185e-12,2.1345796960241306e-07,6.559103174770558e-09
4700,4.9993275197185705e-08,1.4318013962368544e-07,6.668323237741418e-12,2.1326114018986357e-07,6.759034653572842e-09
4800,4.999332351410616e-08,1.4313511067538476e-07,6.724605754081797e-12,2.1319766721847196e-07,6.7892577412817636e-09
4900,4.9993298927012695e-08,1.4310893607752728e-07,6.696452887161482e-12,2.1306010768079733e-07,6.893463203944432e-09
5000,4.999325384461298e-08,1.4283793955913928e-07,6.744409614784941e-12,2.1290396356327218e-07,7.1825148778560935e-09
