milliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2
3600,4.999324106649778e-08,1.4473379870134366e-07,6.7474400052745816e-12,2.147896421894286e-07,5.116665724587018e-09
3700,4.999330754904798e-08,1.4455057434897064e-07,6.706585458195906e-12,2.1468537644543396e-07,5.295800175394049e-09
3800,4.9993251203626383e-08,1.4453294711641352e-07,6.746945261766961e-12,2.146282481974259e-07,5.5703808670319485e-09
3900,4.999322728157014e-08,1.4428505183629063e-07,6.686268508018571e-12,2.1443630281753843e-07,5.561382597764752e-09
4000,4.9993304848630346e-08,1.4414771337775964e-07,6.717614983288885e-12,2.1428199340926677e-07,5.727659698795975e-09
4100,4.9993314108513554e-08,1.4410923961318079e-07,6.73690780456192e-12,2.1403697677328032e-07,5.98258021780384e-09
4200,4.9993257940085455e-08,1.4399039735817243e-07,6.7138368615588815e-12,2.1389037028165403e-07,6.117014397348043e-09
4300,4.999323794117283e-08,1.437841517430438e-07,6.722511703075268e-12,2.138496698199647e-07,6.135039070360512e-09
4400,4.999328882582051e-08,1.4359156538314814e-07,6.70045403473443e-12,2.136429483714631e-07,6.263484546797857e-09
4500,4.9993310720562454e-08,1.435711553383678e-07,6.76142013207024e-12,2.135238239932525e-07,6.34944756856668e-09
4600,4.9993250704332417e-08,1.4346377357233216e-07,6.740938140202609e-12,2.134292228781081e-07,6.555266941877898e-09
4700,4.9993252105751273e-08,1.4319569678239935e-07,6.696656283354034e-12,2.1327743734537703e-07,6.756650453978734e-09
4800,4.999324503050773e-08,1.4316928594152398e-07,6.715780976534573e-12,2.130507070246544e-07,6.844248252604254e-09
4900,4.999327197214872e-08,1.4291995017739182e-07,6.745683664326284e-12,2.1306372295385717e-07,6.992723046298969e-09
5000,4.9993328865173635e-08,1.428508525420487e-07,6.7439583325989825e-12,2.1279111676660435e-07,7.044537761607234e-09
