milliseconds,IFNb_mRNA,IFNb_env,STATP2n,SOCS1m,IRF7m,IRF7Pn,IFNa_mRNA,IFNa_env,TNFam,TNFenv,STATm,STAT
1800,0.001386852807176468,3.106846908298242e-05,8.399628187645664e-10,6.120299715089245e-08,2.0711924509518962e-13,1.6732160483808075e-11,5.993170787052508e-12,-1.4682013777034844e-13,0.00013877553096033104,3.62817831410859e-06,1.0466177449853888e-05,0.09578527291558807
1900,0.0014667826829238913,3.0200079782626146e-05,9.391277158562143e-10,6.141475623260114e-08,2.526810788368313e-13,3.8762267048709145e-11,8.387939223188066e-12,6.909524360493586e-14,0.0001440436119757122,5.2829845035659996e-06,1.036849344933046e-05,0.09579542755094815
2000,0.0014683113309301064,3.5248284206902565e-05,1.3398726028533457e-09,6.116968898353031e-08,1.4531630580413192e-13,4.632302070371266e-11,-2.3016604799226996e-12,-9.242597520318092e-14,0.00015092177371229084,4.664045068532658e-06,1.0518192669224374e-05,0.09580160908163528
2100,0.0015793424204419094,3.862658647975283e-05,1.6449656790198726e-09,6.375728374821599e-08,3.0507358569110007e-13,3.8276305471483264e-11,1.4792885405970767e-12,2.0706204841914554e-13,0.00015049543451142605,6.003640364231616e-06,1.122773212332532e-05,0.09573238717745451
2200,0.0015734526246421734,4.218215940986357e-05,1.803952903579558e-09,6.286416969838116e-08,2.2270612012066867e-13,4.415744704125711e-11,3.550311981871646e-12,2.9095886200964846e-13,0.0001617263612525854,5.955050443875269e-06,1.1157293631386977e-05,0.09560272006544546
2300,0.0016815525267682178,3.720077121974051e-05,1.6919836954532726e-09,6.401387655565939e-08,2.6269502964398284e-13,7.763930685868583e-11,1.5215436374112093e-11,2.3236905483804713e-13,0.00015975888852584112,6.870985201746923e-06,1.1621207161848812e-05,0.09553076032762264
2400,0.0016971964578245556,4.2123033285121854e-05,1.8626778209179432e-09,6.395566218296318e-08,3.9427273017554293e-13,7.462627744287005e-11,1.5302305131568363e-11,3.29787596169431e-13,0.00017337623030592512,6.409914833469289e-06,1.1315840585404857e-05,0.09549821511411441
2500,0.001786085450890275,4.9253938883750176e-05,1.9392357455568555e-09,6.353603947501935e-08,3.748982975476235e-13,9.206128131049271e-11,1.7025314934545875e-11,1.3354154051776786e-13,0.00017759294019924657,7.675453693774092e-06,1.1910658171955594e-05,0.09560073056681881
2600,0.0018559914309119717,4.662939491939188e-05,2.4077689444212982e-09,6.375307823169802e-08,5.249553324235725e-13,9.546304206871513e-11,1.4021832138774432e-11,3.1737651038422624e-13,0.00017384883031562192,8.147825219169174e-06,1.1605530806260477e-05,0.09564347270994819
2700,0.0018828183504215124,5.429670574926556e-05,2.565595223757394e-09,6.087989845525058e-08,4.730441737064058e-13,1.3619225926451304e-10,1.7039909743469355e-11,2.6380588508708534e-13,0.0001776037824580002,8.363231217253891e-06,1.1533440239829257e-05,0.09549626144484914
2800,0.0018720498573025317,5.5619113268209953e-05,2.6302561545592483e-09,6.166579365228322e-08,6.084820204079625e-13,1.3624739634809848e-10,2.5756487317691485e-11,2.0804796604528557e-13,0.0001826546389794618,9.939912120439517e-06,1.2132474786384865e-05,0.09555816339127247
2900,0.0018680767749676842,5.873814205951322e-05,2.9395390434198544e-09,6.032110797748272e-08,6.312642089929536e-13,1.598160996172723e-10,2.8254929861646076e-11,5.037049481450606e-13,0.0001827277707768049,9.106632744398388e-06,1.1636819540293591e-05,0.09550988029074879
3000,0.001899028065101344,5.8986453075036135e-05,2.9052571690497787e-09,6.123734175492014e-08,7.267865727516445e-13,1.7455242318404424e-10,4.021081080812812e-11,5.97077686021654e-13,0.000187633554437753,1.0355061180539086e-05,1.2041819614462771e-05,0.09537849994375641
