miliseconds,IR_beta,IR_beta_pY1146,IR_beta_refractory,IRS,IRS_p,IRS_pS636,AMPK,AMPK_pT172,Akt,Akt_pT308,Akt_pS473,Akt_pT308_pS473,TSC1_TSC2,TSC1_TSC2_pT1462,TSC1_TSC2_pS1387,mTORC1,mTORC1_pS2448,mTORC2,mTORC2_pS2481,p70_S6K,p70_S6K_pT229,p70_S6K_pT389,p70_S6K_pT229_pT389,PRAS40,PRAS40_pT246,PRAS40_pS183,PRAS40_pT246_pS183,PI3K_variant,PI3K_variant_p,PI3K_PDK1,PI3K_p_PDK1
3200,50.0,0.0,0.0,135.36896438168705,15.039764118880326,0.05509179571028986,43.51813017764276,6.503451768961181,294.1753961098395,4.56286350732485,1.0932432783444648,0.031990232618654635,46.649100225164794,2.2532767585575413,1.065400065339886,97.31616067921595,2.6613357759487375,98.14964504240737,1.8528414572095995,297.58766460734967,0.7351637153103623,1.5352208837473618,0.09248047742588321,15.024668053197061,1.6231760823603558,3.089357839365992,0.3048580817774136,50.0,0.0,49.812198757306334,0.18664671041628716
3300,50.0,0.0,0.0,134.98763627502797,15.046396592184767,0.06996541841356538,43.47399853866806,6.570868199269814,293.9813800254537,4.718294539004352,1.235120211404368,0.03445362028051767,46.58449318180816,2.3485524017768937,1.108753647613084,97.24774327598848,2.736300697793111,98.16945721942515,1.8551747325654608,297.52438047345436,0.8017056868357684,1.580596164127256,0.09768669917993933,14.970326923609264,1.684546282225026,3.0713703622187363,0.3124162860872085,50.0,0.0,49.79754328085361,0.19329117107931432
3400,50.0,0.0,0.0,134.28354149489675,15.546694112589037,0.06997423640697002,43.39148825415436,6.644110797501325,293.39560370032643,5.02885277019136,1.295272720847889,0.03889664617868098,46.39592132870494,2.5303096768333857,1.1427396525158746,97.21293000115544,2.786437004069048,98.1450162188825,1.859216578950936,297.42098691828704,0.9102562720539561,1.6000954534793552,0.1090805279211265,14.778272519069537,1.7669445883494417,3.083858860321592,0.33519191489702915,50.0,0.0,49.79333103757292,0.20611152793101864
3500,50.0,0.0,0.0,133.98738365954975,16.23176293226218,0.08062884482796864,43.32387640430762,6.711305677407549,293.1436468569787,5.2368043486879206,1.3981226943076392,0.041502685763992506,46.23093274235019,2.597316286527092,1.142863837182501,97.15505859824778,2.790805856139038,98.15937815674772,1.8442185173113577,297.19618748909204,0.9326023262569328,1.653677534548597,0.13440963669587816,14.692214928455906,1.8121533234026463,3.1748220880625717,0.3511568795561838,50.0,0.0,49.78310130670072,0.21651804770279473
3600,50.0,0.0,0.0,133.28966515620866,16.332961213893395,0.09201700103761967,43.263331741988466,6.750555585629172,292.9668951752281,5.54164568969578,1.476811480339876,0.04793197897613787,46.060258399598396,2.6830090243935536,1.1988460259353504,97.18258519828838,2.864054550387621,98.17110813649569,1.8606869568294602,297.1786277507714,1.020016119225856,1.7316420912849324,0.14489846996716574,14.631402849860649,1.9051371893437616,3.102614696435627,0.36669670151159767,50.0,0.0,49.76947769910576,0.2284968412767551
3700,50.0,0.0,0.0,133.3353447982343,16.485183803901048,0.1015572303423479,43.30939518546902,6.698181522086357,292.5280040204016,5.884958010231685,1.5811332775314202,0.0518508698557609,45.98651336850664,2.8002367296775685,1.2128121048204454,97.13960835098291,2.8600033079001754,98.17337694083288,1.8626781448122582,297.0137065614563,1.102874297828049,1.7535631915911774,0.1522848022631832,14.475273768436601,1.9501406015653808,3.11846451063803,0.39333309266160293,50.0,0.0,49.7531534048223,0.23744151768427854
3800,50.0,0.0,0.0,132.5361878945593,17.218135480914253,0.11802545959763233,43.22336430116879,6.816805166453371,291.99963989383224,6.274099328331501,1.7297913920588868,0.056885858854143524,45.75662865448955,2.9781279313719913,1.2394858928359163,97.06559051883862,2.8901245403669327,98.16767860793402,1.8382192594408135,296.89068054062653,1.2135671313621914,1.7598802443670296,0.17247476374504328,14.415435837668873,2.0984173098923264,3.1986940145386233,0.4219707643613698,50.0,0.0,49.742394278888774,0.2539320040728285
3900,50.0,0.0,0.0,132.4333016944378,17.658514678850313,0.12381812945144319,43.16040456219604,6.852950164439053,291.67985467480423,6.41760930667544,1.7696856204572888,0.060169941339761356,45.617523322625736,3.1187719161078684,1.2418700980116273,97.06065708198678,2.9774849132761734,98.14779041000217,1.8267115378999714,296.6664232071225,1.2926138378527465,1.7881969342315573,0.18445813017520674,14.229875916488355,2.1186873512450486,3.192128828965922,0.42934268598735154,50.0,0.0,49.74211845507659,0.2587403908512358
4000,50.0,0.0,0.0,132.0907522939334,17.939523554534208,0.13749949334052025,43.175738844992736,6.854954934615391,291.34525452262073,6.802049533258599,1.915619436826605,0.06379602052841461,45.601482915443654,3.1835922971084725,1.2689620032941444,97.04741343175795,2.951013211855239,98.17263131280603,1.8464648627739182,296.679634844888,1.359486048250529,1.8442236849436995,0.20361132447299368,14.054761185956439,2.1835662342402467,3.188553373024076,0.4490744328802226,50.0,0.0,49.72848133349319,0.2750897249581647
4100,50.0,0.0,0.0,131.5193940135204,17.95505669829453,0.15266889824412608,43.11709988269977,6.937557022238845,291.04817485629303,6.9581900892592,2.0646221209574023,0.06998112723669293,45.39480494680143,3.348866742490423,1.279573706528145,96.94892469597123,2.976952147771973,98.15524837755129,1.859590906382202,296.44214205045864,1.4693865570060656,1.864553548760957,0.22119851268172241,13.926092360940208,2.256897422516248,3.1652176977244237,0.4681497045643599,50.0,0.0,49.711589535412514,0.2861977589553484
4200,50.0,0.0,0.0,131.3005822848452,18.370743745171822,0.16362798386624447,43.08986701252464,6.879357774205645,290.4420217750143,7.228592641656206,2.2100816469104725,0.07553750817436548,45.27222315543599,3.3769181975071536,1.322011828005922,96.98404659306742,3.034750937771043,98.1645299586389,1.8376093239309295,296.3559877258107,1.5032782691878621,1.8798684150089189,0.2429800662337271,14.031598346291347,2.363688306243839,3.2581707534203703,0.49895357303374377,50.0,0.0,49.69614448069393,0.29239363275857966
4300,50.0,0.0,0.0,131.1993436084171,18.483523694807023,0.17898376661105328,43.047119156692695,6.989622360134695,290.33713487148765,7.38190832261398,2.322334886634692,0.08339351914936725,45.19653832766512,3.556043194117968,1.3468056260785257,96.93495732477449,3.0425302825305627,98.14875062388181,1.8288401479925454,296.233093570258,1.6333885533291688,1.8987249313474615,0.2637387251688173,13.781234041285858,2.395298750477197,3.208598470089795,0.5193438898866811,50.0,0.0,49.68952398420281,0.3088606419439403
4400,50.0,0.0,0.0,130.9785185750752,18.75613227985717,0.196207268715759,43.00722108221884,6.967370880889169,289.60565886910933,7.843583730258549,2.4272572569138866,0.08811001035134244,45.034298609583445,3.5834314364607187,1.3422951316937812,96.88389535196832,3.0812708031510847,98.17379247082914,1.8522381346713264,296.0612055174166,1.7546012959076323,1.9589975911014035,0.28581879228900176,13.69925843793666,2.537218714883834,3.2063374216526572,0.5373893336744622,50.0,0.0,49.683679042467226,0.31854686313484365
4500,50.0,0.0,0.0,130.75891586503724,19.047664559851473,0.2134157991896488,42.9408382772845,7.056520308737615,289.44389560994983,8.090833181812599,2.518929907628935,0.09620511954024136,44.83369275943517,3.765775838061827,1.3983887756890472,96.888368647805,3.1073550139503334,98.15294973304312,1.8274702449489093,295.83548753209885,1.8464175842640522,2.0002694433627455,0.31498722777714605,13.527862073665045,2.613506739733747,3.2445558266385217,0.5611769839405228,50.0,0.0,49.6719952075701,0.3346264219545745
4600,50.0,0.0,0.0,130.51659282296714,19.571922868339744,0.23525786399405024,42.96742533083543,7.081510274965526,288.91363659908035,8.221620412702075,2.7148153498767296,0.105160346896428,44.80584574808585,3.858909893120384,1.4198328319220768,96.84980351340401,3.1278042588055723,98.13238135371735,1.835429285865708,295.77365567490364,1.9461509725190842,2.012509104389832,0.33640858404121315,13.616744552494975,2.6819830973365715,3.262926300596694,0.5831558656935819,50.0,0.0,49.65784201270297,0.3394360082310506
4700,50.0,0.0,0.0,130.30362985281977,19.431771483136497,0.25364565815329887,42.97523585860901,7.072251403099186,288.63644714159824,8.636396305767228,2.816428748530097,0.11095152408054446,44.58494939180946,3.9566012857099464,1.4330832829322113,96.7922377685433,3.150253299585284,98.17280983237208,1.8541248243213035,295.6183380108047,2.046160543068105,2.0513493989408174,0.36465708032357413,13.508614958870247,2.7353345951273935,3.205598933095104,0.5884682064005181,50.0,0.0,49.64422853054264,0.3493253197811259
4800,50.0,0.0,0.0,130.23143746180324,19.97316824843213,0.27263030386457543,42.902396543360524,7.089840953062358,288.1061357493194,8.755260862455119,2.904133884284267,0.11939019628223903,44.41084773427687,4.110261579969522,1.4397176823806932,96.82286170576396,3.2068021939054403,98.15914472250509,1.8403521837507002,295.39635378587434,2.123022055966055,2.0596193780078225,0.3862736568737401,13.281495927741622,2.7986037214088926,3.237942374362157,0.6189552113313551,50.0,0.0,49.63025603508812,0.36283035982884276
4900,50.0,0.0,0.0,129.99006830764466,19.781232775294896,0.29235497334500415,42.90251728382133,7.063173620018859,287.72079767270003,9.015665291085675,3.0426828694236456,0.12662324834230995,44.298782594709344,4.20955472494468,1.4459969249141913,96.76488361685868,3.208823566993512,98.13023976812421,1.8362263080275683,295.20745596158525,2.2673555813787547,2.086382695104576,0.4223853471455615,13.376442860761706,2.824655011134149,3.2159922426750125,0.6309247277548837,50.0,0.0,49.62549324172333,0.37228295286736657
5000,50.0,0.0,0.0,129.43600973896852,20.259273204094686,0.31046388777424627,42.85379648351727,7.077901173069767,287.3248300694937,9.30740948929141,3.2268311119938917,0.13409792299620737,44.19791039811861,4.293715170973331,1.4947912258862148,96.73744499561543,3.2138695641210413,98.13438199781511,1.8287743619417314,295.1064845868636,2.3759630483204313,2.1479719722150823,0.44652834429507304,13.197950393082827,2.960122455069572,3.2705323569337783,0.6529410869844819,50.0,0.0,49.6160363485486,0.38587525564238717
