milliseconds,Rs_0,Cs_0,Ri_0,Ci_0,Li_0,Ld_0,L_0,Y_0
3100,1447.2129996208678,54.36382837571748,299.9977541444149,3.5197387975786154,1.0756424227137928,1.2023558923846853,9.976005956663187,250000000.0
3200,1443.5246049069788,56.66033222210543,300.00210891276197,3.647385325065273,1.1735026052399082,1.2293600798536883,9.977002608547547,250000000.0
3300,1444.3039923703018,57.21925864248159,299.99836659546844,4.1273652626838135,1.1205691205731274,1.2185077580517332,9.976354152319736,250000000.0
3400,1444.2906961757053,56.70976690707405,299.9985531943948,4.127421166375024,1.1947760364553754,1.2430939322434953,9.974816502836408,250000000.0
3500,1439.863280657601,57.158988448900516,300.00161104331426,4.19862428423261,1.2694367887463494,1.266040651531358,9.973460805354295,250000000.0
3600,1440.2841830560894,59.1655871547215,300.0059204168199,4.623732786575212,1.27936425735123,1.2664878597979363,9.973888461867535,250000000.0
3700,1434.6473345305064,64.00480074269323,300.006934187685,4.759412571496533,1.4343305202264502,1.294403376456416,9.972865698239465,250000000.0
3800,1433.2279776012226,62.76024278601857,300.00866524236153,4.954048305074402,1.4737094284439891,1.3231740434229549,9.970981201903074,250000000.0
3900,1432.161012761322,63.801967507974304,300.01302902011855,5.1887299816264685,1.482391225827108,1.3290207723564136,9.97090377420168,250000000.0
4000,1434.0794749411618,64.7745886582909,300.0185860910838,5.2833727571533595,1.5861537402048573,1.3455157999890548,9.970507416051294,250000000.0
4100,1430.3147093197356,67.63466985653687,300.0289767575047,5.6027577556113055,1.5575717551974873,1.3501033456325893,9.96965671642372,250000000.0
4200,1431.3393394376806,68.42279320516238,300.03548883379807,5.826491884677571,1.6135593249496631,1.3809884610044767,9.969122632344185,250000000.0
4300,1428.996827972894,68.30517186666265,300.043608943912,5.7124323647326785,1.7050136887021097,1.397245003304278,9.968270182566064,250000000.0
4400,1426.7766221246688,71.48118525718787,300.0525138474278,6.250445485843145,1.837449349279355,1.4308616045120546,9.968501793381703,250000000.0
4500,1424.6176080217178,74.42662042061256,300.06043987559144,6.334896298866533,1.802760422480306,1.4543813885856038,9.967287259794325,250000000.0
4600,1422.492992483147,74.89779216080957,300.0683240501234,6.566080168145167,1.9053533618876037,1.461097305896201,9.965552586882964,250000000.0
4700,1422.673667535006,76.64766364757773,300.0810364103388,6.571130753743768,1.9317125923294705,1.482874331707545,9.965324390656859,250000000.0
4800,1419.3982437798861,77.83811264587065,300.09575527356384,6.825760799039282,2.0631667717858893,1.5054317320226709,9.96491738135129,250000000.0
4900,1420.2490228111867,77.18187178010174,300.1094242173767,7.0632777161829186,2.1359750863285027,1.5365710032668785,9.964613550330345,250000000.0
5000,1419.0039182425257,80.25607264575068,300.1251877025327,7.25841980737684,2.127740955932327,1.5710700356373632,9.964409764204843,250000000.0
