milliseconds,NFAT_Nuc,Act_C_Nuc,NFAT_Pi_Nuc,NFAT_Act_C_Nuc,NFAT_Pi_Act_C_Nuc,Inact_C_Nuc,NFAT_Cyt,Act_C_Cyt,NFAT_Pi_Cyt,NFAT_Act_C_Cyt,NFAT_Pi_Act_C_Cyt,Inact_C_Cyt
2700,0.0005461364744522599,0.0190423616613479,0.00022016806671210895,0.0013683555379405768,5.316440241375758e-06,0.03060193066622289,0.00010508326668170516,0.0033863580413318246,0.008966934697530628,0.00012491708645837572,0.0001880346148309478,0.00566832340754531
2800,0.0005465380491390781,0.019174031884004402,0.00022006380985431102,0.0014038198793137682,5.271929845371454e-06,0.03031208524016108,0.00010519453327822773,0.0036173133974428283,0.008922662026129539,0.0001302425843182427,0.00019398479869096085,0.005709908602820697
2900,0.0005623566059412617,0.0193764301716407,0.00021988184672130302,0.0014176770047853208,5.1478859167697815e-06,0.029005674004269334,0.00010497287498767793,0.003514950577323668,0.008914519464849165,0.00013176554138805496,0.0002065753383983437,0.005658425924888395
3000,0.0005670110627169106,0.02029516951149378,0.00022000571196155062,0.0014034730281482159,5.055966549810939e-06,0.029571755504414758,0.00010481963057507919,0.0037270519136828857,0.008906762934882406,0.0001321656259242485,0.0002035282531035265,0.005499122532348006
3100,0.0005557031285602616,0.020525347464508813,0.0002200014805631044,0.0014373856689292878,4.988771191205954e-06,0.02885353108911572,0.00010419509098927544,0.003695814412407029,0.008880501265253643,0.0001413492472797259,0.00021699659556145842,0.005501142135307848
3200,0.0005626420097760663,0.021300662823410272,0.00021964440705456897,0.0014458083266281876,4.945568168446712e-06,0.028832522538124655,0.00010386029799927491,0.003863022015947328,0.008876574156889642,0.00014150403282509028,0.00021508802182005246,0.005374595004009041
3300,0.000559620787605496,0.021375394098067078,0.00021957017051598419,0.001476923988006725,4.937866383498438e-06,0.028615399655441628,0.00010365703055804083,0.003792475811028337,0.008843563720402133,0.0001483020296847043,0.00022635166733689816,0.0052807054404262616
3400,0.0005538057909217787,0.022006451837894722,0.0002195148941723402,0.0014736087898286742,4.7839244477651735e-06,0.027515363725867572,0.0001036402682463598,0.00383860225410147,0.008807524042718543,0.00014951402972373924,0.00022923948509762467,0.005137326571125636
3500,0.00055667883208213,0.02148410999102015,0.00021939954994480202,0.0015228053596578822,4.80276453717476e-06,0.027179322299645297,0.000103881237474698,0.003920867135560356,0.008824503488423266,0.00015948546441656855,0.00023338938434843017,0.005040238580909805
3600,0.0005760012964596181,0.022340078389473803,0.00021935738108498282,0.001525181495033815,4.598340663114012e-06,0.026733897965812266,0.00010364317436438175,0.004010453062166312,0.008797529482101678,0.00016771160825276794,0.00024238554519911314,0.005106454822780218
