miliseconds,M,B,A,L,P,I1,I2,I3
3700,0.0001360575966365409,1.1287421100509215e-05,0.07437219565050995,0.5970272163449448,0.0036498846579657825,1.821968929996103e-06,6.830457427820576e-06,0.005262561933634976
3800,0.00014222467748081435,1.153804245069144e-05,0.07702654338118245,0.5938725658475001,0.0034778976085846442,1.9484816892148144e-06,6.685313634327819e-06,0.005103999923079837
3900,0.00012627413221840385,1.1881174484926879e-05,0.08090967810804084,0.5934853795708891,0.003521404688633652,2.076344972493619e-06,6.513561813474703e-06,0.005091759553685619
4000,0.0001243627556534919,1.2135752363153005e-05,0.0827180475593894,0.5919425694786979,0.003443558464304795,2.136954660336064e-06,6.467022365145929e-06,0.0050535684298267155
4100,0.00012242356475132877,1.279542104733906e-05,0.08575066192452489,0.5914478357275537,0.003304538841888561,2.2935431041292935e-06,6.240087282124093e-06,0.005014837937531285
4200,0.0001182949883781561,1.3043178700966778e-05,0.08796714652515054,0.5890897293618371,0.003497190056733927,2.435777105598632e-06,6.165236760889989e-06,0.004928892055874214
4300,0.00012477932102483016,1.3000180470195053e-05,0.09173688358106667,0.5905607380931011,0.003339779525157579,2.6200856229833712e-06,6.06356464328598e-06,0.004938082181833941
4400,0.00011919278968803193,1.3511434845840878e-05,0.09187054583129085,0.5882154409350651,0.0034042184645922684,2.7427506457195624e-06,5.981818223593208e-06,0.004827215800512094
4500,0.00012246663570104235,1.3963491515965891e-05,0.09598362864300089,0.5869793034451626,0.0032574467349997774,2.9628598889361444e-06,5.776449441500437e-06,0.004727414433747659
4600,0.00011681245656987839,1.3891952635971758e-05,0.09706247917927285,0.5871939603034468,0.003098578115955935,3.072806469822628e-06,5.6813108473672915e-06,0.00464894455992226
4700,0.00011373351141480169,1.4256921861267453e-05,0.09972473458866711,0.5864282438080785,0.003206890834991923,3.2009961541589336e-06,5.652861287280862e-06,0.004631410237371128
4800,0.0001081070314400339,1.4433019859203058e-05,0.10309407392440197,0.584083330923154,0.0030989497229469026,3.37110366901376e-06,5.520236143452297e-06,0.004547720810147263
4900,0.00011706022915940028,1.4914858462668195e-05,0.10515491238111327,0.5810582073646499,0.003065031795302601,3.532134096638401e-06,5.50501090084098e-06,0.004517276163004019
5000,0.00011079292895067584,1.5178672436086645e-05,0.10800156306276414,0.5822455449891003,0.0028741178400970707,3.6817414362862398e-06,5.412205311894637e-06,0.004436333598125769
