miliseconds,TGFb_R1_surface,TGFb_R2_surface,TGFb_R1_endo,TGFb_R2_endo,TGFb,TGFb_In,Active_R2,Active_Rec,Active_Rec_endo,Inactive_Rec,pS2_c,S2_c,S4_c,pS2_pS2_S4_c,pS2_pS2_pS2_c,Smad7mRNA,S7,Smad7mRNA1,pS2_n,pS2_pS2_S4_n,pS2_pS2_pS2_n,S2_n,S4_n
1200,7.862564816156735,0.46757628321227174,17.262327513321946,23.574411311189824,24.988560656392345,0.010772933295032667,1.0175039095492242,2.9119072773780452,0.22597328749504214,6.638392870383535,0.06736446795637302,632.9857661064809,456.6942023822861,2.771380633289341,0.001858044360296705,0.056420050744728695,5.493187872678931,0.36708210735385655,0.02527197709048922,0.5576499104642076,0.00223769419410718,236.38528080829784,169.33722949548897
1300,7.78373322853484,0.4879598494768816,17.18331686100593,23.32135821369908,24.987145848035833,0.013008125416165176,1.0557753837392783,3.087762725251562,0.23889058972953156,6.8118777733866045,0.06785201403469612,631.885399968733,456.2531660100669,3.6652240711650963,0.004383235829307932,0.05642004965567812,5.403483673507913,0.3670823574112685,0.031422042774262686,0.6461115863806152,-0.000990893104273873,235.82938625608597,169.32781317573964
1400,7.553212825351479,0.522283415846675,17.012920547573852,22.925609827477114,24.987138668933813,0.014220067562398903,1.1136409656407114,3.251191342604672,0.24968393620417978,6.809803939808097,0.0713271854641392,630.7903424454976,456.262405404582,3.8578528642095615,0.003536655757737546,0.05642005163505714,5.255666242700825,0.3670824305111754,0.0359951217389705,0.5392764502618955,-0.0017086321281809397,235.62872554771886,169.30394849676287
1500,7.474967158922979,0.5478292197302749,16.911196303505076,22.863084020898015,24.985994573511956,0.014993285548578504,1.1365978743610874,3.283014106200938,0.25865976863781254,7.017821443999359,0.07643582625009553,630.1126802764214,455.9435989258586,4.654959977046978,0.004667567234862568,0.056420052500319874,5.156946788205149,0.36708215613536543,0.036404637996281686,0.5908971010481517,0.0010093769960936975,235.2726742682256,169.3089637851926
1600,7.445225284069884,0.5348903296618902,16.729431612451307,22.59641113836657,24.985253979441374,0.016689315614740966,1.1981885535739962,3.354658744341227,0.28582504676354026,7.016297251450118,0.07985063780258787,628.8758929751267,454.5688354692714,4.657892878864911,0.008275368181014563,0.05642005090299331,4.952838379012329,0.3670821762094495,0.04096828929984411,0.6388929435584645,0.003257097214908796,235.12245884289845,169.27808594895347
1700,7.275982861183206,0.6036673561021308,16.739819777014418,22.16771526584176,24.98428007499415,0.017661071606569427,1.2322661676038322,3.474832464889159,0.28753944519437463,7.129657868974737,0.08287866005172893,627.426712671867,454.55758080143676,5.32261924597181,0.006300775564101595,0.05642004897928365,4.944197368359237,0.3670822979405587,0.042827568500286364,0.9032306108683215,0.0013815816454774898,235.0879765722063,169.27577133258768
1800,7.240114065980689,0.5781329575949913,16.611454938086343,21.797691650867,24.983563047471243,0.01773647074332243,1.2873358780735675,3.600631849170278,0.2986878287622704,7.3519219004571195,0.08845991873073082,625.6870559753411,453.78698676700037,5.765085060620956,0.010099593568847591,0.05642005315341542,4.845472955913326,0.3670826247618893,0.04741169322892457,0.8611143874220986,0.0031850112571081227,234.66319050304503,169.23324789196565
1900,7.168922434922306,0.6358246180912274,16.379441218885162,21.54085107591092,24.982987197134616,0.018982711947250982,1.3371466878374894,3.7936110771223053,0.3304015679707226,7.293489392659626,0.0917327419928933,624.8794982575184,453.73464274376624,7.128042154831433,0.009774833996798744,0.05642005324077391,4.713844568615149,0.36708264442627286,0.050594371374900686,1.1378280180565599,0.0010068008528725059,234.43289093773762,169.20331312071391
2000,7.063448456227494,0.576441285407722,16.26428911797341,21.241871742393933,24.982003320221832,0.020510649657210743,1.3518810336688345,3.895311492825745,0.34201480976079424,7.382005293962292,0.09303265075210441,623.7923143761226,451.99004339694716,7.793249436854282,0.009971475744999842,0.056420053203958466,4.594570126422166,0.3670823386814832,0.0564199949452249,1.5400899378339776,0.0009237947634385367,234.20514766786494,169.20142278982584
2100,7.020743672273022,0.6377930357957282,16.15623029413774,21.202836477987056,24.9810142788046,0.02189366560586193,1.3839434603307443,3.956495393004786,0.34807232437483593,7.576138179865313,0.09860005176560538,622.7855878732427,452.1155421677649,7.492355666426515,0.01094045081503866,0.05642004964151196,4.4926029615879095,0.36708268206741396,0.0573590428263168,1.616178442183106,0.0013480634551686788,233.37954532667854,169.17999763153975
