milliseconds,Ca,zzs,bbs,hhs,nns,rrs,ccs,qqs,V
1700,0.0006986714714824685,0.001375066957370787,0.2053877549175518,0.9763202129124187,0.02705362695447718,0.006065588401410469,0.002683635450089256,7.156934921955921e-17,-70.44224917274654
1800,0.0006954436013424466,0.0013743920815891275,0.20533150166123082,0.9758164230556976,0.027547097842114794,0.006097422566363506,0.0026917175397308353,7.185378381013003e-17,-70.21283534505066
1900,0.0006911989282369441,0.0013762832025889338,0.20508621833228716,0.9760164742363723,0.027355907326132595,0.006056012918753202,0.0027573136950510544,8.203407316188369e-17,-70.08492785416655
2000,0.0006825790771580735,0.0013767672182541436,0.20427793396119318,0.975148750221672,0.027785194640032873,0.006161664389927323,0.0027710241804697923,8.395664721806175e-17,-70.20719620370261
2100,0.000682289203825531,0.001377751621013053,0.20422538375642707,0.9747329793649231,0.027926293748694535,0.006224630669460046,0.002792304975137743,8.117428109483404e-17,-70.01436838272137
2200,0.0006727045836425705,0.0013793354722780335,0.2038928869322647,0.9744946921913276,0.028073491345446448,0.006295839991783825,0.0028133808409278546,8.914896152700429e-17,-69.86446049411018
2300,0.000671893813569212,0.0013784550170076466,0.2038042593341435,0.9745125839717637,0.02840317406388458,0.006322652931033112,0.002812383350557098,9.205610598350294e-17,-69.74727650639366
2400,0.0006624354326327605,0.0013811939116015219,0.20324073549750662,0.9744711907310574,0.028546656082602477,0.00640343484434004,0.002893063482272507,9.30884735736966e-17,-69.80928246965297
2500,0.000666953760309894,0.0013823911793723795,0.20277748662900957,0.9735604320776197,0.02906635489498554,0.006449096351429501,0.0028736430503639725,9.321444857469778e-17,-69.6574056513753
2600,0.0006543689533958816,0.0013821280216225124,0.2025319985364958,0.9732236440327083,0.029178071693971474,0.006469999436615181,0.0028827584681156188,9.689120145394913e-17,-69.58560299060743
2700,0.000646632676868776,0.0013841375897282414,0.20190261638168763,0.9731467859967051,0.0291149359977449,0.006524157817415784,0.00296587514472133,9.912143508437618e-17,-69.54008937332436
2800,0.0006457567950311121,0.0013841547998366763,0.20202955351742974,0.9727835692090332,0.030007564821208997,0.006524006400500072,0.002994868255267154,1.0440719084913617e-16,-69.31227811493719
2900,0.0006447604014031068,0.0013873697386132455,0.2012350525309407,0.9728165307469724,0.0296708161576798,0.006690297151040563,0.003020557357770474,1.0134513193204137e-16,-69.27659179757825
3000,0.0006329803385164785,0.0013890387443399172,0.20125833956924735,0.9725785871309559,0.030351934539292583,0.006740654267945899,0.003081083958419099,1.0539411110102382e-16,-69.19886514986929
3100,0.0006385925487269481,0.0013885149414305377,0.20064510138925792,0.9723708928645727,0.030244873540167513,0.006791955367164222,0.0031056323814810686,1.0826272733929372e-16,-69.08446999078011
3200,0.000630376198549628,0.0013884942852268847,0.20033501141935825,0.971428400052174,0.030843158040190232,0.006841821079133174,0.0030741664008358625,1.1287335798825728e-16,-69.09598321504346
3300,0.0006233865986465496,0.0013900921134526842,0.1998913436994795,0.9709702035733035,0.030806381152333605,0.006842270632570195,0.0031470358569311353,1.1439050755486664e-16,-69.10543668271517
3400,0.0006198091913929945,0.0013934537882710552,0.1997523420866878,0.9709434116428457,0.030949548472977973,0.006943561462006629,0.003161760426196128,1.1827251563437565e-16,-69.01058917150652
3500,0.0006151846216770098,0.0013951021622061097,0.1990455990387545,0.970717439355696,0.031517851879956045,0.006976789737957101,0.0032271720600903437,1.1687394759932113e-16,-68.89472211209953
3600,0.0006207613826341637,0.001395418244090725,0.19838388411472258,0.9700400510315876,0.03141671785848674,0.00699494388059536,0.003215016005813971,1.2028590172242705e-16,-68.6649808295109
3700,0.0006141731485214917,0.0013972963761852153,0.19776261534915107,0.9703084242030817,0.031773475770217524,0.007093738357966293,0.0032775414703178317,1.221960489358871e-16,-68.7266002724857
