milliseconds,mwf626e95e_543f_41e4_aad4_c6bf60ab345b,mwbbbce920_e8dd_4320_9386_fc94bfb2fc99,mw810ff751_fa4e_4143_bd50_169b3e325e1e,mw114aa90f_5f5b_4fe8_9406_361c8489b6a1,mw30ae63db_6cd3_4b6f_93ad_3350cd360bcc,mw03db56ac_8dc6_4931_ae82_fef706d2ee3d,mwf345ed7a_0622_403c_b816_c8749a2c9ded,mw1da111f2_a036_4392_8512_015005bdcbb7,mwa2d8dd1c_bb9a_4552_8738_e24671651c1d,mw80848184_e2dd_47ce_86d7_7a21479342bd,mwd2d9d93a_3bd1_4f17_bac1_baba9ef2d55a,mw4638f126_8cb8_4021_ab41_6ae195743ba0,mw10315fa3_6f13_4618_bda8_a8694bd3c374,mw0adf3eb4_a196_4c48_b10d_4e9e9faaf9e1,mw7d86cc23_a1af_44c3_bdb9_71e9b1bb2a83,mw0eb6c959_d408_45a0_a450_928b8c5876bb,mw42054cd7_17af_46da_970c_7f99151906ad,mw39c2e431_fdc3_4964_be29_6ca856620b1b,mw2e464cf3_a09c_4b7c_9f3c_06720016a48e,mw36ea78c1_ed71_4def_96d3_857a442d7195,mw147d30ec_478e_4090_b496_128a131d29eb,mwab41493c_6349_45f1_a226_3030cfed0e06,mw1d9426a3_e1e9_49e0_ad77_eb6833be398a,mwf405687b_7401_44ec_a0d6_4a2b35c13e8a,mw3667a5e1_02c9_44a0_acb4_b0431faa822d,mw7becb5fe_8da8_4285_a821_0d77ad811b62,mw8c9107e6_f51d_442d_b2dc_2bfdbb8482ca,mw824bc3d4_1ac3_4912_9b51_8f14ff1c96b9,mw6cce2109_0e32_4dd9_98ec_41173e8ef07d,mw2b255f94_8018_4b99_bde8_918eeac45446,mw48867e93_f170_44e8_ac7a_185b23e1bf3b,mwd31f52cc_04e7_40e0_885f_c7b2d9e62215,mw2c9b0499_3325_4394_8af3_bbf653a944a0,mwd65b5b39_dc1b_4e77_a999_67277a880e5e,mw6335d5d7_c7b0_4bc0_b883_f7ee4915c2c3,mwf7796221_1fea_4274_a93e_c00adbf5778c,mw5d764bb8_5693_4ac8_9557_f65992cc5eb0,mw2f3d48e0_c9c4_4a0e_aca3_9241eb573296,mwbc2f5464_81e5_43fd_8b39_f5a2756af72f
1000,-1.3835567994148548e-06,3.9026562509799505,0.08353345786039224,221.06361206110375,4.25732605197476,0.0010330995791729674,691.2853033053428,0.0077279524768441,-1.7616491609045024e-26,0.3891704572650745,6.372970574808875e-05,0.0009494804314001955,0.43831245045641526,9.391465379738839e-06,5.3352590689386046e-06,0.76525447571088,0.7776050537109738,9.222391627595844,6.089836484091694,409.77504220025327,5.5920962239424155,0.11467529993548538,-1.2455302868251887e-26,0.002235341656356746,14.687857837586101,0.0010213443767611054,0.3766289611351462,7.128135942162267e-05,0.9788453930858373,0.610992537301157,9.389068852265154,6.078968074117614,2.583899734902881e-05,5.582694702573256,0.12277494171471805,7.141997680234872,0.04502214895305722,-7.63890849258778e-27,0.20263009617317973
1100,-4.157405070318099e-06,3.9031639602764403,0.08357227282786181,221.06365152424982,4.258173510644008,0.0010251433744456737,686.239417221995,0.00803164818953328,-1.7601564319246586e-26,0.3890941118186966,6.340926083137823e-05,0.0009396712745404406,0.4383231008474055,4.714008172530083e-06,5.535009187280917e-06,0.7651922602014286,0.7776080567839282,9.222411405938264,6.089149333792927,409.7754347986978,5.592203126302254,0.11379229987181827,-1.2469173570519336e-26,0.0027576144678264345,15.561145648807898,0.0010179165602242836,0.3767608422807861,6.984902241392678e-05,0.9782397892784096,0.6108590915551237,9.388952291917313,6.080893506270024,5.304050176236056e-05,5.583974659537785,0.12331250965284708,7.896926076067708,0.0452079717656803,-7.641086506576832e-27,0.23410358889531263
1200,4.416371634993574e-06,3.9033249907353076,0.08292480026566933,221.06361314137695,4.25803184790128,0.0010298736635090315,678.4030401059141,0.009109106927536772,-1.7587811084653982e-26,0.3891439042822946,6.374881620942493e-05,0.0009393013227620714,0.43833099505431367,-1.6300513078278065e-06,5.345177494772659e-06,0.7651756301666844,0.7776041993020549,9.222409745104242,6.089478983065458,409.77527047252926,5.592539097963775,0.11402952856425033,-1.2483483545098978e-26,0.0030574952326757263,16.24155836366907,0.0009917736608872018,0.3766654341240905,7.002458289170806e-05,0.9784213061932445,0.6108992072559929,9.3890604463653,6.081157625949746,0.00019377254584534452,5.5838531235678115,0.12068551579853833,8.454282999445581,0.053304888184659255,-7.640245517582762e-27,0.28342351890426587
1300,2.277140820175118e-06,3.9041866423912697,0.08277076907107699,221.06366165833015,4.259081276994141,0.0010172847882694946,685.8627699094031,0.009917280557018175,-1.759282727078487e-26,0.3892878088278652,6.356992951737667e-05,0.0009295120144355612,0.43833843657544713,9.685224453580049e-06,5.552002957215218e-06,0.7651848162401736,0.7776112651906503,9.222422170720145,6.090526929604042,409.77513375170037,5.592387111607256,0.11220984780883449,-1.2477787741225638e-26,0.0029333251375703966,18.285629742676438,0.0010011632131348015,0.3772546894722195,6.96826240086492e-05,0.9784741083066658,0.6109092213610027,9.388959427309066,6.081855001104037,2.1500073117369748e-05,5.585460941255871,0.1207405042922049,7.9463870443359985,0.055816252158893305,-7.641493157752135e-27,0.2965158798777011
1400,1.1287417786308236e-06,3.9044720676969518,0.08196587922990949,221.06365861571928,4.259665839624659,0.0010094121880679218,665.5934323898633,0.013225823237810172,-1.7533539229172334e-26,0.3893413048817712,6.326953947286314e-05,0.0009259606600250387,0.43836214389942546,-9.039610577210322e-06,5.573275618307021e-06,0.764997946967069,0.7776672339816991,9.222347099107884,6.091674580612233,409.7751052550257,5.5934408446880886,0.11166081417598772,-1.2498311640570497e-26,0.0030177547874476133,18.72606547828311,0.0009936452590579119,0.3768950937048133,6.923357060302283e-05,0.9778886347740467,0.611178555390156,9.388986760541295,6.084500641022675,3.615483011692295e-05,5.586474891581395,0.11758094564741753,8.665965862235,0.05366528669108542,-7.64367613869094e-27,0.27839537461046543
1500,-4.606207691939942e-06,3.904708966606796,0.08101258213049158,221.06356115206148,4.259042392811475,0.0009989488078614326,679.9279752636643,0.014340347853533476,-1.753889245699436e-26,0.3893903913104973,6.294124648688297e-05,0.0009231291697228535,0.4383690075362686,-5.844448550244459e-06,5.462105789621288e-06,0.7649947883513505,0.7776673446867695,9.222426661439918,6.091916132819603,409.77494403508706,5.593035209340148,0.11232962815362268,-1.2501885122089104e-26,0.003392939241646701,19.459738515336564,0.0009862736636441567,0.37758174780114545,6.83717473836209e-05,0.9777730258554789,0.6110771902532918,9.388839614851838,6.083743730302558,-0.000113198037319491,5.5874387071440275,0.1169393409864387,9.860213721834501,0.06579417759527553,-7.644632365151293e-27,0.34906208760794494
1600,-3.0464426751851526e-06,3.9050115678560626,0.080330257426194,221.0637203957371,4.259555203442505,0.0009973430353480358,668.0859480195701,0.015250145648366152,-1.752364174730664e-26,0.38938911760864453,6.254806032896895e-05,0.0009210013099005805,0.4383628383581715,9.424274270626821e-06,5.402739226915434e-06,0.764979088781187,0.7777045225272503,9.222298376074512,6.092006941267078,409.77520875930196,5.593559015996906,0.11155807676152238,-1.2507671634078202e-26,0.0038433996926652662,19.417090420328606,0.0009690766396087649,0.3775861977341557,6.863654369589214e-05,0.9772428085327002,0.6113132736808676,9.388741871993009,6.085804730937416,4.0105273466282364e-05,5.587728410269759,0.11644405889509882,9.687723880297067,0.0653222513881194,-7.644105169419001e-27,0.3902422905840037
1700,-1.2995891819825676e-06,3.9051541607436953,0.08004241251688976,221.0636800370476,4.260883831011667,0.0009912496143046055,658.6566340596607,0.015902155955184842,-1.7494107063689616e-26,0.3894970046604964,6.240144059839842e-05,0.0009204622226631263,0.43838911154426674,6.574509159774511e-06,5.474381809963999e-06,0.7648743244200139,0.7776192976827645,9.222275876937813,6.092198872065539,409.77520671190837,5.594268653464429,0.11152559247561233,-1.252390928398812e-26,0.0037895552577478357,20.77011156041528,0.0009703907718937527,0.3776684685230022,6.793313289335684e-05,0.9768939699765697,0.6111557549420408,9.388836787888367,6.086114175921447,-8.295237883517427e-06,5.589048632166403,0.11496803040962165,11.219007552408081,0.07326569275441515,-7.645491809009175e-27,0.382445877206545
1800,1.6856716615487844e-06,3.9058074692040354,0.07962254651401351,221.0635985045471,4.261237191538118,0.0009886696325017974,665.9905354915048,0.01577241362200706,-1.7480509483657118e-26,0.38939552200240113,6.237087601644476e-05,0.0009086081553013006,0.4383817508533675,-4.123200127900541e-07,5.304643140344811e-06,0.7648960428832754,0.7777172359759629,9.222329404466695,6.093378552835075,409.7752714053954,5.594912588683857,0.11118854032681395,-1.2514011499542907e-26,0.003802990974369812,25.099171328780315,0.0009584976830786272,0.3778750357691915,6.763931386544712e-05,0.9767238965291399,0.6113193604696784,9.388750265576347,6.0877929425795205,0.00015805514513474585,5.589538056355576,0.11494532543867667,11.962815391463849,0.0698529461623614,-7.647568979348574e-27,0.4086441587091789
1900,-4.9815256223813965e-06,3.906104118975278,0.07968862565344069,221.06354886993003,4.261631819862279,0.0009887272416784377,668.2060159694753,0.016994485996072225,-1.7466812344371524e-26,0.38947615516860506,6.202775964224011e-05,0.0009125259552156414,0.43839308019835393,-6.216217223015375e-06,5.588023600357753e-06,0.7649284659134503,0.7776968288229377,9.222278977793314,6.093738522894652,409.7751379872494,5.594420189507165,0.10918184869915028,-1.2520938470246035e-26,0.004198918096701968,24.661104529025007,0.0009429473748828253,0.3783717628649504,6.735310594877241e-05,0.9765174307928801,0.611603484597479,9.388446924098227,6.088162367602368,-0.0001427402543279306,5.5902307066466035,0.11278691826520443,11.953134229774419,0.07955874171298474,-7.64773554343225e-27,0.45385435506882044
