milliseconds,mLiver,mKidneyPlasma,mRemainder,mPlasmaVenous,mHeart,mMuscle,mAdipose,mBrain,mFeces,mUrineExternal,mIntestineLumen,mPlasmaArterial,mLung,mPortalVein,mStomach,mEnterocytes,mKidneyTissue,mIntestineVascular,mStomachLumen,mRBC,mKidneyTubular
1700,70.4583829350297,9.12358644644648,4.59038470440562,6.011110997122131,14.88575360511737,9.683859445459575,3.206520716228512,4.789789131986386,940.2341684135188,62.59408797048717,671.3988609491574,6.0070845728002915,18.025144029793125,14.246693406321434,18.784719081814615,4150.506735011175,54.10239272975748,92.33447140568461,1577.2957061559628,0.22541792123497142,1452.4910664699723
1800,69.41940344828144,9.187375991308294,4.679938479971835,6.050209016629996,15.037791177513107,10.44459118575075,3.370650231434238,4.829300379902924,982.4113000467966,73.14808619871168,626.6124916930047,6.048087027386749,18.146322095323796,13.926228765347485,19.053073232703934,4018.9625240107903,54.68092953804784,89.65554485674328,1427.1961799327712,0.2474404156563573,1561.9816983344379
1900,68.17621833873224,9.215022547499217,4.743858757546319,6.065996484059242,15.124103811816568,11.17281709922258,3.5151158604204094,4.849015167765701,1021.7299805196761,84.44787582257206,583.4924309555664,6.065510840870614,18.197021612273076,13.580903913771762,19.22801843758594,3877.454563622219,54.981058254819516,86.86286378099892,1291.3805115758873,0.2694704245692441,1665.4969422512002
2000,66.7741653534681,9.211682744617015,4.785294796678643,6.061811859105369,15.153839508449902,11.865650698639609,3.640430511882688,4.851732331476048,1058.3064359781729,96.4501799744711,542.2670367967669,6.062724953822387,18.18732016980397,13.217720761567588,19.322038422372984,3728.49869755695,55.04052096722538,83.99984488806531,1168.4894123319739,0.2914255228875696,1762.6473444930964
2100,65.25132094692285,9.181914298210925,4.807157019101462,6.040601878275252,15.135131016154784,12.521008609794308,3.7473538868474785,4.839930010034595,1092.2689719112902,109.10949066221005,503.0826328524376,6.042704643419059,18.126116217406583,12.842454539411317,19.346365727652586,3574.268341747855,54.893266212612424,81.10160432660173,1057.2929468215273,0.31323561967529495,1853.1814018731616
2200,63.639487147225275,9.12971832900545,4.812092579744075,6.004950665485898,15.075152254091261,13.137491205930742,3.8368205735304293,4.815786915520739,1123.7531960044562,122.378953558391,466.0201035924429,6.008060231338646,18.021215578691,12.459841867291592,19.311003332335073,3416.6434549319197,54.57064352799881,78.19634519031409,956.6782238477446,0.3348414644497568,1936.9622459937848
2300,61.96508306363638,9.058588004593288,4.8024797126865515,5.957112407123346,14.980191158220137,13.714275700900863,3.9098811193166183,4.781207515982302,1152.8982323978773,136.21110225909314,431.1088776371668,5.96106958323035,17.87942912096519,12.073745175080745,19.22478641588289,3257.250105327862,54.10043776117838,75.30654346756884,865.6382587074029,0.35619327902408887,2013.9490607532525
2400,60.24993833553856,8.971559495861301,4.780434612824719,5.899045150259614,14.855730835006588,14.251021922481105,3.9676548250507397,4.737848824251751,1179.8437899503194,150.55846512282042,398.3385749769981,5.903711884494267,17.706674106037624,11.687295094786768,19.095467784280675,3097.4923163294634,53.50734445928459,72.44995429087658,783.2619249481218,0.37724952687580465,2084.1795257117656
2500,58.51200115301543,8.87126263646081,4.747825442199291,5.832444141673442,14.706532784411918,14.747788939231038,4.011291653492061,4.687147260563607,1204.7278699790613,165.37406633557217,367.66882816057415,5.837701052627655,17.508074358348498,11.303014482571884,18.929814084284068,2938.5784579285128,52.81306442288726,69.64047373591731,708.7247897899532,0.3979758059133672,2147.754778137636
2600,56.765960724387206,8.759969725016342,4.706290979942271,5.758773752910475,14.536719055635459,15.204962385777518,4.041942447442897,4.630344713492027,1227.6850399206976,180.61183137182078,339.03733873936505,5.764517803495428,17.28805632927725,10.922924947558354,18.73370656081777,2781.5435030152858,52.03643740482082,66.88886687085872,641.2807983355905,0.4183438666787336,2204.826397426589
