milliseconds,CtrA,GcrA,DnaA,Fts,Zring,DivK,DivK_P,I,CcrM,hcori,hctrA,hccrM,hfts,Ini,Elong,DNA
2300,0.100092895920128,0.7886713675109038,0.5913585772354173,0.2664522075779744,0.9999010339470129,0.6794554859228567,0.3143536311415799,0.10065808995436067,0.4384661578086632,0.947605722388674,0.0,0.0,0.0,4.156858656917347e-05,0.06778457692766815,1.0668145765099708
2400,0.09924981591224494,0.788650296585377,0.5914774124584118,0.2665911030327837,0.9999044653884859,0.6812993928469488,0.31237501708788873,0.09934527539863118,0.4417351291519524,0.947301348088556,0.0,0.0,0.0,4.191505916855762e-05,0.0691542671064792,1.069322530706106
2500,0.09874346672638148,0.7900084386524537,0.5910944908231079,0.26662128791914047,0.9999062476209597,0.6808875189481953,0.31421350146686877,0.09900430399213697,0.4342100352905699,0.945826185469154,0.0,0.0,0.0,4.5403159292595735e-05,0.06967965640256944,1.0693572419602502
2600,0.09876538898181535,0.7898447745346944,0.5902280417338391,0.26340227176223624,0.9999078167793356,0.6821369532562255,0.3110180096469503,0.099153887709028,0.4378929970645897,0.9424048072361378,0.0,0.0,0.0,4.565006987480154e-05,0.07059319248534944,1.0697919968528422
2700,0.09894870422604059,0.7899769999287954,0.5903537906120481,0.2647960590751936,0.9999077816090998,0.6842275281948476,0.3094035510141083,0.09847540663866161,0.4303938973315561,0.9403825309621384,0.0,0.0,0.0,4.8433002380456416e-05,0.07191531575706582,1.0714357032105455
2800,0.09838103786899363,0.7902162684104462,0.5895177513526584,0.2628693806328343,0.9999101662506822,0.6839567323098232,0.3108474944366186,0.0980521316564944,0.4281923479081168,0.9413038938490024,0.0,0.0,0.0,5.3492591561020765e-05,0.07364471814552234,1.0711205506168255
2900,0.09808595313333508,0.7906398391715483,0.5894625748791167,0.2613035251414669,0.999910768059717,0.685946664498984,0.3073677899445986,0.0975598670000039,0.4265115093538065,0.9418319905376661,0.0,0.0,0.0,5.254666572726291e-05,0.07343363197945771,1.0732717935266203
3000,0.09741251671874313,0.791424780885252,0.5891660102580614,0.2616368202429815,0.9999111397047922,0.6859618211017211,0.3068104122830037,0.09747519545719933,0.42494140193970986,0.9393393472598062,0.0,0.0,0.0,5.61586183100675e-05,0.07360069642681445,1.0755166160589644
3100,0.09709888637330609,0.7919208596830247,0.5885615261277399,0.26017267697896335,0.9999125194712706,0.6872981897065914,0.30494170191151776,0.09730486045892636,0.42540046009056864,0.934872727502234,0.0,0.0,0.0,5.893479072114793e-05,0.07552683728947421,1.076618892058251
3200,0.09663280523194874,0.7927636219254957,0.5880249720973334,0.2604879080034577,0.9999129596365836,0.6874510553373384,0.3058516410501935,0.09620813885221823,0.42216268391345063,0.9330015431518128,0.0,0.0,0.0,5.879028279306214e-05,0.07665390969243209,1.0772703894386422
3300,0.09662755143586606,0.7929114713507457,0.5876097239135823,0.25953444736527775,0.9999165851194464,0.6897219015254653,0.30334480755790416,0.09615426061263876,0.418439698742812,0.934514498518621,0.0,0.0,0.0,6.334713326609822e-05,0.07785968156102792,1.0763085142958062
3400,0.09621395510045416,0.7925929553792527,0.5878437458243814,0.2582361086444046,0.9999174921987417,0.688744351865696,0.30330533953020444,0.09648168107968372,0.41590246808137454,0.9330736911690362,0.0,0.0,0.0,6.174448612797962e-05,0.0771949372271342,1.0781605818517266
3500,0.09610925683518917,0.7934093993715,0.5876286711060043,0.25634235793381094,0.9999190934171293,0.6903334744726995,0.3018381683461365,0.09530621269382969,0.4171537033531798,0.9313023207904989,0.0,0.0,0.0,6.484460892360347e-05,0.0785989402989797,1.0804954488318208
3600,0.0952611120925788,0.7944044682805558,0.5873280406132588,0.25583391600479727,0.999921266392852,0.6898845077907266,0.302510883913671,0.0956657289788029,0.41041086287188083,0.9286901668076329,0.0,0.0,0.0,6.467492991650157e-05,0.08004580659361575,1.0792881598287485
3700,0.09460545491474583,0.7946964215659379,0.5869324598945702,0.25495447112697955,0.999922459319859,0.6910771931519811,0.29880562966179003,0.09490031398994167,0.4104370289035109,0.9288921784760614,0.0,0.0,0.0,6.783624138132943e-05,0.08285122341199999,1.0821935097468036
3800,0.09432844934662826,0.7947328183547114,0.5860304406539164,0.2542211112248622,0.9999211581415054,0.6924671312598334,0.3001657368035362,0.09463267139783085,0.41032573933119393,0.9293418255754173,0.0,0.0,0.0,6.859044189651931e-05,0.08153503306663905,1.0816012544367524
3900,0.09394708572962189,0.7949932761342573,0.5855682074713596,0.2534831850287183,0.9999235265661356,0.692733282588928,0.29954643536355596,0.09424928154222248,0.40414281137072616,0.9285190921170902,0.0,0.0,0.0,7.311036568787694e-05,0.08391959476601593,1.0828046441689507
4000,0.09390794353644029,0.7956002013017196,0.5851460088136793,0.25158172865942435,0.9999219047344791,0.6936437090457025,0.29747425863563587,0.09377026755822668,0.4034773306844695,0.9251800618201068,0.0,0.0,0.0,7.622777536548722e-05,0.08388043217904279,1.0860957814397567
4100,0.09400744693648742,0.7962342204947763,0.5846291475436182,0.25045069047765794,0.999926055991134,0.6941398699217234,0.29765425459310024,0.09316877688536157,0.4021974577522028,0.9263009251877744,0.0,0.0,0.0,7.774122196614055e-05,0.08687699999014252,1.084825095279104
4200,0.09315374223807356,0.796188380774554,0.5843919232716276,0.2517387747136991,0.9999280980267289,0.6958809456877151,0.29510579724021446,0.09276596547101415,0.4020700962905979,0.921084443200703,0.0,0.0,0.0,7.678586391800355e-05,0.08745680049535157,1.0875407200607023
4300,0.09252246117871345,0.7961993357765209,0.5844431511356255,0.24833041778688347,0.9999270693683009,0.6958182830512883,0.2949255503784565,0.09244203192647032,0.39798398298653515,0.9230426255626183,0.0,0.0,0.0,7.830276682467019e-05,0.0871035284375231,1.0867387173278071
4400,0.09233355667346808,0.7966170201351941,0.5837136115123907,0.24735938763378068,0.9999265502908122,0.6981795814832522,0.2933173419719553,0.0918889804549373,0.3949231856250826,0.9218364922927028,0.0,0.0,0.0,8.045549713703107e-05,0.08970494402399123,1.0895190939380075
