miliseconds,Gsbg_cell,L_cell,Gsa_gdp_cell,Gsa_gtp_cell,b1AR_S464_cell,PDEcAMP_cell,PDE_cell,b1AR_cell,Gs_cell,A2RC_cell,A2R_cell,PKAC_cell,ARC_cell,PKAC_AKAR_cell,Propranolol_cell,b1ARinhib_cell,light_spot_cell,AC_cell,PKI_cell,PKAC_PKI_cell,RC_cell,b1AR_Gs_cell,cAMP_cell,GsAC_cell,IBMX_cell,PDE_IBMX_cell,Fsk_cell,FskAC_cell,b1AR_p_cell,L_b1AR_cell,AKAR_cell,AKARp_cell,PP_cell,PP_AKARp_cell,DMNB_cAMP_cell,L_b1AR_Gs_cell
1000,0.016034503844794122,0.0,0.0005672688612182626,0.01414004250893889,0.0,1.9383956319182762e-05,0.013981468318123242,0.011828333799806577,3.812519700406656,7.860829342838488e-08,-5.190018929638609e-05,2.2051644682184963e-06,0.00022146636606266496,6.224192507600014e-07,0.0,0.0,0.0,0.0480407188634735,0.17991609958459676,-2.1557467290381083e-05,1.179567020079761,0.0013581350046278696,0.0018724995302467776,0.0016544545806081062,0.0,0.0,0.0,0.0,4.647267868966755e-11,0.0,9.99998221192582,5.228693415751083e-06,0.6699997224577174,8.929414833571752e-07,3.01,0.0
1100,0.01725998264706721,0.0,0.0005694284088500238,0.01485194917832561,0.0,2.1543977045166707e-05,0.013977340961423229,0.011839051430707008,3.811731843374309,8.300477027212938e-08,2.7868505103525925e-05,2.1537468297134514e-06,0.0002784360590560383,1.309843136247071e-06,0.0,0.0,0.0,0.04792114539138139,0.1799302355330847,0.0002273831217450221,1.1796574906663821,0.0013647480181632476,0.0019827415187151838,0.001800951740010126,0.0,0.0,0.0,0.0,6.132501797773405e-11,0.0,9.999979310069973,3.6643744744212536e-07,0.6699999412776101,1.3056729106068811e-07,3.01,0.0
1200,0.018157638793304,0.0,0.000572634945877864,0.015414229407419667,0.0,2.569030200923187e-05,0.013975504669277819,0.011836300637378139,3.810760686092162,1.251292816430347e-07,0.0003011508126950172,3.231771955340224e-06,0.00030151604779664245,1.3473078025233373e-06,0.0,0.0,0.0,0.047784416197583675,0.1799784198051577,0.00021578445318301288,1.1796326133974657,0.0013642685964659917,0.002375964284853327,0.001865765979326773,0.0,0.0,0.0,0.0,6.527742051855749e-11,0.0,9.999992530305137,1.586855850492025e-05,0.6699977551167623,1.0907878278934618e-06,3.01,0.0
1300,0.019497501647560096,0.0,0.0005783530092690396,0.016267271627755972,0.0,2.928483430919597e-05,0.013971738290954399,0.011826894859941987,3.8097668968799985,1.533347055551944e-07,0.0002693085020207652,3.2824812635599724e-06,0.00033950596440913684,1.8165390946866882e-06,0.0,0.0,0.0,0.047740985000782235,0.17966777581104929,0.0003389764792290817,1.1795386911429886,0.0013715753358869657,0.0027302184994625143,0.0020112627323459697,0.0,0.0,0.0,0.0,4.659442391751551e-11,0.0,9.99995876517376,1.982175351092441e-05,0.66999778556176,2.3274813384912156e-06,3.01,0.0
1400,0.019900858532252395,0.0,0.0005756125087191346,0.017293997011294762,0.0,3.099244610252466e-05,0.013969239866086723,0.011841723704850569,3.808425445866566,1.7349945784311553e-07,0.00044047449190376755,4.999322579234175e-06,0.0003747946790678801,2.0123116861117317e-06,0.0,0.0,0.0,0.047629488934052826,0.17980329709003898,0.0003964086637251243,1.1793312136713252,0.0013602139928704422,0.0028926483825718226,0.0020468200137941346,0.0,0.0,0.0,0.0,1.0561715964728079e-10,0.0,9.999955693532028,2.8810152675311687e-05,0.6699971500377638,2.8949101058998837e-06,3.01,0.0
1500,0.020645885207158023,0.0,0.0005796285351661601,0.017635124795680135,0.0,3.4099532606785125e-05,0.01396538457751363,0.011838122698969177,3.8081468300144126,2.171799710513288e-07,0.0003914116241139328,6.169068020383466e-06,0.00041369560395411063,2.450935400213338e-06,0.0,0.0,0.0,0.04754046377642293,0.17967700144798301,0.0002223552779850523,1.1791589106956888,0.0013691875705806288,0.003105903978558449,0.0021220734605917778,0.0,0.0,0.0,0.0,6.685419812496475e-11,0.0,9.999945897221334,3.482312886062651e-05,0.6699952749211517,3.7660501883592076e-06,3.01,0.0
1600,0.021048139647182676,0.0,0.0005752236471226878,0.01828977286165576,0.0,3.696039873238651e-05,0.013963544260244239,0.011837383374749271,3.807532122825489,2.599265885703666e-07,0.0005789173684694983,6.939238190117983e-06,0.00044124075886100184,3.017595556912992e-06,0.0,0.0,0.0,0.047525774599466226,0.17957309612902872,0.0004831924460851685,1.1791737552261732,0.0013597198182394002,0.003490996943669269,0.0022054518247049035,0.0,0.0,0.0,0.0,7.334950692934605e-11,0.0,9.9999421981496,5.396883925745404e-05,0.6699957462898576,4.1759632885481e-06,3.01,0.0
1700,0.02195751054715162,0.0,0.0005801822795301548,0.018894823436159926,0.0,4.001841102638963e-05,0.01395999534474522,0.011831881146474542,3.806795292662501,2.75289962800535e-07,0.0006018164090951284,7.2356795125940355e-06,0.0004637155876774415,3.546625026221993e-06,0.0,0.0,0.0,0.04744175693186897,0.179476205791644,0.0005266735762278705,1.1788142680777387,0.0013611628678039675,0.003664247233396436,0.002305302423345284,0.0,0.0,0.0,0.0,1.407272629888681e-10,0.0,9.999923607671565,6.722255185141433e-05,0.6699931622320174,6.846681782875577e-06,3.01,0.0
1800,0.022389638679893742,0.0,0.0005725237354420542,0.019752637675858508,0.0,4.260426968491146e-05,0.013958769828241811,0.011837377111838267,3.805694158998067,3.4120145466051004e-07,0.0006323465099579337,8.308781599455258e-06,0.0004998200616888679,3.9121349776815705e-06,0.0,0.0,0.0,0.04735849415431623,0.17940270434593003,0.0007049343828902318,1.1786775162519323,0.0013708665358912132,0.0038420143362996794,0.002377400738586201,0.0,0.0,0.0,0.0,2.1292880576509095e-10,0.0,9.999906546763265,8.375885267831643e-05,0.6699929699524818,8.254449582476166e-06,3.01,0.0
1900,0.023544632283582213,0.0,0.0005717175203470283,0.020046883440178725,0.0,4.283095482557768e-05,0.013956857955825443,0.011831363346916951,3.8052088100301646,3.5163570705977727e-07,0.0008148001701954588,9.64714472324846e-06,0.0005212906528485854,4.840688321146634e-06,0.0,0.0,0.0,0.0473004567602464,0.17907974091987175,0.0007498852752935928,1.178460840549201,0.001373657676714552,0.004170031853914507,0.0023890122092819458,0.0,0.0,0.0,0.0,2.355119654701513e-10,0.0,9.999896625629278,8.745004549795868e-05,0.6699918992592535,9.45689892535055e-06,3.01,0.0
