milliseconds,PolyQ,Proteasome,NatP,MisP,MisP_Proteasome,AggP1,AggP2,AggP3,AggP4,AggP5,AggPolyQ1,AggPolyQ2,AggPolyQ3,AggPolyQ4,AggPolyQ5,SeqAggP,AggP_Proteasome,mRFPu,mRFPu_Proteasome,PolyQ_Proteasome,ROS,p38_P,p38,p38death,PIdeath
1000,1000.0,1000.0,19500.0,-2.4007574172592708e-29,2.2707052706396984e-46,2.3760696655728076e-53,-1.1264054654301433e-89,-6.689941594236094e-126,-1.909044036272363e-160,0.0,2.7213583875111384e-31,-3.524092008043989e-49,1.2162523085466255e-66,-3.2183284582269744e-84,-6.284685688326943e-101,-5.101264887947085e-116,3.617492888864406e-50,300.0,-6.004937706039888e-30,-3.1514573617933187e-30,10.0,3.184875832929238e-31,100.0,5.46793929383912e-51,2.2039704863002875e-69
1100,1000.0,1000.0,19500.0,1.643526364209247e-29,7.325521102058797e-47,1.5514235223167205e-53,-1.652824466417721e-90,-3.6960129131622207e-125,2.324393013543062e-161,0.0,5.957512117751465e-31,6.995875664570493e-49,-1.9096955593061587e-66,1.0741892668292022e-82,5.617584709947096e-100,3.375186798142074e-116,-3.6407910864726496e-49,300.0,6.786265788978989e-30,-8.33053163540399e-31,10.0,2.664315083475923e-31,100.0,-4.663110612432057e-51,2.3137011413659199e-69
1200,1000.0,1000.0,19500.0,-1.6488811976666847e-30,-2.1415534267877496e-46,-2.0936980880585413e-53,-1.5262233004483886e-89,1.0033131295236031e-124,-1.5059882006515867e-160,0.0,-3.6426701651100544e-31,-8.635006033589998e-49,-5.910335888735927e-66,9.731738297117416e-83,-1.2425498175514147e-100,-1.3070713631124202e-116,-4.5705716923256345e-49,300.0,-2.9814685540820243e-30,-7.938554119449176e-31,10.0,-3.1391330113308364e-31,100.0,-4.1010661083991994e-51,-2.9858461962043523e-69
1300,1000.0,1000.0,19500.0,2.332588796821972e-29,-1.0351155146860246e-46,-1.7343190360934957e-53,1.0412700916650337e-89,6.332564208098281e-125,1.0376066438796911e-160,0.0,2.168212719440662e-31,-2.270833753894223e-48,-1.406377771460237e-65,-1.062452305410463e-82,-4.843917459778793e-100,-4.366763151765966e-117,2.0611309750987876e-49,300.0,-6.300531999679467e-30,-2.483927578232615e-30,10.0,-1.4602905583993224e-31,100.0,4.139988993086664e-51,-4.478468999075846e-69
1400,1000.0,1000.0,19500.0,-4.143036355872424e-30,-2.4395540183054316e-46,-8.328533642302493e-54,1.2769195979528127e-89,4.907908505196738e-125,-1.8610483333163226e-161,0.0,5.390935284004655e-31,-2.7442677852848527e-48,-2.479884612857081e-65,-1.1792819394107226e-82,1.977330810583194e-100,1.523652206101266e-117,-1.0709660710991159e-51,300.0,-7.703252084826474e-30,1.0208936062863765e-30,10.0,-2.423906254807824e-31,100.0,4.6446283547894895e-51,-2.6833958838715463e-69
1500,1000.0,1000.0,19500.0,-2.736910925833957e-30,-1.835336328040154e-46,6.986531746553763e-55,2.144895630189091e-89,-2.994676956726915e-125,-2.6090937327946636e-162,0.0,4.76596030438417e-31,-3.218001326321417e-48,-3.1873944585211154e-66,1.2507104887053218e-82,6.968599501595475e-100,3.884249852674484e-116,-3.1919798408192572e-49,300.0,-2.4129070706452054e-30,-5.132631044532412e-31,10.0,1.4250988764838117e-31,100.0,3.0395099709265567e-51,-3.5928562206285676e-69
1600,1000.0,1000.0,19500.0,1.0593116090647946e-29,-1.0880282798929356e-46,1.7677332705532684e-53,-4.339345980836931e-89,-6.730706060561219e-125,1.3378367946556807e-160,0.0,-2.6967286370117057e-31,-2.7576503681482464e-48,7.315580736033548e-67,-4.301712949083539e-83,1.4771281909858718e-100,-3.9597137768027873e-116,3.1386957221138366e-49,300.0,1.599374580763184e-30,5.1155726054077215e-31,10.0,-7.618402912608299e-32,100.0,-4.081178864104271e-51,1.2649420859195764e-69
1700,1000.0,1000.0,19500.0,-1.3001345222009621e-29,-1.0207060923771592e-46,-1.028323395060683e-53,-4.630911533399736e-89,6.708986744051802e-125,8.24128451085414e-161,0.0,-3.945185034755228e-31,-3.385982010045265e-48,2.4272846978948106e-66,-6.82570991072454e-83,-7.806612140491952e-101,4.647058451260985e-116,1.3253089632590138e-49,300.0,-9.449593274313294e-30,1.7630100094716213e-30,10.0,5.684456290832362e-32,100.0,-6.31596840714054e-51,-2.2167561797882767e-70
1800,1000.0,1000.0,19500.0,-1.444651619781763e-29,3.0422470431388506e-47,-8.677360484035458e-55,1.0939145194233251e-89,-3.9264830756469214e-125,-1.4520080784305674e-160,0.0,-7.457841473418126e-31,-2.1617994234181097e-48,-2.0386765090544234e-65,9.119946148724221e-83,4.0441536242109834e-100,-6.92182241826619e-117,-4.3712518220004335e-49,300.0,1.5921454043336622e-30,1.998079495528604e-30,10.0,2.9649347252308094e-31,100.0,-3.280429340544724e-51,4.3893148094643176e-69
1900,1000.0,1000.0,19500.0,-1.616596917335331e-29,4.742990714140314e-47,2.0467836460050567e-53,-5.248429758688634e-89,4.3018934191776276e-126,-7.200247775478496e-161,0.0,-1.1434573333359378e-31,4.355838134855843e-48,3.0297293804788487e-66,-5.9372559277886974e-83,5.858949678578263e-100,1.411845122188405e-116,6.334086319595849e-49,300.0,-1.6130902983754567e-30,1.3273865340165061e-30,10.0,-1.1298145963315144e-32,100.0,-4.664430972908198e-51,-1.456434399756263e-69
2000,1000.0,1000.0,19500.0,-2.2181749066046425e-29,-1.0976270663989916e-46,-3.6626059209821636e-54,-3.38253209118113e-89,3.163450906331626e-125,1.8558673243806163e-160,0.0,-2.4788084419500874e-31,-1.9206143234460074e-48,-2.1039264028649873e-66,-1.0309103612479442e-82,2.577999614667774e-100,-8.868816891161361e-117,-7.902097494524006e-50,300.0,-7.191975599095005e-30,-2.446259171952824e-30,10.0,2.0970050279025454e-31,100.0,6.400592264957489e-51,-3.466497710086742e-70
2100,1000.0,1000.0,19500.0,3.527253443213798e-30,1.7869534216820828e-46,-1.9036245832364516e-53,5.5088648453912315e-89,3.6259324953955885e-125,-1.7200502571081186e-160,0.0,-3.0266261357450374e-31,1.0823957975078547e-48,6.828906226684577e-66,2.3450693856997144e-83,6.2939224786363e-100,-4.644340419777079e-117,8.083658304101865e-52,300.0,-3.465406388733594e-31,-1.5140526319807004e-30,10.0,-2.2153097482304653e-31,100.0,4.543488468570027e-51,1.9244529722351276e-69
2200,1000.0,1000.0,19500.0,-1.0396504367481329e-29,2.59768093512464e-46,2.630967807525389e-53,-1.8278680589449463e-89,-7.418296238704438e-125,-4.5870103531090836e-161,0.0,-3.8661067016631927e-31,-4.554012706866571e-48,2.3986086072189587e-65,-7.428184190880145e-83,-5.528138352724035e-100,5.176544146931509e-116,-1.792367612520377e-49,300.0,-5.6364911578112835e-31,2.8204726538924566e-30,10.0,2.4283274967556315e-31,100.0,-2.5248882109518008e-51,-1.3235192595892879e-69
2300,1000.0,1000.0,19500.0,7.526271103998788e-30,2.9019344536059982e-46,-2.3578450341627164e-53,3.197742818740375e-89,-1.040509223068781e-124,7.422949837240978e-161,0.0,4.087319134658476e-31,1.4588457059962362e-48,-1.4054408416395568e-65,3.372655025593621e-83,4.429618548785558e-100,-4.251157130519448e-116,-1.4553422484664418e-49,300.0,9.812951422360718e-30,1.2466550846040596e-30,10.0,-1.7334464106588636e-31,100.0,-2.7806883216609473e-53,-3.3117739518281036e-69
2400,1000.0,1000.0,19500.0,2.489263720002106e-30,1.0481069040710056e-46,1.0391504911125697e-53,-4.428372085153507e-89,-1.0077255506610026e-124,-1.1726936729028234e-160,0.0,1.7604174782089812e-31,-1.980555580756502e-48,-6.226260134912051e-66,6.286811214337695e-83,4.985923819546292e-100,-3.920771105612338e-116,3.66185630360113e-49,300.0,-8.03419723176558e-31,7.349495235571989e-31,10.0,2.564084188936296e-31,100.0,1.741541626166207e-51,-1.1685052793579745e-69
2500,1000.0,1000.0,19500.0,-3.0007103748907165e-30,-1.5630841901709142e-47,2.6150114402920394e-53,2.7847533186922443e-89,5.041379772700545e-126,8.774518104246591e-162,0.0,8.54035037080942e-31,-6.659590816470297e-49,-2.3616427952544195e-65,8.731884794385505e-83,-4.796821695410221e-100,-3.354176334820238e-116,-1.897606835036976e-49,300.0,2.6807975746291068e-30,2.254060397528636e-31,10.0,1.0949779491580554e-31,100.0,2.1431518784698262e-51,-2.3423361366368956e-69
2600,1000.0,1000.0,19500.0,4.219838270854499e-30,-1.371760881896132e-46,1.8983589860914746e-53,2.733982117492107e-89,-1.964305416328936e-126,-1.9688014567187387e-160,0.0,-7.237179824575879e-31,-3.9880667554852757e-48,1.2775005640213882e-65,-1.1840779895106259e-82,-6.84871998591731e-101,-2.2264408070976325e-116,-4.212200681211275e-49,300.0,6.311750145740678e-30,1.3167279585140253e-30,10.0,-3.3603528544523196e-31,100.0,4.2217403948213295e-51,2.075063665508275e-70
2700,1000.0,1000.0,19500.0,-1.0795419418652915e-29,-1.3269053019123215e-46,2.25237522884388e-53,-6.011869650316339e-90,9.749959226916179e-125,-1.475297001829626e-160,0.0,-6.5207944992904055e-31,-8.285404296833435e-49,2.471726386680575e-65,1.8908623392515863e-83,3.5199569896124334e-100,-4.123664379679803e-116,-8.19980976399689e-49,300.0,1.6646771959195543e-30,-1.108745349320859e-31,10.0,-3.2990306791953174e-31,100.0,1.7663045538951156e-52,3.3848804949996935e-69
2800,1000.0,1000.0,19500.0,-1.4383530125930885e-29,-2.459729656960757e-46,7.149728318360495e-54,3.4401739593535206e-89,-7.054683183651961e-125,-1.6325609252768867e-160,0.0,-4.591944757549505e-31,3.578126316141603e-48,-1.9233347622334378e-65,-2.771327953215554e-83,-9.12527562289428e-101,1.0691024905298533e-116,-6.3951929206310634e-49,300.0,-4.220066120888965e-30,1.177661186419728e-30,10.0,2.46975930767825e-32,100.0,6.511294093281282e-51,-1.0310518925162164e-69
2900,1000.0,1000.0,19500.0,-1.360739496300022e-29,-1.7612854458480976e-46,2.543316195661143e-53,-5.510475102500154e-90,5.682912459981539e-125,1.0669725023997315e-160,0.0,3.006137757438505e-31,-9.33283052862827e-49,1.6833118891304432e-65,-1.2158864963303546e-82,-4.637892359794266e-100,3.665088231980117e-117,3.2521071194733945e-49,300.0,7.460128988543544e-30,7.7846961729258e-31,10.0,1.2616728224795858e-31,100.0,-4.5690210033210005e-51,4.927880544452216e-69
3000,1000.0,1000.0,19500.0,-1.6809956368581947e-30,2.7799894691854442e-46,-7.780593965838571e-54,2.997012767926143e-89,5.607162203187616e-125,-9.924878669839281e-161,0.0,5.7883882844684206e-33,1.1970248829774133e-48,1.634762866710008e-65,-4.6281800739313234e-83,-2.1094448234981149e-100,1.3824182628190237e-116,2.0605465003886643e-49,300.0,-4.112860575101525e-30,-2.905161927538752e-30,10.0,2.3715058484438695e-31,100.0,6.000454487127468e-51,-5.106626040564658e-69
3100,1000.0,1000.0,19500.0,3.553412936621233e-30,-3.495529987310809e-47,-1.3621568804633901e-53,3.879618008055094e-89,9.067625959168368e-125,8.779922843088567e-161,0.0,2.744539083021586e-31,1.9260525033445643e-48,-1.1310375946238244e-65,-9.31859504855534e-83,5.887805897899547e-100,2.602935677371184e-116,-4.405759577410758e-49,300.0,8.699212962728153e-30,-2.8841886155082467e-30,10.0,1.4822843686809739e-31,100.0,1.5958520648843994e-52,-5.5573956938014057e-70
3200,1000.0,1000.0,19500.0,1.2474239721553225e-29,-1.703717329164054e-46,-8.403409888215599e-54,5.4367101173033e-89,6.925451144759713e-125,3.591411058211041e-161,0.0,4.632327040993916e-31,1.8205938700513968e-48,4.913536121611774e-66,3.707931740308196e-83,7.2401915717493e-100,3.168681298560082e-116,-6.94157699345638e-49,300.0,1.2012829401678944e-30,1.4379980713367173e-30,10.0,1.3282638837440569e-31,100.0,-3.9705133057478404e-51,-3.7203223830866836e-69
3300,1000.0,1000.0,19500.0,-2.0173292343292008e-30,-1.1465406981884605e-47,-8.430634690064494e-54,-1.9616629437182598e-89,-1.0027970814686646e-124,7.689149601893522e-161,0.0,-4.96644144714891e-31,-2.704827014888315e-48,-1.79697186826751e-65,2.293313100714172e-83,-7.01297087154545e-100,1.731860055002948e-116,4.5537266030853215e-49,300.0,-5.55870121287163e-30,9.211886576848826e-31,10.0,2.2888374236037095e-31,100.0,-5.1518632203081263e-51,2.9206021393059653e-69
3400,1000.0,1000.0,19500.0,-1.4940086603356992e-29,-3.2609478210796786e-47,-6.689614882683381e-54,-2.2009373623202497e-89,7.218215316916852e-125,-1.3103601937375167e-160,0.0,7.065597810497311e-32,1.8742170523101305e-48,4.5598512629711853e-66,-1.3466427943141015e-82,4.5142872149447526e-100,5.0525056203961943e-116,-5.601197436359938e-49,300.0,-2.9676964597188764e-30,2.1448996127774505e-30,10.0,7.344687018648461e-32,100.0,6.318028897797302e-52,-1.2704772212092038e-69
3500,1000.0,1000.0,19500.0,1.5712859623613097e-30,1.4013680536633832e-46,2.1690445512324863e-53,-2.9050064093761417e-89,9.830149464828542e-125,1.9308554732547637e-160,0.0,-1.4029931787371842e-31,-3.0103675751613076e-48,3.9178819608033384e-66,-7.793585968638829e-83,5.917136867978114e-100,5.849567522527564e-116,-7.825810050053696e-49,300.0,7.050925892446267e-30,4.949996633101082e-31,10.0,1.2828578014231887e-31,100.0,-8.993381402659397e-52,-4.3243861281765376e-69
3600,1000.0,1000.0,19500.0,4.717845529447959e-31,1.7651517619129357e-46,-2.167033136211679e-53,-2.324646872444686e-89,-6.507785709029083e-125,5.486570721796857e-161,0.0,-5.039080881879413e-31,2.0017840211326705e-49,9.377002777074397e-66,3.797428358901031e-83,4.203524046874938e-102,2.610368556117989e-116,-4.107575651808434e-49,300.0,-2.795247910119006e-30,1.938675510225202e-30,10.0,-3.2713538726126657e-31,100.0,-3.788689779355622e-52,-4.044642274952621e-69
3700,1000.0,1000.0,19500.0,-2.3031912022131246e-29,-1.7293658196430412e-46,1.3434653794351443e-53,-5.139381409032414e-89,1.9863073279534957e-125,1.4006924900227394e-160,0.0,-3.077227929825628e-31,-1.6687409514375072e-48,4.970926975400064e-66,-1.8124610518128287e-83,4.2337317292439614e-100,3.913954067072186e-116,9.232995631538405e-49,300.0,-5.044526115188123e-31,2.609884538023913e-30,10.0,1.3580290311755397e-31,100.0,1.4003953546566747e-51,-1.0590391733981633e-69
3800,1000.0,1000.0,19500.0,-1.5817376728636859e-29,-2.2765423069412366e-46,3.655445232437122e-54,-2.1187866539734634e-89,-9.801760825359648e-125,-1.7731429474145184e-160,0.0,-6.661892922595178e-31,2.8170626746711516e-48,8.221194631683177e-67,1.291573669951395e-82,-5.620016649243092e-100,4.0966241537366347e-116,4.150405956322047e-50,300.0,4.238449244270993e-30,-1.4971501013146875e-30,10.0,-1.3050652830936376e-31,100.0,3.474214105034885e-52,1.071010647689199e-69
3900,1000.0,1000.0,19500.0,1.2409297498964156e-29,-2.80012384350966e-46,1.0911224741536392e-54,4.112884192549036e-89,-1.7834312441858336e-125,1.8514937723731644e-160,0.0,-4.399766544163101e-31,2.1106041063349518e-48,2.568528489299031e-65,-2.2813807744958883e-83,6.219843923490797e-100,-8.876805501879334e-117,-7.033251190038618e-49,300.0,-7.339046465708583e-30,2.994047152352136e-30,10.0,-2.085322826121961e-31,100.0,5.206536120256807e-51,-1.1585032719293261e-69
4000,1000.0,1000.0,19500.0,1.962481736573e-29,-2.3315090046326006e-46,2.6452587937448684e-53,4.679696486983865e-89,-9.267804500335418e-125,1.74491512037634e-160,0.0,-6.078884149569583e-31,4.313418447856423e-48,-1.1011217708323048e-65,-6.2655459899279845e-84,-3.382593431205146e-100,-1.3756926242300297e-116,-8.674501012545494e-49,300.0,7.398087674212458e-30,9.500789957319786e-31,10.0,-2.76555751169737e-31,100.0,-6.020095697726763e-51,-7.380855910887596e-70
4100,1000.0,1000.0,19500.0,1.8843076879955396e-29,-1.5713005157183564e-46,-1.4260657206259985e-53,-2.2544445404668516e-89,1.97251207296808e-125,-6.798533890368351e-161,0.0,5.542892544008479e-31,1.928552925007957e-48,1.963110383332178e-65,-1.1864400216260962e-82,-2.421213474144048e-100,1.4509566317386725e-116,7.821511739357393e-49,300.0,3.790014749680711e-30,6.824115575626781e-31,10.0,1.4569420768606806e-31,100.0,-3.6982843504191107e-51,-3.1279809467116436e-69
4200,1000.0,1000.0,19500.0,-2.0987372268560505e-29,1.6079787098608166e-46,-2.5245996294177534e-53,1.5385086072556756e-89,8.831777871540943e-125,6.356350271273714e-161,0.0,-6.581211163803764e-31,4.2671884335937784e-48,1.7282839020765118e-65,-3.588043923661978e-83,5.700667495984241e-100,-2.3588084704319013e-116,-7.738200043476319e-49,300.0,1.6723238791330688e-30,6.966581914321194e-32,10.0,1.082114801267898e-31,100.0,-2.5371026889190525e-51,-8.257212237473062e-70
4300,1000.0,1000.0,19500.0,2.640430454899902e-29,-2.234936868638309e-46,9.245069451596168e-54,4.534658269889762e-89,1.0299722925395498e-124,-9.228130314008184e-161,0.0,-5.2143703178416736e-31,-4.37382939768113e-48,1.2537218724647613e-65,6.112997783216111e-83,2.306642087072662e-100,-1.3524468395700604e-116,-3.190618065874139e-49,300.0,-3.271056760294601e-30,-4.895406185060334e-31,10.0,2.896717445392943e-32,100.0,-1.7650302470719443e-51,-3.417598482062943e-69
4400,1000.0,1000.0,19500.0,8.457318205897372e-30,3.9220445174232373e-47,7.628919160994496e-54,-4.268792211768191e-90,6.623089833701458e-125,-6.424717727623194e-161,0.0,7.297380229450499e-31,-3.759590568816333e-48,2.2338571463112564e-65,1.0723421032241574e-82,-4.623374053571515e-100,4.407666025718237e-116,3.039945666840167e-50,300.0,8.658677055752327e-30,-3.0190358164544706e-30,10.0,-5.816339538177906e-32,100.0,-2.975386881261919e-51,-4.401118485042542e-69
4500,1000.0,1000.0,19500.0,2.18714675879352e-29,1.4085896468992181e-46,2.4588572705776965e-53,2.4298736762091406e-89,-7.859466778194172e-125,-1.8221597247943902e-160,0.0,1.8452625276740255e-31,-2.26488211157812e-49,1.137188290668126e-65,-2.606104495414059e-83,1.213240028190808e-100,1.0035113081373405e-116,5.372285993361491e-49,300.0,1.0693350247424847e-30,-2.655381938696043e-31,10.0,1.457676043851118e-31,100.0,-4.704703198455995e-51,-3.7102697238347925e-69
4600,1000.0,1000.0,19500.0,3.3446018048580966e-31,-2.2581387403352036e-46,1.4139518636266194e-53,-1.7858027596075012e-89,2.5362290066734746e-125,4.774701849124278e-161,0.0,5.3500887149385714e-31,-3.5203522705155344e-48,-1.7950566160013343e-65,-5.751815058298702e-83,-4.7230241695425723e-101,-4.475739384849026e-116,-3.528262265755738e-49,300.0,-8.729348908373855e-30,2.622125047176159e-30,10.0,2.643234837656857e-31,100.0,-2.1789398820363153e-51,-9.623471061257975e-70
4700,1000.0,1000.0,19500.0,1.8072626045397487e-29,-5.010579865576087e-47,1.7771480538477695e-53,-4.5591240750967585e-89,-7.146428441090547e-125,7.712850111434179e-161,0.0,-7.313381608112704e-31,-1.579845727648755e-48,-1.4550215444965627e-65,-5.501842885910174e-84,-4.36322238988382e-100,-3.273572383300616e-116,6.341140766450734e-49,300.0,1.819705120410845e-30,-2.2991169008930727e-30,10.0,-1.1255372236782608e-32,100.0,5.839486881279278e-51,-1.0019969075482806e-69
4800,1000.0,1000.0,19500.0,1.5222533892542485e-29,-1.0238084743014862e-46,1.841165596214746e-53,6.523663853336591e-90,-8.019575737699504e-125,1.1616614403983122e-160,0.0,5.450862790638037e-31,-1.2066385437271154e-48,-4.900008577733397e-66,-2.7042178308180997e-83,-6.544358315246726e-100,-5.1279789092045325e-117,-3.0993124360066025e-49,300.0,-8.130344398483682e-30,3.349962351309643e-30,10.0,-3.423869567854913e-31,100.0,5.0661510504325255e-51,-3.260389182476591e-69
4900,1000.0,1000.0,19500.0,7.910134196332345e-30,1.3544881337229244e-47,-3.8663818855883694e-54,9.79097136994836e-90,-7.431136414340863e-125,-1.3146384539503387e-160,0.0,-8.34465483338996e-31,3.803117361616179e-49,1.8368267932375863e-65,6.20268838840095e-84,3.618346481222358e-100,4.0271769398928196e-116,8.342353684605354e-49,300.0,1.376528653462998e-31,-2.3445146449245253e-30,10.0,-3.152500957493284e-31,100.0,7.450435904037714e-52,4.043464510577132e-69
5000,1000.0,1000.0,19500.0,1.490664255482528e-29,2.9352327127859352e-46,-1.6218223764008697e-53,-3.3347836140225615e-89,9.227164288910886e-125,1.7659479222176204e-160,0.0,2.8294793746983765e-31,8.842814308291615e-49,7.151398127191814e-66,1.0462057963973354e-82,3.9632784171624703e-100,1.0470308244730793e-116,-9.105573507761145e-49,300.0,-8.722869694659116e-30,-6.466607196002535e-31,10.0,-7.046997709680215e-34,100.0,-2.1583715779829674e-52,3.211440786208451e-69
