milliseconds,H2O2_p,per3_p,coI_p,MLTH_p,coII_p,MLT_p,O2minus_p,H_p,O2_p,NADPH_c,O2_c,NADPplus_c,H2O2_c,NADP_c,O2minus_c,H_c,MLT_c,MLTH_c,coIII_p,NADP2_c
1000,2.8285150225471823e-07,299.68381735945854,-6.242632493323462e-07,299.9999375277277,-0.0008921766116677737,0.0006413816311435557,5.7944356873174024e-05,-7.621272442081765e-07,11.227529336150894,25.982135480133724,12.02989979085307,0.011916631985444655,8.08753584026257e-05,1.7597048778456345e-07,0.00012391552231732242,-0.0004653610032777175,1.6503082748129558e-07,299.9999993619026,-0.08264846969427556,7.648872037992051e-11
1100,3.807236219024097e-07,299.8842728311349,-3.5677716043661464e-07,299.9993813754849,-0.00020059734622922991,6.699862827965662e-05,0.0001200668254269595,2.9102849187880273e-07,12.314179753611743,29.918004639150375,13.15395028462828,0.009057441619421267,2.9687437004351274e-05,4.130956627970052e-07,0.00018130621981646286,3.1433443493950333e-05,1.0756573296524126e-06,299.9999989667015,0.39942687811318645,5.140745875398172e-11
1200,-2.864265009045076e-08,299.35111530726226,2.1175059942188125e-07,299.99931361870244,0.0023903893578384786,0.000338324056243414,0.00010797939139318681,6.400723763092479e-07,12.725586175418412,27.291775136985716,13.904500059844127,0.015871750286073044,1.5652881698007904e-05,4.144377869581213e-07,0.00020832827168230968,-4.8586457028926774e-05,7.405464345146792e-07,299.999999295399,0.6342090263447446,-3.519350627873582e-11
1300,1.80613932463145e-07,299.7077023754626,1.344931211107261e-06,299.9999789407952,0.0023380369728040577,0.00011423555288873972,0.0001441604180942588,-4.826601479137763e-08,14.524185883279337,32.12158051210047,15.429785833740643,0.004336572647642312,0.00011311794923492015,2.2143017013072394e-07,5.130119833543786e-05,0.00044071634287964315,6.457021155843239e-07,299.99999861431223,0.07115171712713436,-7.102219142387137e-11
1400,4.836502992003839e-07,299.46731519917813,2.3576798157825873e-06,299.9998646645695,0.0009319546693999253,0.0008720085541066897,0.00017432416334190834,-5.311646234649795e-07,16.260028168655918,35.12415946537078,15.963277238764348,0.008435314883215302,5.976154601460743e-05,6.726551341832374e-07,3.972360397941952e-05,-0.00014476850692412576,1.5427636995732168e-06,299.99999902819764,0.4959808467891487,-3.929457486142599e-11
1500,4.6620688827865804e-07,299.4310789852363,2.5904855172399487e-06,299.99997746205884,8.120247505641115e-06,0.00016588621002253736,0.00018169813681287033,-4.69503428004067e-08,15.471274754504856,39.07893337598656,15.994623577476823,0.03411412479634234,6.56480005699482e-05,4.190130899331738e-07,0.0002662225336875418,0.00011448747748300094,1.2222989250200016e-06,299.9999990819619,0.6256427154413271,7.030714219842374e-11
1600,5.044748611877794e-07,298.9906712352461,1.6126316665532844e-06,299.99891427720496,0.0016883257110217528,0.0010552013318512747,0.00018115431430774275,1.307162139993727e-07,17.980075732039843,36.633465409735955,18.426651915787005,0.02676988765556066,0.00016831524676570297,4.774959354852261e-07,0.0002508802811576719,0.00020100887509778959,1.5483179346716646e-06,299.9999990096865,0.4712787522719784,-5.755069747319567e-11
1700,2.621226072796623e-07,299.27172921093046,1.921855438611216e-06,299.9995628573618,0.0022978033031121536,0.0010051371234332186,0.00019005929340391164,-2.6961963584716164e-07,17.57132716497148,40.948170102766326,19.180593696460555,0.03948627051644469,0.0002712760257164344,8.608451396735456e-07,0.0003543385789652259,-0.00019685494666964653,1.675697656976923e-06,299.9999985642588,0.4890994122374391,4.284588673700937e-11
1800,3.3653257941292205e-07,298.8334483523183,1.4070419937782056e-06,299.99886161516827,0.002668593706602337,0.00045129242257938663,0.00017900911634860777,-7.536179888330424e-07,18.351150361918897,45.55021927172798,19.7924606059433,0.042086326849411354,0.00018348570683840367,7.1988824644911e-07,0.0004312226389723109,0.00019622498641683772,2.0534100239667112e-06,299.9999981544145,0.7891850297632605,1.0079903055724461e-11
1900,3.4304215619633993e-07,299.0875745672097,2.0255057005128957e-06,299.9989326515173,0.0026657003646584827,0.0012815305375910829,0.00024919325097359606,-1.3172672052753851e-07,19.32134188767849,44.48551903767933,20.13625972937859,0.05178147110027456,0.00035180944925422846,7.872719717557104e-07,0.00048823328104026856,-0.0002416934209385495,1.6016151911178614e-06,299.99999800420056,0.9820117133200951,5.489352927165941e-11
