miliseconds,APC,APC_Va,Va,Va_i_506,Va_i_306,APC_Va_i_506,APC_Va_i_306,Va_i_306_506,Va_1_306_Va_LC,Va_307_506,Va_507_679_709,APC_Va_1_306_Va_LC,Xa,Xa_Va,Xa_Va_i_506,Xa_Va_i_306_506,Xa_Va_i_306,Va_307_679_709,PT,Va_PT,Xa_Va_PT,Xa_Va_i_506_PT,Xa_Va_i_306_PT,Xa_Va_i_306_506_PT
1000,1.0200473953224833e-09,9.492809638080804e-10,1.8208138108488378e-08,7.166556336665001e-10,1.2841540154302542e-10,2.2266755544053806e-11,3.750379668427839e-12,1.2604457584906044e-12,1.7000975803744713e-12,6.587041200856027e-14,6.645200722466793e-15,8.223366585316313e-14,0.0,0.0,0.0,0.0,0.0,1.9166973782463735e-12,0.0,0.0,0.0,0.0,0.0,0.0
1100,1.0118111889117064e-09,9.614545350018112e-10,1.8086451714200773e-08,7.968429112013506e-10,1.4624561250707804e-10,3.157842485567873e-11,4.920798983776933e-12,6.407792803728477e-12,1.8569841728177954e-12,1.4425693127387076e-13,3.398979480799149e-14,8.13058802052504e-14,0.0,0.0,0.0,0.0,0.0,1.3868872097607235e-12,0.0,0.0,0.0,0.0,0.0,0.0
1200,9.961692989825642e-10,9.489249288820583e-10,1.7946989376963273e-08,9.520445504953883e-10,1.6990006367042874e-10,3.19427245785384e-11,5.193503903074492e-12,1.9722708293891093e-12,3.011545878365446e-12,-5.829930894803154e-14,8.816240636824356e-14,2.277616599360843e-14,0.0,0.0,0.0,0.0,0.0,3.0915354163958056e-12,0.0,0.0,0.0,0.0,0.0,0.0
1300,1.0064210406943546e-09,9.561001016470554e-10,1.7739734578284633e-08,9.953481142942107e-10,1.8814508017361967e-10,4.3456339706940745e-11,5.842347100370655e-12,9.192087945265807e-12,3.0793585848531783e-12,-6.332127379930718e-14,-1.905566782863516e-14,1.3741133684245203e-13,0.0,0.0,0.0,0.0,0.0,2.4427419932764414e-12,0.0,0.0,0.0,0.0,0.0,0.0
1400,9.875264068417216e-10,9.583480025512327e-10,1.7729349245726423e-08,1.0222270712228342e-09,2.0700143578412756e-10,5.0523085147029145e-11,7.175454937667797e-12,1.0197763748664203e-11,3.982695980639873e-12,1.5208173891644707e-13,1.5946322787887096e-13,1.6201259580251527e-13,0.0,0.0,0.0,0.0,0.0,2.7432969251406418e-12,0.0,0.0,0.0,0.0,0.0,0.0
1500,9.890941380814974e-10,9.483548296901464e-10,1.761737938932881e-08,1.155155654870617e-09,2.186649744557826e-10,5.6381839095894084e-11,7.787892804285804e-12,7.980448307881734e-12,3.316644256283703e-12,-1.4355367178600162e-15,6.14055451630781e-14,1.176108410940247e-13,0.0,0.0,0.0,0.0,0.0,4.808225121929496e-12,0.0,0.0,0.0,0.0,0.0,0.0
1600,9.807240679563416e-10,9.334131050291933e-10,1.7421447603780786e-08,1.213318506539692e-09,2.3062680773840473e-10,5.7891103857076345e-11,8.420430152552913e-12,9.067312111458116e-12,4.1574491145954784e-12,1.8811877028403642e-13,6.423156436067683e-14,2.2563513705039036e-13,0.0,0.0,0.0,0.0,0.0,4.867456347069658e-12,0.0,0.0,0.0,0.0,0.0,0.0
1700,9.798447312673912e-10,9.319956386960156e-10,1.7342947936000836e-08,1.310554454056211e-09,2.5217282993534825e-10,6.998372985290974e-11,9.852669682888517e-12,1.4456285579165234e-11,5.469865958678839e-12,2.2361039140168548e-13,1.2960654926980825e-13,1.581276323690106e-13,0.0,0.0,0.0,0.0,0.0,4.888235005420058e-12,0.0,0.0,0.0,0.0,0.0,0.0
1800,9.834538424778269e-10,9.278600759259288e-10,1.724541689553473e-08,1.3770064308244003e-09,2.6546439468114267e-10,7.445676490784899e-11,1.0155036648767775e-11,1.452396175875475e-11,5.922508899614164e-12,1.4122086561766432e-13,1.4477470625483885e-13,2.993175473934128e-13,0.0,0.0,0.0,0.0,0.0,6.1334513999002685e-12,0.0,0.0,0.0,0.0,0.0,0.0
1900,9.818847621372215e-10,9.23533909974938e-10,1.7101359907420058e-08,1.5563263976802704e-09,2.7977345939936003e-10,8.612685036627354e-11,1.087392680499487e-11,1.702977196629153e-11,6.096976604301961e-12,1.4775737605251616e-13,1.8608572657869141e-13,2.5964993046572915e-13,0.0,0.0,0.0,0.0,0.0,7.53512490813729e-12,0.0,0.0,0.0,0.0,0.0,0.0
2000,9.80037238806471e-10,9.194854375916386e-10,1.6994152615883283e-08,1.6126249742022022e-09,3.0247956257461943e-10,9.073761874071958e-11,1.2210414526695404e-11,2.4205808134118673e-11,8.349568960739256e-12,2.123067236580452e-13,3.7592291615880644e-13,3.721413993987743e-13,0.0,0.0,0.0,0.0,0.0,7.0790213097843255e-12,0.0,0.0,0.0,0.0,0.0,0.0
2100,9.798577970422628e-10,9.154682764358646e-10,1.7009417645591278e-08,1.6204135166251665e-09,3.114008371079277e-10,9.289460662970212e-11,1.241426591850245e-11,2.5975408233892255e-11,8.441045718038987e-12,3.4405331157635074e-13,2.9126734765025515e-13,4.1915675520234516e-13,0.0,0.0,0.0,0.0,0.0,8.404253325052885e-12,0.0,0.0,0.0,0.0,0.0,0.0
2200,9.805956990695814e-10,9.09070176460403e-10,1.685026791931146e-08,1.7303455800630563e-09,3.2696844811489026e-10,1.0877047827287958e-10,1.4150644016528123e-11,2.7445243464988893e-11,1.0178523808618383e-11,5.517786271292975e-13,5.381428802987388e-13,4.903519066615931e-13,0.0,0.0,0.0,0.0,0.0,9.285497198318936e-12,0.0,0.0,0.0,0.0,0.0,0.0
2300,9.690802169013834e-10,9.023329657781043e-10,1.6757535474347378e-08,1.8735053506100828e-09,3.318872149269271e-10,1.1634671921405077e-10,1.4841057889800857e-11,2.857736703149463e-11,1.0763597024352666e-11,4.920844102033301e-13,4.4252568759789263e-13,5.449627589546627e-13,0.0,0.0,0.0,0.0,0.0,1.0528733282098269e-11,0.0,0.0,0.0,0.0,0.0,0.0
2400,9.772190067091773e-10,8.902626400945669e-10,1.6611708167817598e-08,1.9587522269454125e-09,3.504526168234221e-10,1.1669187454014312e-10,1.5771811251490067e-11,3.1733727037825014e-11,1.130641204569248e-11,5.563272055318987e-13,5.891438926379256e-13,6.296426275767882e-13,0.0,0.0,0.0,0.0,0.0,1.1589400190579505e-11,0.0,0.0,0.0,0.0,0.0,0.0
2500,9.68778686785361e-10,8.889566955990776e-10,1.6592590008977666e-08,1.989201280244004e-09,3.650151513048162e-10,1.3314249003002184e-10,1.6597288891459252e-11,3.9805562313551025e-11,1.2880562181756982e-11,8.240077993773576e-13,8.051161032813763e-13,6.30994801007781e-13,0.0,0.0,0.0,0.0,0.0,1.1681720228188916e-11,0.0,0.0,0.0,0.0,0.0,0.0
2600,9.616331189761708e-10,8.750151571263762e-10,1.6392463838162283e-08,2.0684466939810687e-09,3.7577020779265426e-10,1.359140203094883e-10,1.6596555087164914e-11,4.038976597502343e-11,1.3907429200265584e-11,8.852757022838319e-13,7.131127625285369e-13,7.6115445430157e-13,0.0,0.0,0.0,0.0,0.0,1.375638429123889e-11,0.0,0.0,0.0,0.0,0.0,0.0
2700,9.577342583171768e-10,8.657123517405449e-10,1.6384810935137926e-08,2.1722262783550914e-09,3.8609388465004443e-10,1.449124459533807e-10,1.824522803042076e-11,4.5506075920539515e-11,1.4179031655914777e-11,1.0257425067256546e-12,9.851322680830803e-13,7.951219416693071e-13,0.0,0.0,0.0,0.0,0.0,1.3825555959427341e-11,0.0,0.0,0.0,0.0,0.0,0.0
2800,9.641298413044568e-10,8.629268368141694e-10,1.6209897217267946e-08,2.2309185976928766e-09,4.0896886336472617e-10,1.5403119084049066e-10,1.8258442251411975e-11,4.9467329636618466e-11,1.648470931150973e-11,1.0054750739482647e-12,9.935185799542642e-13,9.077753447737766e-13,0.0,0.0,0.0,0.0,0.0,1.487060522172861e-11,0.0,0.0,0.0,0.0,0.0,0.0
2900,9.710901406441003e-10,8.497204081575014e-10,1.6108592781354646e-08,2.2704234678283056e-09,4.245053270696343e-10,1.6147667110137858e-10,1.893351336822329e-11,5.892793764725805e-11,1.7549511003760753e-11,1.2798737680835776e-12,1.3241723344556566e-12,9.361515746564677e-13,0.0,0.0,0.0,0.0,0.0,1.7046859864521233e-11,0.0,0.0,0.0,0.0,0.0,0.0
3000,9.672477308252611e-10,8.4997147081696e-10,1.6051386844294907e-08,2.3510050264493977e-09,4.4079342205343655e-10,1.7203583733556919e-10,2.0181443464152572e-11,6.276396754234585e-11,1.8963874613371496e-11,1.3443490483204205e-12,1.2979514601542093e-12,1.0961744925389877e-12,0.0,0.0,0.0,0.0,0.0,1.8094646947180595e-11,0.0,0.0,0.0,0.0,0.0,0.0
3100,9.54040275351885e-10,8.472486162862521e-10,1.595937983247883e-08,2.4422356796352632e-09,4.3897764265549363e-10,1.7256774939144202e-10,2.100095998993162e-11,6.474046322894368e-11,1.9423901684455974e-11,1.5090593380251994e-12,1.7030148927471199e-12,1.1339363792480045e-12,0.0,0.0,0.0,0.0,0.0,1.9399039420290514e-11,0.0,0.0,0.0,0.0,0.0,0.0
3200,9.653658542438835e-10,8.314598596947445e-10,1.5873850621715866e-08,2.5070932220685803e-09,4.4697317215866726e-10,1.8730705561811517e-10,2.1187331178758006e-11,7.423010762461411e-11,2.1391817259998443e-11,1.837499058856996e-12,1.681171776928881e-12,1.236494607002843e-12,0.0,0.0,0.0,0.0,0.0,2.071258188828927e-11,0.0,0.0,0.0,0.0,0.0,0.0
3300,9.626980439007176e-10,8.293399499810501e-10,1.5871623226412774e-08,2.6326510546713014e-09,4.751443338121333e-10,1.8602180955749804e-10,2.1658369968758663e-11,7.798659560816146e-11,2.175379218858154e-11,2.0890462195058467e-12,1.922214594868292e-12,1.4148877604341588e-12,0.0,0.0,0.0,0.0,0.0,2.1299459927319984e-11,0.0,0.0,0.0,0.0,0.0,0.0
3400,9.462678593157182e-10,8.197112298322015e-10,1.5630047084796723e-08,2.6805428453516346e-09,4.761018764833185e-10,1.9729564006705128e-10,2.306776894395343e-11,8.578499686854144e-11,2.4059686153537267e-11,2.252126602947736e-12,2.323321986553744e-12,1.4951835353837092e-12,0.0,0.0,0.0,0.0,0.0,2.2777886429831657e-11,0.0,0.0,0.0,0.0,0.0,0.0
3500,9.450414452845183e-10,8.116868857368277e-10,1.5567212512283695e-08,2.7512407264731387e-09,4.826450611935384e-10,2.0971893011979906e-10,2.3409115074025575e-11,8.907183139933178e-11,2.449582522534126e-11,2.3387628190695367e-12,2.3508237257811812e-12,1.5997410222246515e-12,0.0,0.0,0.0,0.0,0.0,2.378030008353081e-11,0.0,0.0,0.0,0.0,0.0,0.0
3600,9.417222571517306e-10,8.059477061367079e-10,1.545796655456101e-08,2.7677729414228856e-09,5.082368181649509e-10,2.1818569394400288e-10,2.4232048045261116e-11,9.435014923380662e-11,2.6575878170749002e-11,2.7842078972005905e-12,2.6456069253466617e-12,1.7643853281169713e-12,0.0,0.0,0.0,0.0,0.0,2.5421628123032535e-11,0.0,0.0,0.0,0.0,0.0,0.0
3700,9.461643193029487e-10,8.074719071593539e-10,1.5438073044081986e-08,2.8851490394762127e-09,5.039123133856155e-10,2.1659332908816094e-10,2.5030465888673513e-11,9.804004879276511e-11,2.8319373215438188e-11,3.0926796881604487e-12,2.9450895045073314e-12,1.900715289129978e-12,0.0,0.0,0.0,0.0,0.0,2.6863003358806984e-11,0.0,0.0,0.0,0.0,0.0,0.0
3800,9.436041981691282e-10,8.042194974143219e-10,1.5392065359104482e-08,2.96711798754964e-09,5.264040256957633e-10,2.2673974748523322e-10,2.499942882994018e-11,1.0817909979707844e-10,2.963679547668766e-11,3.200719090025553e-12,3.300342058014289e-12,1.9918911399931334e-12,0.0,0.0,0.0,0.0,0.0,2.791467613405547e-11,0.0,0.0,0.0,0.0,0.0,0.0
3900,9.396344979228705e-10,7.891213223394204e-10,1.5218971179190362e-08,3.026290393478747e-09,5.26885799030896e-10,2.3165789332342374e-10,2.6261377971795395e-11,1.1553937329714528e-10,3.1530740383418616e-11,3.549775965352707e-12,3.6612768093566185e-12,2.2171195520037496e-12,0.0,0.0,0.0,0.0,0.0,3.005704977743756e-11,0.0,0.0,0.0,0.0,0.0,0.0
4000,9.433642032179684e-10,7.860489933955285e-10,1.5198879566514532e-08,3.019333586060606e-09,5.43275060036529e-10,2.476158847573508e-10,2.6323123123625647e-11,1.223843464664166e-10,3.397277142493947e-11,3.93488379953209e-12,3.814913437676228e-12,2.3882818896947596e-12,0.0,0.0,0.0,0.0,0.0,3.11103790654212e-11,0.0,0.0,0.0,0.0,0.0,0.0
4100,9.402478239993624e-10,7.810080466524033e-10,1.5105998726447212e-08,3.190932625854026e-09,5.559369589575401e-10,2.494522957020196e-10,2.7520229639124356e-11,1.2800846025421462e-10,3.513023381005404e-11,4.22938181033417e-12,4.294965507524053e-12,2.52544320995728e-12,0.0,0.0,0.0,0.0,0.0,3.3636917765935013e-11,0.0,0.0,0.0,0.0,0.0,0.0
4200,9.362664665603891e-10,7.754427841556697e-10,1.500789155311884e-08,3.209834552666163e-09,5.597178172905986e-10,2.609625818648624e-10,2.8211346146067004e-11,1.3363602775184964e-10,3.721648186823262e-11,4.699029863596902e-12,4.576492100071729e-12,2.590903469861752e-12,0.0,0.0,0.0,0.0,0.0,3.5275041235889984e-11,0.0,0.0,0.0,0.0,0.0,0.0
4300,9.395054400741193e-10,7.72666531503274e-10,1.4921574904049838e-08,3.2497228514075916e-09,5.66094865702619e-10,2.6215586758039534e-10,2.7977627582873504e-11,1.422198818118344e-10,3.9172157025547464e-11,5.020052278299763e-12,4.939341592497148e-12,2.8149237546449257e-12,0.0,0.0,0.0,0.0,0.0,3.6760717930052566e-11,0.0,0.0,0.0,0.0,0.0,0.0
4400,9.281159243246921e-10,7.603899384408476e-10,1.4792669678531147e-08,3.328020779581242e-09,5.936867123017437e-10,2.726311145837155e-10,2.8421272972012217e-11,1.5132661635744133e-10,4.089996200132179e-11,5.5266162366006224e-12,5.527889943680889e-12,3.009810521976973e-12,0.0,0.0,0.0,0.0,0.0,3.76462880031499e-11,0.0,0.0,0.0,0.0,0.0,0.0
4500,9.394101135581224e-10,7.549578987979392e-10,1.4702859926423702e-08,3.3608268204108207e-09,5.954993154029342e-10,2.743454812479108e-10,2.9006109030471968e-11,1.5872833620445185e-10,4.2072265718269676e-11,5.8413869625468705e-12,5.839450847382286e-12,3.169955607435379e-12,0.0,0.0,0.0,0.0,0.0,4.018865955677632e-11,0.0,0.0,0.0,0.0,0.0,0.0
4600,9.37689707511721e-10,7.45690250878164e-10,1.4602530986857663e-08,3.4972367361097685e-09,5.9978261889017e-10,2.816599689227265e-10,2.985431551572729e-11,1.683022133833935e-10,4.45342929574561e-11,6.2077405682981826e-12,6.368249227661901e-12,3.272021739916983e-12,0.0,0.0,0.0,0.0,0.0,4.1550648719927044e-11,0.0,0.0,0.0,0.0,0.0,0.0
4700,9.368866229202684e-10,7.497597621702848e-10,1.4543862171575493e-08,3.5435320643058946e-09,6.213937310897204e-10,2.916826384015729e-10,3.0031455004341844e-11,1.7145642330610406e-10,4.590802024139909e-11,6.805155052456977e-12,6.762050453510597e-12,3.537662167675639e-12,0.0,0.0,0.0,0.0,0.0,4.240468123361357e-11,0.0,0.0,0.0,0.0,0.0,0.0
4800,9.349251878621536e-10,7.321874646380417e-10,1.446163800478012e-08,3.639328419293944e-09,6.211441711337236e-10,2.9527043257673395e-10,3.080689941887635e-11,1.8387859906466933e-10,4.8808413196327194e-11,7.209675733626629e-12,7.34839615286074e-12,3.6964665867088885e-12,0.0,0.0,0.0,0.0,0.0,4.5149204883690483e-11,0.0,0.0,0.0,0.0,0.0,0.0
4900,9.206038991506668e-10,7.334023391366943e-10,1.4333931094152975e-08,3.6835846392571957e-09,6.296278329023429e-10,3.0295414381723857e-10,3.196749520171499e-11,1.8834608355244815e-10,5.034443057531105e-11,7.83753192247395e-12,7.758329828731139e-12,3.838503737249041e-12,0.0,0.0,0.0,0.0,0.0,4.643222315402847e-11,0.0,0.0,0.0,0.0,0.0,0.0
5000,9.223384700654228e-10,7.302914318239699e-10,1.4355252140084821e-08,3.738992246370153e-09,6.290235616658676e-10,3.101183640737998e-10,3.189680970934411e-11,2.021115515089953e-10,5.1836148812864796e-11,8.279351542780232e-12,8.432770999370288e-12,4.133195926344234e-12,0.0,0.0,0.0,0.0,0.0,4.7927180938530804e-11,0.0,0.0,0.0,0.0,0.0,0.0
