milliseconds,Smad2c,Smad2n,Smad4c,Smad4n,T1R_Surf,T1R_Cave,T1R_EE,T2R_Surf,T2R_Cave,T2R_EE,LRC_Surf,LRC_Cave,LRC_EE,Smads_Complex_c,Smads_Complex_n,TGF_beta
1500,490.9724381914315,235.86475550333458,1146.6335497216244,551.49074246697,0.04855702439814376,2.0072089605603582,1.9718703694865258,0.015592059519001169,1.6880996360214449,1.0602263254708806,0.18700221304167686,0.08554314077251575,0.08740385815149644,2.242550131185742,0.15348382399944577,0.079665934096649
1600,489.2349775516858,236.04707811189988,1147.2445224070827,551.5750542046691,0.048891459454163656,1.9898559990947542,1.9721363601612214,0.012159405299266951,1.6767264503504236,1.0531035169181182,0.18817646029991442,0.09315117574213781,0.09005598989616037,2.5537092071061904,0.8731839263813844,0.07966279149937569
1700,488.83812280867113,236.11319699928575,1145.9859979309458,551.4114624384831,0.04697027013407667,1.9840715462973963,1.9629176273067852,0.01493899801438169,1.6818073188599099,1.0425798695170858,0.1899973766987589,0.09735778628850222,0.09246104880901143,3.58567437691556,1.0951630794151437,0.07966664525420908
1800,489.2288625838443,235.81447541299585,1146.1220633238622,551.2491565601442,0.04927244995832588,1.9861102703928792,1.9624765985530843,0.01611484536930576,1.667631931772642,1.0477969174280881,0.1883376757116352,0.10261945509021678,0.11269022735860593,3.689262040460103,1.2242497697601282,0.07965265983799336
1900,489.17186334710163,235.89102050485667,1145.7078318753288,551.1934729821517,0.04769231014684342,1.9822239111097373,1.9522396748327795,0.013879313346706319,1.659564020075636,1.0396310805072757,0.18905452410665624,0.11047412064511958,0.11804124546261138,3.0858420912213687,0.8265986907162178,0.0796430392016899
2000,488.95789595018846,235.76387016187425,1144.7755432038525,551.1442222571565,0.051460965929808915,1.9809240172956477,1.9500284627477735,0.012225236243971654,1.6589331699310552,1.0258016033197908,0.18634263357744488,0.11521281197946769,0.12353170387590404,3.740997061076784,0.8071840515148303,0.07963780110915222
2100,488.24458119913623,235.71600453738654,1144.1856682869,551.1426700021906,0.05144477350252712,1.9668335958334804,1.9325746941595177,0.012196905605452111,1.653180526860985,1.0306228227127447,0.1854874318256296,0.11626704171130266,0.13046751699727535,4.062102873280784,1.1012528549236926,0.0796217348294044
2200,487.95538932123054,235.49188533750714,1143.9069041760688,551.2165837000832,0.047431018651414275,1.962878495750474,1.9326347577719165,0.014373433671483018,1.6433122891830778,1.020468538166982,0.1866681320169496,0.13034003879087525,0.12006546328718717,4.789207711072009,1.7460508083722106,0.07961837117625895
2300,487.19841854967797,235.47889125216955,1143.2297377820123,551.0223158493342,0.049233507763813376,1.9659707484784525,1.9214679235697358,0.015489901527666603,1.6439842703287164,1.0168839480297047,0.187140301108442,0.13177129646897376,0.1302206802678747,5.684598791730647,1.758055368012272,0.07959862067865205
2400,487.23993847332724,235.34342882297173,1143.4919655296567,551.0198755310095,0.051577931877389384,1.951002165291927,1.9222580841553847,0.01260454934378689,1.6362032500628791,1.0189471418750509,0.18681946055713836,0.13126341988533474,0.14486527547049616,5.879925394742184,2.2598957247370244,0.07959581966261069
