milliseconds,species_1,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15
2700,5.0923128835813335e-05,6.347692879091899e-07,2.9050252728000926e-07,5.598817683625882e-07,3.0889861618966865e-07,2.209891401227735e-06,6.133421966857409e-07,3.445873260394549e-07,2.919501108335966e-07,1.0836456031552889e-05
2800,5.040825762189722e-05,6.283519540918859e-07,2.912304386837353e-07,5.778123134689078e-07,3.187912772546412e-07,2.280664481704469e-06,6.329848436600226e-07,3.556229391666448e-07,3.0129998598028407e-07,1.1218821822297247e-05
2900,4.9898591613968e-05,6.219992248882112e-07,2.916795587856535e-07,5.955615857089008e-07,3.2858392624434163e-07,2.350722065854644e-06,6.52428908890238e-07,3.6654698528840496e-07,3.1055533646764945e-07,1.1597593705482196e-05
3000,4.93940781995295e-05,6.157104433087727e-07,2.918728004212828e-07,6.131314173285932e-07,3.382775740476644e-07,2.420071385677883e-06,6.716763995748103e-07,3.773605920870325e-07,3.197171177196064e-07,1.1972787916199262e-05
3100,4.889466529763393e-05,6.094852959320893e-07,2.918313637139723e-07,6.305236220626793e-07,3.47873221340411e-07,2.488719600108324e-06,6.907293026332722e-07,3.8806487585175807e-07,3.2878627550734257e-07,1.2344421669853622e-05
3200,4.840030135350052e-05,6.033232668970124e-07,2.915748643208105e-07,6.477399953219278e-07,3.5737185868868516e-07,2.5566737957543247e-06,7.095895849115667e-07,3.986609415940874e-07,3.3776374604704226e-07,1.2712513583808397e-05
3300,4.7910935333339135e-05,5.972236660171107e-07,2.911214246345101e-07,6.647823143734518e-07,3.667744666483523e-07,2.6239409876100028e-06,7.28259193379531e-07,4.091498831587514e-07,3.4665045609388874e-07,1.3077083561847104e-05
3400,4.742651671876352e-05,5.911860733707559e-07,2.9048784774928855e-07,6.816523385352688e-07,3.7608201587238196e-07,2.6905281198231737e-06,7.467400553440331e-07,4.1953278334345035e-07,3.5544732304351637e-07,1.3438152179757354e-05
3500,4.694699550212262e-05,5.852095900840647e-07,2.896896129234284e-07,6.983518093388894e-07,3.8529546720055147e-07,2.7564420663371012e-06,7.650340786270862e-07,4.2981071399892205e-07,3.641552550167933e-07,1.37957414424008e-05
3600,4.64723221807672e-05,5.792934740224403e-07,2.887410785445106e-07,7.148824507289841e-07,3.9441577176960653e-07,2.8216896316785956e-06,7.831431517845796e-07,4.399847361518293e-07,3.7277515096393754e-07,1.4149873949327933e-05
3700,4.600244775247891e-05,5.734370542144882e-07,2.876554754791015e-07,7.31245969222566e-07,4.034438711010854e-07,2.8862775515863202e-06,8.010691442806625e-07,4.500559001027314e-07,3.813079007475222e-07,1.4500572990330219e-05
3800,4.553732371002723e-05,5.67639642593446e-07,2.864450538745322e-07,7.474440540985491e-07,4.1238069720590257e-07,2.9502124937589856e-06,8.188139066954004e-07,4.6002524554275e-07,3.89754385241321e-07,1.4847862490875954e-05
3900,4.507690203635728e-05,5.619007690663678e-07,2.851211290989558e-07,7.634783775653319e-07,4.212271726768079e-07,3.013501058516822e-06,8.363792709083628e-07,4.6989380165671185e-07,3.981154764176948e-07,1.5191766734651541e-05
4000,4.4621135199647124e-05,5.562198526634264e-07,2.8369415249592095e-07,7.793505949329309e-07,4.2998421078335636e-07,3.076149779480993e-06,8.537670502871907e-07,4.796625872290899e-07,4.0639203743734996e-07,1.5532310625244835e-05
4100,4.4169976148191565e-05,5.505964368458798e-07,2.8217380066203016e-07,7.950623447911512e-07,4.3865271557020874e-07,3.138165124276854e-06,8.709790398827814e-07,4.893326107536613e-07,4.1458492274224625e-07,1.5869519365325608e-05
4200,4.372337830591369e-05,5.450299062401425e-07,2.805689907817818e-07,8.106152491659007e-07,4.472335819433732e-07,3.19955349515093e-06,8.880170166005272e-07,4.989048705297136e-07,4.2269497813710566e-07,1.6203418727830547e-05
4300,4.328129556716073e-05,5.395196716209467e-07,2.7888798255880195e-07,8.260109137004241e-07,4.5572769577019596e-07,3.260321229686262e-06,9.048827393988556e-07,5.083803547735874e-07,4.307230408839178e-07,1.6534034772878656e-05
4400,4.284368229233547e-05,5.340651344046301e-07,2.771383839176895e-07,8.412509278074407e-07,4.6413593396329906e-07,3.3204746014029034e-06,9.215779494558934e-07,5.177600417123117e-07,4.3866993978127136e-07,1.6861393880752992e-05
4500,4.2410493302906325e-05,5.286656853738995e-07,2.7532723070544824e-07,8.563368648429221e-07,4.7245916457645735e-07,3.380019820443833e-06,9.381043703598383e-07,5.270448996905582e-07,4.4653649525497123e-07,1.7185522677136726e-05
4600,4.1981683876888885e-05,5.233207885631952e-07,2.734610132301919e-07,8.71270282263445e-07,4.806982468914128e-07,3.4389630341960377e-06,9.544637082813348e-07,5.362358872674862e-07,4.543235194400891e-07,1.7506447925991967e-05
4700,4.1557209744289545e-05,5.180298911295796e-07,2.7154571706986227e-07,8.860527217848717e-07,4.888540315054225e-07,3.497310327916832e-06,9.706576521473085e-07,5.453339533144046e-07,4.620318162637079e-07,1.7824196582217116e-05
4800,4.1137027082345836e-05,5.127924865576226e-07,2.6958687254525703e-07,9.00685709548104e-07,4.969273604227084e-07,3.555067725388106e-06,9.866878738225465e-07,5.543400371167884e-07,4.6966218153135426e-07,1.8138795682448208e-05
4900,4.0721092511597014e-05,5.076079748205039e-07,2.675895513623742e-07,9.15170756255929e-07,5.049190671299577e-07,3.61224118945646e-06,1.0025560282596085e-06,5.632550684585012e-07,4.772154029983563e-07,1.8450272491129434e-05
5000,4.030936309020524e-05,5.024758902841736e-07,2.655584765358652e-07,9.295093573707835e-07,5.128299767054339e-07,3.668836622813794e-06,1.0182637537154764e-06,5.720799677435127e-07,4.846922604729677e-07,1.8758654166847803e-05
