milliseconds,B0,S0,B1,S1,B2,S2,B3,S3,B4,S4,M0,M1,M2,M3,M4,L0,L1,L2,L3,L4,glu
1000,-0.000891091772272509,-3.6546435621706098e-06,0.0011547598946014283,7.906270626100898e-05,4.420053860472089e-06,3.2424592440626816e-05,-7.830283762150586e-07,-6.7508790808868185e-06,7.947836942058876e-08,-1.3797954559069842e-07,-2.796421385904083e-09,1.17713297410831e-06,5.513522388032073e-06,6.227797767649075e-10,2.694533373966998e-05,-2.9456708011515246e-12,2.084314884518276e-08,1.0544741098897228e-06,4.981828410587462e-06,0.0019439469058166307,-0.052051340979178795
1100,-0.001024850989715595,-4.202031834081651e-06,0.001323669768576378,9.057317551420448e-05,5.037902619555986e-06,3.7277658357101646e-05,-9.020810201118694e-07,-7.72873193067626e-06,9.166637785877364e-08,-1.4945548673843263e-07,-3.2057397706320307e-09,1.3423362943353344e-06,6.309104078096079e-06,7.443001795595435e-10,3.2417808517096506e-05,-3.36842563353705e-12,2.3704900648724536e-08,1.201741254915172e-06,5.817841404214906e-06,0.0023384229564519876,-0.06061345255089056
1200,-0.0011586102071586815,-4.749420105992693e-06,0.0014925796425513268,0.00010208364476739998,5.655751378639882e-06,4.2130724273576455e-05,-1.0211336640086802e-06,-8.706584780465704e-06,1.0385438629695846e-07,-1.6093142788616686e-07,-3.615058155359978e-09,1.5075396145623588e-06,7.104685768160088e-06,8.658205823541789e-10,3.789028329452306e-05,-3.791180465922575e-12,2.6566652452266314e-08,1.3490083999406212e-06,6.653854397842346e-06,0.0027328990070873468,-0.06917556412260235
1300,-0.001292369424601768,-5.2968083779037325e-06,0.0016614895165262765,0.00011359411402059556,6.273600137723778e-06,4.698379019005127e-05,-1.140186307905491e-06,-9.684437630255147e-06,1.1604239473514334e-07,-1.7240736903390112e-07,-4.0243765400879256e-09,1.6727429347893832e-06,7.900267458224095e-06,9.873409851488143e-10,4.336275807194961e-05,-4.213935298308101e-12,2.942840425580809e-08,1.496275544966071e-06,7.48986739146979e-06,0.0031273750577227037,-0.07773767569431411
1400,-0.0014261286420448546,-5.8441966498147744e-06,0.0018303993905012257,0.00012510458327379107,6.8914488968076765e-06,5.183685610652608e-05,-1.2592389518023019e-06,-1.0662290480044592e-05,1.282304031733282e-07,-1.8388331018163536e-07,-4.433694924815873e-09,1.837946255016408e-06,8.695849148288101e-06,1.1088613879434501e-09,4.883523284937613e-05,-4.636690130693626e-12,3.229015605934987e-08,1.64354268999152e-06,8.325880385097234e-06,0.0035218511083580607,-0.08629978726602588
1500,-0.0015598878594879405,-6.391584921725815e-06,0.0019993092644761744,0.00013661505252698654,7.5092976558915715e-06,5.6689922023000876e-05,-1.3782915956991125e-06,-1.164014332983403e-05,1.4041841161151296e-07,-1.9535925132936954e-07,-4.843013309543819e-09,2.003149575243432e-06,9.491430838352107e-06,1.2303817907380852e-09,5.4307707626802654e-05,-5.059444963079149e-12,3.5151907862891624e-08,1.7908098350169689e-06,9.16189337872467e-06,0.003916327158993418,-0.09486189883773762
1600,-0.001693647076931027,-6.938973193636856e-06,0.0021682191384511237,0.00014812552178018209,8.127146414975467e-06,6.154298793947568e-05,-1.4973442395959234e-06,-1.2617996179623473e-05,1.5260642004969783e-07,-2.0683519247710377e-07,-5.2523316942717655e-09,2.1683528954704563e-06,1.0287012528416113e-05,1.3519021935327208e-09,5.9780182404229206e-05,-5.482199795464676e-12,3.8013659666433406e-08,1.938076980042418e-06,9.997906372352115e-06,0.004310803209628775,-0.10342401040944937
1700,-0.0018274062943741136,-7.486361465547898e-06,0.0023371290124260735,0.00015963599103337758,8.744995174059367e-06,6.639605385595051e-05,-1.6163968834927342e-06,-1.3595849029412918e-05,1.647944284878827e-07,-2.18311133624838e-07,-5.661650078999713e-09,2.3335562156974805e-06,1.108259421848012e-05,1.4734225963273566e-09,6.525265718165574e-05,-5.904954627850201e-12,4.087541146997518e-08,2.0853441250678677e-06,1.0833919365979555e-05,0.004705279260264132,-0.11198612198116113
1800,-0.0019611655118172,-8.033749737458939e-06,0.002506038886401023,0.00017114646028657313,9.362843933143262e-06,7.124911977242532e-05,-1.735449527389545e-06,-1.4573701879202361e-05,1.7698243692606754e-07,-2.297870747725722e-07,-6.07096846372766e-09,2.4987595359245055e-06,1.187817590854413e-05,1.594942999121992e-09,7.072513195908228e-05,-6.327709460235727e-12,4.3737163273516956e-08,2.232611270093317e-06,1.1669932359606998e-05,0.00509975531089949,-0.1205482335528729
1900,-0.0020949247292602856,-8.581138009369979e-06,0.0026749487603759713,0.0001826569295397686,9.980692692227157e-06,7.610218568890011e-05,-1.8545021712863553e-06,-1.55515547289918e-05,1.8917044536425235e-07,-2.412630159203064e-07,-6.480286848455605e-09,2.663962856151529e-06,1.2673757598608134e-05,1.7164634019166275e-09,7.61976067365088e-05,-6.75046429262125e-12,4.659891507705872e-08,2.3798784151187655e-06,1.250594535323444e-05,0.005494231361534846,-0.12911034512458464
