milliseconds,species_1,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15
3900,4.531757245856168e-05,5.667031700936252e-07,2.7823653869706367e-07,7.700921514023389e-07,4.0809629833606633e-07,3.0468226733363354e-06,8.140154307491204e-07,4.693322547913251e-07,3.9504207507566384e-07,1.4927793455601792e-05
4000,4.445053477679444e-05,5.562799007725093e-07,2.863656822872603e-07,7.593032429716699e-07,4.4011436725438575e-07,2.9909751371700492e-06,8.684517667071886e-07,4.67133323026342e-07,3.9817620185102074e-07,1.4956163413624363e-05
4100,4.339614548197648e-05,5.531944787099226e-07,2.797369718299361e-07,7.905350046837511e-07,4.4843328565049807e-07,3.1736772331081616e-06,8.804436899705483e-07,4.958608043499588e-07,4.133986107592592e-07,1.5766706822614847e-05
4200,4.430719571717938e-05,5.480815622469728e-07,2.8466853721431475e-07,7.91541057479622e-07,4.3743121830358285e-07,3.127515753252117e-06,8.801827888862818e-07,4.853922764740527e-07,4.129801090668266e-07,1.602095746129714e-05
4300,4.284337887356445e-05,5.297884889153924e-07,2.716487096107529e-07,8.168337546088936e-07,4.6474594055998996e-07,3.1889453116541384e-06,9.283314990217966e-07,5.244526408963549e-07,4.3894203871096284e-07,1.6238414727476617e-05
4400,4.236339066485416e-05,5.269813393492439e-07,2.805820745768061e-07,8.413283996282913e-07,4.609305368999402e-07,3.2573292927938953e-06,8.942781008926309e-07,5.218967350507646e-07,4.5178060639730415e-07,1.7079469786959114e-05
4500,4.213107655242181e-05,5.274690518706539e-07,2.758960948046578e-07,8.685174252933773e-07,4.669034259049519e-07,3.4044940713418138e-06,9.252821215349194e-07,5.213159410438165e-07,4.3583630453143e-07,1.6706495829238567e-05
4600,4.141576182780794e-05,5.24332014563028e-07,2.703853984087648e-07,8.916795226867231e-07,4.737751898371523e-07,3.4247054280727637e-06,9.625990164504959e-07,5.361946720257193e-07,4.555043189317132e-07,1.7025333264418585e-05
4700,4.1087169198324325e-05,5.150325368844355e-07,2.6750459315913247e-07,8.967431498349593e-07,4.842484037464814e-07,3.4029338566473768e-06,9.819598954547309e-07,5.525410625106365e-07,4.5425126084695433e-07,1.8282314076710788e-05
4800,4.0750448174879595e-05,5.130062685347878e-07,2.6476961624947073e-07,9.066846837938735e-07,4.936557382714621e-07,3.6116169416680017e-06,9.692890522066636e-07,5.630519363211394e-07,4.593030607518253e-07,1.841194096629252e-05
4900,4.085588193876246e-05,5.181253482690553e-07,2.710046762882355e-07,9.024475485651058e-07,5.165096519206637e-07,3.6051111081196862e-06,9.821407137080673e-07,5.661629494936795e-07,4.844724985169317e-07,1.824282995397885e-05
5000,3.966560522302743e-05,5.110997601858085e-07,2.668789881035259e-07,9.210520061285267e-07,5.247624393202568e-07,3.5979956211110153e-06,1.0076425854102946e-06,5.578069985931622e-07,4.819635263512947e-07,1.8985413887258842e-05
