milliseconds,CD95,FADD,p55free,Bid,PrNES_mCherry,PrER_mGFP,DISC,DISCp55,p30,p43,p18,p18inactive,tBid,PrNES,mCherry,PrER,mGFP,CD95L
1000,116.0,88.57307766711895,154.73927499060824,236.00000468300982,972.999897321117,5177.999981761655,4.685359201806027,0.19321683705052256,0.0014815204293289305,-2.2103630568047113e-05,-2.0167900002779768e-07,-8.909407759668032e-08,-7.502888314184616e-06,-0.0001476299062474997,-0.0001375781254938476,9.504712743519504e-07,-1.963422529109324e-05,16.6
1100,116.0,88.55284335441605,154.78255175416112,235.99998516566683,972.9998341380683,5178.000010284543,4.2096695793913685,0.2365172606578885,0.0007876380221841743,-9.325555026452954e-05,-3.1746212057283816e-06,1.8978966693564698e-07,1.0040334973610399e-05,7.128297918651607e-06,4.3100335834157085e-05,-1.9151252734805526e-05,-1.8895661156760702e-05,16.6
1200,116.0,87.21205533677056,154.84403990345444,235.99998631426342,973.0000092436386,5177.99999746888,5.175250018932761,0.18568093464929025,0.001319881081113367,-4.222438555490719e-05,-1.5936415329923278e-09,-1.3514848945464036e-08,-7.640140278595736e-06,6.264707089869002e-05,0.00019018916627837877,6.775451636506807e-07,7.920581649799287e-06,16.6
1300,116.0,86.99050293802745,154.61735146570945,236.00001180450602,972.9999494591945,5178.000013718578,5.2074628526550635,0.3655549191787499,0.0016432240710309754,-4.157711049235478e-05,9.506471431315173e-07,-3.5116341611421284e-08,3.41817035212861e-06,-1.3138207612356443e-05,-0.00018614451916021684,-8.634462036045209e-06,-1.845568814503613e-05,16.6
1400,116.0,86.43277047117893,154.6143850680792,236.00001581690591,972.999968922932,5177.999988296295,6.058366147478744,0.241575805148911,-0.000304584564449528,0.00016484381780221185,2.181706904355731e-06,1.2318017124847183e-07,1.2564893879135457e-05,-0.00017584624231971855,0.00016861049692318695,1.0584849285140661e-05,1.0624181356998535e-05,16.6
1500,116.0,86.47449093711273,154.63208033013282,235.9999835102186,972.9998965503262,5178.00000747627,5.835978929892256,0.3135247734276049,0.003928744432037147,0.00010351125108254109,-6.316254207530352e-07,-8.29082302837001e-08,1.4648742888159591e-05,-0.00014048073527998613,-0.0001848191724228933,8.794780621359148e-06,-1.9809133220966218e-07,16.6
1600,116.0,86.14000581522498,154.65569631389133,236.000010388931,972.9999019943335,5178.000015228336,6.268253895225816,0.33180108318590606,0.0028038926679506753,0.00015945531593131607,1.2049369299478535e-06,7.849101700088152e-08,1.6277277831897266e-05,-1.1433235869275468e-05,-0.00015535036095834935,-4.20428481319062e-06,-1.911114880724812e-05,16.6
1700,116.0,85.22558771738402,154.4502632018936,236.00000770482092,972.9999928618262,5178.000004257412,7.264153934759473,0.4192893813875949,0.003492090151228603,-0.00010158336859754148,1.2434405139449778e-06,1.6635493935328858e-07,7.615305001961457e-06,0.00012211292994572558,0.0001766181197457108,8.243307253985704e-06,-9.273156198744817e-06,16.6
1800,116.0,84.72604786164744,154.42666598796697,236.0000058322971,972.9998303238933,5178.000010289834,7.459305976999034,0.5660939998197572,0.003014232497503024,-1.1101805433837526e-05,1.1865926371372987e-07,-2.5837670933246168e-08,-7.427313607562792e-06,-4.784416799974278e-05,3.868994399391503e-05,-1.4286074346232836e-05,6.651685062651774e-06,16.6
1900,116.0,84.34162539261835,154.3847388952197,235.99999869248398,972.9999239181769,5177.999992602286,7.244050633039012,0.6539551381331197,0.004473108931552012,0.0001649792170147604,1.7738151946530475e-06,1.839438430482083e-07,-9.307926291188639e-06,7.744695269715255e-05,4.874891611397223e-05,-8.69957000029822e-06,1.3178859953876563e-05,16.6
