milliseconds,TGFb_R1_surface,TGFb_R2_surface,TGFb_R1_endo,TGFb_R2_endo,TGFb,TGFb_In,Active_R2,Active_Rec,Active_Rec_endo,Inactive_Rec,pS2_c,S2_c,S4_c,pS2_pS2_S4_c,pS2_pS2_pS2_c,Smad7mRNA,Smad7mRNA1,S7,pS2_n,pS2_pS2_S4_n,pS2_pS2_pS2_n,S2_n,S4_n
1100,24.704272913441713,0.22052509925155378,29.79460593888193,39.01051447696625,99.95567371135589,0.01635677556160622,0.8224029234427112,11.248051229786366,0.5725600119454551,2.6692072285652997,0.10349491076255225,343.1351554642784,267.1560914058323,4.1248460016132285,0.012496397704175991,0.030253012867209963,0.1968330114311251,0.5102868354145585,0.05902230085326475,-0.05229460895836713,-0.02641419567338521,87.62987372235278,44.53997484190544
1200,24.462148518231412,-0.03754033924848266,30.443779254443474,38.73555383136631,99.95682010601169,0.02298389766057047,0.8109845066591742,11.439997345931667,0.5982700864377297,2.737120393545366,0.11101647942672797,339.7718886957588,266.63472697728275,3.708796327718812,0.02497354420172298,0.030253012836721226,0.19683234259662688,0.5492217937334525,0.0542652426778911,0.45978735663894504,0.03264821788866347,87.54048163230527,44.60003563830326
1300,24.04900169380004,0.15453780518635607,30.175671977418816,38.52540283020341,99.9566584585763,0.02155899553658807,0.8485007016243418,11.632846332030919,0.6579297451328115,2.696761929026385,0.11754252354761856,339.9711853116755,265.79021359935047,6.366336673674388,0.004299737816402121,0.030253009540864004,0.19683224557070278,0.5291346070992301,0.06524729328313361,0.19592974741480373,0.028479122713032747,86.8193816558896,44.60004009823373
1400,23.624517968577294,0.13751425240807177,30.50137470607125,38.436477528219946,99.94697839833492,0.026259789707726026,0.8233785653266794,11.881693971406188,0.7193024776941214,2.7457451543507605,0.11905945480341047,339.31709249843215,263.75706963139277,7.056176771079117,0.02433903529737873,0.030253013491088696,0.19683258903008283,0.5497951121406821,0.08551048964902931,0.31729367592587243,-0.008760553609354467,86.82434139783852,44.51964245591214
1500,22.702388601802436,0.20722350916121957,30.813987978220393,37.993442809283444,99.94104243937625,0.031343346861420436,0.8516234512145956,11.683039260048576,0.745000802961493,2.7409411782479363,0.12596568761367233,335.46154988817716,264.3229371914407,6.858720985746686,0.013959755309618727,0.030253012608977007,0.19683288359770562,0.4893724255348529,0.08085211003903711,0.9806111797872867,0.0003478446495932524,86.29467097504902,44.552094788252305
1600,22.325567551808163,0.25290393860334937,31.263774308062978,38.08882361276567,99.94366102837446,0.028550925419773027,0.9390598297502166,12.114167125710443,0.7867748400914883,2.743424960460157,0.12400484801007308,335.0797470231593,263.59309833755196,7.447639827308067,0.015796195805384546,0.030253008192741983,0.19683215830815654,0.47740186532345613,0.091503561503519,1.3340521162699508,0.003336405708446907,86.41968839401733,44.50853333157
1700,22.192305423650563,-0.03200612482441105,31.284416605005823,37.73942523173491,99.9406182377615,0.0360546365696289,0.9237384957485308,12.221073814381988,0.7791886813127631,2.759757908046829,0.14043345128417134,331.57286373871574,260.70645468236614,8.446488815785397,0.023870013461010066,0.03025301222340557,0.19683293407972258,0.46563196471589485,0.10146857500401697,1.2947373407932106,0.019699336608452713,85.81544178647567,44.53657993240807
1800,21.48885772541818,0.11262712454405789,31.70245193874945,37.439312095259695,99.93147677332522,0.03505124809936342,0.9546918323532725,12.154252424351505,0.8325401812914289,2.6895088327000476,0.1377464149777984,329.0471467404778,259.7555341366683,9.073114893461609,0.043492712751555015,0.030253008852592772,0.19683217010542345,0.5086844442256668,0.09667414252131074,1.4159171924299274,0.03891579367827973,85.66362723599424,44.50275947198586
1900,21.39824118541527,0.16839701309033475,31.969344293038432,37.27836520993344,99.92921973333995,0.040553459881953344,0.9509583142745308,12.429221934050926,0.8171100623520435,2.76972958473338,0.13999201041809833,329.2894517269735,260.0030208688167,10.24706199989135,0.041561163287221155,0.030253009214561612,0.1968321499096597,0.536685803542816,0.11408679008170922,1.4141246385148065,0.029630371352488576,85.34368153934267,44.53122930706311
2000,21.381712078489677,0.19863879932387918,32.045002671482834,37.19663702757273,99.92928078313732,0.04230565139578499,0.9832395723388019,12.25963371775016,0.8729163128394719,2.718598651808623,0.15239774817021245,325.190620232373,259.097717828854,9.986701797365667,0.04835052287172389,0.030253007906886984,0.19683279446683621,0.5070417615032174,0.12863244703256585,2.1122407499823965,0.0007200736226976485,84.41016862921008,44.530219105437006
2100,21.4064381023794,0.161282290032071,32.637227090190706,37.09014543235318,99.91983409188049,0.04730758171844051,1.025627876223128,12.315505435415691,0.9120986364024676,2.747013716765873,0.1471406353940253,325.74566003606606,257.88264224110395,12.78385896974542,0.06697717030719345,0.030253008098121068,0.19683242267372364,0.5298878247465852,0.14138689452008235,1.7987701244594998,0.030280535055436108,84.56891446105284,44.5498072887822
2200,20.51080363389195,0.2749769163305805,32.83126324694067,36.86002335396477,99.91980237201585,0.04921450984655792,1.0771733965919756,12.35797961798565,0.8974776128555062,2.7271020079915917,0.15126077675361507,323.85381238010973,255.98516069842674,12.738656433740646,0.059404639960956504,0.03025301001206114,0.19683268275707877,0.5219623430140395,0.13159387332014694,2.689676277986791,0.06086230209156033,84.08381994881235,44.552617689533854
2300,20.49088867970485,0.24221175596944167,33.11791482338582,37.09684986830372,99.91563264220841,0.04806756106467121,1.0491360486643428,12.731110957220825,0.9479920604962794,2.7040237426425966,0.16101885655345263,322.5532891528906,256.6932284068737,13.764811831710992,0.07283536583297058,0.030253010663050302,0.1968329265958121,0.5066752016767602,0.1508586775958744,2.3368479100892707,0.06280063575516484,83.58026581955981,44.537274855820954
2400,20.38793941592808,0.15185088379082504,32.92344028285258,36.80827434629071,99.91011023735054,0.05428414275754874,1.0898122879145533,12.722708296423942,0.9269431435343161,2.762139130515235,0.1591793462610077,318.38817037382006,255.67945997007683,15.263057531982593,0.060486647915527186,0.030253012431005456,0.1968329131696471,0.4985928024655792,0.16383037907886464,3.1856835463301927,0.044930694959855716,83.10437622674257,44.57223084953601
2500,19.622289146627484,0.12698140180181441,33.34219449157625,36.84344481585715,99.90846843031001,0.053797401093948274,1.1273541312686548,12.517063009564495,0.9544827192948621,2.71574050006586,0.16358030456022934,317.23997122960975,253.03564229459963,14.643797405413425,0.07539388879480485,0.03025300938923131,0.19683251863988724,0.4523164600990556,0.16171076270317675,3.3464981412850037,0.09210329747655963,82.69973008318449,44.49866572816103
