miliseconds,species_1,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15
1200,5.924901546169878e-05,7.391393120079154e-07,2.1982264290464344e-07,2.632919130871501e-07,1.474187136877603e-07,1.1093301380053469e-06,2.8608540559292634e-07,1.6584077084259936e-07,1.4096116225971266e-07,4.89487830546716e-06
1300,5.8881611007833075e-05,7.285463181043662e-07,2.3150764158421133e-07,2.806452487697539e-07,1.5571266631512788e-07,1.0907692964380245e-06,3.196285431280863e-07,1.7357602682059507e-07,1.508114371130102e-07,5.138638496699195e-06
1400,5.8081196147146216e-05,7.27702324133766e-07,2.4212157369572395e-07,3.163856345737654e-07,1.7436580320816366e-07,1.2464390098886176e-06,3.3693395583094407e-07,1.8713954758889435e-07,1.639484259414982e-07,5.267404301677382e-06
1500,5.759688388437365e-05,7.127097672284186e-07,2.487161127800874e-07,3.349989108207666e-07,1.8690114150598148e-07,1.334707095870802e-06,3.525688386133747e-07,1.95898965419796e-07,1.7468150925967385e-07,5.900332540630085e-06
1600,5.71322628148422e-05,7.148850776346792e-07,2.529543362266765e-07,3.6310132076116375e-07,1.964861585229135e-07,1.33857875544964e-06,3.718254206713716e-07,2.238562467503703e-07,1.849840985409246e-07,6.423633910246514e-06
1700,5.6033320202910496e-05,6.972343123842395e-07,2.611924759095652e-07,3.6623014449592234e-07,1.9761687588653638e-07,1.5101354331761992e-06,4.0575199310128637e-07,2.332317331651163e-07,1.870275783567402e-07,6.551585627541793e-06
1800,5.571329792454456e-05,6.916657164876447e-07,2.699148681995843e-07,3.8130547132409577e-07,2.0868067528969924e-07,1.5659564553077275e-06,4.287160128532764e-07,2.44042247845549e-07,1.965824243853577e-07,7.0122846819337145e-06
1900,5.5246387272598775e-05,6.894677188935652e-07,2.6894118302137284e-07,4.097013892128442e-07,2.2756536308903503e-07,1.5941653645316422e-06,4.505246826386041e-07,2.535541531323128e-07,2.0930535626176352e-07,7.81103436856237e-06
2000,5.445575239355183e-05,6.832093900010208e-07,2.7894549049925873e-07,4.365245730154941e-07,2.4158733103527843e-07,1.6774796093856775e-06,4.5710769879618006e-07,2.572431933337566e-07,2.221985842208367e-07,8.093993271032088e-06
2100,5.4312117578487376e-05,6.714497719967814e-07,2.767473587788022e-07,4.448934238174885e-07,2.542751892589376e-07,1.7306897186960154e-06,4.817239191968889e-07,2.6980141300770984e-07,2.2864492926669087e-07,8.526347087085607e-06
2200,5.3741865748809366e-05,6.73330117402354e-07,2.793032429527747e-07,4.770146174665007e-07,2.5372862119368823e-07,1.8832123496321094e-06,5.144809245760485e-07,2.82151228675448e-07,2.3751369017212404e-07,9.157070608554155e-06
2300,5.320230180560201e-05,6.669855049227642e-07,2.8225618601134783e-07,4.975863070741585e-07,2.7316599935107567e-07,1.9724697143136764e-06,5.203032628466645e-07,2.978311856471271e-07,2.529963194459202e-07,9.244127440886067e-06
2400,5.250663272413097e-05,6.577178744739726e-07,2.885125602932423e-07,4.954419212432733e-07,2.8164903523998506e-07,1.9997349761848598e-06,5.649649446407852e-07,3.037929078375527e-07,2.564901377986285e-07,9.920597597582833e-06
2500,5.2244798305924813e-05,6.45012318201607e-07,2.8470346139125903e-07,5.197655061700977e-07,2.8281889266122705e-07,2.104230737781942e-06,5.691481957278214e-07,3.157972640749365e-07,2.759414072888602e-07,1.0167073019937262e-05
2600,5.139946021961728e-05,6.409134227266199e-07,2.9313794478647665e-07,5.461598048611646e-07,3.041300548194208e-07,2.08425888109285e-06,6.043857548922454e-07,3.272773492315962e-07,2.7712953321940387e-07,1.0210082755426932e-05
2700,5.1112176639026344e-05,6.289111464462047e-07,2.9296044733125153e-07,5.561765415352633e-07,3.068179207925482e-07,2.222232593834527e-06,6.069340694462744e-07,3.471240087001495e-07,2.855657416691743e-07,1.0809743247687882e-05
2800,5.011337262725579e-05,6.250617830900963e-07,2.9330744026527463e-07,5.902435593831158e-07,3.141515489625835e-07,2.2852702978306027e-06,6.254303275349628e-07,3.6069921132210915e-07,2.961067222978791e-07,1.0971857720401067e-05
2900,5.0294069190158496e-05,6.244106544556225e-07,2.891596983006368e-07,6.040413609899275e-07,3.3337713572177225e-07,2.297686480057242e-06,6.426115231083244e-07,3.6498013861573133e-07,3.0356389434075843e-07,1.1400354267864594e-05
3000,4.958126968510786e-05,6.142618183335718e-07,2.947950327031487e-07,6.050145067604491e-07,3.32714477058123e-07,2.3825744424838423e-06,6.661665640294209e-07,3.743067283757382e-07,3.1331316910702547e-07,1.2078544357185457e-05
3100,4.8867836319313164e-05,6.120600387460986e-07,2.888670025176576e-07,6.40035427507116e-07,3.403118784183952e-07,2.4771057562650634e-06,6.767413243234982e-07,3.8665164364354526e-07,3.2357782619838977e-07,1.2132817819169128e-05
3200,4.835967840525705e-05,6.032152722533364e-07,2.9127097669285197e-07,6.589091356607192e-07,3.5672764465424107e-07,2.5523594947426867e-06,7.221780488619748e-07,3.9052547032525273e-07,3.3519866098006645e-07,1.297088338811906e-05
3300,4.77055922900089e-05,6.031247845801549e-07,2.8787695253242195e-07,6.584971410633648e-07,3.607327067093086e-07,2.6256708870183354e-06,7.193658581501077e-07,4.116952149673565e-07,3.436949370963663e-07,1.2859911932694821e-05
3400,4.703928829194875e-05,5.950134006886071e-07,2.8765420759390724e-07,6.83672898173226e-07,3.732707681847681e-07,2.6586514334673423e-06,7.613833902486005e-07,4.206704907269996e-07,3.573794096106992e-07,1.3352152428278182e-05
3500,4.67536045464868e-05,5.86318018309865e-07,2.864256413544924e-07,6.965156482027408e-07,3.782283276570509e-07,2.7304744778466878e-06,7.50199393611389e-07,4.3437468905122665e-07,3.6734382361896674e-07,1.3552223400461641e-05
3600,4.68528719561758e-05,5.78607290946329e-07,2.893907673372148e-07,7.249609437051495e-07,3.946533648697533e-07,2.8295208304265532e-06,7.703302259249279e-07,4.331967977305445e-07,3.6854834031402414e-07,1.3961415311934148e-05
3700,4.589100997910279e-05,5.691006699857546e-07,2.8434610448504985e-07,7.342028440543474e-07,4.085750208118614e-07,2.8669107001893016e-06,8.108135277058291e-07,4.5692214393792216e-07,3.774040309593124e-07,1.4770058307421704e-05
3800,4.583043172358295e-05,5.721210450965787e-07,2.839057998795828e-07,7.511095663564761e-07,4.143337742241991e-07,2.954997473059731e-06,8.209713036253827e-07,4.5809468576596903e-07,3.954221350166988e-07,1.4727719109887805e-05
3900,4.4728508055868774e-05,5.637450230900834e-07,2.8790267407964147e-07,7.68329184407882e-07,4.1854836264249036e-07,3.000131693034343e-06,8.413273453661462e-07,4.6736837429749233e-07,3.9429656627737964e-07,1.5269632647670873e-05
4000,4.4848457446912464e-05,5.539748385834581e-07,2.804294559910275e-07,7.866474748231393e-07,4.322532732010128e-07,3.12826229902147e-06,8.645946381232368e-07,4.7139621242158987e-07,4.091851019261604e-07,1.535434612973569e-05
4100,4.401206738074273e-05,5.555832136571462e-07,2.8256763034657396e-07,7.86032726237322e-07,4.349551045421746e-07,3.1430385539643587e-06,8.828608866485119e-07,4.93127963561532e-07,4.1035484927151967e-07,1.6146304593687205e-05
4200,4.333461074734793e-05,5.403124616383126e-07,2.82687982743349e-07,8.242654684324285e-07,4.4809179800723974e-07,3.2278352308887145e-06,8.920493162953466e-07,4.987049525314299e-07,4.164654672790825e-07,1.6347064073733072e-05
4300,4.289885607321775e-05,5.455114445372961e-07,2.797464284369657e-07,8.311060043789449e-07,4.544012174848687e-07,3.2638432789280416e-06,8.913696871519283e-07,5.033719318783371e-07,4.296338358641848e-07,1.6392437030680513e-05
4400,4.250099690959302e-05,5.288101267241337e-07,2.754157654060826e-07,8.332131734085774e-07,4.620574650809506e-07,3.356065549197339e-06,9.337663509698765e-07,5.134230087021406e-07,4.413588996670788e-07,1.7037816105854207e-05
4500,4.2519909293851834e-05,5.323538833404183e-07,2.751407846649806e-07,8.67942952835871e-07,4.730511658516755e-07,3.360424931122276e-06,9.409566249882893e-07,5.214105161388421e-07,4.439625954032674e-07,1.7112219469273956e-05
4600,4.2328796375946306e-05,5.208351543070359e-07,2.742920467213392e-07,8.584099111642809e-07,4.844840295906051e-07,3.4553221582966274e-06,9.65867467947734e-07,5.439601603315234e-07,4.4875084317751463e-07,1.7508098708760576e-05
4700,4.158073168640838e-05,5.187188175579014e-07,2.7449831888117644e-07,8.770352098205985e-07,4.817160696366917e-07,3.501516766352857e-06,9.796035737194336e-07,5.51196928800897e-07,4.5810893063219617e-07,1.8041626439400677e-05
4800,4.092564205974787e-05,5.065944642525704e-07,2.725543653212242e-07,9.103691125141835e-07,4.995747003174338e-07,3.545149423556624e-06,1.001284220885336e-06,5.52261333874982e-07,4.6943891742929725e-07,1.842699967561387e-05
4900,4.0351499944108167e-05,5.103707053948125e-07,2.7126622027242096e-07,9.074057769918916e-07,5.082979912014533e-07,3.6527082622718017e-06,9.93272702618188e-07,5.698965819872142e-07,4.7285776689563264e-07,1.8520742819491995e-05
5000,4.0680642985493133e-05,4.994829007935292e-07,2.63737355878635e-07,9.19475791763388e-07,5.194597738138828e-07,3.686073749788825e-06,1.0208356207787315e-06,5.715332530706365e-07,4.775614633810078e-07,1.8854365560591922e-05
