miliseconds,species_1,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15
1900,5.501194577697104e-05,6.918426638840095e-07,2.735758501813471e-07,4.1020597448883693e-07,2.2249556766666678e-07,1.5941743893972626e-06,4.4638312276610445e-07,2.465859154548303e-07,2.1596196260820966e-07,7.4232788041066325e-06
2000,5.4583253686341156e-05,6.834624781434344e-07,2.7289722237458534e-07,4.2872264548624647e-07,2.40582115141965e-07,1.6445453392296003e-06,4.5973664450619786e-07,2.7208546321943125e-07,2.2368177759619625e-07,8.227685106565164e-06
2100,5.412489154807599e-05,6.80720027692433e-07,2.792705574851857e-07,4.4428160509536956e-07,2.411163470320619e-07,1.7681968861428104e-06,4.904058716673041e-07,2.807965982539594e-07,2.3693162927223798e-07,8.21619148372512e-06
2200,5.387219137961861e-05,6.69380693116615e-07,2.838574759722415e-07,4.6171803559910265e-07,2.603290077956569e-07,1.7957416877156843e-06,5.178067748961765e-07,2.8385011671737633e-07,2.3711293114763395e-07,8.982770829562672e-06
2300,5.294548339933197e-05,6.552432322167863e-07,2.859879717950451e-07,4.985880353736693e-07,2.612625941349864e-07,1.9682443450711354e-06,5.35609567070031e-07,3.0500755217869395e-07,2.5966600217816994e-07,9.230674579480872e-06
2400,5.275275832209779e-05,6.495437202024325e-07,2.890790541181948e-07,5.096082846484375e-07,2.8400926133970334e-07,1.9850809738317887e-06,5.525032419266926e-07,3.052874034040403e-07,2.64774467809477e-07,9.419587552579217e-06
2500,5.227451003297228e-05,6.419216823765045e-07,2.891773738606613e-07,5.129748908915277e-07,2.94978822606673e-07,2.012576638324326e-06,5.58360688145481e-07,3.1851705198088715e-07,2.77446153281928e-07,1.0248222582839774e-05
2600,5.1587051386056406e-05,6.398474114227102e-07,2.9288318270595767e-07,5.541315322249004e-07,3.028958925478625e-07,2.1744898809948273e-06,5.831978504894508e-07,3.318102785971871e-07,2.8094927908230774e-07,1.047406380004021e-05
2700,5.0813205118097586e-05,6.325809445592912e-07,2.898275848920957e-07,5.526557200652964e-07,3.1045267679164964e-07,2.1865600322195092e-06,6.084450989162749e-07,3.3649116161643807e-07,2.9220136467328156e-07,1.064983189811572e-05
2800,5.012210488191502e-05,6.233549719281576e-07,2.92378975287937e-07,5.730625397173676e-07,3.252319629128919e-07,2.261797650081819e-06,6.332840873530251e-07,3.516018596698897e-07,2.945594222219187e-07,1.1301175329734384e-05
