miliseconds,c,cer,cAMP,h,inh,V,n
3900,0.299832920442538,259.99620118988355,1.0,0.06591599700607462,1.0,-55.43632887442093,5.503388185227271e-05
4000,0.29983626700930244,259.9960666587263,1.0,0.06583469139969295,1.0,-55.20317650852211,5.651730290551389e-05
4100,0.2998353853904647,259.99598154618764,1.0,0.06829916774759337,1.0,-55.13267045958668,5.857908504176291e-05
4200,0.2998387501043274,259.9958526100712,1.0,0.07115372884759565,1.0,-55.076603761295225,5.918939480944753e-05
4300,0.2998406016710347,259.9956921578243,1.0,0.071182139674111,1.0,-54.93505564166606,6.168239057189787e-05
4400,0.2998427083945168,259.995687322612,1.0,0.07322301853080244,1.0,-54.821283925739195,6.484912204975487e-05
4500,0.2998435251843247,259.99558147178294,1.0,0.07571575156449725,1.0,-54.64142944423912,6.744991198152063e-05
4600,0.29985029304826044,259.9953931115253,1.0,0.07584753325991878,1.0,-54.57695757079083,7.03264352745347e-05
4700,0.2998500709241512,259.99534365274786,1.0,0.07709306907051987,1.0,-54.37495419818754,7.149531431946234e-05
4800,0.2998568057231381,259.99525992200586,1.0,0.08027908086276722,1.0,-54.274124743043195,7.466246702614483e-05
4900,0.2998588887522137,259.9952192242264,1.0,0.08055306940875255,1.0,-54.10480154296461,7.604788441225068e-05
5000,0.2998617627420406,259.9950111713629,1.0,0.08171710764933389,1.0,-53.94888259452826,7.900795592197916e-05
