miliseconds,c,cer,cAMP,h,inh,V,n
2800,0.299840774882966,259.99717984543446,1.0,0.04676389306434097,1.0,-56.830953626957196,3.369222832511886e-05
2900,0.29984029406827495,259.9971061023814,1.0,0.048817866756137654,1.0,-56.575621593570844,3.621367529508593e-05
3000,0.2998384530285146,259.99703345765687,1.0,0.05088832819534363,1.0,-56.45757086882459,3.799795598158496e-05
3100,0.2998384000794435,259.99695638908247,1.0,0.05206941881383487,1.0,-56.4116642199183,3.820199645635405e-05
3200,0.29983610428402424,259.9968345871446,1.0,0.05377423868938638,1.0,-56.3513548359152,4.176526973354293e-05
3300,0.29983546872911354,259.9967342816457,1.0,0.0557942927167973,1.0,-56.23879545856145,4.205410005112493e-05
3400,0.29983300086005044,259.9966578791731,1.0,0.05667977736883405,1.0,-56.02820235030824,4.4393932135623584e-05
3500,0.29983063758507716,259.9965294100169,1.0,0.060019492214124635,1.0,-55.840556787689934,4.535461269919907e-05
3600,0.2998333964288887,259.9964993633618,1.0,0.05966050237049109,1.0,-55.698630593608414,4.8240645660438857e-05
3700,0.299831502391315,259.99634102251093,1.0,0.06179372469417975,1.0,-55.671556374129935,4.971976565482065e-05
3800,0.29983098817188825,259.9963046990309,1.0,0.0632342295537606,1.0,-55.521598586173454,5.161852636991799e-05
3900,0.2998348598527952,259.99616021577316,1.0,0.06632654540645941,1.0,-55.34008898101229,5.443778879809929e-05
4000,0.2998361467319202,259.99604205813944,1.0,0.06780439952425421,1.0,-55.24835349296158,5.678472662193639e-05
4100,0.2998381807351174,259.99596043831764,1.0,0.06934645813776114,1.0,-55.09510655883413,5.794430453428732e-05
4200,0.2998376123955911,259.99588461310714,1.0,0.07107080312703248,1.0,-55.06568347567079,5.913259411461948e-05
4300,0.2998388671124295,259.9958057254732,1.0,0.07159412427689033,1.0,-54.95110982035389,6.259130350791692e-05
4400,0.2998422640765003,259.99567470386114,1.0,0.07398981855218552,1.0,-54.68460257567763,6.569892342073457e-05
4500,0.2998428756572742,259.9955993566764,1.0,0.07411914573106836,1.0,-54.56860843256766,6.684511508321688e-05
4600,0.29984974161609484,259.99548814142986,1.0,0.07591671006997296,1.0,-54.501925843286514,6.953435247651112e-05
4700,0.29985154310475665,259.9953664891279,1.0,0.07739375561009644,1.0,-54.33157911566709,7.206024320524754e-05
4800,0.299855678590504,259.995224431916,1.0,0.07974782245798089,1.0,-54.304903153313504,7.320030758626754e-05
4900,0.29985747947164415,259.9951788697197,1.0,0.08134655942081216,1.0,-54.06209288844486,7.72800853003363e-05
5000,0.2998632689649845,259.9950701706183,1.0,0.08143996983010508,1.0,-53.9189458063833,8.053526120889893e-05
