miliseconds,cyclin_D_Cdk4_6,transcription_factor_E2F_active,cyclin_E_Cdk2,cyclin_A_Cdk2,cyclin_B_Cdk1,Cdc20_active,E2F_total,Cdc20_total
3200,0.555569964146462,0.5457730991343613,0.3190642261486487,3.2153536072704174,2.4236995574211493,0.972152457400802,3.0,5.0
3300,0.5499767169389619,0.43178910086571404,0.23958647956047144,3.208340826480842,2.4453140990558886,1.011947015891982,3.0,5.0
3400,0.5433327259247225,0.29522169888165584,0.1370058476400438,3.18035521695456,2.482035262379956,1.0152784399926145,3.0,5.0
3500,0.5397564888834835,0.08815008925636644,0.1265190448275114,3.155922445534061,2.524247410409419,1.0433810745014314,3.0,5.0
3600,0.5368564275922699,0.05108386649253032,0.05387851152304313,3.1292906707180053,2.557621927538716,1.079259912684833,3.0,5.0
3700,0.5284561303519579,-0.02882325861507808,0.011850115983971248,3.1083342197742345,2.6108108555754916,1.0988247620818963,3.0,5.0
3800,0.5220007070394124,0.04541930959127808,0.026470918901178423,3.0884165441677798,2.65379672917915,1.109790796152164,3.0,5.0
3900,0.5184902498157661,-0.03282507064312039,-0.031120279219731914,3.052314904928128,2.696124326268616,1.1562597384996238,3.0,5.0
4000,0.5153049427297188,-0.008855509954869606,0.001969629690171953,3.024241076982329,2.693077376425379,1.1882056308177367,3.0,5.0
4100,0.5068429532805631,-0.013875951375010739,0.0037258365482778534,3.004676682169486,2.7244259652889538,1.210668320887411,3.0,5.0
4200,0.5034825914039616,-0.04430681652158516,0.030899866284998523,2.9648451489926626,2.7774094033986194,1.2245939619309236,3.0,5.0
4300,0.49796102758707106,0.005480793436083072,0.01307731539173012,2.943980043116176,2.8127288383540594,1.2505144848969976,3.0,5.0
4400,0.49803786713360093,-0.001279417584369444,-0.021019054021267365,2.9071849634778846,2.813779422611614,1.2898382077350443,3.0,5.0
4500,0.4934552157765914,-0.028307446678209357,0.01908184168273084,2.8742509710703152,2.8351312022673842,1.3153142982440833,3.0,5.0
4600,0.48672634430573997,-0.015285481604151276,0.016677750057206387,2.849379607612103,2.8602250842131216,1.338953212809575,3.0,5.0
4700,0.4829770074512498,0.02536766773809883,-0.025492895924538517,2.8203087861902296,2.86668680323514,1.3740316014448943,3.0,5.0
4800,0.4800642197356551,0.03861192506017975,0.0034597793879984386,2.7916293128702203,2.8933832317661534,1.3766932415119786,3.0,5.0
4900,0.4739647456129985,-0.04086637956675392,-0.023154732861300147,2.7517746630044067,2.9470148165833003,1.4078943116699874,3.0,5.0
5000,0.4718834564326515,0.025653293097300637,0.016906779021051324,2.717108782734661,2.9240275812471994,1.4595008312013023,3.0,5.0
