milliseconds,FeDuo,FeRBC,FeSpleen,FeLiver,Tf,Hepcidin,Fe2Tf,Fe1Tf,NTBI,FeRest,FeBM
1200,0.007016848061433393,0.038017094634134864,0.002911641730379697,0.0019889621683294267,1.330017072940788e-05,1.5812314446022384e-08,1.6708039827150353e-05,8.709047695832663e-06,4.4342628269780466e-08,0.00028684338891817523,0.003316733622960511
1300,0.0065346992888669206,0.03801930033632993,0.002755009327532514,0.001989409918509095,1.317429564057626e-05,1.5905959224943473e-08,1.6758706289500028e-05,8.70224224673188e-06,4.420132844436542e-08,0.0002865921854487838,0.0033276436323356846
1400,0.006736562111339628,0.03802584313167278,0.002674287557826698,0.0019828396346188975,1.3157883616623377e-05,1.533191281721084e-08,1.672343224859331e-05,8.706182911473612e-06,4.445971058797567e-08,0.0002863083224016972,0.0033641045903263066
1500,0.006280759761258715,0.03806371158629335,0.002582305397597728,0.001977643191471496,1.3148002077657665e-05,1.530448451040494e-08,1.678003759980912e-05,8.690792098216994e-06,4.459009558849356e-08,0.0002859671060914245,0.003385618269554608
1600,0.005865214909786962,0.03807119625336517,0.002566489971119104,0.001965484459670162,1.3193564386824877e-05,1.4597097963983598e-08,1.6830878673454316e-05,8.710594672290766e-06,4.4655635721957765e-08,0.0002865338745068264,0.0033971237360582106
1700,0.0050709854011080375,0.03807761108865289,0.0024880465642110605,0.001964247834965435,1.3155884750956726e-05,1.4447452995138836e-08,1.6761214302819916e-05,8.677628558384227e-06,4.436380928433826e-08,0.0002862535462743114,0.003420383581546725
1800,0.005034489189488988,0.038080726818088814,0.0024669954146087684,0.001954261068044528,1.3136098492752622e-05,1.4211514328753725e-08,1.682845158027915e-05,8.690563035468253e-06,4.437720551161412e-08,0.0002858755928418956,0.0034143212266937533
1900,0.004590886242278703,0.03808945449253997,0.0024148998951519286,0.0019649808565487454,1.3231850113687989e-05,1.4289176979965037e-08,1.6763401654849536e-05,8.693703928398364e-06,4.4420452203396356e-08,0.00028515745448811427,0.0034318606931001377
2000,0.0042198385668502465,0.03809067967503082,0.002326792786785284,0.0019508659007630139,1.321392821700414e-05,1.4174280981922114e-08,1.6757321354084848e-05,8.691992191024016e-06,4.4671108585161056e-08,0.00028529604879042264,0.003431227348390723
2100,0.004213297249348411,0.03811076381247507,0.0023480320436299325,0.0019552431883371334,1.3187553130003793e-05,1.3989595586204125e-08,1.6838766124816453e-05,8.69124019701581e-06,4.416634956902622e-08,0.0002851124126803418,0.003449370687876597
2200,0.004053686641937787,0.038134490423631394,0.0022994018174062585,0.0019439858972701766,1.3222001373522986e-05,1.3531275002774078e-08,1.6782233143600423e-05,8.713652495626697e-06,4.413078704254057e-08,0.000285169390534709,0.0034609100845715162
2300,0.003394431066555712,0.03813145478725191,0.0022974227706377037,0.0019350781629370055,1.3222160865223887e-05,1.3669331016523313e-08,1.6737327849467866e-05,8.700436230521217e-06,4.4186207948625734e-08,0.00028487859291780477,0.0034560176841138502
