milliseconds,mw15abaa48_d7d0_4845_ae04_c573d289d495,mwfcfaf604_14d4_47a6_b021_226d1fb5497c,mw8796c919_9251_4970_8f87_0bca9ecfeb5c,mw849ed3fd_87d9_44d2_9f3e_4d631b900d41,mwcb834e43_dc57_45ae_9452_f4c10955caf1,mwf166ad55_4ff0_49fb_95d2_b657ad7653d5,mwee54b5b4_b8c0_41df_8dda_5b160c5e10a5,mw812f63db_4cb0_40ad_b92b_9874be969dfe
2500,1.6173078767686607e-06,3.402527664705524e-09,2.0623642804786195e-07,1.4006372125799966e-08,4.306208323909125e-09,2.4092484218348424e-10,4.1593887626975914e-11,1.8646128197566451e-07
2600,1.6738506391219632e-06,3.6659328703344743e-09,2.2138140531832e-07,1.5650180683994887e-08,4.658557514451788e-09,2.79512107778638e-10,4.6562519249747636e-11,1.9374545365277726e-07
2700,1.7298466291588458e-06,3.938120977277947e-09,2.3694236840721447e-07,1.7409701646018313e-08,5.025059206268807e-09,3.224372544740607e-10,5.1897977330127975e-11,2.0101649421094098e-07
2800,1.7853034132630983e-06,4.218993143942095e-09,2.529086329034369e-07,1.928774160912284e-08,5.4057685820796924e-09,3.699942125815912e-10,5.761164849396895e-11,2.0827443355397753e-07
2900,1.8402284170957018e-06,4.508452284408667e-09,2.6926974498090216e-07,2.1287011647046448e-08,5.800742919600804e-09,4.2248256231502573e-10,6.3714919685578e-11,2.1551930147352884e-07
3000,1.8946289704571751e-06,4.806402476304252e-09,2.860153938736652e-07,2.341016182196542e-08,6.2100406782166366e-09,4.802050708303178e-10,7.021921245597721e-11,2.2275112767979277e-07
3100,1.948512126199943e-06,5.112750531124188e-09,3.0313570570882347e-07,2.5659675144330862e-08,6.633725309444096e-09,5.43477981198683e-10,7.713564023443132e-11,2.299699417654488e-07
3200,2.001884916432549e-06,5.427403778238509e-09,3.2062083552356073e-07,2.8038016377480552e-08,7.07185998952137e-09,6.126167924324278e-10,8.447545862389304e-11,2.371757732621807e-07
3300,2.0547542262102653e-06,5.750271155521329e-09,3.3846116588117856e-07,3.0547559074774075e-08,7.524510175952e-09,6.879431601549288e-10,9.224985468069513e-11,2.443686516110232e-07
3400,2.1071267249709163e-06,6.081263800285376e-09,3.56647413211188e-07,3.319054620624215e-08,7.991744971696774e-09,7.697885782515469e-10,1.0046983912436741e-10,2.5154860614522006e-07
3500,2.1590090679595418e-06,6.4202934619885865e-09,3.751703312945112e-07,3.5969199851047873e-08,8.473633154840676e-09,8.584836653271276e-10,1.0914656053403849e-10,2.5871566613028953e-07
3600,2.2104077128459255e-06,6.767273859932418e-09,3.940209718812105e-07,3.888562484342953e-08,8.970246771352295e-09,9.543678585115611e-10,1.1829102074412962e-10,2.658698607335978e-07
3700,2.261328986917555e-06,7.122120206697668e-09,4.1319059119230394e-07,4.194184333277012e-08,9.48165981708181e-09,1.0577858574738025e-09,1.2791417926827451e-10,2.7301121903389986e-07
3800,2.311779166926128e-06,7.484748733683762e-09,4.326705444607802e-07,4.513983382258984e-08,1.0007946575530244e-08,1.169083140058054e-09,1.3802708438827828e-10,2.801397700235175e-07
3900,2.3617643365246384e-06,7.85507752723508e-09,4.5245247354806576e-07,4.848146171105471e-08,1.0549184597205564e-08,1.288613999946463e-09,1.4864063826096324e-10,2.872555426055478e-07
4000,2.411290501651872e-06,8.233025842757459e-09,4.725281524397124e-07,5.196853693263079e-08,1.1105452220801828e-08,1.4167348591307375e-09,1.597657863153187e-10,2.9435856559578686e-07
4100,2.4603636225121777e-06,8.618513884106509e-09,4.928894391042917e-07,5.56028326184915e-08,1.1676827791320816e-08,1.5538021581272402e-09,1.7141356739084507e-10,3.014488677242514e-07
4200,2.5089894246603526e-06,9.011464024978085e-09,5.135285456136109e-07,5.938598206316554e-08,1.226339402449529e-08,1.7001841318389846e-09,1.835948112386258e-10,3.085264776288418e-07
4300,2.5571735461688677e-06,9.411799857429887e-09,5.344378277157004e-07,6.331955898880134e-08,1.2865234606848893e-08,1.8562516360124629e-09,1.963203741717596e-10,3.155914238602785e-07
4400,2.6049215009552413e-06,9.819446428980554e-09,5.556098372711596e-07,6.740505754410034e-08,1.348243504292788e-08,2.022380433194571e-09,2.0960108034358633e-10,3.2264373488087194e-07
4500,2.6522389760418105e-06,1.0234328046766449e-08,5.770368633008314e-07,7.164407029708348e-08,1.4115075425441427e-08,2.1989316868014856e-09,2.2344818361441883e-10,3.296834390912314e-07
4600,2.6991312065721314e-06,1.0656372894264513e-08,5.987118969252349e-07,7.603791400833663e-08,1.4763245635918197e-08,2.3862929720059744e-09,2.3787239648461936e-10,3.3671056477410996e-07
4700,2.745603407582129e-06,1.1085509841820237e-08,6.206279647342635e-07,8.058788816629947e-08,1.5427034843302923e-08,2.584849943285344e-09,2.5288456095809244e-10,3.4372514013319966e-07
4800,2.791660690449959e-06,1.1521669063828326e-08,6.427782577838807e-07,8.52952249592388e-08,1.610653353603674e-08,2.7949918169095688e-09,2.684955187264406e-10,3.50727193285624e-07
4900,2.837308278849235e-06,1.1964780483093624e-08,6.651558183798777e-07,9.01612143812207e-08,1.68018285252353e-08,3.0170978886247715e-09,2.8471639829750076e-10,3.5771675228638425e-07
5000,2.882551233084239e-06,1.2414775758978436e-08,6.877539411086074e-07,9.518704428248514e-08,1.7513009338440477e-08,3.251554785069462e-09,3.015582455771224e-10,3.6469384509745537e-07
