miliseconds,Hsp90,HCom,HSF1,MisP,MCom,TriH,DiH,NatP,AggP,HSE,HSETriH,X,ROS,ATP,ADP
2400,272758.62613878126,6000.050311906524,0.0676906344598578,0.0008740644620067849,28013.102693139637,-6.805927014844794e-10,-2.4521871184444336e-07,5973452.947064175,-9.916344676995561e-11,1.000000000013044,-8.36948506119181e-12,2.3360848390500455,100.0,10877.722085606596,122.47811712969094
2500,271120.3948361,6000.1218164191105,0.35159868874885375,0.0008788360286980469,27601.67734602394,-7.436936096313549e-10,-2.612887279644246e-07,5972219.513458404,-1.0416229804185211e-10,1.0000000000178593,-1.3076804814508362e-11,2.5222864398338074,100.0,10881.426691096183,123.31691909099087
2600,270295.80247750925,6000.104928907003,-0.22287516307354613,0.0008850252185697896,29575.922710845553,-7.904829339377478e-10,-2.67933847819205e-07,5970413.46122417,-1.1036339687007058e-10,1.0000000000168718,-1.9561422811824646e-11,2.6257596060031783,100.0,10872.996983762549,121.51520363061101
2700,269052.2805047086,5999.322852353102,0.13012177814158155,0.0008802309005569742,30767.870861489308,-8.950194839410515e-10,-2.7073108994543543e-07,5970055.719710107,-1.1301558419943028e-10,1.0000000000217137,-2.5073048487219416e-11,2.728684592822663,100.0,10875.568204776775,130.06571049500727
2800,267670.7442273634,5999.725463035053,0.5598536683111688,0.0008833410356759938,32245.00526661169,-9.66457598720184e-10,-2.8435157491611544e-07,5968487.486155765,-1.1555564952443937e-10,1.0000000000256861,-2.473642948614623e-11,2.8554051542111596,100.0,10862.924621121216,132.20481491315175
2900,267547.26779495215,5999.610517340235,0.5134257148145928,0.0008891553291570208,32038.118754926978,-1.0360334132030512e-09,-2.895208663796085e-07,5967245.809948141,-1.2338543744668275e-10,1.0000000000320912,-2.9801824447879575e-11,2.872758136247696,100.0,10863.044976526355,134.5935685043618
3000,266238.9131277124,6000.475291369451,-0.22991091786757467,0.0008923147516747823,33143.38735087605,-1.129765269488523e-09,-2.925474894393935e-07,5966889.799631151,-1.2897627757466364e-10,1.000000000035802,-3.8203893440852835e-11,3.010513905520451,100.0,10857.3098537211,137.96349121339463
3100,265174.491177212,5999.447173747256,-0.0276999303541898,0.0009001044641061343,34728.78589796651,-1.1794487773114432e-09,-3.101757386788773e-07,5964901.268344841,-1.3222499280505958e-10,1.000000000040302,-4.370497032412029e-11,3.102636980296268,100.0,10862.534288362915,148.42613159143397
3200,264522.7781030395,5999.432084948914,0.08429893737295037,0.0008984014469030787,36239.53522654985,-1.25887270308202e-09,-3.1455270335572624e-07,5964065.390878694,-1.3881172598271907e-10,1.0000000000473457,-4.8708253865607086e-11,3.154530711679427,100.0,10857.539883565627,139.81061256872982
3300,262660.6824513307,5999.541735214389,-0.027908960533958957,0.0009048334645060315,36128.076068496324,-1.3013341021377376e-09,-3.2102087238252546e-07,5963535.35350183,-1.391444999694575e-10,1.000000000053531,-5.594993061081713e-11,3.3135697994134468,100.0,10849.458035403739,145.52918729926293
3400,261753.59465575093,5999.9156838314675,0.4241860949532128,0.000906994358612219,37482.30414251872,-1.4032543752264726e-09,-3.2438893528298106e-07,5962350.968496475,-1.4732401805980252e-10,1.000000000058001,-6.301641696972603e-11,3.4622681274391613,100.0,10852.572684920011,157.61469133416853
3500,260375.90821787965,6000.409520104895,0.37784870350633526,0.000916618002018857,38422.01084251687,-1.4718966995019662e-09,-3.313223678796842e-07,5961814.815379234,-1.50503394874241e-10,1.0000000000698697,-7.075239243146223e-11,3.5547770878112073,100.0,10836.190070947436,163.7314253413696
3600,260061.15079480907,5999.77838249579,0.591559620413842,0.000912076693143103,39279.02065572269,-1.594092562483259e-09,-3.444759198937846e-07,5960788.174564532,-1.5322813721848324e-10,1.0000000000740417,-7.27226680635032e-11,3.5719266233847944,100.0,10844.573197598815,165.62171010780875
3700,258616.20544115335,5999.542122907403,-0.5820026926439203,0.0009266136015421391,40792.62957456515,-1.6564958019332068e-09,-3.460325100750789e-07,5959598.754616175,-1.5705203514486994e-10,1.0000000000803244,-8.274277902164518e-11,3.679987122326173,100.0,10835.788733967309,168.6987543360006
3800,257975.55649104406,5999.598866276078,-0.15867755464142944,0.0009215739890235063,41928.86373001051,-1.7293504194612966e-09,-3.560060942563673e-07,5958654.541578346,-1.651033265405349e-10,1.000000000089023,-9.087009292142783e-11,3.7958197891906504,100.0,10828.511094976639,164.10306953229164
3900,257338.23372564279,5999.729296594814,0.4275817905413313,0.0009273505852778085,42521.25266969783,-1.7754378080720508e-09,-3.631452294908397e-07,5956910.9393357765,-1.680299402072144e-10,1.0000000000949383,-9.857354659448077e-11,3.8535159069955682,100.0,10824.753176536373,177.8624755552426
4000,255657.7073025541,5999.59129853735,-0.3425913666039541,0.0009258369239391643,44069.60922662452,-1.8528852748728246e-09,-3.538966399360756e-07,5956553.206752209,-1.7208661248087577e-10,1.0000000001040312,-1.0454682671742942e-10,4.010761490094326,100.0,10818.969963260277,178.88035858384114
4100,254300.93411477012,5999.437411673648,0.06455938916712285,0.0009372557575126905,45197.354066591564,-1.9113838332698317e-09,-3.705319606915848e-07,5955804.02724818,-1.755160392227437e-10,1.0000000001146836,-1.1410328872763391e-10,4.040450007660585,100.0,10818.37816673955,172.94929313142023
4200,253652.239250283,6000.517719861741,0.04953999509258279,0.0009437985981831523,45136.40517377274,-1.989698351799326e-09,-3.7323132686242254e-07,5953738.946163507,-1.852193295190922e-10,1.0000000001249616,-1.257200081172279e-10,4.224116467028031,100.0,10818.835239712771,177.39777272004736
4300,253366.21455601449,6000.502671049815,-0.31117227453190643,0.0009458839916555917,47146.21722994434,-2.0372317144429864e-09,-3.832710491158209e-07,5952962.729981242,-1.834446825809856e-10,1.0000000001296407,-1.3072016255242853e-10,4.229753702231608,100.0,10814.15037171197,188.91952781345114
4400,252191.8379649601,6000.382180023703,-0.4360150898650682,0.000941010700366901,47797.53171477257,-2.0840909368374135e-09,-3.7634964258018404e-07,5951871.879233364,-1.893563998360732e-10,1.0000000001428968,-1.41008731526944e-10,4.338161168828507,100.0,10811.379611071263,189.67332748903928
4500,250433.07454397692,6000.284963248264,-0.5654684766845481,0.0009500714169754355,49154.28935770668,-2.1793275726140834e-09,-3.925170061044981e-07,5951071.319307601,-1.9718826883476175e-10,1.000000000150445,-1.4868550173751345e-10,4.524329506979306,100.0,10804.022123535342,190.17492030674353
4600,249668.80867450766,5999.753499338537,0.1263061909655043,0.0009571147549354139,49622.7459334518,-2.283166638925166e-09,-3.972880493977977e-07,5950048.62278362,-2.029963990554957e-10,1.0000000001587626,-1.5894133397992482e-10,4.551451012305501,100.0,10809.274380523511,192.55521478685276
4700,249442.14051510318,6000.010257294449,0.4267130151845449,0.0009576597492523886,51347.58351972546,-2.3352848330193433e-09,-3.886681074065969e-07,5949329.254033216,-2.0312126369167398e-10,1.0000000001699612,-1.7247759819984015e-10,4.771781705627569,100.0,10801.783484348434,201.2658656827199
4800,248716.38619492305,5999.563890119186,0.474754712343888,0.0009577134001494362,52319.08256757801,-2.386986396565718e-09,-3.9388982674852253e-07,5948645.367651348,-2.1341521958277098e-10,1.000000000180304,-1.8401005206227765e-10,4.85736548431078,100.0,10799.786345883405,199.28171726955466
4900,246640.28702720965,5999.986479424241,0.2011034055368151,0.0009685489727422046,52564.015921594335,-2.4601531690000696e-09,-4.067479919778306e-07,5948075.077984285,-2.184250120751479e-10,1.0000000001885982,-1.947873157532747e-10,4.957644368518233,100.0,10793.691735474931,201.83237619150603
5000,245355.60004310033,5999.570845153009,0.5557731258177625,0.0009625015398805542,53620.450179568725,-2.5307972332597565e-09,-4.081949017905974e-07,5946770.909245498,-2.1900607704697978e-10,1.0000000002033451,-2.0430874348079785e-10,4.94488542093787,100.0,10787.62797624029,216.2025910935275
