milliseconds,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30,species_1
1000,326776.48528118327,490245.2130990197,132419.5261924934,5564.527369957017,0.010833651120725875,8208.490485248416,40.05001952860777,505697.6184110048,150.0054768996807,0.044831296655354444,98265.55498219836,221.525370522117,346.6005157907209,789.9500150796484,-47.72604232349574,0.07365525655800045,345117.1482834922,-1237.7141541725948,-4572.26828790751,0.018036851017339872,27.84612928669647,271703.94172688125,111.79042006561762,-661.8917561411727,100987.9842067523,230078.07739559573,65754.190088451,181135.90246394754,151526.24218006595,115177876.35683078
1100,326831.3115265168,489932.4733920554,132462.03267692061,5482.372954532457,0.015590337832841639,8374.019047864216,39.03561532411153,504110.3115074432,134.46068661453418,0.03863518426418865,98854.61189371145,190.33794809714902,382.91066500193716,604.008252777425,-12.153136402103085,0.05420417281267341,345116.8122801917,901.5011771145124,1769.313633034751,0.025849199503755627,29.745949498582867,271703.2511030579,17.152794308124857,-312.58852667690843,100963.81390973346,230077.78051736706,65761.37557900585,181136.66833214613,151480.8523475066,115186970.9524997
1200,326656.2838091331,489845.69573599147,132203.86058545677,5522.700955224039,0.01620185349109531,8297.992226755461,45.969628514008136,499416.35128333035,141.72923987559884,0.05111819468034946,100808.03411804322,211.61466110875585,435.73171899266134,-1255.0023048495298,47.33815318853068,0.10554720638481424,345116.9497023202,-557.6545818379547,-3163.101129476723,0.02255287930628462,31.650949265325387,271701.71949450247,64.00372790836494,576.3911172727314,100929.1582528994,230077.5631166573,67456.66670791862,181135.0487914464,151407.09779659598,115184919.15338477
1300,326500.62596937636,489510.0936824418,134580.69265234814,5643.458229107274,0.00955997634877842,8384.720105728567,44.45022052205514,501707.33228907234,162.65284713149788,0.08286034369078962,98982.40023447665,232.72249721602694,486.63785204430496,115.58819615816536,4.9375968028036095,0.13143787738687188,345116.8147145638,-1162.3567278044757,-6674.122805667996,0.030884657554665084,35.477179729890864,271702.7163436012,121.13055614776027,-111.20772268987407,100888.09507687061,230077.65866198597,66403.62467331522,181135.32746671356,151411.3773620236,115175693.43533677
1400,326176.1472067287,489244.45629442687,131817.97759908822,5635.684417077569,0.01663546483411556,8289.938329013858,56.47356980661168,502343.9970594452,196.42208293091878,0.061910995023382216,99242.63433070968,281.61667271187076,509.24268874217853,110.77127611919336,26.536351882056383,0.06410317989482368,345116.4070976723,54.510660135840176,4874.627154740466,0.018461195709379055,39.49735376559531,271701.16130084236,11.196928968750566,-73.95913354548469,100909.67470128015,230077.8015593567,67723.96963074345,181133.08270311126,151388.49049951954,115173048.4056801
1500,326106.34100927657,488903.63603945274,131281.70030132873,5594.042657467793,0.013699465343886802,8435.910744833413,56.80898654559027,500022.49096746574,224.06300628853432,0.07037680600071343,100248.88099013161,281.4694257354844,568.5220091404225,-1269.5659272170406,-48.01637794007973,0.14899589813080225,345116.35158801917,-158.89811369393337,5706.844098269773,0.0214940587836848,38.448996023752386,271698.62828174274,-2.342223061861592,-728.9491300883644,100884.06692725023,230077.5656805713,66490.61872908096,181129.4788407656,151329.63641355274,115188617.77992274
1600,325791.6161538653,488712.832270391,134406.65401256795,5581.55591478967,0.026839933240353664,8509.622408828498,65.81103170887255,497167.93919233617,233.59684723037213,0.10780302096934756,100257.11341029368,309.9062023493426,623.6991505261691,-336.7287299172467,-2.8199424570631155,0.15424570123869408,345116.4732195305,1275.6909668558267,-5440.6368934055645,0.04668778225748019,42.30317917720613,271693.0753259132,-5.102261916208407,-676.5104587521828,100858.55914547255,230077.23273413113,67183.73378278647,181129.81053777228,151202.2312094573,115170115.86531027
1700,325677.9687686256,488753.41837922746,131068.91137534789,5570.520115596472,0.031697433031396764,8446.285182458036,69.29930115535127,507039.2893468005,214.3743689682596,0.08995953999299733,101594.63265177209,371.13744817104157,683.2383621355657,2045.2879240477089,-17.19096391794222,0.17814524962044315,345115.79582018685,312.1769935334149,-2289.0783992181837,0.03215806491578088,46.6240701940097,271694.5768951564,65.45763713447745,-554.398239643955,100794.76631011983,230077.48772058034,68295.73901335079,181127.21259561356,151255.448763908,115173871.43497516
1800,325637.19914669986,488408.2748324483,131183.96593119195,5541.67210039652,0.024088396026411066,8408.278678723962,64.68752905970308,498174.85742357647,242.8928122241166,0.1158398785501374,100352.20434088261,383.6050857237015,782.1556722488654,1814.0634608135986,-39.25032742507155,0.15305850253086517,345116.134157179,1188.9437017992368,-5340.882575077834,0.05628098703318035,47.26523952229038,271692.44072014093,82.9832600018324,-104.03252401850287,100777.34807166755,230077.2058806832,66772.00228680053,181127.4730970801,151138.57192802793,115171785.4090206
1900,325611.5973950381,488230.2096346739,132470.00016774226,5548.307465781642,0.03832738538213508,8348.159997661085,67.5468470682052,498113.87463753385,250.33970144038284,0.1276737229016883,100534.80833214484,359.3488388666658,720.4589455253412,1932.9994562730042,50.4111749937874,0.2290592118053896,345115.88351562043,-16.885650563606276,3854.4597111093517,0.040479872663021006,51.84236683289028,271690.3094573287,111.65777534853045,-588.2868452032561,100730.24966749665,230077.10242612363,67195.28335833554,181125.609345948,151129.3290615297,115177804.96742646
