milliseconds,Sic1,Cdk1_Clb5or6,Cdk1_Clb5or6_Sic1,Clb5or6_degraded,Cdk1_Clb3or4,Cdk1_Clb3or4_Sic1,Clb3or4_degraded,Cdk1_Clb1or2,Cdk1_Clb1or2_Sic1,Clb1or2_degraded,Sic1_degraded_re14,Sic1_degraded_re18,Sic1_degraded_re5
1700,4.806440130049442,0.0076111668129097984,0.15229526264573376,0.008046396707510063,0.0011557307072302253,0.021803662090105466,0.0011017492277256367,0.00018998454749036484,0.003722295190923291,0.0001984387264721412,0.00011962051375757417,0.0010702941686205796,0.007114954140972808
1800,4.770105688367901,0.007406662142049289,0.16636881908082993,0.008085712073130238,0.0011819741525553428,0.022857543715579375,0.0011350930606042044,0.00018901953011293487,0.0035706474318130876,0.0001845488610600249,0.00014726234212447429,0.001220948023907052,0.005753914265837616
1900,4.784437005002346,0.0077903288667011735,0.18384260858874596,0.009911010929953008,0.001220736234122989,0.028177507223310538,0.0014133000274118624,0.00020357115601571306,0.0040441206253214864,0.0002107570149021062,0.00020552334127487375,0.0012324362625009914,0.007896197780160883
2000,4.775158738845658,0.008059307931948125,0.18119649183168132,0.010303001780415148,0.0013436632797419802,0.02732022394094393,0.0013913689820480334,0.00020302057602970437,0.004163770191467838,0.0001968528428974412,0.00017955965109113284,0.0013331917995824851,0.010703267518198546
2100,4.763582585127593,0.008088165688897178,0.19919612094320982,0.01173012253688659,0.0013358852913069974,0.03022321275525157,0.0014471978996971318,0.0002245419202937147,0.0043985755904722285,0.00023996459172938523,0.0002645005723844726,0.0016613230683658108,0.01073837914930485
2200,4.749221441998817,0.008321037497473425,0.1964057804774798,0.010592096708077271,0.0013897454743399269,0.02828073552845871,0.0017037096586044848,0.00023941762568684252,0.004607510670907558,0.00022996130792491583,0.0002091451303959393,0.0018223146126791956,0.00943345574697729
2300,4.7347465628214,0.008567929822106732,0.21337852906560228,0.01257195331477303,0.0014091861592155925,0.03172408961000394,0.0016749764087018932,0.0002229789961564644,0.0050948054867303826,0.0003051114765631133,0.000310150653047301,0.0016913745923448692,0.011958967894363863
2400,4.697279733297922,0.00927380429015187,0.22923699990218604,0.013504966081864401,0.001392730538219755,0.035058944962606906,0.002030955946404341,0.0002459160344909665,0.005677569411847392,0.00032834309373037116,0.0002514607670498407,0.001971543778940195,0.012886901688629531
2500,4.717066003360914,0.009366760043384555,0.22025904054472317,0.014534953258101533,0.001487710015780204,0.03300769032346632,0.002133833036608928,0.0002454515381915344,0.00586601393781496,0.0003237478671450879,0.00029915934388151014,0.002067945678120368,0.012814235436942734
2600,4.704836919227463,0.009134043072287929,0.22290209443861997,0.013748548164522157,0.0015092227225089576,0.03757217696763331,0.0021667181351425766,0.0002770924834041891,0.006011706434793761,0.00034129095881126113,0.00037988985789386045,0.002501777635083697,0.017059378999510887
2700,4.677821806956582,0.009314001749716774,0.24914030912400026,0.01498150768199542,0.0016416571451520717,0.040280493357409554,0.00247800847081451,0.0002751015992957795,0.0062468872598432194,0.00036038584171191356,0.00040290261983535124,0.0025600277655285024,0.01796328540099934
2800,4.645961212121141,0.009552861875033146,0.26644358048142563,0.0159479885957929,0.001595515234607951,0.04126387657836377,0.0023923137224585466,0.0002722844626710683,0.006209457999340497,0.0004378652454665897,0.00037186524748542856,0.002634025988562647,0.01771739623965802
2900,4.636070856348593,0.010459803564376691,0.25408177698097323,0.0169790270707391,0.001655603132941952,0.04290572578930233,0.0027599910505662923,0.00028615884115546484,0.006699033780370311,0.0003981962430291456,0.00048348996315474,0.003135084001457803,0.018014234313713462
3000,4.649592678385346,0.010469220670736258,0.2802651353809653,0.017997496901378644,0.0017998260943109248,0.04177397411010424,0.0030478919123089385,0.0003018729412352671,0.006715338263147576,0.00044478001336358035,0.0004932176720003284,0.003231542609007444,0.020523391213123708
3100,4.606413735304284,0.01072713560780455,0.28429799864024685,0.019273165796489702,0.0017418605064889576,0.04663050238309143,0.0032431390246706084,0.00031158001359652267,0.007550333065213204,0.0005076685196911242,0.0005454551021538013,0.0035481825340849217,0.022186793989804048
3200,4.596611844116174,0.010547559641553314,0.2848928962359083,0.020156698970752465,0.001815764584531886,0.04546887672256939,0.003189723346719614,0.0003286825589530143,0.007816083149625813,0.0004982961130166106,0.0005823254894886815,0.00335146018396845,0.024848257737350672
3300,4.596565731274261,0.01100746452147826,0.30448979635363677,0.020596738362094746,0.0019421445630259475,0.0470641769647303,0.0034693675107879676,0.00033225965485075945,0.007866283209538659,0.0005141110456286105,0.0005545261848113719,0.003634152083004692,0.023742308500827484
3400,4.599748021845157,0.010927558465077935,0.29861598277188456,0.022945081539637365,0.00199672503542082,0.05003890662244679,0.0037444796050149854,0.00035274463700168463,0.008804798858003747,0.000546490897176327,0.0006795179968230535,0.004093150747452298,0.02585907894574551
3500,4.584014894396222,0.011716167181829247,0.3025872147887006,0.023753922165040537,0.0019297906664457395,0.05065311751277781,0.003787910809366747,0.00034615642814374574,0.008667111166626438,0.000649929265163841,0.0006584696033561498,0.004027373039796512,0.028057699060369132
3600,4.556326692353993,0.011491146215750373,0.3174562629554205,0.02441852081494633,0.0020956100427083637,0.053086395996121805,0.004080751541405609,0.000370835172724185,0.008926247556500951,0.000674712478286127,0.000699892767091229,0.004737013219307015,0.03000589474758779
