miliseconds,s125,s127,s128,s130,s132,s133,s135,s139,s152,s159,s160,s161,s164,s167
3600,5.992908877601548e-14,5.97160119500849e-14,2.694819631054078e-14,6.86331327536092e-11,3.772610990718502e-08,8.977570734921974e-06,0.05999566568409058,1.197547873781122e-22,2.445504928836582e-09,1.0770230850053107e-22,2.7252304517557765e-14,4.286789378797724e-06,9.429360273189901e-08,9.563889654784861e-17
3700,6.53860854924897e-14,6.496773907474025e-14,3.110917561738845e-14,7.434878908539523e-11,3.898102390032157e-08,9.027027750442806e-06,0.059995500704927006,1.412364963958253e-22,2.7639682307492045e-09,1.2017884018007622e-22,2.8996142052194865e-14,4.396681974461937e-06,1.0095412729753144e-07,1.181398165413891e-16
3800,6.758751835489773e-14,7.027938488271826e-14,3.377828134908739e-14,8.06492805478311e-11,4.1767838898994404e-08,9.537321171385855e-06,0.05999540980416628,1.7328046222185409e-22,2.8826898745093174e-09,1.4245001187386445e-22,3.2425028832982753e-14,4.588146041119276e-06,1.0875722459619635e-07,1.2996317057821117e-16
3900,7.458177889698633e-14,7.467478093168842e-14,3.5814883596906314e-14,8.854703511251154e-11,4.3881950795647905e-08,9.602542317656759e-06,0.059995260172552474,1.8978002114985842e-22,3.1109343245184794e-09,1.697670408099037e-22,3.676008715411002e-14,4.646432395541996e-06,1.1420859185995023e-07,1.4418094393134195e-16
4000,8.18044354092289e-14,8.055648970773433e-14,4.00826064953416e-14,9.527071505235407e-11,4.633450433054888e-08,9.782084748750625e-06,0.05999511090559917,2.1456542714061673e-22,3.407101005981294e-09,2.119548384717037e-22,4.0811843255626724e-14,4.801112298268772e-06,1.2066506439210616e-07,1.6776138543172897e-16
4100,8.705245098439542e-14,8.721900593630304e-14,4.4292322262338034e-14,1.0006671686923356e-10,4.763066552358305e-08,1.0159467958944776e-05,0.05999500223706601,2.571669389885056e-22,3.5700670715073777e-09,2.5779199045612213e-22,4.514788007505744e-14,4.828329688468547e-06,1.2842536306642248e-07,1.9484733235928446e-16
4200,9.179537146385419e-14,9.112684070995088e-14,4.983485457779629e-14,1.0976795278963782e-10,5.1063889927235216e-08,1.0312041503420618e-05,0.05999492925593145,3.1735269675752697e-22,3.978164885599352e-09,2.942610711740001e-22,4.907457366548608e-14,4.986387074584718e-06,1.325490260279419e-07,2.1439821934930305e-16
4300,9.740972916719421e-14,9.980537991849885e-14,5.427080402699468e-14,1.1545462796922738e-10,5.30010212666837e-08,1.0806213914635247e-05,0.05999481182195067,3.7717103329500644e-22,4.16320530659771e-09,3.5060156421866585e-22,5.3782416310927096e-14,5.0541791206735135e-06,1.3713056005976853e-07,2.45130510438979e-16
4400,1.066494750543766e-13,1.0548257463523745e-13,5.877004127522793e-14,1.2297897756346147e-10,5.6635642599605984e-08,1.0913858286326214e-05,0.059994773177906524,4.1782534638187207e-22,4.420318289742857e-09,4.294224945930827e-22,5.998165728735009e-14,5.196206522140909e-06,1.4235491995453258e-07,2.6912095213661384e-16
4500,1.1577524846822374e-13,1.1189895789629872e-13,6.4056508697559e-14,1.326753981417382e-10,5.753228548895433e-08,1.1179712392064543e-05,0.05999458046926806,5.043434655937497e-22,4.785416456389945e-09,4.966207959928522e-22,6.460773688158501e-14,5.387765148604252e-06,1.5064063494501023e-07,2.9529405479694427e-16
4600,1.2034553686825536e-13,1.2200541033493687e-13,7.096815928810904e-14,1.4375356738440463e-10,6.057571444922075e-08,1.1275326290695353e-05,0.05999441102999207,5.7814191599000665e-22,5.148235030099954e-09,6.014608393015052e-22,7.084567218109926e-14,5.543557134245632e-06,1.5757333355040754e-07,3.330616716069967e-16
4700,1.3081196294179154e-13,1.3107441052093352e-13,7.823674667894598e-14,1.5220605448594904e-10,6.412989674086576e-08,1.1624791750087907e-05,0.059994294617660864,6.534370476875964e-22,5.418646677023806e-09,7.079844039983662e-22,7.692825950238243e-14,5.671413185344279e-06,1.630734390169361e-07,3.7694089515855636e-16
4800,1.3597067779683327e-13,1.3944132833070526e-13,8.241336874805671e-14,1.6149450781067577e-10,6.59324253405895e-08,1.1928709994329157e-05,0.0599942141803479,7.546624802430491e-22,5.684958233803501e-09,8.105583053759087e-22,8.231405272802758e-14,5.7216399975150745e-06,1.6980818592943783e-07,4.102346294813788e-16
4900,1.479597407382916e-13,1.4654332981103815e-13,9.117732272167308e-14,1.737602417463307e-10,6.790887682715761e-08,1.1992307417758884e-05,0.05999413166890119,8.666361494083083e-22,6.0874775336253115e-09,9.709172294886903e-22,9.059083906064438e-14,5.852024173494965e-06,1.8012927841279268e-07,4.602233007599497e-16
5000,1.5672927024516716e-13,1.564523664366257e-13,9.764318189268982e-14,1.8399513956094067e-10,7.063063228562357e-08,1.2313900867395197e-05,0.05999403413543498,1.0096996008462149e-21,6.365129858997643e-09,1.1367174461093755e-21,9.718499732619408e-14,5.946304038693462e-06,1.861961896579285e-07,5.086848487865529e-16
