milliseconds,s125,s127,s128,s130,s132,s133,s135,s139,s152,s159,s160,s161,s164,s167
2400,1.8024668702085073e-14,1.9510677720005145e-14,5.7535468723544614e-15,2.0833538827761436e-11,1.678786871817316e-08,6.0137872247922055e-06,0.05999712563812218,-1.2087105853699628e-24,8.42390768223191e-10,1.73173780822497e-23,4.532057517137875e-15,2.829606931892476e-06,4.3828889303197617e-08,9.762343666969774e-18
2500,1.889630659390417e-14,2.0576579863248412e-14,6.706785379253991e-15,2.28969094873474e-11,1.841970717259359e-08,6.342918878545189e-06,0.05999693283543161,1.7508997770454942e-23,9.129706334961234e-10,1.0935947180080618e-24,4.996652982535988e-15,3.02619631678278e-06,4.90239123093013e-08,1.0480864807738985e-17
2600,2.3931434198427194e-14,2.1776205637922656e-14,6.268959599297323e-15,2.6912987835987404e-11,1.96512661030726e-08,6.366513489580305e-06,0.059996811148060665,1.4519436850401414e-23,1.0301696519457983e-09,3.3666560644803945e-24,8.083403892308033e-15,3.1667011347063562e-06,5.191329523170845e-08,1.4310211100529915e-17
2700,2.3525086321821284e-14,2.6357188538737266e-14,8.766332367186746e-15,3.188124778137712e-11,2.0893965399841844e-08,6.63462026152652e-06,0.05999671624251876,2.6896046413285796e-23,1.1030749882807178e-09,2.0159695893952673e-23,8.308193365424372e-15,3.2750714041526817e-06,5.682382370296459e-08,2.752457960048897e-17
2800,2.727095262921676e-14,2.5620467218700402e-14,1.0225134820703798e-14,3.199154776239696e-11,2.2798529452423094e-08,7.016037725690417e-06,0.05999660891159314,2.938788213411372e-23,1.3221538884878764e-09,1.7742145942754205e-23,9.45857589601959e-15,3.4117825990538524e-06,5.7433386865638264e-08,3.233431653060341e-17
2900,3.210548218515143e-14,3.1583005457982183e-14,1.1157594320460314e-14,3.432461428515666e-11,2.568652614035304e-08,7.14950595704326e-06,0.05999658743400935,2.654496462811376e-23,1.3459260006745235e-09,1.4544790620457532e-23,1.105542584938999e-14,3.531333769242572e-06,6.026500558492826e-08,3.9226569947434414e-17
3000,3.3823313314805475e-14,3.516434553723861e-14,1.2354170992607904e-14,4.1990716026396886e-11,2.7558670485924355e-08,7.403452653931573e-06,0.05999634715205534,2.6399945464937336e-23,1.4734083081391066e-09,3.4803083956258213e-23,1.3107989588114026e-14,3.5165445157673627e-06,6.906303425510829e-08,4.126221852652845e-17
3100,3.7731388673302694e-14,3.8822654067606226e-14,1.499927835611491e-14,4.670731162646033e-11,2.8718014356026355e-08,7.80869891614406e-06,0.05999634171629552,5.2855758763183023e-23,1.5965958569461983e-09,3.2151928253784296e-23,1.4081062041824827e-14,3.7139996166958437e-06,7.093736018297056e-08,4.529244627352124e-17
3200,4.166090019288725e-14,3.874409404257128e-14,1.54701712283143e-14,5.063026934315016e-11,2.9218388668569043e-08,7.89920289530807e-06,0.05999617778862775,5.769024395746388e-23,1.745821348256791e-09,2.8697536821491116e-23,1.7132278856598165e-14,3.907032863504793e-06,7.448345261180396e-08,5.2060578901979855e-17
3300,4.4856364319229456e-14,4.558497032719837e-14,1.9848769566659617e-14,5.342414111851804e-11,3.172121980947553e-08,8.112035894096656e-06,0.05999612678295088,6.092093825389948e-23,2.0106323214281655e-09,5.807449909409612e-23,1.9538120174865253e-14,3.980785173636419e-06,8.027091780082156e-08,6.774399523125746e-17
3400,4.9479009245502e-14,4.86652737628594e-14,2.2432951316291774e-14,6.059057330425959e-11,3.408965507116144e-08,8.570283352549631e-06,0.05999586444391462,8.6577343128617e-23,2.2060491668984843e-09,6.538671410433805e-23,1.9954348675800624e-14,4.127134120088642e-06,8.716313334152931e-08,7.110773624789798e-17
3500,5.4983598660376055e-14,5.237848233699863e-14,2.3312667171461578e-14,6.489660429029844e-11,3.5578467657700374e-08,8.862132878140265e-06,0.05999583743877922,8.236729542111456e-23,2.3127678472839547e-09,7.087831173756028e-23,2.3930401776775874e-14,4.250767479343324e-06,9.004444300508217e-08,9.25497887796956e-17
3600,6.014635475170296e-14,6.026383639035833e-14,2.5777473488674418e-14,6.692039276137675e-11,3.876596232023089e-08,8.89099501738991e-06,0.05999571874950413,1.2266631255289991e-22,2.5051635101706306e-09,9.384592511604439e-23,2.8081561635527877e-14,4.31777197381932e-06,9.922937257047417e-08,1.0120046850540649e-16
3700,6.47227474049263e-14,6.358419485928057e-14,3.027644650478619e-14,7.463211237243468e-11,4.0584947515182355e-08,9.094131856688723e-06,0.059995485760490096,1.3750895730687452e-22,2.7441882541386618e-09,1.2702876167228018e-22,3.094580745972908e-14,4.387368433093014e-06,1.0040207396057655e-07,1.1850822963992764e-16
3800,6.728868217153476e-14,7.033822080230407e-14,3.276949779954887e-14,8.061625200950188e-11,4.223158083818122e-08,9.546661055847492e-06,0.059995400585938864,1.6805633784895505e-22,2.9398065827974682e-09,1.3932171590755403e-22,3.3101648318394295e-14,4.561279136221886e-06,1.0792771945341614e-07,1.3868176873464514e-16
3900,7.452843045704791e-14,7.518443596296185e-14,3.759710166251693e-14,8.800536957701284e-11,4.3557602133453976e-08,9.587508066345849e-06,0.059995335127644954,1.8624630359274838e-22,3.1581648256889873e-09,1.8042195831762465e-22,3.633892410914334e-14,4.592693352013986e-06,1.1172478207738106e-07,1.4870707000744674e-16
4000,7.956980759651497e-14,7.916622130779425e-14,3.9830377671746496e-14,9.647656595068685e-11,4.624592007519237e-08,9.922319745960026e-06,0.05999512344841179,2.311413842265595e-22,3.4865879843018807e-09,2.0321204099509142e-22,4.020856722332731e-14,4.832851948679668e-06,1.1920833652319935e-07,1.6295193887043888e-16
4100,8.761236061711248e-14,8.636952451916179e-14,4.4326759398974634e-14,9.96074882608496e-11,4.8715881732259225e-08,1.014659325107687e-05,0.059995107367893,2.6472068017167846e-22,3.742160479208452e-09,2.5865488035757933e-22,4.3774536463063235e-14,4.915111557201274e-06,1.2346227568442334e-07,1.8484677330552845e-16
4200,9.466030127772469e-14,9.107775676575903e-14,4.9904494383613705e-14,1.0846383379483679e-10,5.031847359828999e-08,1.0598406143571934e-05,0.05999504222245326,3.2428177809759526e-22,3.924689003477396e-09,3.0335454377897715e-22,4.854466909683295e-14,4.948919278829291e-06,1.3470782720389827e-07,2.158345314902473e-16
4300,9.854742045887779e-14,1.0053687712149013e-13,5.3481331977439995e-14,1.1651106981297532e-10,5.250459396822881e-08,1.0740996539694195e-05,0.0599948681371935,3.659129196202515e-22,4.160192514439053e-09,3.5284132554179917e-22,5.3670049209605824e-14,5.184287581334184e-06,1.3671169397001928e-07,2.4750862685865313e-16
4400,1.0851658078180192e-13,1.0468056193507684e-13,5.800112026003491e-14,1.2263100397091789e-10,5.637545456261064e-08,1.0780794825704753e-05,0.059994663255683374,4.345647788925165e-22,4.518791969926356e-09,4.162626345773693e-22,5.9209135958126e-14,5.296069208493546e-06,1.4712777556889242e-07,2.6733788252624714e-16
4500,1.1404485713608814e-13,1.1378997011655768e-13,6.613491327318725e-14,1.3161937494650544e-10,5.73640740991815e-08,1.109964658278413e-05,0.05999464093108126,5.084287817374224e-22,4.814977896106444e-09,5.152993081392413e-22,6.416334985643603e-14,5.311937511611173e-06,1.494247817903533e-07,3.0473129577326975e-16
4600,1.1968454641285428e-13,1.1919278591871672e-13,6.930663703774584e-14,1.4069950331012769e-10,6.157797575080006e-08,1.156184006455107e-05,0.05999448781698276,5.779857190931028e-22,5.1060309144864185e-09,5.996907101452458e-22,7.059167684676106e-14,5.474557939607396e-06,1.573799534471698e-07,3.4037374100490907e-16
4700,1.3145410380117502e-13,1.299089868091236e-13,7.57663037090786e-14,1.5355421364709558e-10,6.424123377090226e-08,1.1840490748713155e-05,0.05999438817683457,6.609207109162917e-22,5.404272313075709e-09,7.102453932367074e-22,7.782260467457107e-14,5.575499300777258e-06,1.6355862181998876e-07,3.695122553442597e-16
4800,1.3944514681225522e-13,1.3849133300211746e-13,8.430585871577146e-14,1.6042722121061737e-10,6.54006329007576e-08,1.1987334488958204e-05,0.059994308691134104,7.515424179308574e-22,5.7639198943155715e-09,8.121143531054153e-22,8.374307337768623e-14,5.7811688659242195e-06,1.7446943372100133e-07,4.1292648591598064e-16
4900,1.486806587088117e-13,1.4834766677433518e-13,9.023149881455907e-14,1.7303186343314524e-10,6.800942929299705e-08,1.2351152357458656e-05,0.05999415451965111,8.792918122391551e-22,6.0364286098977954e-09,9.750922825201047e-22,8.976789874068544e-14,5.835458050557285e-06,1.8038095826282377e-07,4.570397061653735e-16
5000,1.5396778278445584e-13,1.5786569588889684e-13,9.973594297799145e-14,1.7983938354297762e-10,7.204451812838648e-08,1.230271033297371e-05,0.059994037003401154,1.0153297633465196e-21,6.498583313628031e-09,1.1402215598615411e-21,9.742555825517733e-14,5.902121403885844e-06,1.889846416245388e-07,5.072947485237737e-16
