milliseconds,BLL,IL,AL,A,BL,B,DLL,D,ILL,DL,I,ALL
1800,4.944107946666614e-08,2.205848159890396e-07,2.832482980455485e-08,7.623884532425667e-11,6.019908549393362e-07,1.5643219565507751e-06,6.574796388639292e-06,5.201762248385051e-11,4.100012224891984e-05,3.307887635313523e-08,2.792722544134425e-10,2.090290496280481e-06
1900,5.4959207113426254e-08,2.3237099193999347e-07,2.7986433062967422e-08,8.721329540928385e-11,6.3672178169209e-07,1.7238374118933455e-06,8.753384083614352e-06,5.62199591808192e-11,4.214592873513894e-05,4.350460386345421e-08,3.432605460084155e-10,2.468812865881852e-06
2000,5.994156656869763e-08,2.6032620898647867e-07,3.276168394372772e-08,8.867517378353852e-11,6.124084683919681e-07,1.8976600536716e-06,7.965253860179015e-06,5.200803614942146e-11,4.628543947549183e-05,4.567208978732986e-08,3.5829585416239136e-10,2.693267124534911e-06
2100,6.115579659717306e-08,2.6907092602020257e-07,3.1247632512130246e-08,9.28403576798788e-11,7.161532859830748e-07,1.8322933852971686e-06,9.211741119920555e-06,6.586211808877791e-11,5.2292985821793874e-05,4.683564120382264e-08,3.492262192938564e-10,2.6053558936072507e-06
2200,7.30507379009324e-08,2.725130734696534e-07,3.2844603733457624e-08,9.42193573700868e-11,7.535820900574486e-07,2.1135766663716554e-06,8.492611276965836e-06,6.912070399202082e-11,5.662219344625872e-05,4.999666410589622e-08,4.047096917796394e-10,3.085279603741865e-06
2300,7.47321670967615e-08,3.1144496983032137e-07,3.513879094970634e-08,9.950073389206115e-11,7.823154964659042e-07,1.8913875255706175e-06,8.69028868461909e-06,6.163935158230104e-11,5.548632629546248e-05,5.3556977883489315e-08,4.0550320054030826e-10,3.211593763971952e-06
2400,7.906349764328146e-08,3.067708952011143e-07,3.9204824507378e-08,1.1534486238035389e-10,8.436087199250889e-07,2.3620787012966012e-06,1.0697840082460433e-05,7.482237028415428e-11,5.91004478422589e-05,4.946667944031547e-08,4.269651040514939e-10,3.1312031223613365e-06
2500,8.145748119085404e-08,3.450583164073042e-07,4.0068504750757244e-08,1.2011704203339342e-10,8.513834236307227e-07,2.349616425308432e-06,1.0105249665737856e-05,6.976318435244266e-11,6.39567186432599e-05,5.9547411336152e-08,4.666712336748375e-10,3.5579575612175297e-06
2600,8.297747466125357e-08,3.4628024856094265e-07,4.4000019213554204e-08,1.2384255367870167e-10,9.476100991001967e-07,2.6309968518561267e-06,1.0996813075040302e-05,7.383449360568567e-11,6.602598059987817e-05,5.922062197493494e-08,4.568173290158346e-10,3.794802160494274e-06
2700,8.720274078579628e-08,3.548823630638556e-07,4.4406669432664534e-08,1.275547793401075e-10,9.320461049909708e-07,2.6634625084653446e-06,1.1494237001349315e-05,8.034745832733476e-11,6.687329974940826e-05,6.621817954129886e-08,5.083925022840356e-10,3.6972859144480987e-06
2800,9.077672760706541e-08,3.9593053764504705e-07,4.523779752040862e-08,1.3787040419140803e-10,1.0235182401618438e-06,2.6146642384660136e-06,1.2871071054085698e-05,8.559837964814007e-11,6.947690895779965e-05,6.439638593737712e-08,5.024570485548763e-10,4.119058136773741e-06
2900,1.0036280119357537e-07,4.1248959140230037e-07,5.034859274802638e-08,1.431521569544365e-10,1.0778875098619488e-06,2.9659662347165536e-06,1.3427824318601724e-05,9.672835930844215e-11,7.13189181888771e-05,6.552329090772317e-08,5.496963851492496e-10,4.086362042650779e-06
3000,1.0455177645372352e-07,4.293858668010351e-07,5.0474073484583015e-08,1.451255892042118e-10,1.1320319925992594e-06,2.7353590643151105e-06,1.2503651671816128e-05,9.964352441263541e-11,7.857317813086685e-05,7.510945169222548e-08,5.329441967826326e-10,4.481810632964771e-06
3100,1.0451107434080993e-07,4.1151773389825504e-07,5.592829677246006e-08,1.5363147926797997e-10,1.105306806514661e-06,2.9489476639047168e-06,1.4578609106219759e-05,1.0244617362873223e-10,8.081245140985708e-05,7.513895328934504e-08,5.563372117524359e-10,4.573149839278205e-06
3200,1.1255017874878e-07,4.5080871681460794e-07,5.568068210648099e-08,1.5934158977080486e-10,1.2081682302418805e-06,3.153204353552891e-06,1.3733989002243784e-05,1.0746320509319493e-10,8.650057096018118e-05,7.138576706307389e-08,6.067247346863213e-10,4.592992235802363e-06
3300,1.1305006508256638e-07,4.517752728588884e-07,5.955217306044609e-08,1.7141205286090906e-10,1.2306295691245974e-06,3.5164825077732664e-06,1.4448217105766166e-05,9.742269526367726e-11,8.795040305063312e-05,7.385876574815857e-08,6.157372035770695e-10,5.0808547402769515e-06
3400,1.1916795442452075e-07,4.674883964704032e-07,5.96736973491356e-08,1.6968236627464468e-10,1.3094020435941292e-06,3.2487042196317477e-06,1.6290456386087838e-05,1.1054146581824307e-10,8.612919906228924e-05,8.157905223088674e-08,6.36516634557613e-10,5.2304457330611775e-06
3500,1.2463733980450834e-07,4.918204719615463e-07,6.073192083956155e-08,1.7776807458737995e-10,1.3182367584785305e-06,3.519861961640106e-06,1.571584951173938e-05,1.1267251024472818e-10,9.250309215613685e-05,8.399033279011354e-08,6.641234157614294e-10,5.368735563675174e-06
3600,1.2603567273429776e-07,5.192006429359646e-07,6.221339908311875e-08,1.8174659799534505e-10,1.3482654039217205e-06,3.828959332540198e-06,1.6707693551511036e-05,1.1926320373166232e-10,9.362690930344741e-05,8.088624408618626e-08,6.546041598927579e-10,5.394971833225739e-06
3700,1.2866232776646197e-07,5.147549934299709e-07,6.699396820358433e-08,1.9369359803767084e-10,1.379160338498756e-06,3.5664721185047007e-06,1.602332175550384e-05,1.204682326631576e-10,9.821073697866409e-05,8.630206615530463e-08,7.088576435322376e-10,5.482619707345004e-06
3800,1.3665778930626004e-07,5.222733560798007e-07,6.72711932643789e-08,1.9403779338400908e-10,1.4547702135106913e-06,4.004683759048353e-06,1.6333240316663495e-05,1.2769034249791339e-10,0.00010107825694533604,8.757001143116028e-08,7.034085752801311e-10,5.937649799404767e-06
3900,1.3736332714579124e-07,5.10901808660212e-07,6.69788516947041e-08,1.9484870275402964e-10,1.4369386181482173e-06,3.989302317240546e-06,1.3600925095719149e-05,1.0016513161878551e-10,9.542545686048769e-05,7.380551724798552e-08,6.806014510445355e-10,5.63264135662507e-06
4000,1.2869821514693906e-07,5.108824840261094e-07,6.635599962394792e-08,1.8893988370326253e-10,1.3789780505754122e-06,3.854415909483443e-06,9.963930913059543e-06,6.253515531973028e-11,9.613260231174678e-05,5.1601015453535534e-08,6.770829135809605e-10,5.5051036618899196e-06
4100,1.252718944711795e-07,4.938524552137274e-07,6.315772983825767e-08,1.830094568955228e-10,1.3541861001565875e-06,3.770551136472233e-06,4.785935881663333e-06,4.210297748509535e-11,9.242055109777511e-05,3.1441829478494656e-08,6.591723309220619e-10,5.369650446627307e-06
4200,1.2164005416783426e-07,4.6629090946835045e-07,6.368774885340132e-08,1.8159127696751788e-10,1.3280860938583018e-06,3.6729651123799306e-06,1.7553790676674918e-06,1.6672866836391956e-11,8.90304377266877e-05,3.2769321287395963e-09,6.224530563336815e-10,5.245022122850319e-06
4300,1.1833413119184075e-07,4.5603806309334474e-07,5.9446380588981935e-08,1.762299913406598e-10,1.3396489302031415e-06,3.2891800098298212e-06,-2.5271914489416275e-06,-1.9648652165119695e-11,9.061809521909599e-05,-1.4495233903404757e-08,6.193348118109049e-10,5.23559988591984e-06
4400,1.2134589115245215e-07,4.531740160422231e-07,6.136711561964447e-08,1.759291432407207e-10,1.3112779061631345e-06,3.6563128952207308e-06,-6.659724601612402e-06,-4.8425589631796365e-11,8.226170004945779e-05,-3.171130972292803e-08,6.022650540752774e-10,4.969570637304138e-06
4500,1.196918114844979e-07,4.3841133996072145e-07,5.8093193664010146e-08,1.7320004075227915e-10,1.2315891299561003e-06,3.2993418095396555e-06,-1.015162450529398e-05,-8.101254477644386e-11,8.11891015687036e-05,-6.027062062374344e-08,6.080528200145422e-10,4.77533424144874e-06
4600,1.1112261427419507e-07,4.3366204599031417e-07,5.8457167665391684e-08,1.6739210559068112e-10,1.1811741812767308e-06,3.1232923560616975e-06,-1.3434157996734626e-05,-9.678259483425467e-11,8.023102649401728e-05,-7.198617848412104e-08,5.873176406216641e-10,4.671731789257766e-06
4700,1.1158697994582226e-07,3.9514476177515933e-07,5.350335966562914e-08,1.597397286847341e-10,1.219829575960676e-06,3.205987569936093e-06,-1.8839744658594607e-05,-1.334912663729424e-10,7.927725162248609e-05,-9.834489032146684e-08,5.473618257113294e-10,4.797840201278414e-06
4800,1.0992408249867824e-07,4.0663031580198256e-07,5.392133935326414e-08,1.571300402058409e-10,1.1142545547863123e-06,3.2375987831975824e-06,-2.266552460837088e-05,-1.594321931437507e-10,7.655410754557778e-05,-1.1803142594345893e-07,5.434376329533382e-10,4.626176906973005e-06
4900,1.0340082836919741e-07,3.8375042038561076e-07,5.394849600254857e-08,1.5183919120739043e-10,1.1556963992030064e-06,3.0489008896975446e-06,-2.5597468774466516e-05,-1.8823619308921611e-10,7.233798880529443e-05,-1.465770630388811e-07,5.084351412276501e-10,4.579078348979949e-06
5000,1.0507366882273364e-07,3.592282995301448e-07,5.205557515796778e-08,1.5235843724220497e-10,1.1035315295722786e-06,2.7166580255483194e-06,-3.015502389739675e-05,-2.1268557190468906e-10,6.591639183657448e-05,-1.6401867217356053e-07,4.870711470051163e-10,4.427683401026355e-06
