milliseconds,S2_n,pS2_n,G_n,pG_n,S22_n,S24_n,S4_n,G2_n,G4_n,GG_n,S22_c,S24_c,S4_c,S2_c,pS2_c,G_c,pG_c,G2_c,G4_c,GG_c,R_act,R,R_inact
1000,28.5147950598601,1.0345385926630332e-05,28.514770417241788,2.701786428029891e-06,8.463893140978643e-10,-5.237732582467459e-05,50.78093696239072,7.215796608121405e-10,8.66805699065405e-06,2.6860724207793845e-09,-7.261758443497159e-10,4.0352957259910685e-05,50.780825771041876,60.58974809990423,0.00016421773478014388,60.58970130470693,0.00022888340087420355,-4.40471388537039e-09,0.00011177968847668335,-7.395311412481927e-10,0.004893974840305302,0.9957983672033875,0.0
1100,28.51477328325777,8.425191715390261e-07,28.51478323626246,4.430850335135157e-07,2.057407646836997e-09,6.921694972173936e-05,50.780946863565504,1.1820115633541928e-09,-1.8903091059403495e-05,-1.822689344416058e-09,-1.5566088991401362e-09,8.43621608580748e-05,50.78098602092337,60.58961280645221,0.0002586156583700855,60.589492225570964,0.00028810920232241174,-2.5948416106167587e-09,0.00011128294409716108,-2.0439145920299953e-09,0.004780943166355527,0.9953553753647882,0.0
1200,28.514795345941913,-1.802198053231012e-06,28.514778820630042,6.884382982622463e-06,-1.1652810179453794e-09,-3.4694651795651005e-05,50.78094391996044,-2.947716487087574e-09,-3.21795159430378e-05,-2.0491485026169414e-09,1.6093132863290494e-09,2.4209534028397395e-05,50.78093459393777,60.58949097458841,0.00033471799530129017,60.58960252798674,0.00032857756918497203,-1.715940373995823e-09,0.00014391266189228518,-2.0641872572390464e-09,0.005638241300902909,0.9936573322696969,0.0
1300,28.514774237317628,-1.0858465469187977e-06,28.514767720584462,1.274559320814679e-05,1.1137647055204435e-09,2.8738129449001538e-05,50.78093919127655,1.3853645139592122e-09,5.045705524394594e-05,2.0287471975429927e-09,3.364876841463458e-09,0.00015298540061349543,50.78068875575728,60.589617535512815,0.0002872924320910694,60.58955348421396,0.00038659636838105294,-7.562196767794278e-10,5.53974660972239e-05,-3.796727187105546e-09,0.005759804243078284,0.9937392331363076,0.0
1400,28.514780956068297,1.1287904050984152e-05,28.514784738690352,1.001941479876477e-05,1.0069805837930597e-09,-2.966904914026553e-05,50.78092595538121,2.670977622224856e-09,4.104815214659712e-05,3.3181188277775486e-09,-3.5584094772015492e-09,4.075723878698312e-05,50.78085257134209,60.589472720736204,0.00040137133046593,60.58929481093315,0.0003251931471171322,2.4224026606058636e-09,7.253548723477363e-05,-2.3040444543391728e-09,0.006998108826097077,0.9933108845457184,0.0
1500,28.514789922300494,1.2127105635266823e-06,28.514780966320135,8.537822585304332e-06,-6.668629519447173e-10,-1.591815017725558e-05,50.780922359034655,1.6118284002539681e-09,2.590294902185261e-05,-2.8392964004744985e-09,3.479780582785913e-09,6.194363226650628e-05,50.780856715774675,60.589343826273655,0.00038506265311095614,60.589536425554286,0.000358333034583622,4.2573606645638395e-09,0.0001002064463736473,-2.1418847164711375e-09,0.007376763150536237,0.9932415756766259,0.0
1600,28.514790189175738,9.008143652117348e-07,28.514794095753217,1.8642330749834402e-06,-2.0501511401982373e-09,2.5187084178058415e-05,50.78091895677962,3.0976061268563856e-09,-4.523538164095371e-05,-2.860120819465037e-09,2.1247809762872945e-09,8.134046503628872e-05,50.780938973190565,60.58939430171281,0.000482604245217367,60.58930023083488,0.00045855647818374834,4.699254661397519e-09,0.000130907419627789,-3.0656460544182083e-09,0.007803833221604679,0.9916897732697875,0.0
1700,28.514769421203248,2.5582031758201995e-06,28.51479291649218,1.6057621247029045e-05,1.9411299747178023e-09,4.16586568934295e-05,50.78092817675583,-2.6164269716486303e-09,1.2225406067759047e-05,-3.181947076533218e-09,-9.414434865979555e-11,0.0001237598522083105,50.78058846240737,60.5891636691851,0.000517475828268703,60.58922425191907,0.00046766156992061956,-2.0015301332517237e-09,0.00012709736093749764,-2.049016252828193e-09,0.008511330064791309,0.9923463075248204,0.0
1800,28.51478989698895,-4.4700862001628045e-07,28.514792585760823,-3.268603755469437e-07,1.3740050871281126e-09,5.185973821074174e-05,50.780935271809206,1.16405604052574e-09,9.794440142057795e-06,5.417454093846485e-10,-2.788681982333337e-09,0.00018069422438011588,50.780773631225046,60.58926820114744,0.0004332973432394684,60.58920274741779,0.0004415531901006638,-4.690659728891028e-10,0.00012227335837117882,-4.987146752529458e-10,0.00880938462293824,0.9914128621705252,0.0
1900,28.514788390084266,1.3718379161651965e-05,28.51478791219058,1.3045835464791195e-05,-2.3799401263412e-09,1.7141710911659257e-05,50.78092128646669,-2.429630984814363e-09,2.0793573313896905e-05,2.8386497639364802e-09,2.2682071516851074e-09,9.833209393287861e-05,50.78087560686491,60.589105535008144,0.0004933927173645025,60.58911153181584,0.0004764274398340419,-3.715561043426952e-09,0.00012549388795608744,-4.057709313376047e-09,0.009048663887485245,0.9909720578076912,0.0
2000,28.51478673897218,1.1786291495178706e-05,28.514768904831467,6.675797521886204e-06,-2.6167976830408097e-09,4.463114919941487e-06,50.78091915449389,-1.8402702927698585e-09,-1.450530191037867e-05,-2.9795340852180463e-09,2.5795490111256826e-09,0.0001971976251491373,50.7807153807069,60.58912866567975,0.0006204110705027731,60.58920900405203,0.0005739175851321787,2.7817565880397254e-10,0.00019571223238491116,3.6766364847990367e-09,0.009764867118379471,0.9908056776420071,0.0
2100,28.514793620673835,1.7818941532916015e-05,28.514788905273964,4.833099573949659e-06,-1.5000510788691323e-09,1.1934614621556857e-05,50.78092464569697,1.2383810668284146e-10,8.998096656801057e-07,2.6103975538466943e-09,1.823723150425876e-09,0.00017291859893363762,50.78054460550825,60.58927438803652,0.0005747904796785327,60.58897936401954,0.0005616554918223283,-7.512973765538816e-10,0.00013779200830385188,2.69288818217092e-09,0.009459145389435559,0.9905085967465693,0.0
2200,28.514777231262503,1.01819520687185e-05,28.514781576245046,9.239967141741737e-06,-5.354574751767011e-10,3.6381014536601255e-05,50.78091665616319,-7.329821180921807e-10,4.949398940779359e-05,1.6444378096081661e-09,-2.474545928709457e-09,0.0001465636234743847,50.78066827389769,60.58912972239472,0.0006472790730362667,60.58905698218716,0.0006608359139078097,-1.3735914031564935e-10,0.00012573669571219124,1.684375673448666e-09,0.010483699101320288,0.9899117666831854,0.0
2300,28.514788654934883,1.7385673052107815e-05,28.51477767848426,1.802419386926965e-05,2.0914009343031477e-09,6.72233222289728e-05,50.780941837670156,-1.1378776945793477e-10,-1.02562445115754e-05,1.7591225402584075e-09,-1.55469296703384e-09,0.0002017415079292118,50.78074543225112,60.58898721780327,0.0006010104921567275,60.58908444500163,0.0006551310940504182,-1.1837073771061303e-09,0.00013835949127352163,2.2988366882465047e-09,0.011050454254198221,0.9885543472119368,0.0
2400,28.51479615828646,5.972225750363339e-06,28.5147790860838,1.9520892884216853e-05,3.295566617168149e-09,-1.8931540504380516e-05,50.78092846739306,2.0688453955943212e-09,-3.415372994942634e-05,2.9901627098984944e-09,4.2371723526029534e-09,0.0001934813650685811,50.78072016826294,60.58901072774382,0.0006631148904519169,60.588938935059645,0.0007509492707381441,-1.4035479742994272e-09,0.00015104490444706653,8.388831282314469e-10,0.012127746067336305,0.9877416885403774,0.0
2500,28.514794863405633,1.3333631299819752e-05,28.51479253714155,5.9622863260328626e-06,6.751723170755443e-10,5.711154523486277e-05,50.78091653302378,1.206961300110773e-09,8.080861322195358e-05,3.280594390973205e-09,3.695409863860436e-11,0.00023038426861993118,50.78076374067175,60.588803163982995,0.0007866515475836271,60.58897511232755,0.0007463465825455595,3.3916286671686427e-10,0.00019117462913116902,2.0639782155813257e-09,0.011573709850414973,0.9873102295968231,0.0
2600,28.514767666267474,1.4994632833665027e-05,28.514779947251853,1.2640764826049065e-05,2.1966622835954757e-09,7.17363744711614e-05,50.78091722215783,-3.034011293518704e-10,-7.511158496350352e-06,3.4348003028567277e-09,-3.168664283871342e-09,0.00025432084036139467,50.78043495483934,60.588965089144715,0.000762397180788321,60.58889072501326,0.0007880007472249786,-7.623952356853952e-10,0.00020388397554766703,-2.3685284737215227e-09,0.013072295781994587,0.9874384721010845,0.0
