milliseconds,Mdm2,p53,Mdm2_p53,Mdm2_mRNA,p53_mRNA,ATMA,ATMI,p53_P,Mdm2_P,IR,ROS,damDNA,E1,E2,E1_Ub,E2_Ub,Proteasome,Ub,p53DUB,Mdm2DUB,DUB,Mdm2_p53_Ub,Mdm2_p53_Ub2,Mdm2_p53_Ub3,Mdm2_p53_Ub4,Mdm2_P1_p53_Ub4,Mdm2_Ub,Mdm2_Ub2,Mdm2_Ub3,Mdm2_Ub4,Mdm2_P_Ub,Mdm2_P_Ub2,Mdm2_P_Ub3,Mdm2_P_Ub4,p53_Ub4_Proteasome,Mdm2_Ub4_Proteasome,Mdm2_P_Ub4_Proteasome,GSK3b,GSK3b_p53,GSK3b_p53_P,Abeta,AggAbeta_Proteasome,AbetaPlaque,Tau,Tau_P1,Tau_P2,MT_Tau,AggTau,AggTau_Proteasome,Proteasome_Tau,PP1,NFT,AbetaDimer,AbetaPlaque_GliaA,GliaI,GliaM1,GliaM2,GliaA,antiAb,Abeta_antiAb,AbetaDimer_antiAb,degAbetaGlia,disaggPlaque1,disaggPlaque2
1300,4.971003486280943,5.052353876428555,95.02756914752963,9.997088938322172,10.000000000159016,-3.803807846958423e-17,200.0,-2.5276699564660482e-20,2.3617869296669017e-16,0.0,2.4440428999371734e-10,2.6333534025721136e-15,51.020364793793966,97.16256725015946,45.405376602341356,2.803188824858977,499.999999315382,3952.560708356042,200.0,200.0,200.0,0.007083179243304914,-0.0003609923650943126,0.00019595846242555202,-8.713779091461791e-06,-1.4945052098205988e-05,1.651085041298119e-05,5.48041944794505e-07,8.017753786321914e-08,1.050963599369323e-08,1.9614332836093326e-20,1.1235309274067178e-21,9.220582317649316e-23,-3.002660766480039e-24,2.030029053339591e-09,5.4011298430928076e-12,-2.618229966539148e-28,499.9930648026205,0.006927265512807536,2.012736983469255e-23,2.4098029857585333e-05,-1.560502287863799e-15,-4.046114437028667e-13,0.012202338938719054,0.0005386505028865472,3.9362372053837886e-05,99.98815701816083,-1.1484335938446253e-10,-1.805016952666959e-15,6.386382530319121e-07,50.0,9.029757699836415e-14,-3.096812999566898e-11,0.0,100.0,8.60908025503008e-17,8.71596471871371e-34,0.0,0.0,0.0,0.0,0.0,1.7547506887306826e-16,0.0
1400,4.965541458054428,5.048622679600849,95.03048671067407,9.996206975134859,10.000000000190687,-2.598497010223107e-17,200.0,7.144790233830453e-21,1.2328315510507006e-16,0.0,2.6112797520233027e-10,-5.362252244639524e-16,51.56621278115862,95.9145422875313,50.27496991374663,4.573507146716798,499.99999915674647,3944.3176835368313,200.0,200.0,200.0,0.003373858954652126,0.0007023944282957347,-0.00013395882457859716,-1.0635680522764013e-05,7.743932122011476e-06,1.6641857246050586e-05,-2.4737514012903973e-06,4.174793400940267e-08,4.9494917378703945e-09,-1.0759733990756952e-20,-1.7612859226243025e-21,-2.673288383079569e-23,-1.9827898003217903e-24,-3.0558766511789414e-09,-6.3299773153726045e-12,7.5486725123071315e-28,499.9932550645787,0.007082629898858711,-1.3110158671341018e-25,2.6792930261933512e-05,-1.4540845567019362e-15,2.400017541589926e-13,0.012278948151236061,0.0005764783433260081,4.461812643709506e-05,99.988057708573,-9.783792753243652e-11,-1.415087376164323e-15,1.0881149121393512e-06,50.0,2.745119806828052e-14,-4.1803778061536574e-11,0.0,100.0,-3.92467710172311e-17,2.1808435414008513e-33,0.0,0.0,0.0,0.0,0.0,8.583789686989653e-17,0.0
1500,4.964244316629405,5.05531272583514,95.0304852223476,9.996534708544278,10.000000000156701,5.117724662783829e-17,200.0,2.679991551024954e-21,3.967395973265604e-16,0.0,4.208166724204138e-10,2.4515921433854266e-15,47.752229510561186,96.08791669260542,50.11400528261431,4.362426054271643,499.9999987189356,3941.59255353612,200.0,200.0,200.0,0.015840646819940414,-0.00043821039132444027,-3.95595095998423e-05,-6.233334334002694e-06,1.1450286490625201e-05,2.1605116201218665e-05,-1.774540757377403e-07,-1.6063512442021154e-07,9.75454718627307e-10,-2.8801314460641175e-20,1.6096010607140866e-21,-8.710027786375179e-24,-1.0765423608904992e-24,-5.469267823174007e-09,-2.356769125959274e-12,7.528394501713931e-28,499.9917253549362,0.008052070266805666,2.307536437562732e-23,3.062120118151744e-05,2.185452391520366e-16,3.842023802617217e-12,0.014050165169226784,0.0007122610561114154,2.791076149094619e-05,99.9864403016465,-1.2735562764259513e-10,-2.216497146188532e-17,7.254866946713154e-07,50.0,3.6001885463770594e-14,-3.949119473450967e-11,0.0,100.0,-1.025185225173807e-16,1.5844563585884138e-33,0.0,0.0,0.0,0.0,0.0,1.0150586616549261e-16,0.0
1600,4.960513088405767,5.063445999786065,95.03259508357314,9.996030891700146,10.000000000251386,4.4036001907068405e-17,200.0,-3.3015509977013313e-22,2.721348124116615e-16,0.0,6.154215275260801e-10,4.810515637259807e-15,45.394899262768114,94.80340793657153,53.0686078035967,5.279390893471043,499.9999989905884,3941.5690280912577,200.0,200.0,200.0,0.016563596111840485,-0.0006921956188839835,-0.00016577117645886013,-2.6682547158368525e-06,8.676092612858603e-07,4.9930216774511174e-05,2.6159856195943686e-06,1.9205326811321813e-07,-4.219735625751964e-09,-2.1268327157731468e-20,-4.2005586647682123e-22,-2.879116158200514e-23,1.6482656975022108e-24,-3.024978144996458e-09,4.646896653250069e-12,-1.0144143452518258e-27,499.99159826990154,0.008345030381409612,-2.31989618521276e-23,3.125211078962678e-05,-1.4685529534081018e-15,3.4599916652637904e-12,0.012996027223054804,0.0008560076504135593,4.289531197587974e-05,99.98552962728041,-1.0454092465400549e-10,-5.4091404699652626e-15,1.0107436310475544e-06,50.0,1.140867437708479e-13,-2.5256970628006107e-11,0.0,100.0,2.899493700896828e-17,-3.397160890403885e-34,0.0,0.0,0.0,0.0,0.0,-2.1262576105124318e-17,0.0
1700,4.9576828120983,5.058148557674116,95.0318220988446,9.995913645752644,10.000000000315538,2.3794828731621667e-18,200.0,4.1632496298794996e-20,-4.7638365926373494e-17,0.0,6.04151453783454e-10,1.8352646271678696e-15,46.72741407899638,94.21369948944985,53.90081790875407,6.1496196051131395,499.99999891692494,3938.7922308198326,200.0,200.0,200.0,0.020707064630145655,0.001010232573547252,-0.00018705302734236973,6.054593233605887e-06,6.064461929950099e-06,5.844395740339267e-05,1.568140246559869e-06,-2.093905203569825e-07,1.3758019896016251e-08,2.735787046219264e-21,-1.2246172171408367e-21,-4.858978528674665e-23,2.1101937916838416e-24,7.50059161155356e-10,-4.041276919181807e-12,-1.0687832516896995e-27,499.9919994955306,0.007945736027971523,3.225334059554207e-23,3.356423579307009e-05,-1.7672454652980937e-15,6.435832287928297e-13,0.01489442029002646,0.0010241310332891886,4.743885522441766e-05,99.98481682544815,-1.2192971937286119e-10,-1.1409924943990872e-15,1.2763156268525278e-06,50.0,8.457423799715348e-14,-4.751980473271117e-11,0.0,100.0,-4.466785002630009e-17,-2.3953546055770283e-33,0.0,0.0,0.0,0.0,0.0,1.36536491464889e-16,0.0
1800,4.956075670590316,5.061759522509389,95.02765465980526,9.995743668471325,10.000000000353374,3.3347962217290086e-18,200.0,3.577276832545804e-21,1.4543853805333952e-16,0.0,5.329013157678163e-10,4.881972034665558e-15,44.26298649022434,94.10103184673326,57.25627868687453,5.787988316120384,499.9999985277661,3934.7003571485066,200.0,200.0,200.0,0.01597489841910092,-0.0002980855903384369,0.00012439289200104076,-7.1082129096858935e-06,-4.55328585604098e-06,8.831594998208819e-05,1.055744332964964e-06,1.8053390274366863e-07,1.221124075076306e-08,1.6850290982433983e-20,-9.215821492643554e-22,-9.016979651032548e-23,1.2984145886486546e-24,7.100807347887055e-10,-2.3185747871175176e-12,9.37926110902194e-28,499.9916508558903,0.009476307216270559,1.5408623969129542e-23,3.1523055727665866e-05,-7.773892057395477e-16,1.955568963110345e-12,0.016252682315445154,0.0011290408218050186,6.625431945384981e-05,99.98261493387854,-1.7923943887321703e-10,-6.093158104052661e-15,1.5844374522294654e-06,50.0,9.5287800326208e-14,-5.2447625830217544e-11,0.0,100.0,1.6786178037266278e-16,-2.8488768383595042e-33,0.0,0.0,0.0,0.0,0.0,7.23706191244641e-16,0.0
1900,4.959532852964379,5.073157409728754,95.03503581869292,9.995385332007698,10.000000000362302,1.7319463672120337e-17,200.0,3.450228915505818e-21,4.559369985571376e-17,0.0,7.756419737587615e-10,6.469409826293738e-15,43.5289421403244,93.41716146690257,60.21987048125013,6.644426282181969,499.99999856096764,3936.7736949588702,200.0,200.0,200.0,0.023017288856700326,0.0010780599163619188,-0.0001793696692588792,-1.0734665524491187e-05,1.0166803289609125e-05,0.000122583919195498,2.846402992508239e-06,1.0794350905145604e-07,-4.503271254308853e-09,-1.614577766217286e-20,9.143550993852282e-22,-9.332811249013692e-23,1.2590188098977976e-24,1.3857790608842967e-09,-5.541481460590195e-12,1.0294256782932336e-27,499.99033501923515,0.00892491056079199,2.0046050088269697e-25,3.3095007154152556e-05,-1.791014464719136e-15,1.5322014157722004e-12,0.016985976305684894,0.001116897358730391,6.409319793328357e-05,99.98155237546807,-2.0300807412785502e-10,-4.318260838963661e-15,1.7374103682439624e-06,50.0,7.510480874738386e-14,-5.604598502653842e-11,0.0,100.0,1.6079269395600866e-16,-2.310554822114671e-34,0.0,0.0,0.0,0.0,0.0,6.502101876616744e-16,0.0
2000,4.953625185872636,5.070319975526214,95.02982426214805,9.994826599473953,10.000000000335453,6.1637993716667834e-18,200.0,1.4549676909351227e-20,2.4440638535872224e-16,0.0,6.550384227804305e-10,5.396667788165626e-15,40.05166233150614,92.92577028147988,62.02066056389789,6.5415208652188,499.99999841850126,3930.759210307771,200.0,200.0,200.0,0.026052596343739763,0.0005582355904947499,0.00014435193857103198,-3.507531115946496e-07,-1.1944464217123068e-05,0.00013491185386520422,-1.0769505466728838e-06,2.414250210521754e-07,-1.1828024406491037e-09,2.5051735716340928e-21,-1.7187203867541682e-21,-6.385087503324803e-23,2.8521255674982225e-24,1.7397923584721484e-09,3.0162025506854903e-12,3.1662924247907293e-28,499.9906949446278,0.010230069748360037,-1.6745710546494375e-23,3.677504354181702e-05,-2.8721234911087594e-15,2.215030983409601e-12,0.016745768841213923,0.001132935208217132,6.199873909211556e-05,99.98192306553015,-1.9359130671110126e-10,-6.284728012026906e-15,1.8721667428981958e-06,50.0,1.1687927537170983e-13,-7.798385637672703e-11,0.0,100.0,1.1207885880834866e-16,-6.493114136891358e-34,0.0,0.0,0.0,0.0,0.0,5.98462726529884e-16,0.0
2100,4.953333527731873,5.0793571165623135,95.03203744569383,9.99465719003189,10.000000000443748,1.0602536013180722e-16,200.0,4.267840958248642e-20,5.090507266038095e-16,0.0,9.464506826396095e-10,7.74328961793951e-15,38.262003370678976,91.9511894390273,61.64908976747175,7.618873012663127,499.9999983521286,3927.8625973559165,200.0,200.0,200.0,0.02511274717270594,0.0017060010872434006,0.00019587795474305174,-3.852587777945585e-06,-1.6117422027829133e-06,0.00015616229086298116,3.886366063421871e-06,-4.772500146271322e-09,8.60874982758105e-09,1.8627416611545523e-20,1.0539220483702859e-21,-6.296428861575793e-23,2.2301846132420074e-24,3.078622711722042e-09,-3.4483344824331026e-12,5.3940018108949185e-28,499.9900533318071,0.011066271564526532,2.2076801446768912e-23,4.070825853783872e-05,-1.812879641117001e-15,5.469673901373907e-12,0.01846398133048073,0.0014938177219088098,8.917115375983626e-05,99.98049686102514,-1.8921554827540318e-10,-6.361754719232847e-15,1.780650631326454e-06,50.0,1.3270564345427675e-13,-6.657988857176146e-11,0.0,100.0,2.3270418615014175e-16,-2.449950172629264e-34,0.0,0.0,0.0,0.0,0.0,3.8824629771216495e-16,0.0
2200,4.948783345533482,5.080574222337768,95.033189843146,9.99470809143392,10.000000000422537,9.841623196421929e-17,200.0,1.0898457568848582e-20,1.4108841987564838e-17,0.0,8.186940553394439e-10,8.594374647377428e-15,37.963188052665,91.65544794668966,63.28276691659063,8.731543986390653,499.9999978084113,3926.336588595096,200.0,200.0,200.0,0.03164296294605981,-0.00027259884465585284,0.00017209862837024899,5.941598700223666e-06,-1.1908115340553657e-05,0.0001332251567202824,4.608638235931001e-06,1.1140180793715153e-07,-1.6577654311307846e-10,2.663800630391462e-20,2.0234656341518614e-21,-6.464066508585356e-25,1.5677628795330063e-25,4.109363708617693e-09,-3.642384080691338e-12,6.648142384316565e-28,499.9885296988922,0.011237915610948685,1.3604336353461065e-24,4.3579144582848105e-05,-3.775315719174506e-15,5.4150822740289825e-12,0.01754430799499621,0.0016086992384155988,7.796954556994419e-05,99.97942025892739,-2.0858465286092954e-10,-1.0951727991656742e-14,2.007816140310805e-06,50.0,2.1673908286750493e-13,-9.069196928290328e-11,0.0,100.0,5.0690155881704325e-17,-1.497800692554542e-33,0.0,0.0,0.0,0.0,0.0,4.72571414193073e-16,0.0
2300,4.950052151292687,5.089816704494319,95.025152327887,9.994066568381236,10.000000000536652,3.8843155956830875e-17,200.0,1.0354850509172255e-20,-1.0085686889956132e-17,0.0,9.012031621770645e-10,9.531175186882743e-15,34.915366753130016,91.54896848568853,62.961886192288766,9.168052341339326,499.99999758963435,3926.2158570576735,200.0,200.0,200.0,0.04047851685962309,0.000553157054216908,0.0001776125701854929,-5.209702307864533e-06,-6.616523136702832e-06,0.00014495103348387305,3.896560777562066e-06,2.73973678708389e-07,-5.172742687068471e-09,-2.160459691363678e-20,2.417798432965516e-22,3.1250177026494843e-23,2.1072072677651603e-24,-3.0356659656828225e-09,-2.216336645417099e-12,-9.704311957606766e-28,499.98777977202354,0.011859816472774492,-1.2213132782974215e-23,4.083102358404068e-05,-3.783678917567079e-15,7.0759286853375614e-12,0.019908727359859782,0.001689531925272212,0.0001019904843459342,99.97997336730181,-2.7688257985604286e-10,-9.047666732421142e-15,2.328670380509643e-06,50.0,1.475411149657161e-13,-7.398527261528203e-11,0.0,100.0,2.7127923381409256e-16,3.580128485525875e-33,0.0,0.0,0.0,0.0,0.0,1.0477900544199835e-15,0.0
