miliseconds,CaI,IP3,g,mwaf195932_a72c_4552_8cf2_b349b15d39c4,mw0ebc76ad_49d7_4845_8f88_04d443fbe7f3,mw7cb2644a_384a_4bbb_93fd_fd686e01d7cb,mwd6b792d8_c983_42c1_b3bc_2494d6a3363e,mw013a7c64_a9ec_483c_b3b8_ed658337ee95,CaS
1100,0.06622469001342485,0.025848808448919847,0.013478682334460059,0.013000000752987828,0.2659999693635852,0.019999999111778403,1000.0,0.0017212467812443401,2.0043860853176496
1200,0.06526010684402395,0.021331786643230655,-0.004471197413297204,0.013000004219065933,0.266000041860159,0.019999998482162967,1000.0,0.0006115242628746648,2.0119827579032474
1300,0.05835006829325083,0.02633104952052962,-0.0032395657074294607,0.013000006621548554,0.2660000345111373,0.019999998405235985,1000.0,0.0002862171701353421,1.9914358986045153
1400,0.05980904869246422,0.026597574031221167,-0.0009911643148550085,0.01300000285541434,0.2660000542551585,0.01999999823913402,1000.0,0.0007691643741453962,2.006025402847686
1500,0.053248272556536407,0.028299001693115968,-0.009701359154310623,0.013000006571358542,0.2660000084861848,0.019999996548389437,1000.0,0.0008183368855584911,1.9761409700671606
1600,0.07016799283468322,0.02430121786043415,0.002246268340019504,0.013000007262122956,0.2659999957922468,0.019999996261950863,1000.0,0.00056565821963656,1.9700260807768215
1700,0.06160649976448701,0.029208312609363442,-0.003793728245006235,0.013000010701313213,0.265999973227627,0.019999995240276784,1000.0,0.0004883036634890396,1.9723176875250616
1800,0.05384841567714314,0.03420465600223932,-0.002296724403207748,0.013000012951219289,0.2659999846353348,0.019999994407985965,1000.0,0.00035853934166477455,1.986889436474022
1900,0.06369003547390908,0.02427957698370201,-0.0058720766596777035,0.013000010958704164,0.2659999666158544,0.019999994722080517,1000.0,0.0022145175894255627,1.9842169571659944
2000,0.056134006564902306,0.0316220825835983,0.0071567295921835606,0.013000014789248273,0.26600005675057803,0.01999999306752837,1000.0,0.002230270487003595,1.992679044426937
2100,0.09004144353383758,0.029368429152230657,0.0033144528619333887,0.013000018144271827,0.266000024436258,0.01999999330114809,1000.0,0.001790704533868293,1.963027449803511
2200,0.08163510345154833,0.029799608873821735,-0.0071840915426804024,0.013000016174534184,0.26600005612189737,0.01999999226026584,1000.0,0.0015974758085341668,1.9811574937858125
2300,0.05772828024459327,0.03945732640565046,-0.004228286862086939,0.01300002468797961,0.2660000285388213,0.019999991282027417,1000.0,0.0020052224532974504,1.9528987230556565
