milliseconds,Gsbg_cell,L_cell,Gsa_gdp_cell,Gsa_gtp_cell,b1AR_S464_cell,PDEcAMP_cell,PDE_cell,b1AR_cell,Gs_cell,A2RC_cell,A2R_cell,PKAC_cell,ARC_cell,PKAC_AKAR_cell,Propranolol_cell,b1ARinhib_cell,light_spot_cell,AC_cell,PKI_cell,PKAC_PKI_cell,RC_cell,b1AR_Gs_cell,cAMP_cell,GsAC_cell,IBMX_cell,PDE_IBMX_cell,Fsk_cell,FskAC_cell,b1AR_p_cell,L_b1AR_cell,AKAR_cell,AKARp_cell,PP_cell,PP_AKARp_cell,DMNB_cAMP_cell,L_b1AR_Gs_cell
1000,0.01602695795884177,0.0,0.0005743160643520739,0.013388773288053601,0.0,1.7024872430261794e-05,0.013982103528024438,0.011821017417992487,3.812372401707059,5.7576375692208847e-08,3.4446353539802185e-05,1.979873425452286e-06,0.00021305728339783157,7.537313299536281e-07,0.0,0.0,0.0,0.04795590543806632,0.1801022147171837,0.00021919145498610975,1.179927883717418,0.0013755922547670804,0.0017785755364174637,0.0016836906026200628,0.0,0.0,0.0,0.0,6.426507135237378e-11,0.0,9.999997221625383,3.0551623666604145e-05,0.6699969395270745,5.94354491244454e-07,3.01,0.0
1100,0.017204729639733334,0.0,0.0005673130983651723,0.015198126106952998,0.0,2.3828334281129215e-05,0.01397726304152611,0.01183661566605549,3.811928762241549,9.887074896935714e-08,0.0002972403866828219,3.0605556565563148e-06,0.0002721207868389585,6.56693406156739e-07,0.0,0.0,0.0,0.04786801838572913,0.17976609180352232,0.0002939043743858964,1.1796746271038334,0.0013711014749184201,0.001873027014874793,0.0017045283166975704,0.0,0.0,0.0,0.0,-1.5877558733194888e-11,0.0,10.000012482889817,-4.375473526216047e-06,0.6699994451265081,2.3742640955288126e-06,3.01,0.0
1200,0.017861625735679735,0.0,0.0005627668798678312,0.016365416872490896,0.0,2.5006014031389665e-05,0.013973588941758217,0.011828828863523218,3.8109754609436886,1.3445116616938055e-07,0.0001407454381190813,3.607996807990989e-06,0.0002990250743528584,1.748279096921308e-06,0.0,0.0,0.0,0.047799560916683546,0.18002626952491096,0.00030196925254759137,1.1794237351959773,0.0013692467799157153,0.0021893026239294335,0.001814435083987708,0.0,0.0,0.0,0.0,6.228567991223406e-11,0.0,10.000001830450708,1.4985039182673732e-05,0.6699970475683158,2.6317109267439827e-06,3.01,0.0
1300,0.01846284222086776,0.0,0.0005749457404773703,0.01635162270852478,0.0,2.7136496548350745e-05,0.013972009984626606,0.011816440008910621,3.808770264065703,1.3973172204462307e-07,0.00018234289586883904,4.5389834834736045e-06,0.0003412651003571754,2.157226714341793e-06,0.0,0.0,0.0,0.04766640981096169,0.17997944802585314,-1.8262307674395383e-05,1.1797008997984315,0.0013713656925407255,0.0026954461128234305,0.001979870696430392,0.0,0.0,0.0,0.0,7.976296075595544e-11,0.0,9.999997623958823,3.6923303815436566e-05,0.6699979933557052,-8.41160839037801e-08,3.01,0.0
1400,0.019423339593442255,0.0,0.0005776141101230824,0.017901158591123154,0.0,3.180601083087335e-05,0.013968403560093682,0.011833287333829118,3.8080363922917577,1.5992442849338604e-07,5.781466312069217e-05,5.451641493148399e-06,0.0003652202568713795,2.3876997592124097e-06,0.0,0.0,0.0,0.04767420697112763,0.17956396960644555,0.0005387168664601353,1.1792277588084914,0.0013760366008501311,0.003038352526031807,0.001979258595744899,0.0,0.0,0.0,0.0,1.6556036133138854e-11,0.0,9.999985271801544,2.2076442209514005e-05,0.6699989551115817,8.257234889678153e-07,3.01,0.0
1500,0.0201636600132553,0.0,0.000575181431238697,0.018042667301714575,0.0,3.2645552272835506e-05,0.013966132860922985,0.011825228741015145,3.808088552082401,2.428844078918207e-07,0.00013773172358704484,5.1876079747615635e-06,0.00039742588091333666,2.438834626823561e-06,0.0,0.0,0.0,0.047584938219906864,0.17938096042337864,0.0005525403044222076,1.1795325033682689,0.0013751290369325624,0.00307392571038285,0.0020798878721117234,0.0,0.0,0.0,0.0,2.0423293450787688e-12,0.0,9.999929513822249,5.6229012376708714e-05,0.6699956834081846,2.9448480530364066e-06,3.01,0.0
1600,0.02106783405648746,0.0,0.0005792597717501776,0.01910531585911423,0.0,3.506771757331596e-05,0.013964971803284425,0.011821482976017966,3.807057352323281,2.757443516640023e-07,0.0002242102473397262,7.625078456168685e-06,0.00043643838184524925,3.3403148046316117e-06,0.0,0.0,0.0,0.04754064963613257,0.17973083170722864,0.0007672630115957389,1.1791503777972447,0.0013665548140574114,0.0036211682128015595,0.002150046238621275,0.0,0.0,0.0,0.0,8.596818456457672e-11,0.0,9.999966137016722,5.484855723796167e-05,0.6699966244596549,4.7991893876643045e-06,3.01,0.0
1700,0.022005184045392555,0.0,0.0005839230036286085,0.019633925163600324,0.0,4.0102012964000767e-05,0.013960081592489362,0.01184764783496974,3.8070743370053206,3.039061694901325e-07,0.000739643893607559,8.705633009520385e-06,0.00045838889265961707,3.7750337686748218e-06,0.0,0.0,0.0,0.0473447588695965,0.17931884395131234,0.0006225362732663708,1.1792275595646826,0.0013740996296356788,0.003773016483122396,0.0022805097729699584,0.0,0.0,0.0,0.0,2.2884655915635552e-10,0.0,9.999934048940315,6.594168969040414e-05,0.6699961086831023,3.835083248812481e-06,3.01,0.0
1800,0.02231877479944873,0.0,0.0005820467985499704,0.02042457252866958,0.0,4.050586851961697e-05,0.013956488085177167,0.011828359760529884,3.8052720077947844,2.977207973630228e-07,0.00044494256773946436,8.046480824121184e-06,0.0005001369091661728,3.994066013245196e-06,0.0,0.0,0.0,0.04733669259602856,0.17899057369358035,0.0008436903328569096,1.17870621977319,0.0013556384647653568,0.004093255017320537,0.0022882711803273777,0.0,0.0,0.0,0.0,8.643157123333225e-11,0.0,9.999917325554794,9.056379368390062e-05,0.6699912991480914,5.613378580790784e-06,3.01,0.0
1900,0.023564249940195976,0.0,0.0005663578033875134,0.020854682059241125,0.0,4.423709121227108e-05,0.013956852501549702,0.011834814244429136,3.805521798670536,3.43906369598977e-07,0.0009606374835841001,1.0167916020670631e-05,0.0005209409916933029,4.968199905047772e-06,0.0,0.0,0.0,0.047306922354267394,0.17910111357876285,0.0007610470217564278,1.178324253313411,0.0013605675944272492,0.004241186745604159,0.002420057397095971,0.0,0.0,0.0,0.0,2.625931885583511e-10,0.0,9.99987824149002,0.00010156956251097191,0.6699903518559495,1.1250453378972403e-05,3.01,0.0
