milliseconds,L,L_RF,L_RF_C8,L_RF_FL,L_RF_FS,p43_p41,C3,C8,C8_star,C3_star,p43_FLIP,NF_kB_IkB,NF_kB_IkB_P,p43_FLIP_IKK_star,NF_kB_star,RF,FL,FS,IKK,L_RF_C8_FS,L_RF_FL_FL,L_RF_FL_FS,L_RF_FS_FS
2300,21.954080000000076,82.7843569685357,1.2144455515925328,1.5038809689761392,0.000667227506721221,0.09981165933443299,1.4434039956660702,62.69388493847503,3.5435754948851703e-06,4.131070255695955e-09,0.18446209724945736,4.738025737749868,0.00039234138125264246,0.0010357823862144346,0.0011238038613524033,4.170588346446632e-14,1.03957176174676e-27,0.020987817637739527,5.771769280623004,0.2828528696408026,0.4654843714010051,4.778194471594376,0.0006103068101790185
2400,21.95408,82.71813223929395,1.2739774301194051,1.4958124418570735,0.0006651854391227389,0.10908135168147826,1.4434039943788861,62.61743552157083,4.409652416086971e-06,5.347357028063804e-09,0.18997227091093236,4.7378432628794105,0.0004243973915010847,0.0011112371805080173,0.0012734540440463018,-3.4729215448571886e-14,-6.202073734689552e-28,0.01644908181540356,5.771691432390668,0.28491093870090106,0.4654843714010051,4.780674976819631,0.0006114086124693349
2500,21.954080000000047,82.65204155312993,1.3335307561022394,1.4883303795597604,0.0006630599477125266,0.11878258677164058,1.4434039927844324,62.5409395970888,5.439627745022292e-06,6.850538942861516e-09,0.1954444483281156,4.737647788132275,0.0004574578993773437,0.001188803472533219,0.0014349997592988646,1.3878783041646474e-14,2.1647058773857274e-28,0.012832767592053084,5.771611302044994,0.2865979060019443,0.4654843714010051,4.782604731354087,0.0006122675521000863
2600,21.95408000000003,82.58608465456467,1.3930485336325658,1.4813168996176165,0.0006608702720083468,0.12891417109843037,1.4434039908258787,62.46439553351938,6.656043901909414e-06,8.692751425630553e-09,0.20088066416252193,4.737438957909251,0.0004915107057920594,0.0012684611211533144,0.0016088010548252595,-8.727628033895409e-16,-1.0499696105157901e-28,0.009965136112075033,5.7715289050412855,0.28797152716534813,0.4654843714010051,4.784099598458116,0.0006129339962249553
2700,21.954080000000022,82.52026130320671,1.4524807867970442,1.4746774556851119,0.0006586320180555378,0.13947450917780735,1.4434039884387564,62.38780230016105,8.083407868571757e-06,1.093293322388175e-08,0.20628255224356257,4.737216420138134,0.0005265444238893774,0.0013501907869615621,0.001795213409495713,-6.675677285590869e-15,4.036534393379226e-30,0.007702230373058813,5.771444256077104,0.2890827349961286,0.4654843714010051,4.785252505345399,0.0006134486336781809
2800,21.954080000000033,82.45457127087637,1.51178424176551,1.4683364942955432,0.0006563577939526117,0.15046165634489814,1.4434039855503111,62.31115935990851,9.748256581845125e-06,1.363736886413379e-08,0.21165142588000985,4.736979826160236,0.0005625483233784527,0.0014339737814355554,0.0019945880053385194,6.6222522404611084e-15,5.182666454170451e-29,0.005925316122890278,5.771357369241502,0.2899759315054038,0.4654843714010051,4.7861377062629185,0.0006138441574168315
2900,21.954080000000022,82.38901433918781,1.5709218774101446,1.4622338835878563,0.0006540577401607856,0.16187336843248842,1.443403982078834,62.23446657872148,1.1679219117129581e-05,1.6880243443249427e-08,0.21698834312799617,4.736728830639759,0.0005995122032607274,0.0015197919462656864,0.0022072719481205038,-3.887701855242419e-15,-5.752892259773633e-29,0.004536947397711586,5.771268258134382,0.2906894128589945,0.4654843714010051,4.786814288615499,0.0006141466938162808
3000,21.95408000000003,82.32359029749549,1.6298624013840401,1.456321974987769,0.0006517399721751213,0.1737071475569409,1.4434039779329704,62.15772414957408,1.3907075756741159e-05,2.0744208627471694e-08,0.22229415959223273,4.7364630914917205,0.0006374262884366006,0.0016076275574717052,0.0024336084453761273,2.459938752288276e-16,3.645991014268957e-29,0.003457576706541602,5.771176935961308,0.2912558707267639,0.4654843714010051,4.787329058578275,0.0006143770081211746
3100,21.954080000000033,82.25829894122518,1.6885796841462317,1.4505631856724321,0.0006494109502943511,0.18596028350984536,1.443403973011014,62.08093252896659,1.646481398792264e-05,2.5320958932842962e-08,0.2275695709204419,4.736182269824723,0.0006762811463102248,0.0016974632497164337,0.002673936949485229,1.4939827316813345e-15,-1.8803035948677297e-29,0.0026226320027768514,5.771083415608311,0.29170293780992246,0.4654843714010051,4.787718916212406,0.0006145515122991914
3200,21.95408000000003,82.19314007047112,1.747052177669454,1.444928008333899,0.0006470757887854954,0.1986298907261722,1.4434039672001808,62.00409238394275,1.9387681659123782e-05,3.071181684348422e-08,0.23281514705198753,4.735886029895089,0.0007160676191763135,0.001789281956367121,0.0029285932735218833,-1.425619055433236e-15,1.4457342893981138e-29,0.0019799956458903443,5.7709877097010995,0.29205375083917723,0.4654843714010051,4.788012811512184,0.0006146831069814446
3300,21.954080000000037,82.12811348884647,1.8052623421361322,1.4393933839380728,0.0006447385126986248,0.21171294078734196,1.4434039603758668,61.927204548277274,2.271323737283014e-05,3.702832587863557e-08,0.23803135957015714,4.7355740390702135,0.000756776769869914,0.0018830668624974572,0.003197909684558675,6.781276124233196e-16,-3.4204944781008146e-30,0.0014878456232970928,5.770889830651442,0.2923275077682641,0.4654843714010051,4.788233344340183,0.0006147818777784669
3400,21.954080000000037,82.06321900255402,1.8631960975847492,1.433941381137495,0.0006424022697073995,0.22520629050206364,1.4434039524008906,61.85026998659027,2.6481398165837435e-05,4.439285075163963e-08,0.24321860337389786,4.735245967799221,0.0007983998383877199,0.0019788013683150756,0.003482214978642565,-4.2076025365590455e-17,-1.3043636546380413e-30,0.0011128208332883082,5.770789790693227,0.29254000218778736,0.4654843714010051,4.788398063378804,0.0006148556652064991
