milliseconds,S_d,E_d,I_d,R_d,S_h,E_h,I_h,R_h
2200,31189753.151866384,492499.4480767718,725480.1194467134,2546415.0980176423,1314831526.8637345,307.8635397775461,344.7205967038683,25348.53240329049
2300,31284450.825370327,535668.5726580834,757658.3699087952,2560406.822238915,1316520882.5405118,298.2058146291807,380.42013493773345,23548.005601647328
2400,30935660.212535504,562288.0595181017,823455.0252735065,2579116.525323715,1317688256.2062821,339.7590589328775,336.2694165113093,15086.20369391646
2500,31000002.593524598,603197.5589334399,741100.0353753339,2586702.02561005,1318061452.2113914,368.1069893482121,399.72754291828807,14544.319283373296
2600,30898169.137247365,657081.230709956,930988.1203893238,2514556.751170615,1319022903.4391234,375.97156284155506,483.8092238240683,17800.667289881203
2700,30389644.80885086,695231.9410402138,878937.0198168493,2532021.1423703223,1319885815.8756812,428.4122929463624,503.5779183446064,9073.119963337842
2800,30223506.590457015,690480.7259531862,1004559.4747576031,2522809.1711172787,1320915197.0756464,404.6630643102272,498.40242303140406,8272.083805977925
2900,30145073.49027647,748275.8387556402,1122888.2072375363,2611444.7068577874,1324103429.0696607,424.1889638715895,553.0919419521128,10459.617190056037
3000,30283525.995476734,784399.3412588275,1108979.950184391,2514220.4197350508,1324250220.9451168,439.84091568182856,562.723071919231,12541.327156649142
3100,30148547.80134122,843505.9597787405,1116908.905922112,2556493.686811446,1324536772.78647,508.7753015584312,587.9360058665676,13963.746702994136
3200,29677684.816081826,843574.7411048287,1311039.766343396,2557750.9493353553,1327287188.4012504,516.0439544473215,639.4482579677111,12815.08265748077
3300,29399022.497369267,992547.0935761285,1444393.0017285137,2594792.603125721,1326871180.91883,577.2088479932911,705.9689740543486,8946.513677153973
3400,29208302.914010156,1038517.415038175,1494694.2380074088,2575918.7064635702,1330064483.4844074,597.7740728317232,742.5294056370481,6087.426113372946
3500,28980940.936354604,1090538.256421456,1537575.4970383008,2593746.62605565,1329348875.6585798,662.7442387878046,747.783719213274,6337.557083848428
3600,28684064.287113942,1071237.2067392676,1580232.5524039392,2581143.0382326692,1331205802.7079818,688.165659521751,837.5702623569717,10105.704279503168
3700,28659025.628745552,1169155.2636445698,1702074.621973861,2556792.605497788,1332104246.8589785,712.3522335266921,946.0685604874242,7670.34566096351
3800,28350992.74902049,1180010.0917802013,1877575.4233200203,2477590.7180517293,1333738970.5785894,786.4339467983913,906.3629572004244,9778.154083084311
3900,27719671.918854177,1246512.6693620414,1942794.4360388315,2522201.770229997,1335661960.6456447,848.0196535251039,978.8470613283771,1994.1904184618143
4000,27529910.289550945,1362442.3901653793,2069569.3348561765,2461869.145463967,1335314831.0091825,876.3316378972698,1075.9060648543577,6897.1038913925095
4100,27365085.412844144,1368939.934790895,2156248.4588818,2509204.885195776,1338593344.9819148,891.5959822137289,1147.2158293704488,567.2485239025177
4200,26599773.779749602,1424518.088252049,2173332.4836814906,2463730.937491573,1339627220.553636,925.1229347863618,1201.3205769144315,4466.486342581198
4300,26514435.393368732,1485961.5342374067,2209132.8915263694,2468183.254204362,1338342151.7841332,1026.6620298110738,1222.127991956232,-1598.9654505115172
4400,26278025.296673927,1536949.553719618,2429425.193012808,2403080.5374587276,1341570845.1676753,1048.5786111770506,1375.383276700197,-2123.9545258974563
4500,26038979.828495212,1541168.6488771345,2478301.452934514,2406519.4089711667,1340395343.0142694,1122.4253294400064,1377.8468874739697,-211.91208171707967
4600,25476667.420647774,1604498.3985197002,2689152.6637461144,2380139.5795358475,1344223212.7869635,1156.3115580017475,1512.8538266474982,7245.637265573485
4700,25019404.890092988,1629088.189306552,2704484.856108116,2367550.347050294,1342786451.7040572,1192.342788115092,1572.7713394245993,-376.59801480308624
4800,24507362.178416677,1770489.925453764,2852094.2560263923,2330043.9351282855,1344878737.0108435,1285.8852268211592,1641.0502262526327,-447.62574460721817
4900,24341982.18414257,1795894.1644274795,2861640.3770779213,2414096.176737871,1345740579.9828448,1322.222247292629,1679.7517808701932,3265.3561964459723
5000,23958774.93764863,1812772.2048000933,2987378.409013302,2340019.3817960178,1346140566.7446616,1332.1719617579163,1811.1511442343758,-1634.0439612593004
