miliseconds,P,G6P,F6P,F16P,NADH,NAD,BPG,P3G,P2G,PEP,PYR,ACE,GA3P,DHAP,D6PGluconoLactone,D6PGluconate,NADP,NADPH,Ribulose5P,Ribose5P,Xyl5P,Seduhept7P,Erythrose4P,GLCi
3400,7.4506389475981765,3.3093662908785824,0.4741027925362844,1.7323127322168592,0.04224096310687291,1.551098404428577,0.001516462294839416,0.8940349189677311,0.12301779412561353,0.2935664293097876,13.605974666857826,0.19057696967420537,0.0555451828624519,1.3767709610206669,0.600786019772251,0.8761244522720162,0.35317484827317064,1.6581322432138899,0.28002535119613475,0.28495344649515436,0.28318105957244966,0.6211396570245382,0.047233674155372225,0.07603358748408329
3500,7.459263069769418,3.341990319027217,0.4746797531443006,1.734637929886985,0.0417597639997368,1.54775978787024,0.0026294440451805467,0.9072384801452059,0.12463032036796419,0.29651122665301444,13.623210910499557,0.19202895901327413,0.0559684726964026,1.3897486464616977,0.6097863268081952,0.8888318072885684,0.34343574911101094,1.6519123858800269,0.2858382716552559,0.28401732179142225,0.2844006606791306,0.621382408425144,0.04775275002493162,0.07625686548244269
3600,7.449137298617817,3.3387220625537535,0.4804271273189543,1.7327960538368568,0.043224466574926,1.5473814916517161,0.001838685189683723,0.9128083188562645,0.12519005233053757,0.2991014205130528,13.613470394684757,0.1914580758753226,0.05588215550753838,1.3821702525256052,0.5995191072336074,0.8999277212463258,0.3418011141499006,1.6642310737154604,0.2909935144077998,0.2919672183032492,0.29004658886278983,0.6218666417904317,0.04724675282589016,0.07595984289634092
3700,7.477271381442009,3.3544466775741957,0.47793577349688887,1.7508021271297636,0.040264807587738156,1.5490530311800368,0.0022341717923640135,0.9166515371034013,0.12544449543524647,0.3009720007608899,13.656250645195176,0.1924591374448858,0.055935274765491136,1.3874239733830869,0.6055363318138283,0.9198362693757832,0.33788887995567585,1.667052486716128,0.28785371656452147,0.2898572825231222,0.28722401554861965,0.6350541931261859,0.04793691490410866,0.07634877410883888
3800,7.486415901986942,3.338223367270523,0.4870638759831981,1.7589179966663127,0.04210430708888261,1.5506276781848432,0.002632926447829223,0.9230774852026277,0.12695808333833997,0.29814603911642207,13.708876538941409,0.19146183628129018,0.056427549613094964,1.401822648568546,0.6112932929052276,0.9138218209765989,0.3284328234730528,1.6665738562591923,0.29097741988537157,0.2921544761260144,0.2912260556287387,0.6524733717296856,0.04827520292300246,0.07631308640522609
3900,7.49046150531934,3.3513230527833158,0.48565120559300357,1.7548347660859087,0.04108473168469688,1.5494608328702504,0.001401727336336601,0.9127645186158314,0.12659476557965438,0.304482855863423,13.565783951552921,0.19334907525739506,0.05625685382226433,1.4037569541994621,0.6062664373772783,0.9312428322294467,0.3289240765272279,1.6669749553882778,0.29513881713288526,0.29208619103114314,0.29160308212967856,0.6564133483655528,0.04926590386344913,0.07590057877009265
4000,7.485040738195757,3.379300558442293,0.4911366728253816,1.7864928365467896,0.04011685971149069,1.547874526477863,0.0021466751170374295,0.9295791904428864,0.12754426623731502,0.3050836143911677,13.726641369353327,0.19377964970907263,0.05636087998313263,1.4018620496518763,0.6113157230082017,0.9361203565938859,0.32467092660480723,1.6740512250778434,0.2997553990650701,0.2950495648277111,0.2940025960922535,0.664329035391886,0.050052499655646863,0.07623907707403044
4100,7.463480274717121,3.383036480825704,0.4907240167918217,1.7769324948778633,0.04091093065666448,1.5471945140695467,0.0027956624122106315,0.9272100434242476,0.12836292136949534,0.30498663584023983,13.684610734956516,0.1927627442499107,0.05655421831085042,1.4007560309836236,0.6082571274242411,0.9501325949736009,0.3175283957463278,1.6847941614128874,0.2977801692151551,0.30125343560878115,0.29547714837314903,0.6632099626940193,0.049503903721697724,0.07585298005250099
4200,7.487192396877184,3.396934610750777,0.49292307057231444,1.7995667922653802,0.039609164903378014,1.5474021674643492,0.0014659435483538022,0.9263546286282258,0.12825433768692568,0.3053621244240993,13.734477250269466,0.192794550045035,0.05681470829794007,1.4023936601865568,0.6013539068702709,0.9564410329882144,0.3131290886078069,1.688961051097668,0.30619159498875137,0.30100169816149,0.30357858418322015,0.6750894105198116,0.04993396173431973,0.07633111117257092
4300,7.474687813723434,3.4061290975783955,0.49592187994195513,1.8095179988833126,0.04056277064813938,1.5484727273555627,0.0025547091650191846,0.9277678996531664,0.12867903671651418,0.30629341936475957,13.678987354364455,0.192572480918509,0.056836861460026165,1.4162394331216137,0.6021029730639474,0.9585419071365129,0.3160686798479154,1.6899448691800723,0.30734468232598733,0.3075588314822494,0.3065941903906187,0.6732981320538218,0.05077882239200213,0.0760610291644559
4400,7.465992648142331,3.4126385663460335,0.49334154211132686,1.8000813404561848,0.041172469157142,1.5476017775460227,0.0016412353526763072,0.9335777099858468,0.12908108060015652,0.30837533788568666,13.79894557909643,0.19303119058922316,0.05699379396139608,1.4187670113686441,0.6052428298308385,0.9548856095600399,0.3157230533517564,1.6887226081489703,0.3069354664364509,0.3092756461188813,0.30682066315112416,0.6830047587661529,0.051213731261217255,0.07595950353080971
4500,7.503052990042609,3.4312762948829483,0.4992067562736536,1.7959075620619085,0.039196691255743474,1.547610458777887,0.0026500518117067444,0.9412183337026714,0.13035209739147677,0.3132778256718731,13.70254620409102,0.19490822755400516,0.05717419823536496,1.4092009266044725,0.6106947968348784,0.9780465469981363,0.30767979258324707,1.688291995125977,0.3124955744280066,0.31072646521295727,0.30865966848254534,0.6888224855829725,0.05183199630274949,0.07584712241392795
4600,7.477710648940585,3.4456660182191876,0.498760247456712,1.8222898110828571,0.039176465378090525,1.5477031610830658,0.0019861737139813384,0.937960819584094,0.1311837948096688,0.31659060926503263,13.8245991793756,0.19377843061960298,0.056988945074597494,1.4223106696345675,0.6050293282806275,0.9833159171320772,0.3162708513331751,1.698926313524139,0.3096935655915816,0.31061934358978754,0.30833447663309344,0.697105315881978,0.051178558497154844,0.07621887792507914
4700,7.498686394719942,3.423032356645544,0.49782283233621694,1.8220795390518891,0.03985223920304723,1.5474472452721604,0.0028556438443695913,0.94121651688173,0.13209866103982681,0.3177924991368473,13.802261890889351,0.19446898892282072,0.05709755571026911,1.425967942019688,0.6020167078339553,0.9876119164273408,0.3041817582549885,1.6901249212414156,0.3092654032328372,0.3146893694792501,0.3065807484012281,0.7128783956066155,0.051985949052704164,0.07612784975218116
