milliseconds,M,Mp,Mpp,MAPKK,MKP3,M_MAPKK,Mp_MAPKK,Mpp_MKP3,Mp_MKP3_dep,Mp_MKP3,M_MKP3
1100,415.77334879955373,0.24193360749558157,0.010823700136094351,5.941137903096008,58.47068597750179,43.96583188055526,0.002890697059357924,0.013575165634855542,0.08300187587428734,0.06849246670309941,40.30708339532909
1200,411.35571691763374,0.29987195177293796,0.00937526219732739,5.426073456611168,58.193220328992915,44.17602290557116,0.002965408715918683,0.018012912530640288,0.08100396264442476,0.06774104718352603,42.68045666842456
1300,411.1943160895622,0.3054586690045478,0.016108697917173297,6.0599778413886405,56.81680617750917,44.26578003015156,0.003616871732119852,0.013157133861699397,0.09978907424451929,0.07643499301887625,42.77499566956864
1400,410.2784255577937,0.34904880299804175,0.01251278785275065,5.511379007987865,53.74897267320539,44.69649386838791,0.003693471076462093,0.01960291536480454,0.09560603455730159,0.08523436632966393,46.38452948619105
1500,407.66057235938996,0.344015419695608,0.0227082480720198,5.99895794966552,52.073410964863534,44.6990330307845,0.0036049101278507077,0.01853899455420821,0.11630839662160283,0.08821775376740766,47.01426483149885
1600,407.25108498668374,0.4016830663307033,0.016624263395410933,5.826021618668422,48.35245639804074,44.04339980845787,0.0036398787970154207,0.021401551889564507,0.12422632173739091,0.09403093897690039,50.38076347690758
1700,401.11596500645464,0.41028381623189797,0.022058985074957793,5.643800561067101,47.527802991208254,45.09586120550139,0.004098904287443282,0.026486118187158663,0.13090345426111819,0.09556957466519743,49.862724824224905
1800,399.2121352640839,0.4496128124009164,0.02598288221425019,5.939940550572137,46.71673261231533,45.00480854771022,0.0044134364872424284,0.03181823196122342,0.12986108492691079,0.10386665568058409,54.36149965921998
1900,398.55882794774396,0.46440337352282696,0.027100476875057462,5.160722102508609,42.828092486850174,43.986739874468014,0.0046939103932034125,0.028184044492943015,0.13806833648645095,0.10440816895806584,53.2348514117451
2000,396.60171765397536,0.4812882112503095,0.033204304904693664,6.07606803288016,42.39676669488666,43.771292155824156,0.004842737170768663,0.03080817880238235,0.1474113424185706,0.10950356104933806,55.66847480262032
2100,397.4517781942768,0.5013136859646392,0.04078186560543987,5.9053454509170775,42.596676554956794,44.28255450391011,0.005468103028155769,0.03918723666754323,0.1541531185657945,0.11568545813794398,59.697132589760606
2200,393.81373634279805,0.4850123987095174,0.03949091092678318,6.063587035615982,38.61222632259597,43.899235616716794,0.005903213785047348,0.04044291785483196,0.15905828648176162,0.1180908146282019,59.929320664948115
2300,392.14270398930216,0.5469868762239393,0.05204930843538919,5.321375274218741,40.45975528292842,43.809921284418884,0.0059391799616272025,0.042919276148486486,0.16627426858191544,0.11615309685812,58.28040989772152
2400,392.8886601759062,0.5788112649501289,0.0473863895683756,5.671583846019512,38.6692868754478,43.824109268854876,0.005977836443353584,0.04966335190712269,0.16515851587325026,0.11989638722186446,59.44800717033164
2500,391.94350703050566,0.5900596798009295,0.059028574762953714,6.315514201227135,35.13975447292012,44.437348290313075,0.006243580454058559,0.05154786432529148,0.17632205435348047,0.12788445733299256,64.20976431066605
2600,389.6024088573387,0.5853822210987575,0.07117052425202826,5.730814441421568,34.18215545253039,44.57949810858927,0.006357629590160808,0.05536918324138505,0.1674767227153308,0.12788715790572142,62.070383998943676
2700,390.8521200883024,0.5986888747673281,0.07238707229591093,6.2487872132823306,34.408045027110745,44.62072536456957,0.006620791977333823,0.059375402331984066,0.1753080038140559,0.1342718226315745,62.578670857886806
2800,388.42367837042457,0.6411433075547753,0.07488367713839851,5.759649988663992,33.311195739466655,43.71611331298802,0.007076458510789942,0.06685299734987614,0.1911386065001508,0.12744582789178954,63.4460878333899
2900,389.1554678216885,0.6409796008740813,0.07370127575143134,6.329387915630143,32.022953318234926,44.67314872613527,0.007183072633687487,0.0747819636864334,0.18877386409769012,0.13455526748185342,64.86173864816621
3000,386.2864596088798,0.6871333899817935,0.08099299684288373,5.923058876205792,34.54471823061267,44.39645822481584,0.007356723816657437,0.07660845453414916,0.18853695277357158,0.1389019729905043,67.28241383596358
3100,384.5339302041248,0.7221318832199067,0.09856819236415072,5.375239726119226,32.332727207439625,43.94439930066134,0.008104889514248925,0.08077549726868126,0.1956109442967375,0.13706425154866422,69.83069278493265
3200,388.11696078339276,0.7338945186304862,0.09548817514638691,5.990097393207053,31.244095763332258,44.361186501008945,0.007973174100656281,0.08165944934012045,0.19541665915342904,0.13655127334796283,68.54278825036317
3300,386.83964354632076,0.756457196136038,0.10935951850268125,5.497172159298347,32.00241784326016,44.24297424236145,0.00813580692940932,0.08863710224244527,0.19675837527789386,0.13751733123138354,70.24574266945226
3400,382.7090404972634,0.7544660878534898,0.11564674114360342,6.22292991632523,30.774027420045986,43.86621234628392,0.008606475898512196,0.09366777795805163,0.20453044245909405,0.14584884299704592,70.02457449317608
3500,384.146383966197,0.7583816567693307,0.11601764508795234,5.348956216832515,29.56622080306922,44.15215372140886,0.00862652549093989,0.10513237731933568,0.2141116677912536,0.14284753308241743,71.00591121763932
3600,381.65591074176405,0.8030096493608232,0.12847275388975857,5.749182310285806,27.10996247479224,44.477623712216186,0.009194700775067987,0.10539835853179533,0.20305579093614878,0.14636822891476559,73.00927927987777
3700,381.97122305987324,0.8478173566785763,0.14465257692658723,5.175160070046975,28.492625909134393,43.84678228001854,0.009699635271869084,0.10444311377828179,0.21159556216475203,0.14255114147993495,71.3280179647865
3800,381.1780223328007,0.8426664744766722,0.13910229798641668,6.12140172270646,25.55009599065567,43.61535200464079,0.00940662846754166,0.11998657240194266,0.21414879933543224,0.14333351726158564,71.89934738872198
3900,382.12870539603364,0.8311899149327217,0.14790810019433848,5.746905624845965,27.342288075008906,44.563056007749886,0.010039963101719266,0.1175410430076528,0.21986891767555827,0.15041834220599032,73.43729471222166
4000,381.4021079756049,0.8956299288044961,0.15943048877299204,6.005847837058646,26.01864176738991,44.74406747082439,0.010459140783037212,0.13067911771287694,0.22655317383347912,0.14305996589581374,71.26482950779388
4100,379.38394980751497,0.8836170958902293,0.17030124218613663,5.919473169984936,25.694440034425085,43.8141731764455,0.010284500625837766,0.13248911111877043,0.21873340493708976,0.14629276405899622,75.15078062070528
4200,380.70023868213195,0.9345707475612544,0.17943261127118684,6.303587134091405,25.88684042616884,43.98951466282464,0.010997132145331984,0.13714656643271514,0.21707412115947536,0.14537296575085717,72.67249313315916
4300,379.0429816281821,0.9698089805410467,0.1915077550463946,6.4776313157225385,25.88433548032069,43.94764492213231,0.010822858004137173,0.13878824569695106,0.23279463277461984,0.14768110998487577,74.90611753204959
